"stno","X2016.04.01","X2016.04.02","X2016.04.03","X2016.04.04","X2016.04.05","X2016.04.06","X2016.04.07","X2016.04.08","X2016.04.09","X2016.04.10","X2016.04.11","X2016.04.12","X2016.04.13","X2016.04.14","X2016.04.15","X2016.04.16","X2016.04.17","X2016.04.18","X2016.04.19","X2016.04.20","X2016.04.21","X2016.04.22","X2016.04.23","X2016.04.24","X2016.04.25","X2016.04.26","X2016.04.27","X2016.04.28","X2016.04.29","X2016.04.30"
"466880","0.5814","0.383","-0.6128","0.5","-0.383","-0.7878","0.1216","0.5","-0.342","-0.5142","0.6156","-0.5638","-1.1258","0.5814","0.9","-0.866","0.7182","0.5472","1.2313","-0.8457","-0.5785","0.2084","-0.8457","0.2394","0.3762","0.342","-0.8999","0.8208","1.3339","0.4"
"466900","-1.4722","0.7","-1.0725","-0.8426","0.2257","0.65","-0.9959","1.4772","0","0.4788","1.3787","-0.8426","-1.4722","-1.3789","-1.5035","0.513","-1.9734","2.0673","-1.9919","0.75","0.8","0.75","-1.0725","0.9397","1.1818","0.6","0.8","-1.9734","-0.9642","-0.9193"
"466910","-1.0833","-1.3023","-2.4432","-1.6","-1.5","-1.6742","-1.3023","1.4","-1.8187","2.7251","2.462","-1.1","3.2","2.2","-2.1","-2.4","-2.7575","2.462","0.6599","-1.1276","1.7321","-1.2257","-1.8794","-1.3787","-1.4772","1.1818","3.2","2.7575","0.4689","-1.4772"
"466920","1.5","0.5785","-0.5","0.7","0.5142","0.4","0.6428","0.75","0.3762","-0.6928","1.15","0.55","-0.3762","1.45","1.6","0","1.45","0","2.15","-0.9397","-0.866","-0.8356","-1.0337","0.6","0.85","0.55","0","1.6","2.3783","-1.2216"
"466930","-0.15","-0.5196","0.4","-0.3","-0.171","-0.4596","-0.7794","-0.3214","0.7518","1.299","2.0673","-0.1928","1.5588","0","0.45","0.766","1.3856","0.8457","1.4722","0.3857","0.55","0.5362","0.6128","0.2571","-0.1368","-0.35","1.2257","2.5115","2.6847","0.1368"
"466940","1.3856","1.0285","1.0285","1.4772","0.7","1.5588","0.8","1.1258","1.5975","1.1258","2.1651","1.2124","-1.3023","1.9053","1.2124","1.5321","1.3789","3.195","2.2215","-1.0927","-1.3156","1.2124","-1.4555","1.0392","1.5975","1.1491","-0.3126","2.5279","2.0683","-1.7321"
"466950","3.35","-6.9537","-6.1","2.5","1.1629","-4.4166","-2.1651","4.5105","3.101","3.8971","4.9027","2.7713","4.8864","2.9","1.3197","0","4.8","6.6718","3.5","-7.3296","-4.6","3.2043","0","2.314","3.3775","2.0785","0.9724","5.078","4.4431","1.1287"
"466990","1.9053","-2.2517","-1.9284","2.4249","0.684","-4.8256","-3.1177","2.6311","1.6914","1.6454","1.9053","-0.7182","1.4772","1.6914","2.5372","-3.9392","2.1613","2.8344","1.6853","-1.8","-3.9392","2.2215","-3.4468","1.7321","0","-0.8999","2.5372","3.1177","-0.8893","-1.35"
"467050","2.2981","0.2431","-4.1366","1.4555","1.6454","-0.3126","-3.294","2.2981","2.8559","0.4862","3.1408","2.1613","-2.764","2.2215","1.6712","-0.9551","2.314","3.8971","4.7631","-1.6914","-2.5","1.9151","-1.0261","-0.6498","1.7355","1.5321","-3.4","4.4431","4.5638","-1.2216"
"467060","-0.9642","-2.5115","-1.3499","1.0285","-0.2257","-1.25","-1.8794","0","0.5814","-0.8","1.7998","0.3473","-1.3789","-0.2605","-0.8893","-0.3994","-0.4341","2.314","0","-0.5036","-1.4141","-1.05","-0.684","-0.6156","0.6156","-1.05","1.0725","1.9","0.8893","-1.5321"
