"stno","X2017.02.01","X2017.02.02","X2017.02.03","X2017.02.04","X2017.02.05","X2017.02.06","X2017.02.07","X2017.02.08","X2017.02.09","X2017.02.10","X2017.02.11","X2017.02.12","X2017.02.13","X2017.02.14","X2017.02.15","X2017.02.16","X2017.02.17","X2017.02.18","X2017.02.19","X2017.02.20","X2017.02.21","X2017.02.22","X2017.02.23","X2017.02.24","X2017.02.25","X2017.02.26","X2017.02.27","X2017.02.28"
"466880","0.6599","0.6599","0.9577","-0.8457","0.3994","0.8161","1.5733","-1.6742","2.1449","0.9577","0.5209","0.7524","0.9235","1.1971","0.85","-1.3156","0.191","0.8893","0.7524","0.5472","1.4023","0.6894","0.9919","0.684","0.6156","1.0725","0.7524","0.9577"
"466900","2.5981","1.25","-0.8","0.6428","2.0673","1.2856","1","2.1666","2.3635","1.6914","1.5588","0.9959","-1.1818","-1.15","-2.0683","0.85","-1.0725","2.0673","-1.4141","1.6742","-2.5279","-1.9919","3.101","2.2553","1.7727","2","0.766","0.6062"
"466910","0.4168","-2.9544","-3.2889","-1.4772","2.2651","-3.1514","-4.5301","3.4468","7.3861","3.7588","2.2517","-2.5","-3.3483","-2.6311","-3.1514","-1.6742","1.9696","-1.9919","-2.6","2.462","-3.9467","2.462","1.0945","2.462","-1.6914","4.7271","-2.0785","-2.9445"
"466920","3.0211","3.0211","2.2498","-0.6578","1.4784","3.3425","3.4711","1.2856","1.6914","1.6712","2.0569","1.45","1.95","2.764","1.7998","-1.0337","0.9642","2.1212","1.607","0.9642","3.2139","-0.191","2.4426","1.0285","0.95","0.65","0.8893","1.8"
"466930","4.9804","1.75","1.6454","-0.5196","1.8187","1.2313","1.4141","1.8711","2.8191","-1.3499","2.3383","3.0311","3.5507","2.1855","0.55","0.45","1.3","2.5115","1.2257","1.5757","3.6648","0.9","5.1683","4.6045","4.6045","3.2909","4.6985","3.2889"
"466940","3.7239","4.3301","1.5321","-1.2124","3.0311","3.677","2.1855","1.9919","6.0073","6.1058","4.2435","1.75","1.5","1.6","-0.9","-1.9696","-1.4555","2.5279","-1.8","1.6454","2.1212","-1.9151","5.6134","4.4316","4.0377","4.8256","2.9876","2.1666"
"466950","7.8808","5.7208","1.2503","-7","6.5818","6.8944","4.6281","6.2","11.5","7.9769","7.0906","5.1423","4.8852","3.55","-3.55","-5.5442","2.05","6.2816","-9.209","6.4952","8.1201","-6.1488","9.0067","7.7076","7.2774","9.6","5.3994","4.5638"
"466990","3.3425","3.5996","-0.7182","-1.2","-0.5383","4.2898","2.4432","-1.15","4.2132","2.6812","-1.55","-0.8893","2.2553","2.8","-0.8208","-1.9","-1.4","3.8105","-3.1514","2.7713","3.0642","-1.35","4.2898","1.9917","0.8","2.5279","2.1613","2.5279"
"467050","8.1201","8.8095","4.7631","-1.8711","4.8261","9.3457","6.8944","4.6765","6.4086","6.8178","5.6565","6.4348","5.078","6.1284","1.2856","-1.7355","1.15","7.0148","2.1212","1.8","6.588","2.4","7.1242","8.054","7.621","6.4952","5.7453","4.9793"
"467060","0.5036","-0.5904","-1","-2.2553","1.8641","-0.4862","-1.05","-0.9","-0.6599","-0.6078","-0.6772","-0.8551","-0.7866","-0.8208","-0.9919","-0.9919","-0.8893","2.1","-1.5","2.3383","1.8","-0.3647","3.8408","-0.5557","1.1629","-1.3339","0","1.7998"
"467080","0","-0.9","0","0.4104","1.3","1.25","1.0927","2.0785","3.9392","2.462","1.299","0","-0.2431","0.6498","-0.684","0","-0.3299","0.6251","0.2952","0.3299","0.9","-0.4104","1.75","-0.2778","-0.7071","2","-1","-0.4788"
"467110","2.55","3.3425","0.8893","1.6","2.2498","4.2132","4.4167","1.05","2.9876","2.1","3.677","3.8105","4.3226","4.2435","3.1","-1.8187","2.3","2.4","1.9053","1.2","3.3425","1.299","2.7","2.8925","2.0569","2","3.8971","2.7713"
"467300","13.7195","13.9075","9.5526","5.5442","9.209","13.5316","10.4306","8.3709","14.5752","14.3773","13.4376","11.2763","10.6185","10.5374","7.583","4.2286","4.1346","9.7728","7.0906","1.6075","10.9004","1.8469","9.209","13.0617","11.5582","13.0979","12.5071","9.7496"
"467350","6.8598","7.0477","5.0225","2.7251","4.6045","6.9537","5.7321","4.1346","6.4839","6.7658","6.5778","5.6382","5.4502","5.4502","4.1362","2.0681","1.7727","5.0743","3.5708","2.1651","6.014","2.3635","4.7924","6.3899","5.5442","5.7321","5.6382","5.2195"
"467410","3.6648","3.7588","2.913","2.4249","3.007","3.195","2.0673","3.6648","6.6718","3.7588","2.9445","2.6311","3.101","2.913","2.5372","2.2517","2.4249","4.0407","2.3492","-2.3383","3.3483","2.2517","3.6648","4.2286","4.0407","4.8864","2.5981","3.007"
"467420","3.8408","3.4468","2.7575","2.2651","3.1514","2.9","1.9696","3.4468","6.6967","3.9392","2.7575","2.659","2.659","2.3","2.1666","2.0673","2.2651","3.7423","1.9696","0.7866","3.4468","2.1666","3.8","4.3","4.1","5.2195","2.5605","2.9544"
"467440","1.9","2.2","1.4784","1.6742","1.9","1","0.9","3.1","4","1.9696","2.1","1.9","1.157","1.5321","1.8711","1.6454","1.1","1.9053","1.4722","-1.7","1.5321","-2.3635","1.7619","2.0681","2.0681","3","1.5321","1.8385"
"467480","2.4","2.3","1.5757","1.3156","2","2","1.0337","1.9696","4.8","3","1.6","1.5","1.299","0.8426","1.1276","0.7","1.6","2.4","0.9193","1.7727","1.9919","1.8","2.462","2.8559","2.9","3.6438","1.4772","1.4772"
"467490","2.3","2","1.1818","0.7","1.2","1.6742","0.6894","1.3787","3.007","2.3","1.9696","0.9848","0.8457","0.9397","0.766","-0.45","-0.6894","1.5975","-0.6128","0.8863","1.4772","0.6128","2.0681","2.1","1.7727","2.5","1.1276","1.1818"
"467530","-0.3299","1.0833","-0.7518","0.7518","-0.7713","-0.2084","0.8863","1.4095","0.8","0.4104","0","0.342","0","-0.45","1","-0.8","-1.0392","0.8457","0.65","0.8356","-1.1818","1.2803","0.2431","0.9","0.684","0.6498","-0.4446","0.2084"
"467540","3.4641","4.2435","2.4513","0.9","2.4249","4.5033","3.7239","0.9","3.6648","3.6648","3.101","2.7251","3.195","3.7239","1.8385","0.85","0.8","2.314","2.6847","1.8187","3.1408","-1.6","3.7239","2.7251","1.3789","3.007","3.3829","1.4141"
"467550","1.0945","2.9","3.05","0","0.8208","-3.8302","-6.4086","3","1.0603","1.5049","0.4862","1.85","1.35","0.7814","1.7443","1.4707","3.7536","1.7443","-0.7641","3.4","0.5904","2.0521","1.3339","2.15","2.45","0.7988","1.1287","1.4365"
"467571","3.3829","3.3775","0.9","0.5196","2.0785","3.2889","1.2","1.1258","2.5115","3.2889","2.7713","2.8191","2.0683","1.4784","0.4","-1.1","0.6","2.5605","0.342","0.5472","2.2517","1.1818","3.101","3.007","2.7575","2.1651","2.3383","1.6454"
