"stno","X2014.02.01","X2014.02.02","X2014.02.03","X2014.02.04","X2014.02.05","X2014.02.06","X2014.02.07","X2014.02.08","X2014.02.09","X2014.02.10","X2014.02.11","X2014.02.12","X2014.02.13","X2014.02.14","X2014.02.15","X2014.02.16","X2014.02.17","X2014.02.18","X2014.02.19","X2014.02.20","X2014.02.21","X2014.02.22","X2014.02.23","X2014.02.24","X2014.02.25","X2014.02.26","X2014.02.27","X2014.02.28"
"466880","-1.0337","-0.8457","0.6498","1.85","1.25","-0.7518","0.6578","0.8208","0.9","1.4555","1.1276","0.3064","0.7794","1.1276","0.8","0.45","-0.383","1.1276","1.8794","2.0785","1.2","0.85","1.05","-1.3787","-0.9397","-0.5196","1.45","1.157"
"466900","0.55","-0.8426","1.7854","3.6648","-1.9053","1.1818","1.5757","3.101","3.101","3.5708","1.7727","-0.766","2.659","2.7575","-1.4555","0.95","-1.4722","2.1","3.1514","2.0681","1.4722","-0.65","-1.5427","-1.607","0.6","-0.6894","1.299","-1.4095"
"466910","1.7","1.7727","3.3483","-3.6438","-4.924","2.0681","2.6","2.659","3.2499","6.4997","4.9","2.3492","4.2347","5.1","-3.4769","-2.462","-1.3156","3.4","6.8","5","-2.5605","-2.7575","-2.9544","-2.9544","-0.4698","1.7","-1.55","0"
"466920","-1.1276","-0.9397","0.6498","0.8161","0.6251","0.45","0.5362","0.5036","0.4341","1.3856","-1.2216","-0.5196","-0.8426","0.2431","-1.3","0.2778","-0.5785","0.2605","0.9959","1.4784","0.5209","0.4862","0.6078","0.382","0.5785","0.1736","0.7988","0.5209"
"466930","0.7071","-0.2","2.8191","5.1962","2.6847","0.6","-0.25","5.3562","6.202","2.6311","1.6454","-0.9193","2.5115","2.5605","3.1177","0.3078","0.8457","1.6742","2.3492","-0.5814","1.9734","0.8","0.7713","0.4788","0.5","0.45","3.8105","1.5588"
"466940","-1.3023","1.3023","1.7355","3.4711","2.1212","-1.4141","1.7","4.924","6.6967","7.2876","3.9","-2.8579","5.8104","6.0073","1.9926","-1.3787","-1.3789","2.7575","5.6","5.5149","2.1","0.5472","-0.684","-2.2651","1.7727","0.9959","1.35","1.4555"
"466950","-4.0377","1.7","4.1138","5.8","-5.6565","5.3694","6.2","8.7469","7.4563","11.1717","9.3969","8.7469","9.6129","10.5246","-1.4586","-10.5374","-4.1362","7.6115","11.4642","7.4478","2.7362","-1.1634","-1.1982","-9.7496","-9.4909","-5.9088","3.8","-6.4839"
"466990","-1.4","-0.95","2.2517","4.2132","-0.75","2.3747","1.7854","2.5279","2.1651","4.2898","-0.3647","-0.4341","-2.4","2.8344","2.2981","-1.7","-1.85","2.1855","2.5981","3.7536","0.8551","-0.7866","-1.3","-1.4","-1.8","-1.25","2.9","-1.1"
"467050","0.9","1.4555","3.1497","8.0991","3.7282","2.2215","1.7355","5.528","6.8778","6.4922","5.1325","5.5155","6.3582","6.6646","3.3","-1.3023","1.1491","4.1569","5.7453","6.2816","4.05","3.5238","2.764","-1.55","1.3023","1","4.6281","3.5507"
"467060","-0.7866","-0.4446","1.8794","2.9","-2.5981","-0.3126","0.7713","1.1629","1.1287","0.382","0","1.2997","2.1855","-0.9235","-0.3994","-0.7524","-0.3647","1.0927","1.2","3.195","-0.8208","-0.3473","-0.5814","-3.3483","-2.0785","-0.7713","-0.85","-0.4788"
