"stno","X2013.04.01","X2013.04.02","X2013.04.03","X2013.04.04","X2013.04.05","X2013.04.06","X2013.04.07","X2013.04.08","X2013.04.09","X2013.04.10","X2013.04.11","X2013.04.12","X2013.04.13","X2013.04.14","X2013.04.15","X2013.04.16","X2013.04.17","X2013.04.18","X2013.04.19","X2013.04.20","X2013.04.21","X2013.04.22","X2013.04.23","X2013.04.24","X2013.04.25","X2013.04.26","X2013.04.27","X2013.04.28","X2013.04.29","X2013.04.30"
"C0H990","-4.2898","-3.8567","-4.9793","-3.677","-7.1242","-8.2733","-6.971","-5.3623","-4.5197","-5.1325","-4.6729","-5.8219","-5.6687","-4.7566","-3.294","-4.06","-4.9027","-4.5638","-3.4472","-5.2091","-5.2091","-2.4432","-1.75","-2.5","-3.2782","-5.1325","-3.9068","-2.3747","-2.1613","-4.8209"
"C0H9A0","-0.0521","0.1042","0.0347","0.2394","-1.5588","0.4","-0.1368","0.0868","0","-0.6","0.15","0.2","-0.45","0.5142","0.1216","0.2736","-0.0695","0","-0.0766","-0.0684","-0.05","0","0.1216","0.2052","-0.2736","0.2571","0.0521","0.0695","0.3078","0.1216"
"C0H9C0","1.6776","1.4643","1.4161","1.1957","3.8648","2.3419","3.0565","1.9013","1.7621","2.5069","1.8113","1.5487","2.1142","1.5977","1.3896","1.4474","1.7","2.3964","1.7714","2.0696","2.3395","1.606","1.416","1.5104","1.7335","2.1449","1.5089","0.4499","1.2433","2.275"
"C0I010","0","0","-0.6","0","0","-0.7","-0.2954","-0.1026","-0.4698","-0.1042","-0.5196","-0.0868","-0.4596","0.342","0.7794","0","0.1389","0.1389","0","-0.0695","0","0.7794","-0.1563","-0.1563","0","0","0","0.0868","0.191","0"
"C0I090","-0.6997","0.8995","0.7999","-0.6792","0.5541","0.8387","0.6973","-0.35","-0.2903","0.8769","-0.4015","-0.2394","0.649","-0.5734","0.7372","0.6994","-0.7092","0.5736","0.765","-0.9613","0.5822","0.7902","0.9613","0.2339","0.3256","-0.0314","0.7853","0.8978","0.8988","0.8089"
"C0I110","0.3999","0.4997","0.0609","0.3532","0.3985","0.0726","0.2624","0.2","0.3532","0.2971","0.1176","0.1338","0.197","0.2945","-0.007","-0.0279","0.2923","-0.1627","0.0366","0.2487","0.122","-0.1805","0.3078","0.3316","0.2","0.3236","0.1658","0.4872","0.0174","0.5088"
"C0K240","-0.3214","-0.4388","0.9801","-0.8541","-2.4674","-0.9859","-0.3801","-0.9177","1.4572","-0.8756","1.3966","-0.7512","-0.881","-0.7815","1.0103","1.9021","-1.1314","-1.416","0.9508","0.9948","1.0071","1.0725","0.6923","1.0497","-1.364","-0.1569","-0.788","1.079","0.803","-1.1491"
"C0K280","2.5605","3.2499","2.7575","2.5605","0.5814","3.3829","4.0377","1.1818","2.913","3.9467","2.3492","2.659","-0.5909","0.7713","0.6928","-0.1563","-1.0833","-0.85","1.8","0","4.4166","2.7575","1.5975","-0.684","1.3856","1.7727","-0.4698","1.299","0.1042","-1.6712"
"C0K330","0.7794","1.6454","1.299","1.1276","1.2216","1.9734","1.4095","0.6062","1.3856","1.5975","0.6062","0.9959","-0.1286","0.2394","0.35","0","-0.3857","-0.4","0.6062","-0.3","1.8187","0.8457","-0.9","-0.3762","0.8863","0.6928","-0.5909","0.866","0.5142","-0.9642"
"C0M410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C0M530","0.2598","-0.3464","-0.1732","-0.3759","-1.5035","0.3464","-0.2571","-0.3464","0.5142","0.0684","-0.0766","0.0985","-0.1286","0.1026","-0.4698","-0.5196","-0.1879","0.2598","0.0342","-0.1732","-0.2","-0.094","-0.1","-0.2598","0.1368","-0.4924","-0.1879","-0.2598","-0.2598","-0.3759"
"C0O810","0.1879","-0.094","0.2598","0.197","0.3759","-0.0684","-0.094","-0.3","0.3759","-0.197","0","0","0","-0.7878","0.4698","0","0","0","0.1","0.5909","0.2954","-0.094","-0.0985","0.2598","0","-0.094","0","-0.0985","0.4","-0.2954"
"C0O900","2.6","2.4432","1.7854","1.7","-0.6498","2.8559","2.1","0.9","2.2","2.7575","1.7727","2.5372","0.4698","1.3","0.45","-0.8426","0.25","-0.1389","0.4698","0.5785","2.659","1.5035","0.8457","1.4095","2.3","1.5757","0","1.7","0.6428","-1.1"
"C0O930","0.8889","0.866","-0.2481","0.3507","0.4226","0.809","-0.5673","0.6709","-0.4695","-0.3605","0.6914","0.2605","0.2817","0.2868","0.3254","0.35","-0.2279","-0.1953","0.4145","0.8336","-0.1389","0","0.5803","0.719","0.6428","0.5283","0.3195","0.1935","0.1563","0.9397"
"C0R100","-0.05","-0.3939","-0.2298","-0.3064","-0.3857","0.2598","-0.1879","-0.0866","-0.1","-0.0985","-0.05","0.1","0","0.2571","-0.1532","0.0866","-0.0342","-0.1","0","0.1732","-0.0766","0","-0.094","-0.1879","0.0866","-0.094","0","-0.0643","-0.094","-0.1879"
"C0R150","0.0347","-0.433","-0.2598","-0.3214","-0.2052","0.3064","0.0866","-0.0347","-0.15","-0.0643","0.1532","0","0","0.2598","-0.1928","-0.171","0.3759","-0.15","-0.0342","-0.2394","-0.2298","-0.0684","-0.1368","-0.0868","0.8863",NA,NA,"0.1532","0.0695","-0.35"
"C0R220","0","-0.0985","0","0","0.0643","0.0342","0","0","0","0","0.05","0","0","0.1532","0","-0.0766","0.1286","0.0342","0","0.0342","0","0","0.05","0.1","0.2",NA,NA,"0.1","-0.0985","-0.0643"
"C0R270","0.7713","1.2257","0.4446","-0.766","-1.157","0.3647","0.8457","-0.4104","1.299","0.65","0.8426","0.6894","0.5362","0.9526","0.3078","-0.9959","0.9193","0.5785","0.4596","0.3762","0.4104","0.1368","-1.3856","0.6","1.0285","0.5142","0.4698","0.45","0.5142","-1.1258"
"C0R280","0.3254","0.4689","0.8452","0.3746","0.0872","0.6368","0.9365","0.3584","0.3708","0.8551","0.8987","0.8987","0.5994","0.1095","0.3907","0.0487","-0.0954","-0.1792","0.2052","0.0418","0.8767","0.5699","0.1878","0.0675","0.1462","0.684","0.8626","0.4495","0.2536","-0.1628"
"C0R350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C0R420","1.0798","0.3534","1.9607","0.8465","-0.5624","0.0698","2.1786","1.0143","1.3","1.602","2.0137","2.1786","1.5898","1.0575","0.9988","0.8616","0.7823","0.6861","0.7728","0.3897","1.7","1.3906","0.6508","-0.4961","1.4838","1.6658","1.6996","1.1737","1","0.3598"
"C0S680","0.244","-0.1545","0.0052","-0.2344","0.1871","0.4999","0.0624","-0.0515","0.1714","-0.0174","0.014","0.2954","0.2571","0.4988","-0.1563","-0.6743","-0.2025","0.3936","-0.0139","-0.1302","-0.0438","-0.0276","-0.0423","0.3978","-0.0618","0.1075","0.5673","0.206","0.2344","-0.3507"
"C0S690","0.2624","0.5346","0.2649","0.3392","-0.4405","0.9969","0.5393","0.1696","0.2364","0.3498","0.2572","0.1732","0.1732","0.8285","0.3595","0.7308","0.2516","-0.3694","0.1677","0.2572","0.4415","0.2487","0.1827","0.7128","0.4455","0.649","0.1827","0.1714","0.2572","1.1591"
"C0S700","-0.1873","0.2997","0.2696","0.1302","-0.4755","0.1253","0.2909","0.1805","0.0174","0.2052","0.1563","-0.1714","0.1315","0.3394","0.1753","0.3936","0.1545","0.1368","0.1268","0.1954","0.3441","0.106","-0.4872","0.3286","0.3441","-0.5","-0.5967","0.0827","0.3","-0.8999"
"C0S710","1.0126","2.247","2.1191","1.2688","0.9801","2.0991","2.5839","1.3908","1.6314","4.169","2.9002","2.966","2.1925","1.9021","1.4937","1.1591","1.0126","1.1476","1.6314","1.2361","3.5053","1.5588","0.8835","1.4381","1.7965","2.1571","1.4835","1.3523","-0.848","1.1782"
"C0S730","4.0144","6.255","6.014","3.1742","-0.0907","7.4236","5.8113","1.2605","4.2286","11.3703","6.4839","7.3296","4.2937","3.593","3.7741","-1.8954","2.4966","2.7615","6.583","3.8277","9.8668","4.0233","-1.1702","-3.2683","4.265","7.6115","3.4672","2.1563","0.7321","-3.7907"
"C0S740","0.6022","1.058","1.1321","0.4589","0.3774","1.2958","1.4127","0.5601","0.9816","1.8657","1.4869","1.6341","0.7641","1.3577","1.1181","0.8889","0.8089","1.1684","0.9899","1.3966","1.9966","0.6","-1.3237","-1.3989","0.9725","1.2944","0.6847","0.4999","-1.2","1.8651"
"C0S750","0.0993","0.1231","0.1963","-0.0866","0.3346","0.3532","0.1963","0.4596","-0.0684","0","0","0","0.0788","0.3625","0.0087","-0.1462","0.4494","0.3355","0","0.3078","0.2673","-0.0262","0.2622","0.0968","-0.3759","0.0485","-0.0017","0.0157","0.014","0.4924"
"C0S760","-0.5768","-0.6857","-0.7469","-0.6619","-1.2432","-0.8549","-0.433","-0.6237","-0.5563","-0.3152","-0.1805","-0.3993","-0.4668","-0.5523","-0.424","-0.9397","0.6709","-0.6122","-0.4193","-0.3429","-1.0462","-0.3595","-0.6395","-0.4974","-0.8222","-0.4286","-0.6344","-0.6237","-0.6395","-0.8285"
"C0S770","0.6536","-1.0348","0.9899","0.3394","-1.0285","1.9053","2.1666","0.7825","0.9801","1.5094","1.2948","1.0069","-0.0349","0.1359","1.1326","0.1871","0.3746","0.6344","0.4702","-0.014","1.5752","0.2911","-0.0244","0.5999","0.2034","1.6853","0.8425","0.6293","0.3632","0.1584"
"C0S790","0.0309","0.2945","0.0995","0.0191","-0.0419","0.4908","0.0999","0.0982","0.0996","0.2996","0.1985","0.0988","0.0995","0.3961","0.0035","0.2984","0.014","0.0242","0.0391","0.007","0.1992","0.0985","0.0122","0.1992","0.099","0.0999","0.2993","0","0.0122","0.0626"
"C0S810","1.0903","1.9425","1.4963","1.4869","1.3856","2.0398","1.7956","1.5973","1.6929","1.722","1.4554","1.4869","1.1143","1.741","1.258","1.4722","1.2858","1.8997","1.3856","1.1143","2.274","1.5525","1.2474","-1.2929","1.4722","1.8513","2.0225","1.2721","1.3482","-1.565"
