"stno","X2011.03.01","X2011.03.02","X2011.03.03","X2011.03.04","X2011.03.05","X2011.03.06","X2011.03.07","X2011.03.08","X2011.03.09","X2011.03.10","X2011.03.11","X2011.03.12","X2011.03.13","X2011.03.14","X2011.03.15","X2011.03.16","X2011.03.17","X2011.03.18","X2011.03.19","X2011.03.20","X2011.03.21","X2011.03.22","X2011.03.23","X2011.03.24","X2011.03.25","X2011.03.26","X2011.03.27","X2011.03.28","X2011.03.29","X2011.03.30","X2011.03.31"
"466880","0.4515","1.5049","0.6772","0.7293","1.25","-0.5196","2.4","0.7293","0.6946","1.1971","1.0603","-0.5142","0.5814","0.7182","0.7641","2","0.9377","1.0261","-0.6928","0.8863","1.4722","0.5904","0.8335","0.6599","0","0.6078","0.5036","0","0.5036","2.35","1.0261"
"466900","2.913","3.007","3.3829","2.2553","-2.1613","0","2.7575","-1.3789","-1.8641","0.9848","-0.8457","1.1818","-1.2124","0.2605","3.2043","0.95","-1.7998","-3.0311","0.2736","0.7713","1.5975","3.9467","1.9053","1.157","0.6156","1.9734","1.8794","1.8187","1.7854","0","-2.2215"
"466910","-0.3647","-1.8385","-0.8893","-2.9445","-2.659","-1.1818","6.8","-3.5453","-4.1346","-4.9804","-4.8864","-1.9917","-0.9397","2.4249","1.2313","4.0377","-4.8864","-3.4468","-1.7727","-1.8","-1.5975","3.3829","-2.5605","-1.9919","2.2651","-2.9","-1.5427","3.2499","2.1613","1.2997","0.6425"
"466920","0.4515","0","0.7641","0","0.5209","-0.3064","0.3647","-0.712","-0.7641","0.7293","0","0.4","0.4862","0.4168","0.8335","0.6772","0","-0.9235","-0.5785","0.6062","0.2952","0","0.8161","0","0.573","0","0","-0.4341","0.5209","0","0"
"466930","3.7588","5.9201","5.6382","4.1346","1.4722","0.4596","3.3829","2.4249","2.1651","3.3775","4.7924","0.2571","-0.5142","2.1613","6.2959","1.9284","1.9917","0.5","0.3","-0.4","0.5362","4.5105","4.1569","5.2623","3.195","5.2623","4.7924","5.5442","3.195","3.4769","1.4555"
"466940","2.6","4.0703","3.6373","1.4707","0.684","0.9959","5.9088","2.05","1.25","2.1212","2.5069","-0.9","1.3789","2.5115","5.6134","5.1095","1.4023","0","1.0285","1.5321","2.2553","6.7952","3.5238","2.7578","3.0854","3.5507","4.6765","3.2909","2.913","2.6997","0"
"466950","6.8178","7.1014","7.1014","5.2066","-6.2959","-5.2195","12.3101","2.3257","0","3.95","3.044","3.2174","-2.7","5.2857","8.9201","8.0814","2.2915","-4.7","-7.7994","-6.6","3.6004","8.9618","5.4637","4.4995","7.5838","7.4306","8.3499","7.188","3.9853","4.371","0.9377"
"466990","4.0703","4.2898","3.0642","3.6004","0","-1.9284","3.6004","2.8191","-1.0261","2.8","1.1491","-0.7866","-1","-1.4784","5.2091","3.9834","1.9919","-1.5","-2","-1.8641","-2.8191","5.1325","3.8302","3.1177","3.7239","2.1651","2.0785","1.1","2.7578","2.2981","-0.7866"
"467060","3.1","3.4468","1.9","-0.5383","-0.3299","-0.4689","0","-0.4515","-0.7524","-0.7182","1.4023","-1.1","1.299","-0.7866","3.8527","0","-0.7524","-3.2","-2.5372","-0.8208","-1.9053","2.6997","0","0.6078","0","0.7293","0.8335","0.7814","-0.6425","-0.9919","-2.1666"
"467080","1.1629","-0.4168","-0.2605","-0.2084","0.2257","1.6454","3.4","0.2952","-0.85","0.6428","-0.4446","-0.3762","0.2394","0.6156","1.9926","1.9284","-0.2431","-0.2257","1.3856","1.8794","0.9","2.2215","1.6087","-0.95","-1.2213","-0.513","-0.4446","-1.157","0.4862","0.8893","0.191"
