"stno","X2013.02.01","X2013.02.02","X2013.02.03","X2013.02.04","X2013.02.05","X2013.02.06","X2013.02.07","X2013.02.08","X2013.02.09","X2013.02.10","X2013.02.11","X2013.02.12","X2013.02.13","X2013.02.14","X2013.02.15","X2013.02.16","X2013.02.17","X2013.02.18","X2013.02.19","X2013.02.20","X2013.02.21","X2013.02.22","X2013.02.23","X2013.02.24","X2013.02.25","X2013.02.26","X2013.02.27","X2013.02.28"
"C0R100","0.0766","-0.2954","0.0643","-0.1732","-0.094","-0.2","0.0684","-0.094","-0.1","-0.0866","-0.0985","-0.0643","0","-0.197","-0.1368","-0.15","-0.1732","-0.2598","-0.1286","-0.1732","-0.0342","-0.0866","-0.197","-0.1928","-0.3214","-0.1","0.0766","-0.3759"
"C0R150","-0.2394","-0.2571","0.1732","-0.0684","-0.2","-0.3064","0.2571","0.3064","-0.0521","0.3064","0.2598","0.0521","-0.0866","-0.383","0","-0.1532","-0.0521","-0.3064","0.35","-0.3064","0.1928","0.383","-0.1286","-0.2298","-0.3064","0.2052","0.6894","0.0695"
"C0R220","-0.0766","0","0","0.0766","0","0.0174","0.05","0.0643","-0.0174","0.0643","0.094","0.05","0","0","0.0643","0","0","-0.0643","0.0643","0","0.0643","0.0866","0","0","0.05","0.0643","0.05","0"
"C0R270","0.6062","0","-1.2213","-0.75","0.7071","1.5035","1.6742","1.6914","1.5035","2.3492","2.1613","1.9053","0.9642","0.342","1.0725","0.4788","1.3","-3.7239","1.2257","1.4555","1.4722","2.4432","1.2213","1.4772","0.6428","-1.0725","0.9642","1.1491"
"C0R280","0.3387","0.3053","0.1368","0.1035","0.0618","0.18","0.0518","0.7765","0.6923","0.2463","0.7193","0.682","2.3188","0.6474","0.4684","1.6362","0.4092","0.1658","0.5664","2.2506","0.881","0.7193","2.0074","1.4052","0.9031","0.3109","0.3346","0.6038"
"C0R350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C0R420","1.2274","1.1826","0.2195","0.1256","0.7419","1.324","0.881","2.1","1.3016","0.8959","1.6634","1.3778","2.0165","1.35","0.8948","1.7706","0.9378","-0.1706","1.0982","2.3964","1.8453","1.0159","2.1816","2.116","1.3166","0.2952","-0.0733","0.8991"
"C0S680","-0.5664","0.0174","0.0052","0.1935","-0.4769","-0.1216","-0.0558","0.2853","0.0157","0.5796","0.1954","-0.0419","-0.0618","-0.3611","-0.2179","0.1259","-0.1654","0.3951","-0.1247","0.0157","0.4373","0.014","0.2954","0.0763","-0.0087","0.6871","-0.4902","0.1913"
"C0S690","0.1813","0.4568","-0.3536","-0.4168","-0.4239","0.4532","-0.866","1.1346","0.5438","0.5438","0.4603","0.4415","0.6578","0.3355","0.8345","0.6619","0.2837","-0.9225","0.8285","0.7364","0.5438","0.5523","0.9397","0.8457","0.5196","-0.4728","0.7947","0.3429"
"C0S700","0.2294","0.2424","0.1204","-0.1454","-0.5673","0.2779","-0.6948","0.43","0.0968","0.2677","0.1408","0.4193","0.2958","0.1981","0.2052","0.3886","-0.1026","0.4568","0.3126","0.263","0.244","0.169","0.3216","0","0.3346","0.1618","0.2719","0"
