"stno","X2014.07.01","X2014.07.02","X2014.07.03","X2014.07.04","X2014.07.05","X2014.07.06","X2014.07.07","X2014.07.08","X2014.07.09","X2014.07.10","X2014.07.11","X2014.07.12","X2014.07.13","X2014.07.14","X2014.07.15","X2014.07.16","X2014.07.17","X2014.07.18","X2014.07.19","X2014.07.20","X2014.07.21","X2014.07.22","X2014.07.23","X2014.07.24","X2014.07.25","X2014.07.26","X2014.07.27","X2014.07.28","X2014.07.29","X2014.07.30","X2014.07.31"
"466880","-0.9397","-0.8999","-1.1276","-1.0833","-1.2124","-1.5035","1.35","-1.6087","-2.0683","-0.9642","-0.8356","-1.1258","-0.95","-1.2216","-0.7794","0.7","0.75","-0.9526","1","1.35","1.6","2.1","1.15","0.2736","0.7713","0.3078","0.9","1.05","1.3","0.6156","-1.3789"
"466900","-1.3856","1.157","1.0285","-0.866","-1.3856","0.7713","1.4095","2.8191","-0.4788","0","0.8","0.75","0.7","0.8356","0.8356","-1.8187","-2.7713","-2.0673","-1.157","-1.3499","-1","-0.8","-1.5","-0.6928","-0.866","-1.6454","-1.3789","-1.0927","-1.299","1.5757","1.2213"
"466910","-1.0833","-2.0681","-1.6914","1.3","-1.0833","1.2","2.8","8.4","0.6498","1.3156","-1.5757","-1.6087","1.4722","-1.4095","1.1818","-2.3635","-2.5","-1.65","0","-1.4023","-0.712","-1.7101","-2.4283","0.3647","0.4788","-0.4788","-0.684","-0.8551","-0.9235","0","1.094"
"466920","-1.2803","-1.4772","-1.3156","0.2605","-1.2124","-1.4772","0.4862","0.7182","-0.7182","-0.8999","-1.0337","0.4446","-1.0927","-1.1258","-1.3156","-0.8893","-1.3","-1.2","-1.35","0","0","0.7641","-0.7293","0.4104","-1.1258","-0.2605","-0.3473","0.8893","1.0261","0.6156","1"
"466930","0.8457","0.9397","0.6428","0.2394","-0.6062","0.5142","1.2257","2.1613","1.0725","0.9397","0.6578","0.5142","0.6428","0.7518","0.45","-0.7794","-0.9397","-0.7794","0.7071","0.75","0.75","0.7182","-2.1","0.8863","0.8863","0.8457","0.2736","0.4104","1.05","0.6","1.5975"
"466940","-1.25","2.0673","1.6712","1.6853","1.7619","-1.9284","2.8344","5.0225","-1.65","-1.2856","-1.7355","1.2856","-1.5427","1.9917","2.2553","-2.2498","-3.8105","-2.5279","-0.4168","-1.45","0.9919","2.45","-4.6729","1.5588","-1.8187","2.2553","1.9917","1.607","2.1449","2.913","2.8191"
"466950","-3.9467","-5.7321","-5.2828","-4.5105","-5.9756","-5.1095","3.1","10.648","0","-5.2","-1.0419","-6.2","-6.7","-4.6045","-8.3633","-9.5849","-6.205","-4.2898","-1.8469","-1.7785","0","0","-16.1947","-11.0884","-6.202","-5.6292","-2.85","-2.15","2.25","5.318","7.2774"
"466990","-1.7619","-1.6712","0","-1.8385","-1.8641","-0.382","2.6847","-2.9445","-0.8893","-2.3492","-2.6311","-3.8408","-3.1","-2.4249","-3.8527","-3.2889","-3.8408","-2.9445","-1.2","-1.35","2.7713","4.9804","-5.5921","-2.8","-3.9392","-2.5981","-0.3647","-1.35","2.7251","-1.5","-3.0529"
"467050","-1.1629","-4.5899","-3.8302","1.3499","-2.2553","2.2553","5.5426","4.3226","-5.5921","-5.1325","-5.2828","-5.4389","-5.2857","-3.8302","-0.5036","2.1651","0.6156","0.7524","3.007","2.35","3.3","6.3636","3.7282","-5.0559","-1.3339","1.6454","2.2553","2.1212","3.8302","4.3301","1.9926"
"467060","-0.342","-0.9","-0.2257","-1.9053","-2.1613","-1.9919","0.8","-0.8551","-0.5472","-1.3856","-1.2124","-1.5975","-1.1258","-1.6454","-2.659","-4.1362","-3.9467","-3.4769","-1.9696","-1.2856","-0.8","1.1287","-6.1065","-1.6742","-3.007","-2.7713","-0.85","0","-0.7","0.382","-0.3473"
