"stno","X2014.03.01","X2014.03.02","X2014.03.03","X2014.03.04","X2014.03.05","X2014.03.06","X2014.03.07","X2014.03.08","X2014.03.09","X2014.03.10","X2014.03.11","X2014.03.12","X2014.03.13","X2014.03.14","X2014.03.15","X2014.03.16","X2014.03.17","X2014.03.18","X2014.03.19","X2014.03.20","X2014.03.21","X2014.03.22","X2014.03.23","X2014.03.24","X2014.03.25","X2014.03.26","X2014.03.27","X2014.03.28","X2014.03.29","X2014.03.30","X2014.03.31"
"466880","-0.6928","0.7866","0.7182","-0.5362","0.684","1.05","0.7182","-0.6128","0.4788","1.65","0.7","0.4596","0.6","0.8551","0.95","-0.3759","-0.3857","-0.2052","-0.35","1.15","1.3","1.2655","1.5","-1.2216","-0.8457","0.6128","0.85","-0.3078","-1.4555","1.65","0.9642"
"466900","0.9642","3.5708","1.8711","1.3","2.0785","1.5757","0.9397","1.9696","1.9734","-1.6712","-2.8579","0.55","2.1613","2.0673","-2.8579","-1.0725","0.75","-1.3789","-1.0392","3.3829","1.7321","-1.15","-2.1212","-2.3383","-1.5321","0.7","-1.3856","-1.6087","1.7727","-2.5115","-1.7854"
"466910","1.4772","2.5","-1.4784","2.8","3.2","-2.7251","-2.9544","4.5","3.9","-4.5105","-2.3492","0.191","4.3","2.8559","-2.1666","0.3939","-1.1","0.8863","-1.4772","3.7588","-3.1514","-4.6286","-3.7423","-2.1613","-0.6928","-0.8457","2.2","-1.7727","-2.4","0.8682","-1.3787"
"466920","0.9526","0.5557","0.5383","0.55","0.4341","0.5209","0.4862","0.9193","0.3473","0.7641","0.3994","0.6062","0.3647","0.5557","0.5036","0.6578","0","-1.1258","0.3762","0.4862","0.5557","0.8161","0.6946","0.4515","-1.0833","0.2084","0.4341","0.2084","1.6914","0.712","0.3473"
"466930","0.171","5.2623","3.5507","0.5196","4.7924","5.1683","4.7631","2.2553","2.1449","2.0683","0.3078","0.5638","3.8105","1.7998","0.4446","0.3214","0.45","0.7518","0.6894","3.8527","1.2856","1.7619","0.75","0.3762","0.35","0.45","1.4722","0.2736","0.8999","4.4166","-0.3857"
"466940","1.7727","4.4167","2.5981","1.8794","4.3301","3.7239","3.9837","2.7578","5.121","1.45","-1.6914","-1.3789","4.8256","3.2889","-1.607","-1.1491","1.0285","-1.6087","1.3789","5.5149","4.9363","1.8","-0.3126","-1.4784","1.4555","1.4772","1.2","1.7321","-2.2517","2.1855","1.3023"
"466950","4.2898","7.737","6.0622","3.9834","6.2993","7.6604","5.45","10.9314","9.4542","0","-8.9201","-8.9271","8.6452","6.108","-8.8331","-9.7728","-6.7","-5.6382","-7","9.021","8.8331","1.0419","-3.0098","-2.9072","-8.0814","-6.9537","0","-7.3612","-7.3296","1.3197","-7.0148"
"466990","-1.6712","3.677","1.8187","-3.2499","3.8302","-0.7182","2.4249","-1.6","3.5238","2.2651","-1.2856","-1.8641","3.8302","-0.9919","-0.7182","-2.1855","-1.8","-1.4","-3.4769","4.4431","4.6729","-0.8208","-0.7524","-1.35","-3.0529","-0.382","0.4168","-1.75","-4.0377","2.4513","-1"
"467050","1.7355","5.9136","5.8219","2.7578","5.6565","6.205","6.205","5.3562","6.9282","3.55","0.684","0.4446","3.5353","4.6281","0","0","-1.1","-0.7866","-2.5981","7.0476","8.1201","4.9495","1.9","-1.05","-2.2","-0.2605","2.6847","0.4168","-4.1138","3.7924","1.8385"
"467060","-0.4446","2.7251","-0.3126","1.2","0","1.2","0.5209","1.5035","0.382","-0.4446","-2.4","-1.2257","1.5","0.382","-0.3994","-0.2605","-0.513","-1.4722","-1.5975","3.101","-0.4341","-0.2084","-1.5757","-1.6","-0.513","-0.5472","-0.4341","-2.1666","-0.65","1.5757","-0.191"
