"stno","X2014.10.01","X2014.10.02","X2014.10.03","X2014.10.04","X2014.10.05","X2014.10.06","X2014.10.07","X2014.10.08","X2014.10.09","X2014.10.10","X2014.10.11","X2014.10.12","X2014.10.13","X2014.10.14","X2014.10.15","X2014.10.16","X2014.10.17","X2014.10.18","X2014.10.19","X2014.10.20","X2014.10.21","X2014.10.22","X2014.10.23","X2014.10.24","X2014.10.25","X2014.10.26","X2014.10.27","X2014.10.28","X2014.10.29","X2014.10.30","X2014.10.31"
"466880","0.7866","0.7182","1.2","1.1491","1.35","1.1629","0.8551","0.8551","0.6498","0.8551","1.5427","-1.0725","0.6156","1.1","1.3","0.9919","1.0261","1.5","0.8208","-0.7518","-0.8457","0.7524","1.0261","1.55","1.4","-1.3156","1.2313","1.8","1.7","1.05","0.75"
"466900","0.7713","1.4722","1.4095","1.5757","1.5588","1.0927","1.3789","1.7321","2.0681","3.1514","3.7","1.7854","-0.9642","1.5975","1.2216","0.65","0.342","-1.2856","-1.9917","-0.9959","0.2736","1.8794","0.766","-0.8863","-0.9526","-0.766","1.6853","0.684","-2.1212","-1.4","-1.4722"
"466910","-0.9848","-0.9","-1.5391","-1.0072","-0.9203","-1.4","-1.4722","0","-2.1855","-1.6759","-1.6323","-1.1461","-0.7293","0","-1.4772","0.3647","1.95","1.2655","0","0","-0.2257","-1.7619","1.2213","3.4","2.4249","0.1042","0","1.5733","0.5904","0","0"
"466920","0.5209","0.4515","0.7524","1.6087","1.6853","1.0945","1.1287","0.6425","0.4862","1.9151","1.2803","1.1491","-1","0.4341","0.7866","0.8551","0.5557","0","0.5904","-1.2803","0.9526","0.8551","0.5383","0.6078","0.6772","0.3299","0.7641","0","0.6772","0.5904","0.3473"
"466930","1.2124","1.3156","0.6156","0.2952","0","-2.1449","-1.6087","1.3499","2.0785","0.9235","2.3","1.3856","0.9642","-1.4555","1.8385","2.7251","2.8579","1.4","0.7","0.7713","0.6428","2.4249","3.4641","4.2286","2.2517","0.6894","3.0311","2.4249","0.75","0.4446","0.6"
"466940","3.7536","3.101","4.7924","6.4839","6.202","4.6729","3.0211","3.1497","4.4167","6.0073","5.6134","3.0529","2.6311","3.0311","2.2517","2.1212","1.6","0.9577","-0.5472","-0.65","-1.8385","3.3829","2.0569","0.55","1.4784","1.9053","3.0211","2.1","0.7866","-0.8208","1.8385"
"466950","5.0229","4.7271","8.0814","9.6511","9.5526","7.9674","6.6646","6.5564","7.4306","9.3969","13","9.2691","8.4","6.202","4.5033","4.1138","2.8388","2.8046","-4","-5.4502","-3.8527","6.3582","4.4352","2.2915","2.0179","0","5.7208","3.1124","-4.1","-4.05","0"
"466990","2.911","1.8641","3.6004","1.95","2.6354","4.2898","3.6004","4.1569","3.5507","4.5197","-2.3783","-1.15","3.294","2.2981","2.1666","2.4513","1.9926","2.2651","-0.8208","-0.3994","-1.2856","4.06","3.0311","2.3747","-0.5814","-1.15","3.4472","2.913","-1.05","-1.25","-1.35"
"467050","5.2857","4.7631","4.2424","5.6687","6.6646","7.2008","5.3994","5.078","6.205","7.3612","6.9282","2.8191","3.677","2.85","4.6729","5.5921","6.0518","4.4995","0","1.3789","0","4.8261","5.8985","4.5963","3.3706","2.7713","7.2774","5.4637","2.0569","0.3299","-0.382"
"467060","1.5","0.5814","-0.7182","-0.8551","1.25","0.8208","0.4168","0","0","3.2889","-0.4168","0.7524","0","0.382","-0.6498","-0.684","-0.2431","-0.4446","-0.3647","-0.6156","-0.2257","-0.7524","0.6498","-0.5814","0","-0.4104","1.5975","-0.513","-1.4095","-0.6498","-0.4446"
