"stno","X2010.11.01","X2010.11.02","X2010.11.03","X2010.11.04","X2010.11.05","X2010.11.06","X2010.11.07","X2010.11.08","X2010.11.09","X2010.11.10","X2010.11.11","X2010.11.12","X2010.11.13","X2010.11.14","X2010.11.15","X2010.11.16","X2010.11.17","X2010.11.18","X2010.11.19","X2010.11.20","X2010.11.21","X2010.11.22","X2010.11.23","X2010.11.24","X2010.11.25","X2010.11.26","X2010.11.27","X2010.11.28","X2010.11.29","X2010.11.30"
"466880","0.7467","1.3681","1.2655","1.3339","1.6","0.5472","0.4862","0.6599","1.3339","1.95","0","1.4707","0.684","1.6","0.6425","1.3339","0.712","1.95","0.3647","0.684","0","1.4772","-0.4515","0.4689","-0.2778","0.6946","1.8","0.8893","-1.1258","1.7727"
"466900","0.342","0.8208","2.0785","1.6853","0.866","-0.9526","1.7854","1.4555","0","-1.6712","-1.8641","-0.382","-1.8187","1.1258","1.3499","1.6914","1.2213","1.4722","1.6742","0.7518","0.8356","2.2553","1.9053","0.7","1.5975","0.5814","-2.1855","-1.9151","-1.1258","1.4095"
"466910","-2.6","-3.3","-3","-4.1","-3.8527","-3.0529","1.9917","1.4784","0.4168","-2.9544","-4","-5.1","-2.9445","-3.195","0.4689","-3.4468","-4.1362","-3.2909","3.5453","-2.659","0.6498","3.8408","1.6914","-1.6","5.121","-4.1","-2.8579","-3.2499","-1.2803","4.4316"
"466920","1.2655","1.3339","1.2655","1.4365","1.95","0.8893","0.5209","1.1971","2","2.4","2.1","0.7814","0.3647","2.15","1.7","1.2655","1.4023","1.3681","0.6498","0.7866","0.7071","0.5472","0.9919","0.8893","-1.5","1.4023","1.4365","1.8","-1.0392","0.9642"
"466930","-0.5814","1.9919","3.8527","3.2909","1.9053","1.0285","3.5507","4.3226","1.7355","1.7619","1.3856","1.7619","1.3856","2.3383","2.6847","4.7924","4.9804","3.8971","3.6648","1.8187","-0.5142","2.1613","4.1346","2.8191","1.6087","2.5981","1.7321","0.9959","-0.6062","0.5785"
"466940","2.8925","2.1","1.3339","2.6354","1.7854","1.7321","3.1177","3.8105","2.4426","1.2","-0.9","1.0945","0.7","2.4249","5.2828","3.4472","2.15","1.45","2.913","0.6498","-0.9959","4.3332","2.9445","2.3383","6.4013","2.2","0.95","1.4722","-1.3789","2.8191"
"466950","3.85","6.235","6.8135","5.3994","3.6","-4.1","6.1708","6.8944","4.7495","0.8856","-3.25","0","0","0","9.1925","6.4279","6.235","5.05","3.0782","2.7704","-2.95","8.7648","6.5114","3.5996","8.3138","5.2709","0","0","-3.1","5.4637"
"466990","2.6812","2.0569","3.6648","2.1","-0.4341","-1.3","3.0311","3.677","3.9834","-1.1","-1.35","2.5","-0.8893","-1.4","4.9363","2.4249","3.2909","3.1177","2.911","2.6847","-1.15","3.0642","3.5238","-0.4515","4.1366","3.7536","-0.4168","-1.35","-0.8551","-0.9235"
"467060","0","-0.8893","-0.4168","-0.513","-0.4788","-0.5814","1.0603","-0.5209","-1.0261","-0.8893","-0.9577","-0.8893","-0.7866","-0.3299","3.2043","0.5209","0.9919","-0.5557","0","0","-0.5814","-1.1287","0","0","0","-1.0945","-0.8208","-0.684","-1.1","-0.382"
"467080","0","0.342","0.191","-0.3762","0.5142","0.9397","-0.4104","1.2856","1.5","0.2778","-0.5814","-0.2952","-0.2084","0","1.2257","-0.2431","-0.6428","-0.3078","-1.5427","-0.9193","0","0","-0.2084","0.5472","-0.7","-0.2952","-0.2605","0","0.2431","2.2517"
