"stno","X2018.02.01","X2018.02.02","X2018.02.03","X2018.02.04","X2018.02.05","X2018.02.06","X2018.02.07","X2018.02.08","X2018.02.09","X2018.02.10","X2018.02.11","X2018.02.12","X2018.02.13","X2018.02.14","X2018.02.15","X2018.02.16","X2018.02.17","X2018.02.18","X2018.02.19","X2018.02.20","X2018.02.21","X2018.02.22","X2018.02.23","X2018.02.24","X2018.02.25","X2018.02.26","X2018.02.27","X2018.02.28"
"466880","0.2778","0.2605","0.7071","0.3762","0.5638","0.5814","0.8208","1.0261","0.1563","0.7794","0.3299","0.9235","1.0603","-0.8457","-0.4596","0.6928","1.3681","-0.7518","-0.7518","1.299","0.684","0.8208","1.1287","0.35","0.5785","1.0603","0.5","-0.3214"
"466900","2.1613","2.0673","1.9734","1.5035","0.9397","0.75","-0.342","-1.4722","-1.3023","2.4432","2.1613","1.3856","-2.2517","-1.0285","-1.3856","1.5757","-2.6311","0.8356","0.4104","1.5757","2.3492","2.6311","1.4555","1.2216","2.1","1.0927","1.157","-1.1258"
"466910","3.8408","3.7423","4.7924","3.5708","6","2.5605","-3.4468","-4.6286","-2.462","2.1651","3.6","-0.3473","-3.3483","-1.1818","-1.5757","2.4","-3.5453","-1.2","-1.3156","-1.7854","-1.3","0","-3.0529","-1.1276","3.3","-2.659","-2.5605","2.462"
"466920","1.2856","1","0.7713","0.7713","-1.0337","1.607","1.0261","1.75","0.8999","-0.9397","1.1","1.9284","2.1855","-0.8457","-0.7794","-0.7071","3.2782","0.4104","-0.8457","1.0285","1.6712","1.7998","2.6997","0.766","0.2736","2.3783","0.9642","-0.7"
"466930","2.913","3.7588","2.1613","2.2553","1.5975","3.1177","3.9467","4.5105","0.4","2.1666","4.0377","3.9467","1.7854","0.7071","0.9397","1.3787","3.5453","0.766","0.8863","-0.433","4.5301","6.4","4.7","0.6062","1.9696","4.2347","0.55","1.1491"
"466940","5.318","4.8256","6.8937","5.3562","6.0073","4.924","1.4","0.8551","0.6062","3.6438","5.4164","3.1177","0.7182","-2.0673","1.2213","1.9734","1.9284","-1.3856","1.4555","0.5362","3.4468","4.8256","1.35","-1.0725","3.0529","2.0569","1.3023","-2.6847"
"466950","7.6604","8.7391","8.9271","9.115","9.3557","6.9282","4.4","4.25","-5.8024","7.0477","8.054","4.9363","-2.6678","-9.209","-5.7321","4.6765","7.5344","-2.1205","3.9","5.2195","7.2008","7.2746","5.2709","3.6004","7.6815","6.2816","-2.4967","0"
"466990","3.0642","3.6004","2.4513","2.0683","0.6156","2.7713","0.382","0.6156","-0.3299","2.911","3.2139","2.1855","-0.3994","-1.0261","-1.15","1.45","2.9568","-0.3994","-0.9235","1.4784","2.5712","1.9151","2.462","-0.8208","2.5069","1.6","-0.8551","-0.9919"
"467050","7.1014","6.8416","7.7942","7.2746","6.1488","6.5114","4.8261","5.1325","3.2499","6.108","7.621","5.6687","3.2139","-1.9696","1.05","3.5507","6.205","1.9919","1.2856","3.6004","6.205","6.8944","6.2354","2.7575","4.4431","6.5114","1.4555","-2.7575"
"467060","-0.6251","0","-0.7293","0","0","0","0.7293","-0.4862","-0.684","-1.2313","-1.2997","0","-1.25","-1.25","-2.5279","-0.9235","-1.3","-0.8551","-0.8893","-0.8","3.0529","3.3483","-0.5383","-1.05","-1.0945","-1.1287","-0.9235","-1"
"467080","-1.157","-1.9734","-0.9959","-0.9959","-0.8999","-1.3023","-1.299","-0.9959","-0.8863","1.9053","-1.1258","-1.4555","-0.2257","-1.2213","-2.1666","-2.1","1.9053","-1.7727","-0.9642","0.8","1.8385","-1.1491","-1.3156","-1.3","-1","-0.8999","-1.8711","-1.3023"
"467110","2.2","3.0311","2.6997","2.8283","2.3","3.7536","3.4641","3.1408","2.7251","1.9284","2.4","2","2.6847","1.7","-1.2124","1.35","3.2139","1.5321","-1.5757","1.1971","2.8283","2.6997","2.5069","1.5975","2","3.0211","1.45","-2"
"467300","14.0954","13.4376","15.56","14.9691","14.6736","13.8135","10.4306","9.3969","9.1","10.4306","14.8471","13.4376","8.6452","3.6373","1.5733","5.7321","11.2268","6.3899","3.0642","7.2876","11.0884","12.4979","10.1487","7.0906","9.3969","12.5071","7","2.1"
