"stno","X2014.05.01","X2014.05.02","X2014.05.03","X2014.05.04","X2014.05.05","X2014.05.06","X2014.05.07","X2014.05.08","X2014.05.09","X2014.05.10","X2014.05.11","X2014.05.12","X2014.05.13","X2014.05.14","X2014.05.15","X2014.05.16","X2014.05.17","X2014.05.18","X2014.05.19","X2014.05.20","X2014.05.21","X2014.05.22","X2014.05.23","X2014.05.24","X2014.05.25","X2014.05.26","X2014.05.27","X2014.05.28","X2014.05.29","X2014.05.30","X2014.05.31"
"466880","0.1928","1","1.75","0.5785","1.15","1.3","-0.4596","0.55","0.35","0.0868","0.2052","0.5785","-0.35","-1.8641","-0.8426","0.65","-0.55","-1.1491","-0.383","-0.1736","1.25","0.3214","0.3762","0.2736","-0.6128","-1.3023","-0.1736","0.5142","0.35","-0.0868","0.25"
"466900","-0.7794","-1.6454","-2.8344","-1.5975","2.2517","1.4095","-0.7794","-1.0392","-1.0392","0.2736","-1.1491","-1.4722","0.5","-1.25","1.6914","-0.866","-1.1258","-0.4788","-0.3857","-1.3787","-2.5115","-1.3023","0.8999","-1.4722","-0.9959","0.8","0.5196","1","-1.2124","-0.7071","0.2394"
"466910","-0.4698","-1.5975","-3.2499","-0.7878","3.6438","-1.1629","-1.6742","2.4","-1.5757","1.0833","-0.9397","2.1613","1.5035","-1.5321","2.1666","1.7","-1.5035","1.5588","1.7727","2.1666","0.5036","-1.7727","1.7727","-1.4772","-1.5757","2.7575","1.5757","2.2","-0.9848","-1.9696","1.0833"
"466920","0.1216","0.4862","0.7988","0.2257","0.5557","0.5036","0.191","0.3126","0.2431","0.2257","0.9848","-1.1258","0.6894","-0.5036","0.2952","0.3647","0.7","-1.5757","-0.1736","0.4788","0.5036","-0.1563","0.2778","-1.5035","-1.3156","0.9","0.6428","-0.8426","-0.191","-0.6428","0"
"466930","0.1026","0.7071","1.4784","0.0868","4.9363","5.0743","0.4596","0.3762","0.2394","-0.2052","0.6928","0.9959","0.766","1.157","0.9642","0.5909","0.6428","0.9642","0.8426","1.6087","1.6087","0.7878","0.4","0.5785","0","1.0725","0.7071","1.2803","0.3","0.35","-0.25"
"466940","0.766","1.5588","1.5427","-1.6742","5.5","1.8794","-1.2216","1.9917","1.1276","1.1491","-1.7727","1.4722","-1.9053","-2.1212","-1.9919","1.5757","-1.6853","-1.5975","1.3","-2.2517","-1.157","1.299","1.3023","-0.8","-1.3023","2.1651","1.3787","2.0785","-0.8999","1.4722","1.8"
"466950","-1.0603","-2.4967","-3.9","-8.9271","8.1201","5.5921","3.1497","3.2139","-3.8","-2.4249","-5.6382","-3.3","2.911","-7.6115","-4.7","-2.15","-5.2623","2.2231","-4.2347","0","-5.2828","-4.7","-2.7704","-6.0518","-6.4","-2.1889",NA,"2.15","-2.8925","-2.1547","-4.5963"
"466990","1.3","1.9696","2.6311","-2.9544","3.294","1.9919","-1.2856","0","-2.1666","2.0785","-0.684","-0.9577","-0.2778","-1.4141","0.9235","1.5588","-0.2952","-0.6156","-0.4168","1.3023","2.462","-1.1","-0.4862","0.3994","-1.05","2.7575","1.7321","-0.7524","-1.15","-1.35","1.6853"
"467050","0.3762","1.55","3.0211","-0.9","5.7851","4.9027","-0.9642","2.0785","-1.5035","0.6498","-0.8551","-1.6075","2.8579","-7.8903","-5.2066","0.95","-1.0603","-4.4352","-3.5238","-4.6729","0.6772","1","1.05","1.4555","-2.8925","-3.5353","1.5757","-0.8551","-1.2","-0.3994","1.2257"
"467060","-0.3","-0.2736","-0.5","-1.7854","0","0.8208","-0.342","-0.2431","-0.6128","-0.191","-1.4722","-0.3762","-1.3856","-0.65","1.2803","0.7794","0","-0.2736","-0.2736","-0.342","1.3787","-0.5","0.3994","0","0","-0.2257","-0.342","-0.1563","-0.1389","-0.4","-0.2736"
"467080","0.1042","0.6128","0","0.7713","1.1","-0.4446","-0.3064","0.55","0.3078","0.342","0.2431","0.2257","0","0.4788","0.383","0.3","0","0.1216","-0.0868","-1","0.8356","0.2052","0.7","0.3762","0.5785","0.9526","0.1216","0.9526","0","0.5785","0.3078"
"467110","1.3023","1.9053","1.95","1.0725","3.4068","2.7578","1.2216","0.6156","1.8641","1.4555","1.4095","-1.6454","0.2952","-2.5115","-1.9284","1.3499","-1.0833","-1.4095","-1.5757","-1.5588","1.55","1.3","1.4141","1.1491","-1.5757","-1.4095","-1.6914","1.3156","0.5814","1.9151","1.0927"
"467300","4.5","5.7","7.2","4.5","12.4979","10.1487","6.2","4.2","5.4164","-1.0603","-6.0073","-5.6382","-4.0377","-6.6967","-5.7158","1.9926","-2.2215","-3.7423","-3.8527","-2.8","-4.7271","-6.3899","-4.5301","3.5","-1.7355","-2.7578","-1.55","-1.2","-1.2","-1.4722","2.0681"
"467350","1.8187","3.0311","4.0407","2.0673","6.0622","4.4167","2.3492","1.8","2.1651","-1.2124","-3.1","-3.4","-2.3","-3.6","-3.3483","1.0725","-1.2803","-1.7727","-1.3","-1.1","-1.2","-2.9","0.9","1.6087","-1.7727","-1.8711","-1.2216","-1.1276","-0.5196","-1.1","1.4095"
"467410","1.15","1.9151","1.6853","-0.2952","2.911","1.9284","1.7355","2.2215","1.3","-1.3856","-3.2043","-2.9","-2.0681","-3.1","-1.9151","0","0.2778","-1.5035","-1.157","-1.7619","-2.1613","-3.0529","1.299","1.3856","-1.7727","-1.5427","-0.3126","0","-0.3299","1.0927","1.7619"
"467420","1.9696","2.3","1.9696","1.6454","3.7","2.9","2.5","2.4432","2.2","-1.3789","-2.6812","-2.6847","-2.0673","-2.9544","-2.3383","-1.25","-0.684","-1.3023","-0.7866","-1.5","-2.3492","-2.8579","1.5757","0.2605","-0.684","-0.8893","-1.5427","-1.6742","-2.0785","1.4555","1.3499"
"467440","1.5757","1.8","1.2213","0.3647","1.3499","1.4095","2.2651","1.1","1.5035","0","-2.1666","-1.9696","-1.3","-1.0833","0.2605","1.3023","-0.2952","0.85","0.7713","1.0285","-1.4095","-1.5975","-1.1276","0.2952","0.684","1.7619","0.9","0.8999","1.2213","1.0927","1.4784"
"467480","1.1818","1.0833","0.342","0.6428","2.462","1.3","1.5","1.6742","1","0.191","-2.1613","-1.4","-1.0725","-3.2889","-2.659","-0.684","-0.382","-1.5035","-0.513","-1.8794","-2.0681","-1.4141","1.2","0.55","-0.3299","-1.35","-2.3383","-0.7866","-1.15","1.0285","0.3762"
"467490","0.6062","1.0337","0.7518","-0.9526","2.3635","0.8426","-0.3","0.9397","0.6578","-0.8863","-1.1276","-1.6","-0.9526","-2.2","-1.7727","-0.8863","-1.2803","-1.1276","-0.5142","-0.7518","-0.0868","-0.5196","-0.6128","-0.2052","-1.1258","-1.6742","-1.4","-1.0337","-1.0833","-0.6428","-0.6"
"467530","-0.7","0.55","0.4104","1.2216","-0.3126","0.3126","-0.8356","-0.4446","1.5035","1.1491","1.5035","1.3787","0","0.3647","0.3126","-1.4","-0.2605","-0.5472","-0.6498","1.35","-0.2605","0.7","0.65","-0.8426","0.191","0.5785","0.2431","1.1","-0.9848","-1.1818","0.7794"
"467540","0.65","2.2517","2.8579","0.513","2.8579","2.0681","0.6","2.1613","1.8711","0.95","0.684","-2.5372","1.1491","-2.9544","-2.2651","1.6853","0.8356","0.7182","0.4788","0.684","1.6454","-2.3492","1","1.299","1.1491","1.0927","1.1491","-0.5472","0.65","1.3789","1.4722"
"467550","-0.6772","-0.5557","0","1.6417","1.9153","0.7814","0","-0.4689","-5.4","-4.3067","2.2573","1.7443","-1.8469","0","0","0","0","0","0","0","-0.7467","-2.3783","0","0","1.8127","2","0.9203","3.2174","0.9919","1.6417","1.0945"
"467571","0","1.0392","0.3299","0.1736","2.913","1.5975","0.2394","1.1","0.1389","0.5","0.2257","0.2952","0.4104","-0.382","-0.6498","-0.191","0.2257","-0.4446","-0.1389","0.3762","0.2431","0.3078","0.5785","-0.1563","0.2084","0.3647","0.6","0.6","0.1563","0.3762","0.5"
"467590","0.3647","0.8208","3.7536","1.2313","2.8579","2.7251","1.3856","0.6156","0.8208","0.2257","-0.9642","0.3126","0.2952","0.9235","0.9235","0.3126","0.2952","0.7524","0.3126","1.9053","0.8","0.6156","1.7321","0.3299","0.6498","0.4689","0.684","0.6498","1.299","0","1.5975"
"467610","1.8711","2.3492","3.2499","1.1276","5.0225","3.195","1.6454","2.5981","1.299","1.6914","1.6454","-0.6156","1.299","1.9734","1.8385","1.8187","1.4095","1.299","1.2124","1.3789","1.9919","2.0673","2.0673","2.1651","1.4722","2.0785","1.6914","1.2124","2.3492","1.5975","2.3747"
"467620","4.6286","4.4431","6.4013","5.9","9.2","9.6","3.6","2.05","3.8302","-3.0854","-4.5197","-7.8808","-5.7851","-6.3","-7.05","-1.95","-3.921","-4.6","-3.35","-6.2","6.3028","-4.8261","-3.5353","4.924","-3.921","-4.8","-4.55","-1.9153","2.8559","-2.65","-2.2"
"467650","0.8426","1.0337","-1.2124","0.9959","-1.0833","-1.3156","-0.513","0","0.4788","0.513","1.1818","2.0681","1.2124","-0.3994","1.4772","-1.3156","0.2257","0.3","0.2736","0","-0.1736","-0.2394","-0.4","-0.6128","0.5142","-0.1563","-0.2052","-0.1042","0.3","-0.35","-0.1042"
"467660","1.1276","1.7727","1.7854","1.0337","1.6853","1.2216","1.0392","1.0285","0.8863","1.0392","-1","-2.1666","0.8999","-1.9734","1.05","0.8356","0.7713","0.9959","-0.45","0.9959","1.5035","1.1491","1.2124","1.5975","1.2216","1.1491","0.9642","0.9959","1.4095","1.4095","0.9642"
"467770","1.8711","4.0377","3.3","1.5035","7.4","4.4316","1.8794","2.8559","1.9696","0.8426","-2.6812","-3.6373","-2.4513","-5.4164","-4.1362","1.8794","-0.8208","-3.2909","-2.0683","-3.5708","-3.0529","-2.7251","2.4","2.3492","-2.2981","-1.85","-2.8191","-2.4249","-2.4432","-2.5372","2.3492"
"467780","1.9151","3.1177","4.0377","2.1651","5.6382","3.8971","3.4769","3.6438","1.9919","-0.5142","-3.4","-2.7251","-1.7854","-3.2","-2.4249","-1.5427","-1.0927","-1.5757","-0.684","-1.8641","-2.6847","-3.2499","1.6914","1.7854","-1.2213","-0.4168","-1.3","-0.9","0.4341","1.5588","2.659"
"467990","2.0681","2.1666","3.3829","2.9544","3.6004","2.8579","-1.3789","0.6498","3.6","1.3","-4.6","2.9445","0.2084","-7.7055","2.2498","1.0285","-2.0569","1.4784","1.3856","-1.7355","0.95","3.3483","1.7727","0.191","-3.8105","-3.0311","-0.7713","0","1.2257","2.1651","0.8356"
"C0A520","0.2984","1.1809","2.4089","0.5481","1.4528","2.0138","0.2407","0.736","0.4698","0.328","0.5196","0.4854","-0.2","-0.0733","0.5142","0.662","-0.7947","-0.1253","-0.0052","0.7947","1.2313","0.4974","0.5033","0.6344","0.061","0","0.3078","0.7308","0.3564","0.4755","-0.433"
"C0A530","0.1999","0.5996","0.6576","0.6553","0.5665","0.2351","0.0914","0.2779","0.4997","0.5706","0.5926","0.1452","0.2993","0.4908","0.5869","0.4121","0.206","0.1749","0.0998","0.3694","0.3859","0.6237","0.6694","0.5992","0.0961","0.4988","-0.0209","0.3978","0.2853","0.2396","0.2869"
"C0A540","0.0174","-0.1312","-0.225","-0.2047","0.1879","0","0.0139","0.053","0.1315","0.0438","0.1259","0","0.0485","-0.2884","0.0982","0.1362","-0.0906","-0.0799","-0.0866","0.0848","-0.8019","-0.0105","0","0.2034","0","-0.0921","0","-0.0326","-0.0375","0","0.0326"
"C0A550","0","0","-0.0545","-0.1204","0.1696","0","-0.0105","-0.0382","0","0","0","0","0.0225","0.0629","0","0","0","0","0","-0.0278","-0.0755","-0.0407","-0.0035","0","0","0.0717","-0.0122","-0.0174","0","0","0"
"C0A560","0.0988","-0.2052","-0.1145","0.2298","-0.3857","-0.2884","-0.0819","0.1798","0.197","-0.2945","-0.1","0.1992","0.1963","0.424","0.0921","0.3985","0.2934","0.4938","0","0.1949","-0.5955","-0.0996","-0.1963","0.1878","0.2998","0.3978","0.2331","0.3999","0.0999","0.1963","-0.0777"
"C0A570","0.0618","-0.1948","0.3754","0.1455","0.135","0.0105","0.0418","0.0726","-0.159","0.0695","0.1452","0.1654","0.0832","0.0628","-0.212","-0.0695","-0.2192","0.0209","-0.007","0.0349","0.1294","0.0572","0","0.0836","0.0523","0.007","0.1433","0.0487","0.0418","0.0314","0.0313"
"C0A640","-0.0574","0.0375","0.1075","-0.0684","-0.0035","0","-0.0156","0.0407","0.0391","0","0.0105","0","-0.0208","-0.2298","0","0.0358","0","-0.0469","0","0.0469","0.0707","-0.0326","0","0.0122","-0.0407","-0.1147","0.0139","-0.0174","0","0.0259","-0.0139"
"C0A650","0.0731","0.3473","0.8285","0.1923","0.5755","0.0682","-0.1486","0.2544","0.1677","0.1597","0.0829","0.1509","-0.0974","0.1433","0.1509","0.1658","0.0629","-0.1985","0","0.2427","0.2229","0","0.0707","0.1854","-0.0978","0.2877","-0.1749","0.1312","0","-0.0921","0.0875"
"C0A660","0.2996","-0.3152","-0.8402","-1.2981","1.4991","0.1841","0.2923","0.399","0.1597","0.1975","0.1941","0.2989","0.2998","0.4973","0.3999","0.2853","0.2264","0.1854","0.0982","0.1867","-0.2084","0.2837","0.3825","-0.4603","0.1956","0.3759","0.099","0.2998","0","0.2923","0.4988"
"C0A860","0.766","0.2394","1.178","0.9887","3.7422","1.9021","-0.9205","0.8549","0.4193","0.5298","0.6062","-1.0649","-1.6961","-5.8862","-4.3126","0.4415","-2.3755","-4.1452","-2.4575","-4.5053","-0.7372","0.7794","-0.866","-1.0903","-1.4094","-3.0192","1.4257","-1.6383","-0.9948","0.7552","0.7128"
"C0A870","-1.7976","-1.3157","-0.9262","-1.8703","7.3621","5.132","-0.246","3.8162","-1.1287","-1.6087","-0.5435","-0.7901","-1.0348","-1.2108","-1.7418","-3.0529","-1.6538","-1.3197","-0.998","-1.3371","1.0113","-0.958","3.1956","2.334","-1.1388","-1.3357","-0.1047","-0.1675","1.609","-0.1396","-0.8135"
"C0A880","-0.0366","0.1042","-0.662","-1.8954","3.3129","0.6914","-0.1204","0.6996","-0.9329","0.4792","0.4357","-0.1455","0.5088","0.5","0.9986","0.1939","0.4684","0.5936","0.2819","0.6128","-0.1563","0.8995","1.0126","-0.8785","-0.0975","0.7956","0.5909","0.3951","0.2598","0.4963","-0.5734"
"C0A890","0","0","-0.0857","-0.0656","-0.2046","0","0.0809","0","0","0.0839","-0.0743","0","-0.0829","0.099","-0.0242","0","-0.0921","0","0","0.0105","0","0","-0.0347","-0.0777","0","-0.0191","-0.053","0","0","0","0"
"C0A920","-0.0209","-1.0575","-2.3395","-0.8632","0.75","-0.0785","-0.5472","-0.8541","-0.6339","0.817","0.7608","-0.1463","0.1046","-1.2572","-1.2737","-0.2034","-0.5513","-0.8548","-0.3599","-0.9647","-1.9092","-0.4994","-0.2366","-1.3991","-0.803","-2.2627","0.2735","-0.2195","0.8863","0.0244","0.3605"
"C0A940","0.0799","0.0627","0.1482","0.4603","2.2275","1.3482","0.2837","0.2801","0.3109","-0.5563","0.4728","0.3195","0.4145","-1.9966","-1.9126","0.1554","0.6181","0.0836","0.433","-1.4869","-1.178","0.424","0.6292","0.3195","0.1749","0.7372","0.3595","0.5088","-0.3998","0.2925","0.4494"
"C0A950","-1.9425","-3.632","-4.2693","-3.1742","8.5967","6.1397","-3.6871","-3.9412","-3.7239","-1.9856","-2.307","-2.3776","2.7655","-3.2148","-3.4773","-1.97","1.4339","-2.1613","-2.5679","-2.663","-2.5961","-4.7229","-5.1642","-2.8834","-2.0186","-2.4273","0.6653","-1.8875","-1.7738","-2.2651","-2.4864"
"C0A970","-2.1824","-1.6349","2.1816","-6.5749","9.5165","-1.2202","2.4032","2.4107","-2.8054","2.7877","-3.7159","-1.9151","2.7983","-3.6851","3.3644","2.5961","-2.8254","-1.4539","-2.9982","-1.8284","-3.9467","-1.3145","-2.2229","-2.9137","-3.4979","-1.0903","2.742","1.4998","-1.7727","-1.1809","-1.5429"
"C0A980","-0.0244","-0.2366","-0.7506","0.8019","1.3896","-0.7762","0.4663","-1.3156","-0.3507","-0.5871","0.6821","1.0401","0.7548","-0.3126","0.8222","-0.3355","0.9272","0.2631","0.0035","0.797","0","0.6535","0.9976","1.1818","0.4668","1.2688","0.7771","1.3388","0.3734","0.7548","0.8668"
"C0A9A0","0.5846","1.5556","0.5632","-0.1463","1.4705","-0.7718","0.9456","0.8","0.8632","-0.0349","0.6181","-0.6364","-0.4446","0.4175","-0.441","0.0593","1.0103","0.0977","0.5985","-0.7272","0.5788","-0.5033","-0.4686","-0.4093","0.6996","1.2465","0.8529","-0.7118","0.6784","0.7913","-0.3581"
"C0A9C0","0.0436","0.4649","0.2862","0.5869","-1.0918","-0.3381","0.6122","-0.3804","-0.431","-0.4405","-0.0853","-0.6688","0.4405","0.1877","0.7188","-0.171","0.7308","0.6784","0.5822","0.8978","0.061","0.3214","0.4684","-0.5353","-0.2735","0.9986","0.0488","0.2177","0.2677","0.5346","-0.0939"
"C0A9E0","0.4193","0.3907","0.4232","0.3709","0.8899","-0.5088","-0.6444","-0.8157","0.589","0.6928","0.7922","0.9744","0.7878","1.0698","-0.559","0.5032","0.9744","0.9925","-0.5846","0.797","0.135","0.4915","0.6688","-0.6472","-0.5673","1.1954","0.6252","1.0401","0.0349","0.7794","-0.6857"
"C0A9F0","-0.007","0.122","0.1308","-0.0087","0.089","-0.5494","0.3268","0.0784","0.0105","0.6122","-0.007","-0.2279","0.0366","0.7726","-0.0836","-0.2177","-0.3756","0.4357","0.1236","0.293","0.068","0.2837","-0.0836","0.0122","-0.0487","0.5991","0.4092","0.4695","0.0487","0.2909","0.1125"
