"stno","X2012.02.01","X2012.02.02","X2012.02.03","X2012.02.04","X2012.02.05","X2012.02.06","X2012.02.07","X2012.02.08","X2012.02.09","X2012.02.10","X2012.02.11","X2012.02.12","X2012.02.13","X2012.02.14","X2012.02.15","X2012.02.16","X2012.02.17","X2012.02.18","X2012.02.19","X2012.02.20","X2012.02.21","X2012.02.22","X2012.02.23","X2012.02.24","X2012.02.25","X2012.02.26","X2012.02.27","X2012.02.28","X2012.02.29"
"C0A920","-0.0959","0.9859","-0.0314","-0.4067","-0.7118","0.2671","0.9259","0.7452","-0.3619","1.0692","0.4141","-0.9441","0.4635","0.1809","0.5665","0.7824","1.0285","1.0833","0.3062","-0.9059","0.3078","0.5164","-0.122","-0.191","0.8479","0.9725","0.4007","1.0199","-0.1151"
"C0A940","0.8947","2.0152","0.9318","0.9801","0.3441","0.5673","2.1209","1.8453","1.1203","1.7989","1.3845","-0.9703","-0.2575","0.6657","0.9751","1.609","1.9926","1.7973","1.525","-1.3864","0.383","0.5362","0.4782","0.9563","1.6804","1.7552","0.8948","1.722","0.3936"
"C0A950","0.6798","9.0107","6.2424","1.5801","3.3775","-3.8042","10.5286","8.2192","-1.2329","-0.5092","7.0957","-6.8151","0.4913","0.7988","7.1989","8.0212","8.8134","7.9889","6.7612","-6.255","-3.9208","-0.3","-0.6959","-0.4395","6.9085","7.6975","7.9988","7.4339","3.7994"
"C0A970","3.2911","7.2356","4.948","2.0768","2.2267","2.8283","11.3375","7.9424","-3.5557","2.0744","5.9437","-8.7365","3.8042","-3.3483","6.501","8.7024","9.7543","9.0359","6.3751","0.6063","-9.031","-9.9","4.1569","3.5749","6.7921","8.1202",NA,NA,NA
"C0A980","0.4114","-0.4862","-0.6344","-1.6997","-0.6309","0.9811","2.4273","0.4838","-0.9899","1.0404","1.1153","-0.6186","-0.8995","1.3789","1.4142","1.7714","1.2276","-0.244","0.1622","-0.9064","1.0497","1.5564","-0.4963","-1.2137","0.4788","1.212","1.0607","1.3388","-0.4659"
"C0A9A0","0.2347","-0.5162","-0.6237","-0.4168","-0.3374","0.526","2.2215","1.1635","-0.4579","-0.2661","-0.6653","-0.2232","-0.2495","1.182","0.4113","1.1846","1.5392","1.825","-0.5904","2.1548","-0.4017","-0.191","-0.5494","-0.4678","2.1563","-0.6186","-0.6237","0.803","-0.4689"
"C0A9C0","-0.1463","-2.0338","-1.1147","-0.4007","-0.4363","-0.3605","2.5529","-1.3789","-0.8596","0.3845","2.1347","-1.6672","0.1251","-0.2396","-0.7","1.307","-0.6743","-1.6059","-2.046","-0.6299","0.0939","-0.4316","-0.4872","-0.318","1.3981","1.3828","-1.539","-0.766","1.8858"
"C0A9E0","0.4988","0.1359","-0.3532","0.1663","-0.0853","0.8988","0.6137","0.4495","-0.5601","-0.0732","0.0975","0.0175","0.6962","0.0523","-0.0157","0.2661","0.4386","0.2703","0.0959","0.3327","-0.0175","0.1392","0.5999","-1.0798","0.8863","0.7999","-0.1247","0.2661","0.1563"
"C0A9F0","0.0384","0","-0.2671","0.0489","-0.0698","0.309","0.3625","-0.0262","0.0523","0.0209","0.0279","-0.0297","-0.0122","0.2279","0.0872","0.0977","0.0558","0","0","0.1986","-0.0523","-0.1873","-0.1954","-0.1042","0.0419","0.0872","-0.5472","0.0418","-0.0279"
"C0AC40","1.9851","1.4833","1.6992","0.8551","-0.9919","-0.8109","3.8881","1.172","0.1832","2.5961","0.6212","0.6869","2.5858","1.6548","0.9372","1.0233","2.9285","2.0229","1.7894","-0.0768","-2.1548","-1.6884","1.8811","0.7983","0.8396","2.0744","2.2656","0.9223","0"
"C0AC60","0.2559","-0.3911","0.5533","0.5513","0.4015","-0.6578","0.8817","-0.499","0.4689","0.0349","0","0.3816","0.0697","0.3355","0.2034","-0.2952","-0.2659","-0.4961","-0.6251","0.5533","0.4459","0.3936","0.1113","0.1341","0.0803","-0.2227","0.5036","-0.4702","0.382"
"C0AC70","0.1359","0.4574","0.4389","0.3534","0.0628","0.0572","0.9368","0.4355","0.2644","0.0832","0.3129","0.2316","0.1693","0.1035","0.2257","0.1133","0.115","0.3299","0.3619","0.499","0.1026","-0.0416","0.0836","0.2257","0.3244","0.4495","0.3442","0.1095","0.2659"
"C0AC80","0.8999","0.9441","0.3623","1.0893","0.4822","-0.0347","0.382","0.4579","0.1828","0.0726","0.5624","1.6341","0.5673","0.3214","0.3816","0.7107","0.5953","0.4198","0.1604","0.5383","0.0695","0.1888","0.4446","0.9009","0.5614","0.4961","0.1325","0.6729","0.3126"
"C0ACA0","0.1563","0.5435","0.3374","0.7641","0.5955","0.2978","1.3787","0.9786","0.7824","0.2934","0.6889","0.4884","0.2817","0.5738","0.2847","0.7417","0.7417","0.8541","0.4949","1.324","0.3595","0.3759","0.2898","0.3346","0.1336","0.5985","0.3629","0.4782","0.3149"
"C0AD00","0.9811","0.908","0.1463","-0.0628","0.014","-0.765","1.7874","1.4972","0.4104","1.1143","0.8004","1.1032","-0.765","0.399","0.9193","1.1809","1.5106","1.1434","0.9539","-0.1186","-0.6578","-0.5796","1.0177","0.9887","1.4562","1.4142","1.157","1.2557","0.2431"
"C0AD10","1.7932","2.6239","0.1792","-1.1743","0.4999","0.2047","2.6239","1.6961","0.6511","1.1684","1.5893","0.8771","-0.5033","-0.3907","1.6168","2.7406","2.673","1.7202","1.1722","-1.7923","0.8933","-0.1526","0.5706","1.1476","2.4267","2.4948","1.553","1.5407","2.1865"
"C0AD30","-0.4848","0.0698","-1.058","0.2778","0.9781","0.797","0.7264","0.845","-0.0297","0.6857","0.1948","0.0768","0.1113","0.7947","0.7431","0.8425","1.042","0.3062","0","0.5564","0.8829","0.9712","-0.5248","0.6582","0.6157","-0.6151","-0.4635","1.137","0.5734"
