"stno","X2013.11.01","X2013.11.02","X2013.11.03","X2013.11.04","X2013.11.05","X2013.11.06","X2013.11.07","X2013.11.08","X2013.11.09","X2013.11.10","X2013.11.11","X2013.11.12","X2013.11.13","X2013.11.14","X2013.11.15","X2013.11.16","X2013.11.17","X2013.11.18","X2013.11.19","X2013.11.20","X2013.11.21","X2013.11.22","X2013.11.23","X2013.11.24","X2013.11.25","X2013.11.26","X2013.11.27","X2013.11.28","X2013.11.29","X2013.11.30"
"466880","2.8579","-0.45","-0.2084","2.4432","3.2909","1.3856","3.3829","2.8579","2.3492","-0.3473","3.6648","3.1408","2.9445","2.4513","2.1613","1.3156","1.5975","1.9053","2.6847","2.0683","2.5981","2.6847","2.5115","-0.1563","2.2553","2.7713","-0.513","1.7854","1.9053","1.8187"
"466900","1.3023","-0.7794","0.4515","0.9235","0.684","0.2605","1.7727","2.2498","2.6997","0.4104","1.35","1.2","0.2084","0.9","0.9919","0.3126","0.7071","1.5975","1.3","2.1449","1.3","0.9642","2.1","1.6087","0.3126","1.3","0.8893","0.5814","0.684","1.6914"
"466910","-0.712","-0.4341","-0.5209","-1.1287","0.9203","-0.3994","0","-0.6772","-0.7293","0.2431","-0.9919","1.6075","0.7641","0","-0.3126","1.6087","-0.8335","-0.4168","0.5036","1.2655","1.2313","1.4023","0.5557","-0.2778","0","-0.6425","-0.573","0","0","-0.4689"
"466920","4.2347","-0.342","0.4104","3.1","4.1","2.8559","4.2347","3.5453","3.3483","2.2651","4.5301","4.924","3.7423","3.8408","3.2499","2","1.05","2.1613","3","3.8408","3.9392","3.7423","3.4468","-0.5","2.7575","3.9392","-1.2856","1.9734","2.462","2.2651"
"466930","1.3","0.6128","1.05","1.9284","2.5","1.25","2.2","1.2216","1.0337","0.4446","1.8127","2.45","2.5","1.45","1.7443","1.2997","1.0285","0.8","0.95","0.9","1.35","2","0.9397","0.6062","1.6","1.3156","0.513","1.25","1.1","0.8"
"466940","3.7536","0.65","0","2.6","2.8344","0.95","2.6847","2.0673","1.6","1.5427","3.7282","3.3706","2.8925","1.6087","1.7","0","0.8335","0.7641","2.2981","1.5975","1.0392","1.4555","1.9734","-0.3473","0.7988","2.7713","0.7641","1.0766","1.2655","-1.3023"
"466950","10.439","1.5281","4.3067","9.5263","9.1587","5.7119","6.7658","7.6604","7.1242","1.4066","10.7125","8.3709","9.5849","4.5963","6.2816","4.1781","4.2","3.25","4.5033","4.7631","5.7119","5.6134","5.7453","1.5802","4.65","6.1058","2.5994","4.65","2.1205","3.7239"
"466990","-2.5115","-2.6046","-2.5279","3.5996","1.5","-2.1651","1.55","-1.6087","-2.0569","-1.8641","2.45","-0.8208","2.6997","1.8187","2.1855","1.7","3.2139","2.1855","1.5427","-1.9919","-2.0673","-1.9284","-2.3383","-3.294","2.8344","-1.9919","2.314","3.7282","-2.7713","-1.6853"
"467050","7.4306","-1.5035","3.921","7.354","7.4306","3.5238","6.1284","2.5372","-1.7727","3.8302","8.1201","7.1014","6.3582","5.078","6.6646","4.4431","5.318","5.6382","5.2828","2.8579","3.9837","6.1488","1.9917","-0.3647","5.1962","5.456","3.5996","4.9027","4.4431","2.9445"
"467060","3.7536","0.7524","1.6914","1.25","-1.8","-1.6914","1.9053","0.5036","1.3339","1.05","4.0407","0.5814","-2.9544","-1.2803","0.9919","-2.3492","-3.3483","-3.3483","-2.3635","-1.5035","-1.2216","-2.462","0.5036","-1.9696","-4.4316","-2.3","-2.7575","-3.3","-3.101","-2.659"
