"stno","X2015.01.01","X2015.01.02","X2015.01.03","X2015.01.04","X2015.01.05","X2015.01.06","X2015.01.07","X2015.01.08","X2015.01.09","X2015.01.10","X2015.01.11","X2015.01.12","X2015.01.13","X2015.01.14","X2015.01.15","X2015.01.16","X2015.01.17","X2015.01.18","X2015.01.19","X2015.01.20","X2015.01.21","X2015.01.22","X2015.01.23","X2015.01.24","X2015.01.25","X2015.01.26","X2015.01.27","X2015.01.28","X2015.01.29","X2015.01.30","X2015.01.31"
"466880","3.5708","3.2889","1.7321","-0.2052","-0.171","1.5035","2.6311","3.007","3.101","2.1613","2.5372","3.195","2.1651","1.4095","2.5372","2.5372","3.5708","2.913","3.7588","2.3492","-0.1563","1.1258","1.9053","-0.3762","-0.3078","0.8457","2.1613","3.195","2.1613","1.6914","2.913"
"466900","1.0927","1.5757","1.3499","1.2257","1.0927","0.7866","0.6425","0.6156","1.6914","0.8999","0.513","1.9053","2.9568","0.3299","0.4788","0.7182","1.6914","0.7182","1.5035","1.5588","0","0.2952","1.157","1.6087","0.65","-0.1042","0.9235","0.8208","0.2431","0.7641","1.0603"
"466910","-1.5427","-0.573","-0.8551","-0.5","-0.1389","0","-1.0603","-0.573","0","-0.6251","1.8469","0.9898","-0.9551","0","0.3473","2.2","-0.4689","0.4689","-0.5904","-0.6251","0","0","2.5605","-0.6156","-0.4788","0","-0.3994","1.35","2.8559","-0.5383","-0.3299"
"466920","3.5453","4.0377","2.3635","0.3762","0.1042","2.5605","3.1514","2.5372","3.6438","3.2499","3.3483","4.3","3.4468","-1.8794","3.0529","2.659","3.7423","3.3483","4.4316","3.5453","-1.1258","1.3787","2.462","0.8426","0.8863","1.2803","3.0529","3.6438","2.8559","2.659","3.8408"
"466930","-1.5427","0.9577","1.4555","0.866","0.7794","1.1629","1.9153","1.15","1.5035","1.1971","2.1","1.9284","1.5035","-0.4862","2","1.95","-1.5321","1.0261","2.0785","1.3789","-0.2605","0.8","1.3499","0.9959","0.7518","0.4446","2.05","2.35","1.5","1.8127","2.05"
"466940","3.921","3.7239","-1.4555","-0.3647","-1.157","-1.55","2.1547","1.8469","3.1408","3.3775","3.1177","4.1346","3.5","1.4365","2.15","2.2981","4.2132","2.7713","4.2898","1.8711","-0.4168","-1.65","1.6454","0.7524","-1.6853","0.191","2.65","4.2132","0.6156","1.1982","0.7641"
"466950","3.9","4.6729","5.4","0","2.3257","5.2091","3.1466","1.3024","3.9853","6.9537","8.3633","11.3253","11.7779","3.386","2.4283","4.371","4.05","4.0496","7.1242","6.8","0.9898","1.9837","3.9837","2.9072","3.0098","3.8302","7.8137","7.354","6.6718","2.9414","6.588"
"466990","3.7924","-0.382","-1.6914","-2.7713","-1.6087","1.55","3.7282","2.6997","-1.9","-0.4168","1.8","-0.9235","-2.7251","2.2981","1.1","2.1449","3.5353","1.7998","2.4","-1.4095","2.8344","2.6354","-1.6454","-3.1408","-3.2174","-2.0785","3.0854","2.8925","-1.8794","4.06","4.5197"
"467050","6.6207","5.3351","2.6812","-1.3789","1.3023","3.2782","6.235","6.235","6.1065","5.3623","6.2816","7.8137","4.1346","3.5353","5.4637","4.6281","6.4922","5.1423","7.1992","3.3706","1.1629","1.85","3.3706","1.3499","1.6712","1.45","5.3994","7.0707","2.2915","4.55","6.7493"
"467060","2.6046","-1.5757","-1.4095","-2.3492","-1.2216","-1.8711","0.5209","-2.1","-1.7854","-1.7727","-1.5975","-1.3156","1.0945","0.3647","-1.6914","0.7182","1.05","-1.4722","-1.9","-1.0337","2.9544","-2.659","-1.7854","0.5904","0.2605","-1.1276","0","-2.9544","-1.2213","0.9235","-2.3"
"467080","2.6997","-1.7","-1.4095","-1.9","-1.3856","-2.3635","2.3383","0.9577","-1.5757","-1.3","-1.4095","-1.3156","1.8385","-1.65","-1.4","2.3492","1.1","-2.4","2.0683","-1.0833","-1.3","1.1287","-1.9696","-1.9734","-1.6","-1.5035","1.4555","-1.2124","-1.4772","-2.1","-1.4722"
"467110","3.8302","2.4426","1.35","-0.3126","0.2952","0.9235","3.7239","3.3706","2.1855","2.8191","2.2498","4.2132","-0.5209","-0.4689","2.314","1.05","3.3706","1.15","3.4472","1.5","0.3126","2.0683","1.7998","1.05","-0.2952","1.7321","3.0642","3.4472","1.9926","3.2043","3.294"
