"stno","X2015.10.01","X2015.10.02","X2015.10.03","X2015.10.04","X2015.10.05","X2015.10.06","X2015.10.07","X2015.10.08","X2015.10.09","X2015.10.10","X2015.10.11","X2015.10.12","X2015.10.13","X2015.10.14","X2015.10.15","X2015.10.16","X2015.10.17","X2015.10.18","X2015.10.19","X2015.10.20","X2015.10.21","X2015.10.22","X2015.10.23","X2015.10.24","X2015.10.25","X2015.10.26","X2015.10.27","X2015.10.28","X2015.10.29","X2015.10.30","X2015.10.31"
"466880","-0.7794","2.9445","1.1276","1.6914","1.9734","3.1177","2.1613","-0.9","1.2216","1.2124","0.9526","2.8191","3.2889","3.2889","3.3829","4.1346","4.2286","3.7588","3.101","2.8579","3.3829","2.3492","0.9397","1.7854","3.7588","1.7321","1.1276","3.101","-0.35","1.5035","3.101"
"466900","-0.9959","1.2","1","1.9919","0.95","0.8356","0.9642","0.2778","0.2778","0.75","0.9642","1.4772","1.2803","1.6","1.1818","1.0285","1.3156","1.6087","0.8356","1.9919","1.0285","0.7524","1.157","0.2952","1.1491","1.1","-1.1258","0.9","-1.1258","0.8208","0.8551"
"466910","-0.2257","1.4365","-0.5036","-0.6425","0.5383","1.3789","1.8711","0.9577","-0.9577","-0.4168","0","0.5557","0","0","-0.3473","-0.9235","0","0","0","-0.9898","0","-0.5209","-0.7866","-1.2","1.4","1.1","-0.2605","2.7251","0.2778","0","-0.4515"
"466920","-0.55","3.6373","2.0785","2.9445","3.2043","3.5507","3.0311","-0.7794","1.7321","1.9734","1.3789","3.4468","3.1408","2.8344","2.8579","3.2174","3.5238","3.8105","3.5238","4.2286","2.6812","2.5981","1.3023","1.9919","3.7239","2.5981","1.5321","3.2174","0.3762","2.0785","3.0311"
"466930","-0.5196","2.15","0.9526","1.2803","0.85","2.1666","0.6156","-1.3023","1.1287","0.8208","1.0603","2.6812","2.7713","1.35","0.8208","1.9696","2.3635","2.25","2.1651","2.1651","1.6712","-1.7619","-1.2856","1.4","1.75","0.8356","-0.8999","1.45","-0.5362","0.6156","2.25"
"466940","-1.2257","2.5279","1.607","2.4","2.1449","2.9445","2.5981","-1.4555","1.2313","0.9642","2.5712","3.5238","3.294","2.5069","1.9151","2.1212","2.314","2.6847","2.7578","3.2043","2.5279","2.3","0.903","0.5904","2.2981","1.4095","1.5427","1.5588","-0.65","1.45","2.5"
"466950","0","6.4922","8.0814","5.8261","6","5.6382","4.3226","5.1962","5.9779","3.8971","2.5994","6.205","4.6923","4.3067","3.4","5.2066","5.7851","7.8903","6.8944","8.7648","5.3994","4.2","1.9153","3.55","4.8261","6.1058","4.5197","6.2354","4.8852","2.85","6.9421"
"466990","0.5557","1.4","1.1287","-1.3499","-1.9919","0.4168","0.4862","-1.7321","3.0854","-1.9734","1.9926","0","1.35","-2.5115","2.1212","1.95","3.0211","1.9","0.4862","0","0.5383","1.95","2.7578","2.3783","1.2313","-1.6454","-2.3383","1.8","-2.5279","-2.5115","1.2655"
"467050","-1.7998","5.3351","-1.5975","1.2257","2.1855","4.6281","2.8344","-2.5372","3.4068","3.6373","3.7536","5.8985","5.4637","5.6687","4.9495","6.2993","7.0707","7.5206","7.3921","8.2272","7.5072","5.9136","4.8209","4.4995","5.2709","1.7998","2.2215","3.5353","-1.8794","2.35","5.9779"
"467060","1","-2.1666","1.95","2.5069","1.3","0.2952","0.3473","-1.4722","-2.8559","-2.462","-3.8","-2.8","-2.9","-3.1","-3.2","-2.8","-0.5383","-2.5605","-1.157","-1.9053","-2.462","-2.3383","0.4689","0","2.2215","-1.9734","-2.3492","-1.4722","-2.4249","2.6847","0.6425"
"467080","1.2856","-1.9696","2.0681","3.5453","3","2.0785","1.4095","1.1258","1.6914","-1.3787","-2","-1.6","2.3635","2.0681","2.462","2.659","2.7713","-1.4","-0.9","-1.5975","1.7321","-1.9734","1.1258","-1.299","2.5115","-1.2216","1.3789","0.85","-1.4722","2.5605","1.6853"
"467110","0","3.2909","3.195","2.9445","2.1651","2.4513","2.2","0.9642","2.8344","1.1","2.6847","1.9","3.3775","2.1855","2.0569","2.5712","2.35","2.2","1.75","1.65","3.2174","2.9876","1.5","1.4","2.5069","1","0","2.4249","0.9642","2.6847","3.6004"
"467300","-0.4515","2.6678","1.1634","0","0","0","0","-2.0683","1.6149","3.6254","6.6","1.9449","5.4","3.728","3.9674","4.4805","4.7541","4.9251","4.4463","1.0766","2.9072","3.4202","4.0016","4.3","2.9414","1.0419","-0.9235","0.8856","0.7988","0.9724","4.1042"
"467350","0.2778","0","-0.7641","-0.5904","-0.5383","0.5383","0","-0.5472","0","0","0","1.0593","1.2155","1.0245","0.9898","1.1982","0","0","0","0","1.1113","1.1982","0","0.9377","1.0072","-0.6425","-0.9642","-0.5557","-0.4341","0.5383","0"
"467410","-1.5588","0.573","0.4515","-0.4341","-1.6914","-2","-1.6742","-1.2213","-0.4689","0.5383","1.3339","0.8551","0.4341","1.0603","1.2313","0.4515","0.4515","0.5557","0.3647","0.9642","1.2213","1.3023","0.9235","0.75","0.75","-1.1","-1.2856","0.684","1.1","0.9919","1.1971"
"467420","0.2952","0","-0.3994","-1.15","-1.4722","-1.9696","-2.0681","-1.9","-0.4341","0.5036","1.2655","0.382","0.3994","0.5036","0.4862","0.382","0.382","-0.5209","0","0.4788","0.684","0.8999","0.4168","-1.4095","-1.0285","-1.6914","-1.2257","-0.6156","0.3473","0.4689","0.5036"
