"stno","X2018.02.01","X2018.02.02","X2018.02.03","X2018.02.04","X2018.02.05","X2018.02.06","X2018.02.07","X2018.02.08","X2018.02.09","X2018.02.10","X2018.02.11","X2018.02.12","X2018.02.13","X2018.02.14","X2018.02.15","X2018.02.16","X2018.02.17","X2018.02.18","X2018.02.19","X2018.02.20","X2018.02.21","X2018.02.22","X2018.02.23","X2018.02.24","X2018.02.25","X2018.02.26","X2018.02.27","X2018.02.28"
"C0AD30","-0.5071","-0.5902","0.0244","-0.5663","-0.719","1.8585","1.7097","2.1946","-0.45","-0.5878","1.3966","2.0539","1.807","-0.2817","-0.2867","-0.9563","2.3476","-0.4225","0.0697","-0.6576","1.8585","-1.0069","2.0997","0.0157","-0.7512","1.7303","1.2761","0.169"
"C0AD40","1.2432","1.0404","0.9429","1.0673","0.2046","1.7975","1.4695","2.3396","-0.5851","0.2724","1.6688","2.5114","1.8579","0.0244","0.0835","0.1693","2.4758","0.4663","0.1953","0.6889","1.6383","1.5427","3.002","0.3346","0.0087","2.9645","0.2025","0.0557"
"C0AD50","3.2679","2.8532","0.2509","0.3149","1.7866","2.7388","5.4465","5.9879","1.0103","0.2091","3.1878","4.206","4.2693","0.5803","1.1883","-0.8485","5.3798","-0.6894","-1.1644","0.4944","3.5339","2.9311","5.0372","0.3371","-1.6776","5.0372","1.2873","0.1216"
"C0C460","0.6784","0.3527","0.5734","0.4872","0.106","0.5926","0.0946","0.2544","0.2487","0.1462","0.6928","0.4774","0.1638","0.2364","0.3236","0.3195","0.4596","-0.4988","0.4096","-0.4891","-0.0782","0.3009","0.5088","-0.2934","0.0418","0.5803","0.4045","0.2427"
"C0C480","0.3392","0.2741","0.1827","0.0857","0.0899","0.6932","1.6257","1.7303","0.2853","0.0978","0.5481","1.1413","1.7539","0.0891","0.0978","-0.0999","2.0251","-0.1995","-0.0998","0.0946","0.5481","0.2884","1.6914","0.0951","0.0934","1.5762","0.3682","0"
"C0C540","2.3396","2.0506","2.9125","3.1458","2.3383","3.7588","2.673","4.6574","0.1116","1.7619","3.2708","3.2514","3.8994","-0.4474","-0.0523","1.0037","4.1499","-0.9659","0.0698","1.3164","2.2641","2.4869","3.053","1.0786","1.5094","3.614","0.9057","0.0419"
"C0C590","1.9607","1.7973","2.1249","1.9258","1.6851","2.7138","2.2286","2.9445","0.8727","1.6339","2.2026","1.6957","2.2644","0.0192","0.9708","0.9259","2.3188","-0.7314","0.4589","1.1331","1.9502","2.233","1.888","0.5592","1.4838","2.2081","0.9959","-0.9368"
"C0C630","2.2026","2.2498","1.8354","1.7714","1.5321","2.9403","3.0192","2.7554","0.0244","0.1917","2.8751","3.4641","1.6368","-0.4474","-0.2227","0.1809","2.9523","0.0836","0.1482","-0.2862","2.069","1.0612","2.5427","-0.0941","0.089","2.6242","-0.9193","-0.1809"
"C0C650","2.2336","2.1222","2.4073","1.7046","1.4474","2.7988","2.4151","2.824","0.0941","1.1411","2.116","2.5702","2.1148","-0.5664","-0.6293","0.5446","2.9944","0.0609","-0.6157","0.5917","1.4457","1.461","2.1534","0.0835","0.9355","2.824","0.0939","-0.5541"
"C0D360","0.0438","-0.1172","-0.2331","0.2696","0.3782","0.3078","-0.1766","0.2624","0.0743","0.2179","0.0105","0.0244","0.1721","-0.397","-0.4963","0.0157","-0.3152","0.0261","-0.4891","0.3564","0.2516","-0.206","0.3625","-0.2996","0.0418","0.0349","-0.1753","-0.2984"
