"stno","X2016.03.01","X2016.03.02","X2016.03.03","X2016.03.04","X2016.03.05","X2016.03.06","X2016.03.07","X2016.03.08","X2016.03.09","X2016.03.10","X2016.03.11","X2016.03.12","X2016.03.13","X2016.03.14","X2016.03.15","X2016.03.16","X2016.03.17","X2016.03.18","X2016.03.19","X2016.03.20","X2016.03.21","X2016.03.22","X2016.03.23","X2016.03.24","X2016.03.25","X2016.03.26","X2016.03.27","X2016.03.28","X2016.03.29","X2016.03.30","X2016.03.31"
"466880","3.6648","2.5372","-0.2736","-0.2052","-0.1389","0.5142","0.5785","-0.7","2.3492","1.7321","2.2553","1.4722","0.45","2.1613","1.9734","0.2298","-0.3064","0.2","0.866","3.3829","2.6311","-0.1042","1.2216","1.8794","0.6062","1.8794","0.5","1.9734","-0.2394","-0.35","0.5909"
"466900","2.2981","1.35","1.2213","0.85","-1.4722","-1.3856","-1.2124","-1.1276","1.2997","1.3681","0.7524","0.6428","0","0.4168","0.75","0.65","0.6428","0.75","0.4446","0","0.5785","-0.3762","0.9919","1.3023","0.2952","0.6498","0.5472","1.7619","0.95","0.8","-0.6428"
"466910","0.6946","1.0603","-0.3299","-0.191","-0.2605","0","0.4788","-0.2778","0","-0.6772","-1.2","1.2313","-0.3647","-0.8509","0","-0.2605","-0.3762","0.8208","0","3.5708","2.9544","-0.2257","-0.4862","-1.3681","-2","-0.573","-0.5383","-0.9919","0","-0.171","0"
"466920","4.1569","2.6046","0.4446","0.3762","-0.1736","-0.766","1.3856","-0.1389","2.7713","1.7619","2.2517","1.9151","0","2.0683","2.6847","0.7518","1.299","0.1216","1.299","3.3775","3.1177","-1.0833","1.9919","2.0785","1.1818","1.8385","0.6","2.3383","0.342","0.9397","0.191"
"466930","2.2517","0.6","0.8426","0.5142","0.433","0.3857","0","-0.5196","2.5","2.45","2.05","0.9919","0.1563","2.2498","1.45","-0.0643","0.2571","-0.6428","-1.1","0.9919","1.25","-0.3759","1.05","2.0569","1.25","1.4784","0.5814","2.0673","0.6578","0.3064","-0.3759"
"466940","3.3829","1.6454","-1.6853","-0.85","0","1.7998","0.8999","1.299","0.9377","1.3892","2.5","1.3789","0","1.094","1.3856","-1.5321","-0.7794","-0.8","0","1.15","1.0927","0","0.712","1.094","0.7814","0.6946","-0.8551","-1.9284","0","-0.95","0.75"
"466950","5.8024","6.2959","2.9072","1.8127","2.9756","1.6759","4.5963","-3.9392","3.3518","1.8928","4.3","7.7994","0","1.858","7.2876","2.7","3.8408","-2.913","3.3425","4.4352","4.1138","3.6004","1.4586","1.6497","1.285","1.1634","0","2.85","2.4625","0","-2.5"
"466990","2.0569","-2.0681","-2.3747","-2.1651","-1.3789","1.2","-1.4722","0","2.314","2.55","-0.3126","-1.5","0","3.5996","-1.4722","-1.9053","-1.5035","1.1971","1.85","-0.2952","-1.6742","-2.2651","2.1855","3.0854","-1.5975","1.3","-1.6712","2.5","-2.6812","-3.2174","-2.2981"
"467050","6.0518","2.0683","-1.6742","0.5814","0.6156","1.7355","1.7","-0.6","5.8494","7.0707","5.8494","2.2498","1.3339","6.1065","3.6004","2.0683","1.7355","-1.0261","2.6812","4.4995","4.1138","1.2655","4.4995","6.1065","4.2424","4.2132","2.15","4.7924","0.3647","0.9235","1.3499"
"467060","-1.7854","-2.7713","2.0569","-2.4249","1.9917","-1.7854","-2.1613","-2.8191","0.6425","-3.3829","-3.5","-1.5975","-2.0673","-3.2889","-1.5975","-1.5588","-1.2124","-1.5975","-1.9053","0.3647","-2.0785","-1.6087","2.6046","-3.3483","-2.6311","2.5279","-3.3483","-2.0683","1.9284","1.4","1.05"
"467080","-1.8711","1.6454","1.6454","-1.6914","-1.4772","-1.4772","-1.7321","-1.4095","1.05","1.5757","-1.1276","-1.0833","0.8999","1.3499","-1.2","-1.1","-0.8457","-1.299","-2.1666","1.1491","-1.3787","-1.2124","1.9","0.95","-1.2216","2.659","1.35","-2.0681","-1.7854","1.8187","1.7727"
"467110","1.95","1.607","0.3299","0.6156","0.5814","0","1.8","-1.0833","3.1408","3.7536","2.7578","1.45","1.157","4.1569","2.5279","1.3023","-0.2431","-0.5785","2.1651","2.0569","2.1855","1.3156","2.8579","3.294","2.5279","1.9926","2.6847","1.9926","0","1.8794","1.0927"
"467300","1.9622","1.0419","0.712","1.7785","0.9377","0.7988","0.8335","-0.712","3.8","5.3697","4.8909","4.2","3.2","5.0619","3.8306","2.8046","1.7785","-0.6425","0.7467","3.1124","3.4544","2.5309","3.95","5.4723","4.5147","4.241","1.8928","4.5","3","2.8344","0"
"467350","0","0","-0.3473","0","-0.4515","0","0","0","0","1.3892","0","0","0.573","1.3545","0","0.6946","0.4862","0","0","0","0","0.6251","0.7467","1.3718","0","0","0","0.7814","0","0.3647","0"
"467410","2.2553","0.684","2.2517","2.462","2.462","2.5372","1.4722","-1.607","0.9235","4.3226","3.9","2.5","2.9544","3.9467","2.5605","3.1514","1.6742","-2.3747","2.1651","2.3747","3.8408","1.8641","1.5427","1.6075","2.25","2.1","1.7101","2.1212","1.4784","1.0285","0"
"467420","0","-0.3473","-0.382","0.4168","0.3473","-0.7866","0.3473","-1.5427","0.4515","0.7988","0.6425","0.382","0.5209","0.712","0.3994","1.0261","-0.9642","-1.9284","-0.4168","0.4862","0.6078","0.4862","1.3499","0.7814","0.7293","0.6772","0.8335","0.4862","-0.3647","1.299","-0.8"
"467440","-1.9696","1.5321","-1.4555","-1.0725","-1.4","-1.5321","-1.4","0","-1.9734","0","-0.3473","0.5814","0","-0.3126","0.2257","0.3473","-1.2216","0.2952","-1.9917","-0.3126","0.7524","0.6498","0.2778","0","0","0.4168","0.5383","0.7866","1.5975","0.9959","1.0285"
"467480","-0.191","-0.342","1.0337","0.3299","-0.191","-0.6","-0.45","-1.4772","0.75","0.573","0.8551","-0.4788","0.2257","0.9235","0.191","0","-0.5142","-1.6853","0.4446","0.5472","0.6156","0.3126","0.4446","0.4862","0.8551","0.7866","0","0.5472","-0.191","-1.2216","-0.9526"
"467490","0","-0.5196","-0.3","-0.2736","-0.5785","-0.4","-0.6428","-0.9193","-0.2431","0","0","-0.1042","-0.6894","0","-0.4596","-0.6928","-0.3759","-0.1389","-0.1216","-0.4446","-0.191","-0.5","-0.2431","0","-0.3299","-0.3126","-0.684","-0.3078","0.2052","-0.35","-0.4"
"467530","1.3787","0","0.9642","0.7","0.65","-0.9193","-1.0725","0.4788","-1.7","-1.7727","-1.6914","-1.2124","-1.8187","-2.1","-1.4772","-1.6742","-0.2431","-1.9696","-1.8","-1.4","0.7","-0.55","-1.6742","-1.3856","-1.8794","-1.4","-1.4772","0","-0.2431","-1.2","-1.3"
"467540","1.5049","1.7998","1.5321","-1.9053","1.5321","-1.3156","1.3499","-1.9053","2.4426","1.7","0.7866","-1.7619","-1.4722","1.1629","0.7182","1.299","-1.4722","0","1.15","0.9577","1.7355","1.2213","-2.0785","0.573","0.513","1.35","-1.8187","1.65","-1.7321","0.65","-0.95"
"467550","-4.6985","-4.2347","-3.2889","-5.8261","-5.8261","-3.3483","-3.8408","-4.6045","-5.9756","-5.9756","-2.4513","-3.3775","-6.7952","-4.6286","-2.6812","-4.4316","-4.5301","-5.1683","-4.2347","-3.3483","-3.7588","-3.8","-3.9837","-3.007","-4","-3.8408","-5.2195","-4.4316","-4.2286","-2.9445","-5.7"
"467571","2.2517","1.0833","0.8457","1.0337","-0.5","0.191","0.4104","-0.6062","1.0603","1.4707","1.75","0.2394","0.4104","1.7","1.2124","0.191","0.433","0.1389","0.6428","0.684","0.5472","0.2084","1.25","1.6","0.7866","0.9577","0.7182","1.9696","0.9848","1.3156","0"
"467590","4.9793","3.0311","3.8105","2.1651","0.7866","-0.9397","1.6914","1.8187","2.3747","3.294","3.8567","3.5507","2.9544","3.7536","3.5238","1.3787","2.7575","2.1613","-0.8893","2.911","2.7578","2.4","1.7","4.1366","1.6","3.5238","1.35","5.6292","4.6045","2.9544","-1.2257"
"467610","0.7467","-0.9235","-0.8893","-0.7524","-0.5814","-0.75","0.5814","-1.4784","1.6759","1.8127","1.85","1","-0.5036","2.0521","1.5","0","-0.85","-1.607","1.2313","1.75","1.25","-0.5472","1.0261","0.9724","0.6425","0.7293","0.6078","0","-0.7524","-0.8","0.8208"
"467620","1.8469","1.5391","1.5049","5.2623","5.5442","3.0529","3.9467","3.294","5.7","3.6938","1.3718","1.9495","-5.889","1.5976","0.903","1.2313","1.5049","-6.1708","-5.4","1.9153","1.7443","3.7423","-0.8161","1.3371","1.1287","2.2915","1.4707","0.8509","1.8811","3.007","-7.9769"
"467650","0.2605","-0.191","-0.342","0.7713","-0.1736","-0.65","-0.866","-0.191","1.05","0.3299","0.9959","0.2257","-1.8711","-0.4104","0.9","1.4","-0.55","-1.6454","0.513","0","-0.95","-0.6","1.3856","-1.3856","-1.0392","-1.2803","-0.85","-0.4788","-0.2084","-1.3856","-1.5035"
"467660","-1.2313","-1.55","-1.35","-1.2","1.6454","-0.7","-0.7","-1.6087","-1.75","-0.9577","-1.55","-1.15","-1.157","2.2","-1.45","-1","-0.95","-0.9919","1.7355","-1.25","-1.1","-0.5472","1.2","-1.85","-1.6","-1.6","-1.8","-1.1629","-1.3","-1.05","-1.4784"
"467770","0","-1.5","-0.7","0","0","0","-1.65","-1.157","0","0","0","0.5209","-0.6078","0","0.5036","0","1.1","2.2517","0","-0.8682","0","0","0","0","0","0","0","-0.8682","-0.4862","-0.4515","-1.3"
"467780","2.3","0","2.1212","2.4426","-0.6599","-0.6599","0.6251","-0.7524","1.1971","2.5309","2.75","1.7","1.75","2.2573","1.7","1.6417","0","0","0","0","1.8469","2","2.314","2.6336","3.5","2.5994","2.2915","2.4","2.2498","1.7619","-1.1"
"467990","1.0945","0.3647","1.6","1.6742","0.2778","0.7866","1.9696","-1.4784","5.5426","3.2139","2.6997","0.573","2.2517","3.9837","1.2655","0","1.4772","-2.2215","2.6847","1.9284","1.0261","0","4.0703","4.1569","3.1177","0.7866","0.3647","0.3299","-1.8794","1.157","1.9"
"C0A520","3.6526","1.5973","0.2351","0.1368","0.5248","-0.5796","0.1754","-0.2294","2.8366","1.3216","2.673","1.5174","0.35","2.1571","1.8067","0.1854","0.5035","0.3214","0.7372","2.758","2.316","-0.5032","1.1147","2.4864","0.9621","1.6771","0.0209","1.8124","0.2796","0.3152","0.0726"
"C0A530","2.2362","1.182","0.293","0.0974","0.3286","0.2472","0.6304","0.0939","1.7387","0.8241","1.1025","1.0495","0.0557","0.9508","1.3419","0.1498","0.3632","0.0974","0.6292","1.9715","1.722","0.0469","1.2361","0.7071","0.1509","1.3994","0.3907","0.5902","0.2631","0.0974","0.171"
"C0A540","0.3951","0.7913","0.5393","0.0418","0.5035","-0.1985","0.399","0.0551","0.0419","0.0418","0.1766","0.6948","0.0624","0.0349","0.3277","-0.094","0.2819","0.0993","-0.1362","0.6962","0.6914","0.2925","0.0418","-0.0618","-0.0292","-0.1575","0.0244","0.0209","0.1125","0.15","-0.1509"
"C0A550","0.0809","0.2364","0.2007","0.0777","0.1597","-0.3927","0.0891","0","-0.1545","0.1847","0.0515","0.0719","0.1618","-0.2571","0","-0.0998","-0.0755","-0.2","-0.2989","0","0","0","-0.0749","-0.0877","-0.0574","-0.0927","-0.0684","0.1749","0.1532","0.0857","0.1286"
"C0A560","0.7518","0.8184","0.7217","0.5878","0.454","0.8572","0.0523","0.0419","-0.4782","-0.544","0.3927","0.2396","-0.1097","-0.891","-0.3069","0.061","-0.121","0","-0.6395","0.6252","-0.7128","-0.0157","-0.6847","-0.8769","-0.3464","0.2163","0.1113","-0.5902","-0.682","0.2997","0.3032"
