"stno","X2017.02.01","X2017.02.02","X2017.02.03","X2017.02.04","X2017.02.05","X2017.02.06","X2017.02.07","X2017.02.08","X2017.02.09","X2017.02.10","X2017.02.11","X2017.02.12","X2017.02.13","X2017.02.14","X2017.02.15","X2017.02.16","X2017.02.17","X2017.02.18","X2017.02.19","X2017.02.20","X2017.02.21","X2017.02.22","X2017.02.23","X2017.02.24","X2017.02.25","X2017.02.26","X2017.02.27","X2017.02.28"
"466880","3.7423","3.7423","2.6311","-0.3078","2.2651","4.6286","4.3226","-0.2952","1.7998","2.6311","2.9544","2.0673","2.5372","3.2889","1.4722","-0.4788","1.0833","2.4432","2.0673","1.5035","3.8527","0.5785","2.7251","1.8794","1.6914","0.8999","2.0673","2.6311"
"466900","1.5","2.1651","1.3856","-0.766","0.7524","1.5321","1.7321","0.382","0.4168","0.6156","0.9","0.8356","0.2084","1.9919","1.7355","-1.4722","0.8999","0.7524","1.6853","0.2952","2.1212","1.15","1.1287","0.8208","0.3126","0","0.6428","0.35"
"466910","2.3635","-0.5209","1.1971","-0.2605","-0.3994","-0.5557","0.7988","-0.6078","-1.3024","-1.3681","-1.3","0","0.5904","0.9577","0.5557","0.2952","-0.3473","1.15","0","-0.4341","1.4365","-0.4341","3.007","-0.4341","-0.6156","-0.8335","1.2","1.7"
"466920","3.6004","3.6004","2.6812","-0.2394","1.7619","3.9834","4.1366","1.5321","0.6156","1.9917","2.4513","2.5115","3.3775","3.294","2.1449","0.3762","1.1491","2.5279","1.9151","1.1491","3.8302","-1.0833","2.911","1.2257","1.6454","-1.1258","2.4432","3.1177"
"466930","1.8127","3.0311","0.95","-0.3","1.05","3.3829","1.6853","-0.3299","1.0261","-1.6087","1.35","1.75","2.05","2.6046","0.9526","0.7794","0","1.45","1.0285","-0.2778","1.3339","0","1.8811","1.6759","1.6759","1.9","1.7101","1.1971"
"466940","2.15","2.5","1.2856","-0.7","1.75","3.0854","2.6046","-1.15","1.0593","1.0766","2.45","3.0311","2.5981","2.7713","1.5588","-0.3473","-1.2213","2.1212","0","0.95","2.5279","-1.607","0.9898","0.7814","0.712","0.8509","2.5069","0.382"
"466950","4.55","6.8178","7.0906","0","3.8","5.7851","5.5155","0","0","1.4066","1.2503","6.1284","5.8219","6.1488","6.1488","2.0179","-3.5507","5.2709","3.3518","3.75","6.8135","-3.55","5.2","4.45","6.1065","0","6.4348","5.4389"
"466990","3.9834","4.2898","-1.9734","-2.0785","-3.0529","3.5996","0.8893","-1.9919","3.5353","2.2498","-2.6847","-2.4432","0.8208","0","-2.2553","-3.2909","-2.4249","2.2","0.5557","1.6","2.5712","-2.3383","3.5996","1.6712","-1.3856","2.1212","-0.7866","2.1212"
"467050","6.8135","7.3921","2.75","-0.3299","4.0496","7.842","5.7851","2.7","3.7","5.7208","6.7412","5.3994","6.0518","5.1423","1.5321","-2.0683","-1.9919","4.05","2.5279","3.1177","5.528","0","5.9779","4.65","4.4","3.75","4.8209","4.1781"
"467060","-2.8559","-3.3483","-1.7321","0.8208","2.2215","-2.7575","-1.8187","-1.5588","-3.7423","-3.4468","-3.8408","-2.3492","-2.1613","-2.2553","-2.7251","-2.7251","-2.4432","3.6373","-2.5981","1.35","0","-2.0681","0.6772","-3.1514","-3.195","-3.6648","-3.8","-2.1449"
