"stno","X2012.02.01","X2012.02.02","X2012.02.03","X2012.02.04","X2012.02.05","X2012.02.06","X2012.02.07","X2012.02.08","X2012.02.09","X2012.02.10","X2012.02.11","X2012.02.12","X2012.02.13","X2012.02.14","X2012.02.15","X2012.02.16","X2012.02.17","X2012.02.18","X2012.02.19","X2012.02.20","X2012.02.21","X2012.02.22","X2012.02.23","X2012.02.24","X2012.02.25","X2012.02.26","X2012.02.27","X2012.02.28","X2012.02.29"
"C0K330","-0.6","-0.9919","-0.85","-0.6","-0.55","-1.3499","-0.9235","-0.8893","-0.5","-0.6156","-0.8551","-0.75","-0.75","-0.55","-0.5472","-1.0261","-1.0945","-1.0603","-1.1","-0.75","-0.3","-0.3939","-0.5","-0.85","-0.684","-1.0261","-0.9","-1.2","-0.55"
"C0M410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C0M530","0.7","-0.0695","-0.0174","-0.15","-0.0684","0.2084","-0.2736","-0.1","0.0521","0.3464","-0.1026","-0.1928","-0.1","-0.2","-0.1","0","-0.1","0.0521","-0.1","0.1","0","-0.45","-0.0521","-0.35","-0.1216","-0.1368","-0.15","1.1276","-0.5142"
"C0O810","0.0643","0.1286","0.0766","0.0866","0.1","0.2084","0.1216","0.0684","0.0174","0.0866","0.0342","0.0342","0.0174","0.1563","0.0347","0.0684","0.0174","-0.0347","0.05","0.0643","0","0.0342","0.1368","0.0347","0.0521","0.0347","0","0.1042","0.1"
"C0O900","0","-0.5904","-0.5557","-0.4689","0","0","-0.4862","0","0","0","-0.5557","0.4168","0","-0.5472","-0.4341","-0.6425","0","0","-0.5383","-0.3126","-0.2257","-0.6894","0","-0.4515","-0.4689","0","0","0","-0.3994"
"C0O930","-0.2571","-0.383","-0.2298","-0.2298","0.2","0","-0.6","0.0347","0.0174","-0.2819","-0.3939","-0.197","0.2571","0.2571","-0.2571","-0.2954","-0.1368","-0.3464","-0.3759","-0.0866","-0.05","-0.0684","0.15","-0.4698","-0.3064","-0.4698","-0.3939","0.2736","-0.3"
"C0R100","0","-0.0695","0","-0.1732","-0.1879","-0.433","-0.15","-0.0342","-0.0342","0.0866","-0.1","0.0347","0.0347","-0.1532","-0.1532","0.05","0.0643","0.0866","0.0766","-0.094","0.0643","-0.1532","0.05","-0.2598","0.0684","0.0866","-0.0766","-0.6894","0.0985"
"C0R150","-0.1286","0.2819","-0.0643","0.3759","0.5638","0.9397","0.3939","-0.1928","0.1532","0.2819","-0.2298","-0.15","-0.1532","0.5909","0.433","-0.1","-0.15","-0.2","-0.05","0.05","0","0.0985","0.4596","-0.2","-0.1286","-0.15","-0.2571","-0.35","0.1532"
"C0R220","-0.0766","-0.05","-0.0766","0","0","0.25","0","-0.0342","0","-0.0174","-0.0684","-0.1","-0.0643","0","0","0","0.1","-0.0174","-0.0766","0","0","0","0.0342","0.0866","0.0342","0.094","-0.0766","-0.1368","0"
"C0R270","-0.7866","-1.3499","-0.684","-0.8","-0.3473","1.4365","-0.9959","-0.5814","-0.8356","-0.6498","-0.8551","-0.7866","-0.2952","1.3856","0.2431","-1","-1.05","-1.05","-0.8356","-0.25","0","1.2213","-1.0337","-0.8426","-0.6428","-0.513","-0.8","-0.4862","-0.75"
"C0R280","-0.8995","-2.1209","-1.8542","-1.5429","-0.2598","0.0551","-1.5094","-1.5368","-1.97","-0.2649","-1.4417","-1.3164","-1.3923","-0.4993","0.341","-1.722","-2.3287","-2.5377","-2.6777","-1.9951","-1.8954","0.1564","-0.2978","0.4568","1.0574","0.2091","0.1917","0.1717","-1.5935"
"C0R350","0.2481","4.2328","1.8385","2.5166","1.5174","1.9471","3.7307","4.3687","3.7299","-0.1116","1.5282","2.74","3.4404","3.852","2.6493","2.3618","2.314","4.5332","3.7406","5.8856","2.2164","3.396","-0.2487","0.1315","1.1115","3.152","3.8965","3.1715","4.6287"
"C0R420","2.274","4.0784","3.6851","3.0001","1.3419","-1.989","4.5441","4.1877","3.317","1.782","3.1786","3.0311","2.6065","2.0082","2.0997","3.3236","3.5507","4.6737","4.4409","3.1128","3.2043","2.0967","-2.4454","1.5935","2.4057","3.3255","3.0309","1.884","2.8761"
"C0S680","0.0314","-0.4494","0.2993","0.5768","0.6914","-1.2","-0.0939","0.0951","0.0174","-0.6871","0.3019","0.2741","0.1042","0.4891","0.3845","0.0839","0.0998","0.1204","0.1454","0.4755","0.1878","-0.6894","-0.0157","-0.3346","0.2801","0.1879","0.1368","-1.1025","-0.3978"
"C0S690","0.3857","0.4067","0.1118","0.2424","0.2364","-0.8241","0.3371","0.1545","0.1408","0.0574","0.2724","0.1147","0.1563","-0.424","0.3709","0.1124","0.1433","0.2509","0.1792","0.1268","0.0574","0.1714","0.3694","0.053","0.2347","0.0813","0.0908","0.2736","0.0651"
"C0S700","0.8572","1.2292","0.5523","0.2279","0.293","0.1717","1.1258","0.4096","0.0262","-0.0975","0.8345","-0.0419","0.6292","0.206","0.589","0.3774","0.6237","1.0574","0.7364","0.4974","-0.0696","0.1236","0.5822","0.2121","0.6729","0.4603","0.4","0.18","0.1678"
"C0S710","0.6809","2.0603","1.5239","0.7526","0.7829","-0.5448","2.4413","2.0657","1.2737","0.2605","1.5049","0.6368","0.2071","0.2052","0.9506","1.9248","2.3474","2.2371","2.1596","0.7866","0.6432","0.6137","1.0893","1.0521","1.1287","1.9976","1.2503","0.684","0.684"
"C0S730","3.4271","6.4964","4.9295","3.3802","1.2583","0.1341","5.2581","5.4783","3.5876","1.2434","4.6478","1.7706","1.7202","0.5299","2.0847","5.6749","6.351","5.4479","4.2084","3.845","1.5436","0.7641","1.8173","2.7179","3.4384","5.1559","3.5386","2.987","3.309"
"C0S740","0.2903","1.2274","0.6451","0.0279","0.0262","0.334","1.398","0.9762","0.4788","0.5446","0.892","1.0177","0.0872","0.3381","1.0607","1.3192","1.3778","1.5368","0.9355","0.6947","0.0968","-0.4788","0.8829","1.0404","1.0898","1.3499","0.7264","1.1115","0.3"
"C0S750","-0.6535","-0.2934","-0.0788","-0.3913","-0.7064","0.0122","0.0557","0.1576","0.1782","0.1145","0.3236","0.6792","-0.4988","-0.4698","0.4096","-0.1563","0.0978","0.0951","0.0695","-0.0974","-0.1995","0.1968","-0.7548","0.4145","0.1928","0.1026","0.1312","-0.5955","0.0174"
"C0S760","0.3804","0.3709","0.2622","0.215","0.2736","0.2671","0.4635","-0.1498","0.1627","-0.2756","0.318","0.3945","0.2339","0.2052","-0.171","0.35","0.2817","0.3878","-0.2631","-0.3256","0.0877","0.309","0.2909","0.3632","0.4213","0.2163","0.1968","0.3399","0.1854"
"C0S770","-0.6292","0.866","0.3927","0.5936","-0.3709","-0.589","0.8803","0.3316","0.4851","-0.3864","0.769","-0.6344","-0.4806","-0.5999","0.3316","0.3864","0.5909","0.8693","0.5955","0.0487","-0.0906","0.1749","0.1732","0.2837","0.6999","0.4806","0.4455","-0.4145","0.3597"
"C0S790","0.0999","0.0347","0","0.0998","0","0","0.0174","0","0","0","0.0588","0","-0.0921","-0.1923","0","0","0.0174","0.0278","0.0017","0","0","0","0","0","0.0191","0","0","0.0174","0"
"C0S810","1.3121","1.5451","1.0083","0.23","-0.7033","-0.5209","1.9077","0.382","-0.183","-1.1151","1.1267","0.614","-0.9786","-1.2721","0.3882","0.2613","1.1267","1.1","-0.684","-0.5562","-0.6368","-0.4678","1.0068","0.2862","1.0575","1","0.7981","-1.0083","0.5244"
"C0S830","1.0519","0.7949","-0.7762","0.5694","0.4769","0.0872","1.7634","-0.3","0.1113","0.3914","0.5902","-0.5936","0.3709","-0.5992","0.1359","0.7552","0.0105","-0.4226","0.1754","0.6792","-0.0244","0.1553","0.3581","-0.3","1.0285","0.0975","-0.4908","0.4121","-0.3"
"C0S840","1.6853","3.1497","3.2627","0.9318","0.2034","-0.8302","3.3093","2.5964","3.2218","1.0698","3.8812","3.6544","1.807","-1.0286","1.6074","1.4695","1.9701","3.5464","2.648","1.6623","0.4104","0.708","-1.178","0.9405","1.8414","1.4695","2.3188","0.95","1.7058"
"C0T790","-2.4032","-1.9696","-1.9997","-1.6997","-2.2411","-4.2582","-5.0969","-2.5901","-2.5806","-1.7997","-1.1954","2.3564","-1.2761","1.2903","-2.6668","-3.5339","-1.9225","-1.4998","-2.1946","0.5376","-1.3981","-2.9836","-3.4995","-3.8947","-4.2941","-4.2993","-3.5978","-3.0995","-4.4446"
"C0T820","0.0669","0.0682","0","0.0643","0.1532","0.0682","0.1362","0","0","0.1364","0.1231","0.1576","0.0743","0.0839","0.1463","0.1888","0.2728","0.2046","0.0819","0.0669","0","0.0602","0.0682","0","0.1176","0","0","0.0559","0"
"C0T870","0.171","-0.3365","-0.0174","0.0469","0.2973","0.0572","0.6729","0.4924","0.0309","0.0052","0.0157","0.0313","0.2819","0.0314","0.5438","0.5942","0.2177","0.0209","-0.0877","0.2121","0.2923","0.2279","0.0349","0.2113","-0.0418","-0.0349","0.0139","0.159","0"
"C0T960","0.1531","0.2316","0.0877","0.1095","0.0959","-0.061","0.3907","0.1455","0.0105","0.0558","0.1531","-0.4592","0.7989","0.5996","0.0959","0.2071","0.2781","0.2287","0.0087","0.4168","-0.1253","-0.1721","0.104","0.0696","0.2481","0.0954","0.0877","0.342","0.3346"
