"stno","X2013.06.01","X2013.06.02","X2013.06.03","X2013.06.04","X2013.06.05","X2013.06.06","X2013.06.07","X2013.06.08","X2013.06.09","X2013.06.10","X2013.06.11","X2013.06.12","X2013.06.13","X2013.06.14","X2013.06.15","X2013.06.16","X2013.06.17","X2013.06.18","X2013.06.19","X2013.06.20","X2013.06.21","X2013.06.22","X2013.06.23","X2013.06.24","X2013.06.25","X2013.06.26","X2013.06.27","X2013.06.28","X2013.06.29","X2013.06.30"
"466880","-1.6742","-1.6454","2.1613","1.5035","1.0833","-0.2257","0","-1.9053","0","2.1666","0.866","1.5035","1.9696","-0.866","-0.4788","-0.5","-0.5785","1.7727","-0.2605","-0.6","-0.2605","-0.2431","-0.2084","1.6","-1.3856","-2.3635","-2.659","-2.1666","-0.513","-0.2257"
"466900","-1.1258","0.6156","0","0.9","0.5785","0.75","0.6156","0.9642","-1.5975","0.8","1.0927","0.65","1.157","1.0927","-0.6928","-0.6062","-0.6578","-1.1491","-0.8426","-0.866","-0.9","0","0.9642","-1.5588","-1.3789","-1.6454","-1.9053","-1.8711","-1.5588","-0.766"
"466910","0.513","0","1.5","0.2084","0","0","0.4104","0.7866","0.5557","0.342","0.2605","0.3299","-0.7641","-0.3647","-0.2431","0","-0.1563","-0.513","0","0.4104","0","0","0","1","0.8551","1.05","2.6","1.3","0","-0.191"
"466920","0.4446","-1.4772","3.4","2.462","1.2803","1.4772","1.3787","-1.7321","-1.7321","3.7","2","2.1666","2.462","1.3","0.2431","0.8863","0.1563","1.6","-0.7713","-1.2803","0.513","-0.85","0.7713","0.513","-1.9696","-2.0673","-2.2517","-1.8187","1.4772","1.4"
"466930","-0.8863","-0.3126","0.4104","0.3857","0.5362","0.6894","-0.7","-1.2124","-0.684","0.1216","-0.6578","0.7071","1.2803","-0.2052","0.9193","-0.383","0.383","-0.45","-0.2084","-0.45","-0.383","-0.1736","-0.2084","-0.3762","-1.2803","-1.157","-0.95","-1.6742","-0.1563","0.5362"
"466940","-1.5427","1.4784","1.8385","1.6853","0.7","-1.2","-1.3499","-0.382","-1.607","1.9917","0.95","1.2856","2.0785","1.25","1.157","1.3789","1","1.4141","0.9577","-1.7619","1.0927","-1.5427","1.4784","-1.4555","0","-1.25","-1.8","-1.4023","1.4784","0.9"
"466950","-5.8104","-4.9","4.3665","4.8","2.7251","4.1362","1.094","-2.8925","6.9","3.6","3.4769","6.9537","5.2828","3.4202","0.903","1.1461","0.8161","1.5733","-2.9568","1.0766","2.5309","1.3892","-4.06","-3.4769","-4.3665","-9.2","-9.6511","-9.3969","0.7467","1.5733"
"466990","0.5383","1.0945","1.3","0.3299","-2.2553","-2.0785","-2.4249","-2.2215","2.1613","0.4341","0.7182","0.3473","-1.6087","-2.2215","-2.8344","0.5383","-1.7619","-2.3383","-2.6847","-1.3789","0","0.7814","0","1.05","-2.0673","-2.1651","2.462","-2.7713","0.8893","-3.2043"
"467060","-1.5975","1.8711","2.1613","-1.9734","-1.0392","-2.0681","-2.2553","0.8208","-1.9734","-0.55","1.2216","-1.1818","1.3","0.4515","1.0927","-0.9397","-1.1491","-1.7321","-2.0681","-1.1276","0.7524","0.8208","0.8208","1.6742","1.5035","-1.0337","2.0681","2.0681","-1.9053","1.0261"
"467080","0.9","1.8","2.8191","0.7713","-1.2803","1.5","1.3789","1.7321","1.5035","0.9","1.1818","-1.4772","1.5588","1.6853","0.9","0.6062","0.9526","1.5035","-2.1666","1.2216","-1.7854","1","0.684","-1.7854","-1.3787","1.3787","1.4772","1.7727","1.7727","1.15"
