"stno","X2013.02.01","X2013.02.02","X2013.02.03","X2013.02.04","X2013.02.05","X2013.02.06","X2013.02.07","X2013.02.08","X2013.02.09","X2013.02.10","X2013.02.11","X2013.02.12","X2013.02.13","X2013.02.14","X2013.02.15","X2013.02.16","X2013.02.17","X2013.02.18","X2013.02.19","X2013.02.20","X2013.02.21","X2013.02.22","X2013.02.23","X2013.02.24","X2013.02.25","X2013.02.26","X2013.02.27","X2013.02.28"
"466880","0.8457","2.5981","-1.5035","0.8457","-0.65","2.7713","2.3","4.1362","3.4","2.0681","2.8559","1.9","3.6438","-0.65","1.8","4.2347","-0.191","0.55","-0.382","4.1362","2.4432","1.5","3.9392","3.7","-0.4104","-1.4722","1.4772","1.9053"
"466900","0.85","0.95","-1.2213","-1.2124","-1.5321","0.5472","0.8893","1.3339","0.8551","0.7866","0.8893","1.0603","0.9235","-0.6894","1.1629","1.2","0.7182","-1.3023","1.4023","1.1","0.8893","1.0603","1.5","1.9","-1.1491","-1.1491","0.4788","0.65"
"466910","0","0","-0.3994","0.4104","0","0","1.9696","1.9917","2.659","2.659","2.0681","0","3","-0.3078","2.1651","0.573","-0.4788","-0.2736","-0.382","0.8893","-0.3126","0","1.1971","-0.6946","-0.2605","0","0.684","-0.5814"
"466920","0.191","3.8408","1.9696","1.3787","-0.2257","4.0377","2.9544","4.4316","3.1","2.1666","2.6","2.1666","4.3332","-0.45","2.1","4.5301","0.191","-0.5","2.8","4.1362","3.1","1.7","4","4.1362","-0.65","-0.8","1.7727","2.5605"
"466930","0.6128","1.1629","0.7794","-0.4596","-0.8","1.8","1.65","3.55","1.1971","0.75","1.4365","1.15","2.25","0.6062","1.7","1.95","0.7794","0.5142","1.1971","2.7","1.6075","1.35","1.9837","0.9642","0.7794","-0.766","1.35","0.9"
"466940","1.2257","1.2","0.6498","1.3789","-1.9926","0.4341","0","3.15","2","0.6599","0.6599","0.6425","0.5036","1.2257","2.25","2.1449","1.0927","-0.9","0.8161","2.15","1.45","0.6946","3.0211","2.5372","0.8","1.6087","0","0.85"
"466950","-0.6078","7.0148","1.3024","-4.5301","-2.9","6.205","6.0422","7.9063","5.3351","5.7208","5.7851","1.5455","6.755","0.9377","4.4","8.2693","1.9275","-2.8579","3.0782","7.1242","7.2774","4.45","7.1992","7.354","3.4544","1.476","4.8209","3.5996"
"466990","-2.6847","-1.8187","-1.9919","-1.9151","-2.6847","1.3339","2.5069","4.1781","2.0569","-2.3492","1.8","2.8283","1.05","-1.9734","2.6997","1.6712","-2.2553","0.6599","3.5996","2.0569","2.1666","2.2498","2.05","-2.1651","-2.8559","-2.7713","1.7","-1.7321"
"467060","-2.1666","1.3156","0.684","1.1","-1.5588","-2.1613","1.2655","0.6078","-3.1","-2.1449","-3.0529","2.0569","-2.5605","-2.5372","2.2498","-2.8559","-2.1666","-2.0673","1.2997","-3.7588","-3.2499","0.5383","-2.7251","-0.5036","0.5904","0.3299","-2.2651","-1.3856"
"467080","-1.7727","1.1818","1.1258","1.0833","-0.9642","1.1","2.3492","1.6087","-1.3","-0.9959","-1.5035","1.6853","-1.3156","1.6454","2.4249","-1.1818","-1.9696","1.5321","0.8551","-1.299","-1.7727","0","-1.2803","0.9642","0.9","0.5814","1.7854","-1.2803"
"467110","1.2213","3.5507","2.0785","0","2.0673","2.6847","3.3775","4.4431","3.0642","2.5115","2.6812","2.5115","4.0703","1.157","3.4641","3.3706","0","0.7713","4.3301","3.677","2.4513","3.8971","3.7536","1.7","1.3023","-0.2084","2.6847","1.9919"
"467300","0.9551","3.2492","0","0","2.1205","0","1.6497","2.6742","2.1359","1.5976","1.8928","1.9449","2.3269","1.3197","1.6844","2.2401","0.8161","2.2517","3.728","2.6221","2.2748","4.8567","2.6742","0","1.9837","1.4023","1.1808","1.2329"
"467350","0","1.8811","1.1971","0","0.9919","1.1287","1.6759","2.7362","2.1889","1.6759","1.8811","1.9837","2.2915","1.2997","1.6759","2.2915","0.4341","0.6894","3.35","2.5994","2.1889","2.3599","2.4283","0.7814","0.8893","0","1.1287","1.2313"
"467410","0.7866","0.8893","1.55","1.05","1.0261","1.0603","1.4365","1.7443","1.5049","1.5049","1.4023","1.5391","1.4365","1.55","1.4365","1.3339","1.15","1.8385","1.2997","1.6759","1.5733","1.8127","1.4365","-1.25","1.1","0.85","1.1971","1.7355"
"467420","-0.7866","-0.8551","0","-0.3299","0","-0.4862","-0.6772","0","0","-0.7467","0","-0.7467","0","0","-0.712","0","-0.3647","-0.3994","0","0","-0.7467","0","0","-1.8187","0","-0.2952","-0.5557","-0.4862"
