"stno","X2012.10.01","X2012.10.02","X2012.10.03","X2012.10.04","X2012.10.05","X2012.10.06","X2012.10.07","X2012.10.08","X2012.10.09","X2012.10.10","X2012.10.11","X2012.10.12","X2012.10.13","X2012.10.14","X2012.10.15","X2012.10.16","X2012.10.17","X2012.10.18","X2012.10.19","X2012.10.20","X2012.10.21","X2012.10.22","X2012.10.23","X2012.10.24","X2012.10.25","X2012.10.26","X2012.10.27","X2012.10.28","X2012.10.29","X2012.10.30","X2012.10.31"
"466880","3.4468","2.9445","2.2553","3.2889","3.4468","2.9544","2.462","2.9544","2.1","1.6454","2.5372","2.5","1.7727","1.8","-0.513","0","-0.7524","2.7","3.2499","2.6311","2.3","-0.4788","3.0529","3.0311","3.9392","3.5453","1.7727","3.2909","3.9392","2.5","1.7"
"466900","0.65","0.8","0.6","1.0927","0.7071","0.9","0.65","0.75","0.7","1.2856","1.1818","0.6428","0.4788","0.7","0","0.2257","0.5472","0.5814","1.1491","1.4","1","0.7713","0.5814","1.3499","2.7578","1.85","0.2084","0.4788","0.7524","0.2431","0.2952"
"466910","1.5588","1.5","-0.2952","0","0","2.0681","-2.0681","-0.3473","-0.4689","-0.903","-1.95","-1.5049","-0.573","0","0","0","0","0","2.8559","2.5981","-0.6946","-0.2257","-0.684","1.1629","-0.6772","-0.6078","0","0","4.2347","0.4168","-0.573"
"466920","3.3483","2.913","2.2651","2.9544","3.4468","2.7575","2.5605","3.0529","2.1666","0.9","2.7575","2.0681","2.2","1.8","0.8","-0.766","1.6087","2.7575","3.8408","3.6438","2.9","0","3.1","4.4316","4.5301","4.2347","1.4772","4.3332","4.7271","3.1","1.8711"
"466930","1.75","1.6","-0.7071","0.7866","1.2213","1.0945","-0.6498","1.4","1.1287","-2.3","-1.9151","-1.7321","-0.9642","-0.7071","-1.1818","-1.0833","-0.8999","-1.2","1.0603","1.2257","-0.6","0.6062","1.8","1.65","1.3856","0.9959","0.5362","1.6712","2.25","1.6","1.35"
"466940","1.607","1.9926","1.4141","1.9284","1.8794","1.95","3.0211","2.1","0.9203","1.094","3.2","0.9551","0.6599","0.6078","0.573","0.5904","0.9898","1.6417","2.5372","1.8794","2.0681","-0.95","2.5712","2.1651","2.5","2.6","1.2257","3.1177","2.5981","0.4341","2.7"
"466950","4.5197","3.5353","2.4","2.9","6.6684","4.0496","5.6565","4.6923","2.4625","3.1808","4.95","2.6336","2.1547","0","1.3892","1.3545","0","0","4.8864","5.9201","6.4952","1.9153","6.4348","5.4164","7.8934","9.7728","6.9282","7.188","5.8104","5.2091","4.65"
"466990","0.8208","2.2981","1.4","-2.3383","-2.4432","1.8641","2.4426","2.5069","-2.7713","2.6354","3.8567","2.6812","2.911","2.2498","-3.0642","-2.5981","3.1497","2.1212","-2.1613","-2.2517","-2.7251","-2.7251","-3.8527","-2.0673","-1.8711","-2.2517","-2.2981","-2.5372","0","1.65","2.5712"
"467060","-2.2553","-2.8559","-2.9544","-2.6311","-1.8794","-2.1","-2.9","-3.101","-2.5981","-2.913","-3","-3.7423","3.0311","-3.3483","-3.8408","-3.4468","-3.195","2.5279","-1.5035","-2.4432","2.6997","-2.5372","-2.5981","-1.1276","0.9235","0","0.8208","-1.299","-1.6742","-2.2553","0.8208"
"467080","-2.3","2.913","2.5981","2.6311","1.2","-1.7854","-1.7","-2.2651","-2.0681","-1.6454","-1.7727","-2.9","0","0.5209","-1.6712","0","-0.5557","-0.573","-1.9696","-1.9","2.8191","2.2651","1.8385","-1.3787","2.1666","1.15","1.3789","1.3499","0.513","1.5588","-0.7071"
"467110","3.2043","3.3775","2.4513","2.6046","1.7","2.5712","3.677","2.05","1.75","4.1346","2.4","2.25","1.7","2.6311","2.314","1.35","2.8191","3.8105","2.1855","1.6712","-0.4689","0","2.6046","2.1855","1.5","1.9284","-0.2952","3.1408","2.8344","2.2981","2.8344"
"467300","2.4967","3.7622","3.6938","3.3518","0","2.9414","4.7541","4.6857","4.4805","5.1987","5.6775","5.0961","4.3437","1.7712","2.0664","1.9622","2.2922","4.4463","2.6678","0.8509","-2.0683","0","0","0","0","0","-0.7293","0","0","0","2.379"
"467350","1.8469","2.0863","1.8469","1.8469","1.3681","1.9153","2.3257","2.1889","2.0179","2.4283","2.9072","2.7362","2.1547","1.7443","1.8811","1.6417","1.0593","2.2573","1.6759","0.4862","-0.6","0.2778","1.4707","0.7293","0.6251","0.573","0","1.2655","1.5733","1.4707","1.094"
"467410","-1.5588","0.4689","1.7","0.7182","-1.6742","0.8551","0.9577","1.4","0.6078","1.3681","1.7","1.2313","1.45","1.0945","0.6078","0.6251","0.7641","0.6251","0.85","1.2856","-1.0285","0.8551","1.25","0.3299","0.6498","-1.1491","0.6156","-1.5757","1.1","0.9919","0.8161"
"467420","-1.6914","-0.4341","0","-1","-0.9","0","-0.4168","0","-0.573","0","0","0","0","0","0","0","-0.6599","0","0","-1.3856","-1.3856","0","-1.4784","-0.2952","-0.7","-0.8","0","-1.5035","-0.684","0","0"
"467440","-1.5975","-1.8","-1.3787","-0.513","1.2257","-1.8","-1.5035","1.1491","-1.3023","-0.2952","-0.4788","-1.4","-1.1","-1.3856","-0.2084","-0.9642","-0.3473","1.0725","-1.7","-1.299","0.6156","-1.3499","-1.6454","-1.7727","-1.1258","-1.0392","-1.0725","-0.9959","-0.766","-1.1491","-0.4168"
"467480","-1.0337","-1.0927","-0.6498","0","-1.3","-0.2778","0.2605","0","0","0.382","0.3994","0.382","0.3299","-0.2778","0","0.3126","0","0.382","0.2084","-1.0833","-1.0833","-0.8999","-0.8426","-0.6428","-0.766","-0.766","-0.8863","-1.5035","-1.0833","0.2605","0"
"467490","-0.6","-0.2605","-0.5472","0.2431","-0.6062","-0.2778","0.3126","0.3647","0.382","0.5036","0.4515","0.4689","-0.3126","-0.5472","0.4168","-0.3299","0.4341","-0.3994","-0.8426","-0.9397","0.7794","-0.6894","-0.4104","-0.191","-0.6894","-0.6894","-0.3762","-0.2736","-0.3762","-0.513","0.4515"
"467530","0.5785","0","0.55","1.0833","0","0.1042","0.1042","0.7878","0.1736","0","0.5362","0","0.3762","0.7071","0.85","0.85","1.1258","-0.9","1","-0.2736","-0.1563","0","1.0833","-0.3078","-0.3078","0.5362","0","0","-0.1736","0.4","-0.766"
"467540","2.0569","1.35","1.25","1.9926","0.5557","1.4","2.314","2.4426","1.8641","1.9926","2.6354","1.8641","1.2213","1.299","-1.3156","-1.3156","1.2313","0.3994","0.5209","1.7998","1.55","-1.7854","1.75","0.5209","1.85","1.85","1.5427","2.2498","1.1","1.05","1.1287"
"467550","-1.0603","-2.3783","2.5712","0","0","2.913","0","0","0","1.0945","-1.2856","2.5981","1.2","0","-0.6425","0.6078","0","-3.7","-4.9804","1.5427","-3.1514","-4.1346","-0.5036","-3.5453","-1.9495","0.8682","0","0","-4.3","-4.5301","-3.2889"
"467571","0.8208","0.9577","0.3994","0.8208","1.8187","1.0261","2.0569","1.0945","1.0261","1.7355","1.45","1.0945","0.8551","0.7866","0.8208","0.9235","0.8893","0.9919","1","1.1276","1.0833","-1.0392","1.35","1.4772","1.2216","1.2","0.7794","2.1613","1.9053","0.6156","0.8893"
"467590","3.6004","2.8283","2.35","2.8925","3.4641","1.9","3.05","2.95","2.1855","1.95","2.7","2.45","0.95","1.3","0.7","0.684","-0.7713","3.7536","2.8283","2.3747","1.8","1.9053","2.1449","1.4707","1.85","2.8925","2.3747","2.7713","1.8187","1.7","2.4"
