"stno","X2015.07.01","X2015.07.02","X2015.07.03","X2015.07.04","X2015.07.05","X2015.07.06","X2015.07.07","X2015.07.08","X2015.07.09","X2015.07.10","X2015.07.11","X2015.07.12","X2015.07.13","X2015.07.14","X2015.07.15","X2015.07.16","X2015.07.17","X2015.07.18","X2015.07.19","X2015.07.20","X2015.07.21","X2015.07.22","X2015.07.23","X2015.07.24","X2015.07.25","X2015.07.26","X2015.07.27","X2015.07.28","X2015.07.29","X2015.07.30","X2015.07.31"
"466880","-1.8385","-1.0285","-0.7713","1.1276","2.5115","1.5035","1.2124","2.3383","2.5115","-2.314","-3.2782","-1.157","1.2216","-0.4446","1.0337","1.1258","1.3856","1.1258","-0.65","0.9526","0.866","-0.6428","0.6928","-0.4","-0.8426","-0.5472","-0.3762","-0.55","-0.342","-0.2736","-0.1736"
"466900","-1.6087","-1.5975","-0.9193","0.3126","2.0785","2.0683","1.6454","3.4769","0.7866","-2.25","-2.5279","-1.2257","-1.0725","-1.2216","-0.9193","1.0725","1.0285","0.6498","-0.8426","0.191","1.3156","-0.9848","0.75","-1.3023","-1.1491","-1.3023","0.8","1.157","0.9","1.0927","-1.1491"
"466910","1.3499","0.3299","0.2605","-0.3299","0","-0.712","0","0","-0.7467","0","-1.1971","0.3647","0","-0.2952","-0.3299","0","0.2084","0","-0.3473","0","-0.2084","-0.2952","0.191","-0.3299","0.5472","1.05","0.95","0.382","-0.2952","-0.2431","0.2431"
"466920","-2.659","-1.6742","0.191","-1.0285","3.9392","2.8559","2.2553","4.924","2.8191","-2.911","-4.2347","-1.5","-0.513","1.5","1.3787","1.4772","1.8711","2.0681","0.1736","1.5","1.4772","1.1818","0.1736","0.2257","0.2257","0.684","0.513","0.4446","0.3078","0.2084","0.191"
"466930","-1.3787","0","-0.5196","-0.191","1.3787","-0.3762","-0.342","-0.85","-1.9","-1.7998","-2.0785","-0.7071","-1.1258","0.45","0.4596","0.5196","0","0.7794","-0.2052","0.45","0.45","-0.3759","0.3857","0","-0.6128","-0.9397","-0.5785","0.1736","-0.1216","0.2394","0.433"
"466940","-3.6438","-0.8208","-0.2778","-0.3473","2.4249","1.9284","2.5372","2.5981","0.7814","-3.15","-5.456","-1.75","-1.2","1.9151","1.4555","1.5427","1.6087","2.2","1.4555","0.6","0.75","1.2213","-1.2257","1.3023","-1.8385","-1.8385","-1.55","-1.7355","-1.8385","-1.8385","-1.607"
"466950","-8.054","-5.2195","1.0603","1.2997","6.5982","6.4952","5.1095","9.0067","1.476","-10.25","-20.5825","-9.1","-4.5033","-1.25","1.35","4.3301","4.3","4.5899","0","3.1408","1.6759","1.3339","2.5069","0","-5.0225","-7.1891","-5.318","1.8","-2.6997","1.7101","0"
"466990","2.659","2.4432","-2.5115","1.05","0.95","0.5557","0.7988","-2.8344","2.1","-1.7321","-1.9919","1.4","-2.3383","2.3635","1.7619","-1.6853","-2.0785","-1.6712","0.8856","0","0.4341","1.25","1.1","1.6454","2.3635","2.4432","1.25","-1.9917","1.1629","-2.3383","-2.1449"
"467050","-6.6207","-6.8178","-2.911","1.8","3.6004","-2.3635","1.8469","3.007","3","2.5309","-7.3921","-6.205","-2.911","1.05","-0.382","-1.25","-0.9577","0.8551","-3.2782","-2.5069","-2.75","-5.7851","-5.2828","-4.3301","-4.9027","-4.4995","-4.2132","-3.3425","-3.2174","-1.1287","-2.7251"
"467060","-0.9526","0.9959","-0.9526","1.15","1.0261","1.0603","1.4023","0.6599","0.3126","-2.7251","-0.7518","-1.2216","-1.6454","-1.1818","-1.3156","1.1","-1.5035","1.55","0","-0.866","1","0.8","-1.299","1","1.1491","-1.2803","0.75","-1.5321","1.5035","1.05","-1.8187"
"467080","1.7727","1.9","-2.0681","-1.9696","3.007","3.1177","2.3747","3.1177","2.2215","-2.9876","1.7619","1.9696","-1.5757","-1.9919","1.8","2.3635","2.1666","-2.462","1.8187","1.2216","1.15","1.6914","0.85","-2.1666","-1.4722","-1.8711","-1.5975","-1.8794","0.95","-2.1666","2.1"
"467110","-1.9917","-1.4784","-1.3023","3.1514","2.5115","2.913","2.8579","2.4513","4.5033","-0.2952","-3.7","-0.7182","0.4788","0.2778","-0.513","0.513","1.0285","3.007","2.8344","-0.7641","-2.4","-2.6812","-2.3383","-2.2517","-1.7321","-1.9919","-1.7321","-1.3789","-2.4","-1.3856","-1.3856"
"467300","-5.2857","-4.1781","-2.7713","1.4365","1.7712","1.4934","2.9756","3.1124","1.5802","1.7365","-4.05","-4.3","-2.8191","-1.4141","-0.684","0","-1.4784","0.6251","-1.7886","2.0317","1.7712","-1.1634","-1.2155","-3.15","-4.2424","-3.0211","-3.1177","-2.5115","-1.8385","-0.4689","-2.9"
