"stno","X2016.02.01","X2016.02.02","X2016.02.03","X2016.02.04","X2016.02.05","X2016.02.06","X2016.02.07","X2016.02.08","X2016.02.09","X2016.02.10","X2016.02.11","X2016.02.12","X2016.02.13","X2016.02.14","X2016.02.15","X2016.02.16","X2016.02.17","X2016.02.18","X2016.02.19","X2016.02.20","X2016.02.21","X2016.02.22","X2016.02.23","X2016.02.24","X2016.02.25","X2016.02.26","X2016.02.27","X2016.02.28","X2016.02.29"
"466880","1.9734","2.0673","2.5372","0.6578","0.9642","1.4784","-0.5","0.9397","-0.3762","-0.3762","-0.3762","0.3","-0.6","1.3856","1.8794","2.1613","2.2553","1.9053","-0.342","1.7321","3.3829","-0.7878","0.9959","2.913","3.101","2.3492","-0.3857","1.7854","3.101"
"466900","1.3339","0.9577","0.6156","0.382","0.5209","0.5383","0.3126","1.4555","-1.6454","1.4784","1.1","-0.766","1","1.1971","0.8208","0.5785","1.0833","0.6062","-0.7","0.3647","2.8579","-1.8187","0.5209","1.25","0.7","0.7518","-0.2084","1.2","1.3"
"466910","-1.1971","1.9053","0.5036","0","-0.9898","0","-0.712","-0.4689","-0.5036","-0.5557","-0.7182","0.5472","1.0603","-1.4023","-0.6772","0.5209","0.6772","2.1212","-0.5383","0","0.8856","-0.3473","-1.3681","-1.607","0.9551","1.5391","-0.5557","-0.2952","1.6712"
"466920","2.6847","2.1651","2.6847","1.2124","-1.0392","-1.1491","0.4788","1.1491","1.1491","1.3","1.0833","0.6128","0.4446","1.9053","1.8385","2.6311","2.6311","2.7713","-1.3787","0.6498","3.8971","-1.1","1.4722","3.2909","3.3775","2.7251","-0.7713","2.0785","2.6046"
"466930","2.35","2.2","1.9153","1.2655","1.0261","1.2856","-0.2431","0.8426","0.8426","1","-0.45","-0.4698","-1.1276","2.05","1.95","2.1","2.2","1.8641","-0.3939","1.55","1.8641","0.4924","1.7","1.8641","2.3783","1.9495","0.2257","0.6","1.65"
"466940","1.3371","1.0766","2.6046","0.4168","1.0766","1.1287","0.6772","-1.3","-0.684","0.4689","-1.7998","0.9959","0.95","0.9377","1.0593","1.9151","1.2216","0.866","-2.2981","0.8682","3.0311","0","0.9551","3.05","3.8971","2.7713","0.4862","1.05","2.55"
"466950","3.6596","3.3176","7.2008","4.35","1.5976","-1.9449","-1.9495","-2.4426","4.8497","3.9332","3.9332","-2.2498","-4.7924","1.8407","1.6149","5.2091","6.8416","8.2693","-3.0098","-1.9101","8.6452","3.386","1.7712","5.8","8.6563","7.5072","2.4625","3.1408","4.65"
"466990","3.8567","1.8641","1.5427","0","2.9568","4.5963","-2.1613","-1.7619","-2.9445","-2.4513","-2.0673","1.7355","-2.3492","3.921","3.2782","-1.7854","0","-2.5","-2.4249","2.6354","1.6712","-2.7713","3.2139","4.8852","2.5069","1.2","2.1855","1.4784","4.1781"
"467050","5.6","6.2993","5.6565","4.3067","2.8388","4.15","3.0211","1.55","-1.6454","1.0927","0.5036","1.4772","-4.6","4.25","4.45","4.5197","4.5963","2.764","1.1971","4.371","5.5921","1.25","4.65","7.1992","7.2008","4.4995","2.25","2.1","5.7851"
"467060","0.6599","-4.4316","-4.0407","-2.7575","-3.6438","-3.6438","-3.7423","-2.3383","2.5712","2.5069","1.9053","-1.6454","-2.3383","1.3339","-3.1","-3.3","-2.6311","-2.3747","1.9284","-3.6","-1.7619","1.4","0.6078","-3.1514","-2.0673","-3.5","-2.0785","-1.9734","3.4641"
"467080","1.7321","-1.2803","-1.5035","-1.2803","0.8893","-1.0603","-1.5427","1.6","1.8187","-2.1666","1.5588","1.5035","-1.8711","2.7713","0.382","-1.3789","-1.7","-1.4095","-1.35","-0.4862","-1.1276","-1.7727","0","1.0285","-1.2","-1.299","1.6742","1.5757","3.2174"
"467110","3.6004","2.911","2.7578","2.0569","2.8579","3.2909","1.7355","1.157","0.382","0.2952","0.8356","0.8999","-0.3647","3.3775","3.4641","2.7713","2.0683","1.607","0.2257","2.9445","3.2174","1.299","4.1569","3.6004","3.2174","1.9284","0.95","0.3126","4.1569"
"467300","5.8485","5.4381","4.3095","4.3095","5.1303","6.0538","4.6515","4.65","2.35","2.2","6.4997","1.7785","0.8335","2.3941","5.2671","3.7964","1.5802","2.8046","1.4239","5.0277","3.3176","3.4","4.9251","6.0196","4.6515","4.0358","1.6323","3.044","4.5147"
"467350","1.476","0","0","0","0","0","0","0.6599","-0.4689","0.4168","0.9919","0.4341","0.4689","0.8509","1.3197","0","0","0","-0.6772","1.2503","0.9898","0.6772","0","0","0","0","0","0","1.1113"
"467410","3.05","3.0211","2.6997","3.2782","3","5.1423","3.2139","3.1177","1.8711","1.6742","2.7575","0.5036","0.4168","2.913","5.318","2.9","2.7575","3.4769","3.7423","4.9804","1.8794","2.462","4.2435","4.2286","2.2517","3.8527","3.7239","2.913","4.1569"
"467420","1.0593","0.7988","0.6772","0.7988","1.0766","1.3545","0.7988","0.5383","0.5472","0.2257","1.15","1.3","1.2","0.5036","0.903","0.4515","0.4341","0","0","0.8682","0","0.382","0.8682","0.7814","-0.3994","-0.6251","0.712","0.5209","0"
"467440","0.4689","-0.382","0","-0.4341","-0.6251","0","0.4689","0.7524","1.5321","0.55","0.7866","-0.3994","-0.513","-0.3647","-0.4341","0.513","-0.3473","0.7866","-2.0683","0.3994","-1.3023","0.6156","-0.382","-0.3299","-1.4555","0.3994","-0.5557","-0.3299","-1.6853"
"467480","0.7814","0.573","0.9577","0.5383","0.8335","1.9837","0.9919","0.7524","0.2084","0.6","-1.2856","-1.1491","-1.6087","0.4341","0.6425","0.4788","0.45","0.3126","-0.3299","0.6078","-0.9848","0","0.6078","0.5383","-0.5","0.382","0.4168","-0.5472","0"
"467490","-0.573","-0.4341","-0.2952","-0.3299","0","0","-0.3126","-0.1563","-0.1042","-0.0868","-0.45","-0.1563","-0.513","-0.6498","-0.4862","-0.6428","-0.3857","-0.1389","-0.2084","0","-0.2736","-0.55","-0.4515","-0.4168","-0.5785","-0.65","-0.513","-0.4","0"
"467530","1.0927","-1.6914","0.2084","0.4788","-0.9959","-1.2803","0","1.5975","0.4104","0.6","0.8356","0.55","0.513","-1.7","-2.659","-2.2","-0.8356","-0.1736","-1.2803","-1.1818","0","1.0725","-1","-1.5","-0.766","-0.9848","-0.5785","-1.0337","-0.4104"
"467540","2.3783","1.1287","2.1855","1.6712","0.9919","1.3681","1.0945","1.4141","1.4141","0.8208","-0.9193","-2.7713","-0.8551","1.7998","0.8551","0.5814","1.9284","-1.3023","-1.5035","1.8","1.5391","-1.4722","1.85","2.4","2.45","1.9926","0.6498","0.9235","2.764"
"467550","-7.0906","-6.9921","-6.2043","-7.3861","-6.5982","-5.7","-3.8567","-1.8","-4.7","-5.8261","-4.4995","-4.5033","-6.4013","-6.5","-4.6","-5.4","-4.1362","-4.2347","-4.6286","-4.2435","-6.7","-5.3","-3.5708","-3.8527","-3.9","-4.7","-5.0743","-3.9392","-3.6438"
