"stno","X2010.03.01","X2010.03.02","X2010.03.03","X2010.03.04","X2010.03.05","X2010.03.06","X2010.03.07","X2010.03.08","X2010.03.09","X2010.03.10","X2010.03.11","X2010.03.12","X2010.03.13","X2010.03.14","X2010.03.15","X2010.03.16","X2010.03.17","X2010.03.18","X2010.03.19","X2010.03.20","X2010.03.21","X2010.03.22","X2010.03.23","X2010.03.24","X2010.03.25","X2010.03.26","X2010.03.27","X2010.03.28","X2010.03.29","X2010.03.30","X2010.03.31"
"466880","0.8863","1.4095","1.0833","-0.5","-0.8457","1.5","4.1362","1.7","0.3473","3.3","1.9696","1.1","-0.1042","-0.171","1.3787","4.8256","1.4722","1.6914","-0.5196","-0.6578","4.3226","1.2216","0","1.3787","0","4.1362","3.101","3.2","4.5301","2.659","-0.4"
"466900","-0.8426","0.2431","0","-0.6128","-1.1491","0.684","1.2655","0.7866","1.0261","1.25","0.7182","1.05","0.85","0.7","0.95","1.1287","0.382","0.2257","-1.1491","-1.2257","0.9919","-1.7321","0.8356","0.9919","0.9919","1.5321","1","0.7524","2.1449","2.3783","0.7713"
"466910","0.3126","0.4341","-0.4515","0.8","0.3473","0","3.8527","-0.9919","-1.3545","0","-0.8551","-0.1389","0","0","3.5453","3.1","2.5","0","0","0","4.5105","-0.3299","-0.2778","0.6498","-1.2676","1.1629","2.0569","2.6847","0","0","-0.2952"
"466920","1.299","2.0673","-1.2257","0.9526","1.4095","2.5372","4.6045","2.0681","0.95","1.1287","2.3492","1.4","1.4095","0.3762","1.1","4.6985","2.2517","2.7251","0","0.6","5.1683","1.2124","-0.6928","2.2517","0.7","3.7239","3.101","2.7713","4.4166","3.2889","-0.9959"
"466930","-0.8457","-0.9397","-0.45","-0.6128","-0.6428","-0.7794","1.0261","0.7524","1.0945","-1.9696","1.2216","0.6894","0.45","0.7518","1.05","2.0863","0.6","-0.6894","0.6894","-0.7713","1.6075","0.766","0.5785","-0.6062","1.0945","1.4","1.1287","2.25","1.4722","-0.4788","0.6428"
"466940","-0.5814","0.9642","0.6498","1.299","1.2124","0.8551","1.9495","1.1971","2.2915","1.6759","2.0785","-1.3499","-0.5472","0.9959","1.8641","2.6","-0.2952","1.2213","-0.7524","-1.05","3.2909","1.0285","0.3473","0.9235","3.15","3.7924","1.8641","3.2139","3.195","0","1.6454"
"466950","2.4","0.9724","4.2435","-3.2043","-3.4472","2.1547","3.1124","2.9756","0","0","3.35","5.2","3.9","5.6687","4.1138","3.3518","4.3332","0.8161","3.35","-5.2195","6.971","3.6","3.3775","2.0863","0","5.7208","5.9756","2.9414","7.3861","5.65","4.3"
"466990","-2.9445","1.65","-0.3647","0.6599","0","1.55","2.55","-1.7854","3.5996","2.5712","-2.0673","-2.9445","-2.3383","-2.4249","1.4707","3.1497","0.8","-2.2","-3.4472","0.8335","1.1629","-2.4249","-2.2517","1.55","4.5197","1.9","-2.3492","2.314","1.9926","-2.2517","-3.0311"
"467060","-1.9696","2.7575","-1.9919","-1.5588","1.4555","1.4141","2.5712","-1.9919","2.2","2.2498","-2.5372","-2.913","-1.8794","-2.7575","-2.5","0.6599","-1.4772","-1.7321","1.1629","-1.6454","-2.3635","-1.3789","-2.3492","1.6712","1.6075","0.573","-2.0673","2.2981","-2.0673","0.4689","0.5557"
"467080","1.0927","0","0.9642","1.5035","1.5757","1.7854","-2.1666","-1.3","0.6946","2.5069","-1.7727","-1.7854","1.4","0.9","2.3383","2.3747","1.3156","1.9734","1.7","1.3023","-2.0673","1.4095","1.8","1.7854","0","-1.8794","-1.3856","-2.0683","-2.2651","0.7182","-2.2651"
