"stno","X2010.07.01","X2010.07.02","X2010.07.03","X2010.07.04","X2010.07.05","X2010.07.06","X2010.07.07","X2010.07.08","X2010.07.09","X2010.07.10","X2010.07.11","X2010.07.12","X2010.07.13","X2010.07.14","X2010.07.15","X2010.07.16","X2010.07.17","X2010.07.18","X2010.07.19","X2010.07.20","X2010.07.21","X2010.07.22","X2010.07.23","X2010.07.24","X2010.07.25","X2010.07.26","X2010.07.27","X2010.07.28","X2010.07.29","X2010.07.30","X2010.07.31"
"466880","-1.7727","-1.7854","-2.3492","-2.8191","-2.7251","-2.7251","-0.8551","-1.5","-1.0927","-1.6914","-2.2651","-0.2431","-0.3762","0","-0.4788","-0.2778","-0.5472","2.6","-0.5472","-0.3762","1.9","2.5605","1.8794","1.2","1.1258","-1.0725","-1.0392","-1.7321","-1.4095","-1.2216","-0.3762"
"466900","-0.766","0.7713","-1.2216","-1.8711","-1.8794","-1.6914","-1.7727","-1.3156","-1.2216","-1.2124","0.513","0.7","0.9642","0.9642","0.85","1.1","0.9","0.95","0.5472","-0.8426","1.3023","1.3","1.05","0.6156","1.2","0.65","0.95","-1.6853","0.2952","0.5814","-1.0927"
"466910","0","0.6498","2.2553","2.5605","0.8208","1.25","1.15","0.7866","1.6454","0.5814","1.05","-0.4788","-0.2778","0","-0.4862","-0.4168","-0.5904","0","-0.2431","-0.2257","0","-0.8335","0.3473","0","0","0","1.6712","1.0603","0.6498","0","0"
"466920","-1.2803","-0.8356","-1.4555","-2.2651","-2.4432","-2.7575","-2.3492","-1.5","0.684","0.8","0.9","0.9642","0","0.8","0.2257","1.4095","1.8711","2.7","0.75","0.7713","2.6","3.0529","2.1613","1.3787","1.6742","-0.6","-0.3762","-1.3856","0.95","0.8999","0.9642"
"466930","-0.9848","-1.2803","-1.0285","-1.3499","-1.5757","-1.2124","-0.7","-0.7713","-0.9526","-0.45","-0.4104","0.1563","0.5362","0.45","0","-0.3078","0.9397","0.766","0.5142","-0.5196","0.1563","-0.4104","0.766","0.433","-0.1563","0.766","-0.6894","-1.0725","-1.2124","0.6428","-0.2736"
"466940","1.157","-2.0673","-1.9926","-3.3706","-4.1346","-2.911","-2.1855","0.684","-1.6087","0.382","1.4141","0.4689","1.6853","-1.3499","0","0.9235","1.9917","1.9926","1.7355","1.4784","1.6712","2.1212","1.8641","1.607","1.9917","0.9235","-1.4722","-2.4513","-0.8208","1.157","1.6087"
"466950","-6.6","-7.0906","-7.3861","-13","-11.0298","-10.9","-8.7","-5.4502","0","1.5733","2.4967","1.9837","2.702","2.5309","2.7704","3.3","5.456","3.3775","2.9","1.9495","2.2231","5.8024","5.456","8.5737","8.2272","4.7","0.903","-9.7496","0","0","1.5391"
"466990","0.5383","2.5605","2.8559","-2.3383","-1.4141","2.5605","-2.5981","-2.1651","1.9734","-2.3383","-2.9876","1.3339","-3.0642","-2.6812","-2.9876","1.6","-1.7619","2.3635","-2.7713","-2.3747","-2.5115","-1.9917","2.8559","-0.5557","-1.8711","-1.7321","-1.9053","-1.9053","0.8208","-2.5115","-3.6373"
"467060","1.5035","1.7","1.6454","1.7854","2.2517","1.8","1.7854","-2.2","1.2","-2.5372","1.2","1.1287","0.5209","0.9919","1.7","1.85","1.8641","-2.2517","1.4","1.75","1.4","2.3","0.6498","0.4689","2.05","1.0261","-0.6928","-2.0681","-2.2553","1.6","0.7866"
"467080","1.0725","1.5035","-1.5588","1.6914","1.5035","1.6742","1.7727","-1.4772","-1.8711","1.5035","1.25","0.8551","-0.382","-1.7727","1.7619","2.7575","2.9","2","-2.0681","0.7182","3","3.1177","2.0681","-1.8711","2.7251","0.8","-0.5785","0.7","1.5757","-1.4722","0.5814"
