"stno","X2015.02.01","X2015.02.02","X2015.02.03","X2015.02.04","X2015.02.05","X2015.02.06","X2015.02.07","X2015.02.08","X2015.02.09","X2015.02.10","X2015.02.11","X2015.02.12","X2015.02.13","X2015.02.14","X2015.02.15","X2015.02.16","X2015.02.17","X2015.02.18","X2015.02.19","X2015.02.20","X2015.02.21","X2015.02.22","X2015.02.23","X2015.02.24","X2015.02.25","X2015.02.26","X2015.02.27","X2015.02.28"
"466880","3.5708","2.6847","1.5035","1.2216","1.8794","1.9053","0.9397","2.3492","1.2216","1.5975","-0.2052","-0.65","1.7321","1.1276","-0.4","1.4095","3.2889","3.6648","3.8527","1.1258","-0.1026","1.3856","-0.6128","0.9526","-0.2394","0.8457","2.1613","0.6128"
"466900","1.299","0.2084","0.3126","0.4689","0.3994","0.4596","0.2431","0.5036","0.75","0.7878","-0.9397","0.3473","1.5","2.1212","1.3499","1.0285","1.3787","-1.0392","1.5427","1.15","0.4104","0.191","-0.1042","0","-1.1258","0","0","0.3994"
"466910","1.85","1.7","0","-1.0261","-0.7641","1.35","-0.5814","-0.8682","-1.2","0.4168","0","-0.8509","0.4515","-0.5904","-0.2778","-0.3994","2.2215","1.2997","1.2313","0","0","0.4341","-0.3762","0","0","1.5757","2.0569","0.3299"
"466920","4.2347","4.4316","2.2651","1.9696","2.0681","2.659","1.2803","1.8385","1.9696","2.2651","-0.2052","-1.3789","2.3635","2.2553","-0.766","1.8711","4.5301","4.6286","4.5301","1.5757","-0.1042","2.1666","1.2803","1.7727","-0.5142","1.5757","3.0529","1"
"466930","2.1855","1.6","1.2","1.5","1.1629","1.1287","1.2","0.9919","1.5","1.45","0.6128","1.6087","1.5588","-0.65","-0.6128","0.65","1.1971","2.25","2","0.7518","0.5196","0.75","-0.5638","0.9397","0.6578","-0.8426","1.15","-0.3"
"466940","2.7575","1.4722","1.607","0.7293","2.1547","1.299","1.2856","2.2573","3.2782","1.7854","-0.6498","0","1.9919","1.4","1.45","2.0683","2.9445","3.2909","2.9445","0","1.3023","1.1491","0.4446","0.6498","1.6853","0.382","0.4168","0.3647"
"466950","7.4236","7.3861","7.188","5.078","2.873","6.108","7.7994","4.5","3.95","4.3665","3.1514","0","4.4167","3.7622","3.3176","6.108","7.5175","8.0814","7.2746","3.1808","0","6.2959","6.2959","5.5","4.4167","3.4711","8.2693","-2.0179"
"466990","-0.5209","-1.3856","-2.913","3.4068","3.7924","-1.3789","-1.7854","4.8852","-1.9696","-1.8","-2.3492","2.3747","-1.3023","-2.0683","0.573","0.8208","0","1.55","1.7","-2.3747","-2.4513","1.9284","-2.1666","-1.9919","-2.5115","1.7","1.9","1.2"
"467050","5.4637","2.9568","3.35","4.1","4.35","4.06","2.15","6.235","5.4637","3.1497","-0.3647","1.75","3.0529","-2.1613","1.05","1.0261","4.3067","5.8494","5.2709","1.05","1.2213","3.2782","2.5712","2.2498","-1.6454","2.5069","3.5","2.6354"
"467060","-1.3856","-1.2803","1.2","-2.5","-2.3","-2.3635","-1.7727","-3.2499","-3.1514","-1.9696","-1.5035","-2.3","-2.1666","1.1287","-1.299","-1.7","-1.2124","-1.5975","-1.3787","-1.5035","-1.3156","-1.4772","-1.1276","-1.7321","-1.5757","-1.6914","-0.9526","1.3856"
