"stno","2018-06-01","2018-06-02","2018-06-03","2018-06-04","2018-06-05","2018-06-06","2018-06-07","2018-06-08","2018-06-09","2018-06-10","2018-06-11","2018-06-12","2018-06-13","2018-06-14","2018-06-15","2018-06-16","2018-06-17","2018-06-18","2018-06-19","2018-06-20","2018-06-21","2018-06-22","2018-06-23","2018-06-24","2018-06-25","2018-06-26","2018-06-27","2018-06-28","2018-06-29","2018-06-30"
"466880","1011.2","1010.6","1008.1","1007.8","1008.1","1008","1005.9","1002.5","999.6","999.2","1000.6","1002.6","999.7","997.3","999.6","1004.4","1003.4","1002.9","1002.5","1003.6","1005.1","1006.4","1006.8","1008.4","1009.5","1009.9","1008.2","1005.2","1003","1003.7"
"466900","1010.5","1009.9","1007.6","1007.3","1007.5","1007.5","1005.5","1002.1","999.2","998.7","1000.1","1001.8","998.8","996.7","999","1003.8","1002.8","1002.4","1002.2","1003.1","1004.8","1006","1006.4","1008.1","1009.2","1009.5","1007.9","1004.8","1002.5","1003.1"
"466910","920.7","920.1","918.7","918.9","919.3","919.2","917.7","914.6","911.4","910.9","911.6","913.9","911.3","908.8","910.1","914.9","914.8","914.5","914.3","915.4","916.7","917.8","918.2","919.7","920.8","921.1","919.6","916.9","914.8","915.2"
"466920","1008.8","1008.2","1005.8","1005.5","1005.7","1005.6","1003.8","1000.4","997.3","996.9","998.2","1000.3","997.5","995","997.2","1002.1","1001.1","1000.6","1000.2","1001.2","1002.8","1004.1","1004.5","1006.1","1007.2","1007.5","1005.9","1002.8","1000.6","1001.3"
"466930","944","943.5","941.9","942","942.4","942.2","940.8","937.5","934.3","933.8","934.7","937","934.5","931.6","933.2","938.2","937.9","937.5","937.4","938.6","939.8","940.9","941.3","942.9","943.9","944.3","942.8","940","937.8","938.3"
"466940","1010","1009.2","1006.7","1006.5","1006.5","1006.4","1005.1","1001.6","998.3","997.6","998.8","1001.2","998.7","996","997.5","1002.7","1002","1001.2","1000.4","1001.6","1003.3","1004.7","1005","1006.6","1007.9","1008.2","1006.5","1003.3","1001.2","1001.9"
"466950","1001.5","1000.9","998.5","998.6","998.6","998.4","997.5","994","990.1","989.5","990.5","993.5","991.2","987.8","988.5","994.1","994.2","993.4","992.6","993.7","995.3","996.7","996.9","998.5","999.8","1000.3","998.5","995.3","993.2","993.8"
"466990","1009.5","1009.6","1007.2","1007.5","1007.6","1007.1","1006.2","1002.3","998","998.3","998.7","1002.7","999.9","995.9","996","1002.7","1003.4","1002.4","1001.8","1002.9","1004.2","1005.6","1006.2","1007.9","1009.2","1009.9","1008.2","1004.9","1002.4","1002.6"
"467050","1009.4","1008.9","1006.8","1006.5","1006.8","1006.5","1004.3","1000.6","998.3","997.7","999.2","1000.5","997.2","995.4","998.2","1002.6","1002.1","1001.6","1001.3","1002.1","1003.7","1005","1005.4","1007.1","1008.2","1008.6","1006.9","1003.9","1001.4","1002.2"
"467060","1009.9","1009.5","1006.8","1007","1006.9","1006.8","1005.7","1002.1","998","998","998.7","1002.1","999.7","995.9","996.9","1002.7","1002.5","1001.7","1001.1","1002.2","1003.9","1005.1","1005.6","1007.1","1008.2","1008.9","1007.1","1003.9","1001.7","1002.3"
"467080","1011.6","1011.4","1008.6","1008.8","1008.8","1008.7","1007.5","1004","999.7","999.7","1000.5","1003.9","1001.5","997.8","999","1004.4","1004.3","1003.6","1002.9","1004.1","1005.7","1007","1007.5","1009","1010.1","1010.8","1009","1005.9","1003.6","1004.1"
"467110","1009.4","1009","1006.8","1006.5","1006.4","1005.7","1004.9","1001.5","998.4","997.3","999.2","1000.7","997.5","995.2","998.2","1001.9","1001.4","998.1","1000.2","1001.5","1003","1004","1005","1006.5","1007.6","1007.9","1006","1003.2","1000.4","1000.8"
"467300","1006.2","1006.2","1004.6","1004.7","1004.9","1004.2","1002.9","999.2","996.5","995.7","997","999","995.3","991.5","993.8","998.7","999.5","999","1001.5","1002.6","1003.3","1003.8","1004.5","1005.7","1006.6","1006.9","1005.6","1002.9","1000.2","1000.4"
"467350","1009.7","1009.7","1008","1008","1008","1007.5","1006.3","1002.5","999.6","998.8","1000.4","1002.2","998.5","995.4","998","1002.6","1002.7","1002","1004.5","1005.4","1006.2","1006.8","1007.6","1008.9","1009.9","1010.2","1008.8","1006.1","1003.4","1003.6"
"467410","1007.3","1007.4","1006","1006.2","1006.7","1005.9","1004.4","1000.8","998.2","997.6","998.5","1000.6","996.9","993.4","995","1000.8","1001.9","1002.2","1004.5","1005.4","1005.6","1006.1","1006.7","1007.7","1008.6","1008.7","1007.5","1004.9","1002.3","1002.4"
