"stno","2012-02-01","2012-02-02","2012-02-03","2012-02-04","2012-02-05","2012-02-06","2012-02-07","2012-02-08","2012-02-09","2012-02-10","2012-02-11","2012-02-12","2012-02-13","2012-02-14","2012-02-15","2012-02-16","2012-02-17","2012-02-18","2012-02-19","2012-02-20","2012-02-21","2012-02-22","2012-02-23","2012-02-24","2012-02-25","2012-02-26","2012-02-27","2012-02-28","2012-02-29"
"466880","1018.8","1023.1","1022.4","1018.3","1016","1009.7","1017.2","1022.6","1019.9","1019","1020.8","1017.8","1017.7","1014.4","1013.6","1017.1","1020.8","1024.1","1023","1017.5","1013.2","1009.7","1009.1","1010.4","1013.1","1017.4","1016.6","1013.2","1013.9"
"466900","1017.9","1022","1021.6","1017.3","1015.3","1008.9","1016.5","1021.8","1019","1018.1","1020","1016.9","1016.8","1013.8","1012.7","1016.4","1020.1","1023.2","1021.9","1016.4","1012.6","1009.2","1008.3","1009.5","1012.3","1016.7","1015.8","1012.5","1013"
"466910","924.8","927.7","926.8","925.1","923.5","918.5","922","926.1","925.1","924.7","926.5","925.4","925.2","922.7","920.7","922.9","925.5","927.9","927.3","924.6","921.4","918.4","917.5","918","919.4","922.2","922","919.3","921.2"
"466920","1019.3","1023.7","1023","1019","1016.5","1010.1","1017.6","1023.2","1020.6","1019.5","1021.5","1018.4","1018.2","1014.8","1014.1","1017.6","1021.3","1024.7","1023.7","1018.4","1013.7","1010.2","1009.6","1011","1013.7","1017.9","1017.3","1013.7","1014.6"
"466930","949.3","952.6","951.7","949.6","947.8","942.4","946.8","951.2","950","949.4","951","949.9","949.4","946.6","944.8","947.3","950.4","953","952.2","949.3","945.5","942.4","941.4","942","943.6","946.9","946.5","943.9","945.5"
"466940","1017.2","1021.8","1021","1017.1","1014.3","1007.7","1015.5","1021.1","1018.6","1016.9","1019.6","1016.3","1015.9","1012.4","1012","1015.6","1019.2","1022.6","1021.8","1016.8","1011.2","1007.9","1007.5","1008.9","1011.8","1015.7","1015.3","1011.3","1012.6"
"466950","1008.4","1012.9","1012.2","1008.6","1005.5","999.3","1005.9","1012.3","1010","1007.5","1010.6","1008.1","1007.2","1003.7","1002.9","1006.3","1010.1","1013.6","1013.1","1008.6","1003.3","999.3","998.6","999.7","1002.3","1006.5","1006.4","1002.1","1003.9"
"466990","1017","1020.5","1020.4","1017.8","1014.6","1008.5","1012.5","1019.9","1019.5","1016.1","1018.9","1018.4","1016.6","1013.5","1011","1013.9","1017.5","1021","1021.1","1018.4","1013.6","1009.5","1007.1","1007.9","1010.1","1014.3","1015.1","1010.3","1013.7"
"467060","1017.1","1021.8","1020.9","1017.4","1014.3","1008","1014.4","1020.9","1019.1","1015.9","1019.5","1017.2","1015.8","1012.5","1011.3","1015","1018.8","1022.5","1021.8","1017.9","1012.5","1008.1","1006.9","1008.2","1011","1015.2","1015.2","1010.5","1013.2"
"467080","1019.1","1023.6","1023","1019.4","1016.1","1009.7","1016.2","1023","1021.2","1017.8","1021.3","1018.9","1017.6","1014.3","1012.8","1016.8","1020.7","1024.6","1023.9","1019.9","1014.3","1009.7","1008.5","1009.8","1012.7","1017.2","1017.3","1012.2","1015.1"
"467110","1018.7","1021.6","1022.1","1018.7","1015.2","1009.1","1014.3","1021.2","1020","1018.7","1020.8","1018.9","1016.6","1013.8","1012.6","1015.9","1019.5","1022.3","1021.9","1018","1013.1","1009.1","1007.7","1009.8","1011.9","1016.3","1016.5","1012.8","1014.1"
"467300","1014.3","1014.9","1016.1","1014.1","1011.7","1006.3","1008.4","1014.4","1014.3","1014.1","1015.1","1014.8","1012.8","1010.1","1007.9","1009.8","1013","1015.3","1015.6","1013.3","1009.5","1006.1","1004.8","1005.6","1006.3","1009.8","1010.4","1007.7","1009.2"
"467350","1019.1","1020.4","1021.2","1018.9","1016.2","1010.5","1013.9","1019.9","1019.4","1019","1020.2","1019.6","1017.3","1014.6","1012.8","1015.2","1018.7","1021","1021","1018.3","1014","1010.2","1008.9","1010.3","1011.4","1015.4","1015.7","1012.8","1014"
"467410","1016.7","1017.2","1018.4","1016.5","1014.3","1009.3","1011.1","1017","1017","1016.5","1017.5","1017.4","1015.4","1012.7","1010.5","1012.3","1015.5","1017.7","1018.1","1016.1","1012.3","1008.9","1007.5","1008.1","1008.9","1012.4","1013.2","1010.6","1011.9"
"467420","1016.9","1017.4","1018.7","1016.8","1014.4","1009.3","1011.2","1017.9","1018.4","1017.9","1018.8","1018.5","1016.5","1013.8","1011.5","1013.4","1016.8","1019.1","1019.5","1017.4","1013.1","1009","1007.4","1008.2","1009.7","1013.6","1014.4","1011.7","1013.1"
"467440","1018.3","1019","1020.2","1018.4","1016.1","1011.5","1012.6","1018.6","1018.8","1018","1019.2","1019.1","1017.3","1014.7","1012.1","1013.8","1017","1019.5","1019.9","1018.1","1014.3","1010.7","1009.3","1009.6","1010.3","1013.7","1014.7","1011.7","1013.6"
"467480","1016","1016.5","1017.9","1015.9","1013.5","1007.9","1010.5","1016.5","1016.3","1016","1016.8","1016.5","1014.6","1011.9","1009.8","1011.7","1015","1017.2","1017.5","1015.3","1011.5","1007.8","1006.4","1007.5","1008.3","1012","1012.4","1010.1","1011.1"
