"stno","2012-06-01","2012-06-02","2012-06-03","2012-06-04","2012-06-05","2012-06-06","2012-06-07","2012-06-08","2012-06-09","2012-06-10","2012-06-11","2012-06-12","2012-06-13","2012-06-14","2012-06-15","2012-06-16","2012-06-17","2012-06-18","2012-06-19","2012-06-20","2012-06-21","2012-06-22","2012-06-23","2012-06-24","2012-06-25","2012-06-26","2012-06-27","2012-06-28","2012-06-29","2012-06-30"
"467571","1004.7","1002.9","1000.1","1000.2","1001","1000.9","1001.2","1001.3","999.8","996.9","994.9","995.4","998.9","998.8","998.1","1001.7","1002","999.1","996.4","995.5","1002.8","1003.8","1002.1","1002.4","1002.7","1003","1004.2","1000.8","1001","1005.4"
"467590","1004","1001.5","999.9","999.7","1000.8","1001.8","1002.6","1004","1002.9","1000.4","998.9","997.6","1000.1","999.9","1000.3","1002.1","1003.1","1000.4","998.5","998.4","1004.2","1006.1","1005.1","1005.2","1004.6","1004.6","1004.8","1001.6","1002.6","1006.1"
"467610","1003.5","1000.4","998.2","997.5","999.2","1000.7","1000.1","999.7","998","996.1","993.4","993.9","997.9","998.3","997.9","1000.9","1001.9","997.7","995.3","993.9","1000.6","1002.8","1000.2","1000.9","1001","1001.9","1003.1","1001.6","1002","1004.8"
"467620","970.7","967.9","965.2","965.9","967.7","968.7","969.1","969.2","967.4","965.8","963.4","962.6","966.2","966.9","967.1","969.5","970","966.6","964.4","963.8","969.7","972.2","970.9","970.8","970.2","970.7","971.6","967.7","969.8","973.4"
"467650","897.8","895.7","893.7","894","895.1","895.9","896.7","897.9","896.4","893.5","891.9","890.7","893.3","893.2","893.3","896","896.7","894.1","891.9","890.3","897","898.8","898.1","898.4","898.1","898","898.7","895.8","895.6","899.4"
"467660","1006.9","1003.8","1001.6","1001.1","1002.7","1004","1003.6","1003.3","1001.5","1000.1","997.3","997.5","1001.5","1001.9","1002.1","1004.7","1005.5","1001.3","999.5","998.1","1004.4","1006.5","1004","1004.4","1004.8","1005.4","1006.8","1004.8","1005.5","1008.8"
"467770","1004.2","1002.2","999.7","1000.1","1000.8","1001.3","1001.8","1002.7","1001.5","998.3","996.7","996","998.8","998.8","998.7","1001.7","1002.4","999.5","997","994.6","1003.1","1004.4","1003.4","1003.7","1003.6","1003.7","1004.6","1001.5","1001.5","1005.7"
"467780","1006.1","1003.8","1001.6","1001.7","1002.9","1003.5","1004.2","1005.6","1004.5","1001.3","999.8","998.8","1001","1000.3","1001.2","1003.5","1004.6","1001.7","999.3","998","1005.7","1007.2","1006.4","1006.8","1006.3","1006.1","1006.7","1003.5","1003","1007.2"
"467990","1000.2","997.9","996.8","995","995.2","995.4","993.2","992.8","991.7","988.5","986.6","989.8","993.4","993.2","991.5","995.6","995.9","991.4","988.9","990","995.4","996","993.1","993.9","994","994.1","996.1","996.5","993.9","997.1"
"C0A520","1002.9","1000.6","998.9","997.7","998.7","998.5","998.5","998.8","997.3","994.1","991.8","993.2","996.7","996.5","996.2","1000.3","1000.3","997.3","994.9","994","1001","1002.2","1000.6","1000.9","1000.9","1001.1","1002.3","999.9","999.1","1003.3"
"C0A530","975.7","973.1","971.5","970.3","971.4","971.7","971.7","972.2","970.5","967.5","965.2","966","969.9","969.4","968.7","972.1","972.7","969.5","967","965.8","972.5","974.2","972.6","973","973","973.3","974.5","973.1","971.8","975.3"
"C0A540","965.1","962.5","961.1","959.7","960.8","961.5","961.3","961.7","960","957.1","954.9","955.5","959.4","959","958.1","961.7","962.4","959","956.5","955.4","962","963.8","962.2","962.5","962.6","962.9","964","962.8","961.6","964.9"
"C0A550","962.2","959.7","958.3","956.8","958","958.6","958.4","958.8","957.2","954.3","952","952.7","956.6","956.1","955.4","959","959.6","956.1","953.8","952.6","959","961","959.5","959.8","959.9","960.1","961.3","960.1","958.9","962.3"
"C0A560","963.5","961","959.6","958.3","959","959.9","959.8","960.3","958.6","955.5","953.3","954.1","958.3","957.6","956.8","960.3","960.8","957.6","955.3","954.2","960.6","962.5","960.9","961.3","961.3","961.7","962.8","961.2","959.9","963.5"
"C0A570","969.5","967.1","965.6","964.3","965.3","965.6","965.6","966.1","964.4","961.4","959.2","960","963.9","963.4","962.7","966.2","966.6","963.5","961.1","960.1","966.7","968.3","966.8","967.2","967.3","967.5","968.6","966.8","965.6","969.4"
"C0A640","985","982.4","980.9","979.6","980.8","981","980.9","981.3","979.7","976.8","974.4","975.4","979.4","978.8","978.1","981.6","982.1","979","976.5","975.4","982.3","983.8","982.4","982.7","982.7","983","984.1","982.6","981.4","985.2"
"C0A650","977.3","974.7","973.3","971.9","973.1","973.4","973.2","973.6","971.9","968.9","966.5","967.5","971.4","970.7","969.9","973.5","974.1","970.9","968.5","967.4","974.1","975.8","974.3","974.6","974.7","975","976.2","974.8","973.6","977.1"
"C0A660","998.2","995.4","994.1","992.4","993.8","993.9","993.4","993.7","992.1","989","986.6","988.1","992.1","991.4","990.5","994.2","994.3","991.3","989","987.9","994.9","996.3","994.7","995.1","995.2","995.4","996.6","995.3","993.7","997.6"
"C0A860","968.8","966.2","964.9","963.5","964.6","965","964.5","964.7","962.9","960.2","957.1","959.1","963","962.5","961.6","965.4","965.5","962.4","960.1","959.2","965.7","967.3","965.8","966.2","966.2","966.4","967.7","966.4","964.9","968.6"
"C0A870","931.7","929.6","928","927","928","928.4","928.6","928.7","927","924.3","921.5","922.8","926.3","926.3","925.6","929","929.4","926.4","924.1","922.9","929.2","931.1","929.7","930.1","930.1","930.3","931.4","929.7","928.8","932.4"
"C0A880","1007.1","1004.2","1002.9","1001.1","1002.5","1003.1","1002.2","1002.6","1000.9","997.8","995.5","996.9","1001","1000.3","999.3","1003.1","1003.7","1000","997.8","996.6","1003.5","1005.2","1003.5","1003.9","1003.9","1004.2","1005.5","1004.5","1003","1006.3"
"C0A890","1004.3","1001.5","1000.1","998.4","999.7","1000.3","999.5","999.9","998.2","995.2","992.8","994.1","998.3","997.6","996.6","1000.4","1001","997.3","995.2","994","1000.9","1002.5","1000.9","1001.2","1001.2","1001.5","1002.7","1001.7","1000.3","1003.6"
"C0A920","987","984.4","982.9","981.5","982.8","982.6","982.5","982.6","980.8","977.9","975.1","977.1","980.9","980.4","979.5","983.2","983.2","980.2","977.9","977.1","983.7","985.2","983.7","984","984.1","984.3","985.6","983.8","982.4","986.6"
"C0A940","1003.8","1001","999.7","997.9","999.4","999.6","998.9","999","997.3","994.4","991.6","993.5","997.6","996.9","995.9","999.7","999.7","996.6","994.3","993.4","1000.2","1001.8","1000.2","1000.6","1000.7","1000.8","1002.2","1000.6","999","1003"
"C0A950","1002.9","999.8","998.7","996.8","998","998.8","998.2","998.5","996.8","993.8","991.4","992.5","996.9","996.1","995.1","999","999.3","996","993.7","992.4","999.1","1001","999.5","999.8","999.9","1000.2","1001.3","999.9","998.6","1002.3"
"C0A970","999","996","994.5","992.8","994.2","995.2","994.4","994.7","993","990.1","987.8","988.8","992.9","992.3","991","995.2","995.8","992.2","989.9","988.5","995.3","997.4","995.6","996","996.1","996.4","996.8","995.2","993.2","997.1"
"C0A980","1008.2","1005.8","1004.2","1002.8","1003.9","1003.8","1003.8","1004.1","1002.4","999.3","997.2","998.3","1002.1","1001.6","1000.9","1004.6","1004.6","1001.7","999.3","998.2","1005.5","1006.8","1005.1","1005.4","1005.5","1005.8","1006.9","1005","1003.7","1008"
"C0A9A0","1006.3","1003.8","1002.2","1000.9","1002","1001.9","1001.9","1002.2","1000.6","997.5","995.2","996.4","1000.2","999.8","999.1","1002.6","1002.8","999.8","997.4","996.3","1003.4","1004.8","1003.2","1003.5","1003.6","1003.9","1005.1","1003.2","1002","1006"
