"stno","2015-12-01","2015-12-02","2015-12-03","2015-12-04","2015-12-05","2015-12-06","2015-12-07","2015-12-08","2015-12-09","2015-12-10","2015-12-11","2015-12-12","2015-12-13","2015-12-14","2015-12-15","2015-12-16","2015-12-17","2015-12-18","2015-12-19","2015-12-20","2015-12-21","2015-12-22","2015-12-23","2015-12-24","2015-12-25","2015-12-26","2015-12-27","2015-12-28","2015-12-29","2015-12-30","2015-12-31"
"466880","1016.1","1015","1021","1023.1","1016.8","1020.6","1022.4","1022.2","1014.8","1012.6","1016.3","1016.9","1014.8","1014.8","1017.9","1022.7","1027","1025.4","1023.3","1019.8","1020.3","1017.9","1016.8","1015.3","1019.2","1019.4","1021.9","1027","1025.3","1024.1","1026.6"
"466900","1015.4","1014.5","1020.2","1022.1","1016.3","1020","1021.7","1021.4","1014.2","1011.9","1015.7","1016.1","1014.1","1014.2","1017.3","1022","1026.4","1024.7","1022.8","1019","1019.8","1017.3","1016.4","1014.8","1018.7","1018.8","1021.4","1026.2","1024.4","1023.4","1025.9"
"466910","924.4","923.4","927.4","929","925.1","927","928.9","929.4","923.6","920.4","923.4","924.1","923.5","923.2","924.6","927.2","930","930.6","930.1","927.6","928.4","926.8","925.4","923.7","925.8","925.9","928.2","932.3","931.1","929.7","931.9"
"466920","1014.2","1013","1019","1021.1","1015","1018.4","1020.4","1020.4","1013.1","1010.4","1014.2","1015","1012.9","1012.8","1015.9","1020.4","1024.6","1023.3","1021.4","1017.8","1018.3","1015.9","1014.8","1013.2","1017.2","1017.4","1019.8","1024.9","1023.2","1022","1024.5"
"466930","948.5","947.6","951.8","953.7","949.6","951.6","953.5","953.7","948.2","944.8","947.9","948.4","947.5","947.2","949","952.5","955.7","955.6","954.8","952.3","952.7","951","949.7","948","950.3","950.6","952.9","957.3","955.8","954.3","956.7"
"466940","1014.9","1013.4","1020","1022.4","1016.2","1019","1021.3","1021.6","1014.5","1010.6","1014.9","1015.9","1014","1013.6","1016.9","1021","1025.3","1024.1","1022.7","1018.4","1019.3","1016.3","1015.4","1013.5","1017.9","1018","1020.5","1025.6","1024.3","1022.9","1025.5"
"466950","1006.2","1004.7","1010.9","1013.7","1008.1","1009.6","1012.3","1012.8","1006.5","1001.2","1005.9","1007.1","1005.4","1005","1007.6","1011.6","1016.1","1015.2","1014","1010.1","1010.6","1008.3","1006.7","1004.8","1008.6","1009.2","1011.3","1016.4","1015.3","1013.9","1016.4"
"466990","1014.9","1013.6","1019.3","1022.6","1017.7","1017.1","1021","1022.2","1016.4","1009.8","1014.6","1015.8","1014.6","1013.2","1014.9","1018.1","1023.6","1024.3","1023.5","1020.5","1020.3","1018.5","1016.2","1013.9","1016.6","1018.2","1019.3","1024.3","1024.2","1021.9","1024.6"
"467050","1014.9","1014.3","1019.1","1020.5","1015.7","1019.4","1020.4","1019.7","1013.5","1011.8","1015","1015.1","1013.7","1013.8","1016.5","1021","1024.8","1023.6","1021.2","1019","1019.4","1017.4","1016.1","1014.6","1018.2","1018.4","1021.1","1025.2","1023.5","1022.6","1024.5"
"467060","1015.1","1013.2","1020.1","1022.9","1016.9","1018.3","1021.6","1022","1015.2","1009.5","1014.9","1016.3","1014","1013.6","1016.4","1020.3","1025.2","1024.6","1023","1019.4","1019.6","1017.3","1015.5","1013.3","1017.5","1018.3","1019.9","1025.6","1024.6","1022.8","1025.7"
