"stno","2017-11-01","2017-11-02","2017-11-03","2017-11-04","2017-11-05","2017-11-06","2017-11-07","2017-11-08","2017-11-09","2017-11-10","2017-11-11","2017-11-12","2017-11-13","2017-11-14","2017-11-15","2017-11-16","2017-11-17","2017-11-18","2017-11-19","2017-11-20","2017-11-21","2017-11-22","2017-11-23","2017-11-24","2017-11-25","2017-11-26","2017-11-27","2017-11-28","2017-11-29","2017-11-30"
"466880","1015","1012.8","1016.4","1022.5","1019.3","1014.4","1014","1016.1","1015.2","1012.9","1015.7","1014.3","1012.3","1013.7","1015.3","1013","1009.7","1014.3","1019.3","1018.5","1015.7","1015.5","1020.7","1022.5","1020.6","1019.8","1017.5","1015.3","1015","1017"
"466900","1014.2","1011.9","1015.4","1021.2","1018.2","1013.2","1013.2","1015.2","1014.1","1011.9","1014.6","1013.1","1011.3","1012.7","1014.1","1011.9","1008.8","1013.2","1018","1017.5","1014.6","1014.6","1019.5","1021.4","1019.6","1018.8","1016.5","1014.3","1014.5","1016.3"
"466910","924.1","922.4","924.7","928.8","927.1","924.2","923.7","924.8","924.1","923.1","923.9","922.6","921.4","922.6","924.1","922.8","919.7","922.1","925.9","925.5","923.9","922.8","926.6","928.6","927.7","927.2","925.9","925.1","924.6","925.3"
"466920","1012.7","1010.3","1013.8","1020","1017.1","1012.2","1011.5","1013.6","1012.9","1010.6","1013.2","1012","1009.9","1011.3","1013","1010.7","1007.3","1011.7","1016.9","1016","1013.3","1012.8","1018.1","1020","1018.1","1017.3","1015.4","1013","1012.6","1014.7"
"466930","947.8","945.8","948.3","952.8","950.9","947.9","947.4","948.3","947.7","946.6","947.3","946.1","944.9","946.1","947.5","946.2","943.2","945.9","950","949.5","947.6","946.8","951","952.9","951.7","951.3","949.7","948.8","948.2","948.9"
"466940","1013.3","1010.5","1014.2","1020.6","1018.1","1013.2","1012","1014.2","1013.8","1011.4","1013.9","1012.7","1010.2","1011.8","1013.6","1011.3","1007.4","1012.2","1017.7","1016.6","1013.8","1013.1","1018.5","1020.7","1018.4","1017.5","1016.1","1013.9","1013","1015.4"
"466950","1005.4","1002.7","1005.5","1011.5","1010","1005.8","1004.4","1005.9","1005.9","1004","1005.4","1004.5","1002.3","1003.8","1005.6","1003.6","999.6","1003.5","1009.4","1008.3","1005.9","1004.5","1009.8","1012.6","1010.2","1009.2","1008.2","1006.8","1005.8","1007"
"466990","1014.3","1011.4","1013.5","1018.8","1018.9","1015.2","1013.8","1013.8","1014.9","1013.1","1013.4","1012.9","1010.9","1012.1","1014.2","1012.7","1008.7","1010.6","1018","1016.2","1014.3","1011.9","1017.1","1020.9","1018.6","1017.2","1017.2","1016.2","1015.2","1014.6"
"467050","1013.2","1011.5","1014.6","1019.2","1015.9","1012.6","1012.7","1014.2","1012.4","1011.6","1013.4","1011.9","1010.7","1012","1013.1","1011.3","1008.4","1012.3","1016.1","1016.4","1013.8","1014","1018.3","1019.6","1018.9","1018.1","1014.9","1013.6","1013.9","1015.1"
"467060","1014","1011.1","1014.2","1021.4","1019.1","1014.6","1012.8","1014.1","1014.6","1012.5","1014.1","1013.1","1010.7","1012.1","1014.2","1012.2","1008.1","1012.3","1018.5","1016.8","1014.3","1012.3","1018.7","1021.4","1018.7","1017.3","1017.1","1015.4","1014.2","1015.1"
"467080","1015.8","1012.9","1016","1023.2","1021","1016.4","1014.5","1015.9","1016.4","1014.3","1016","1015.1","1012.6","1014.1","1016.2","1014.1","1009.9","1014","1020.5","1018.9","1016.4","1014.1","1020.7","1023.5","1020.8","1019.2","1019","1017.3","1015.8","1017"
"467110","1015.2","1012.3","1014.3","1018.6","1018.1","1014.8","1013.9","1014.5","1014.4","1013","1013.7","1013.1","1011.8","1012.8","1014.2","1013","1008.7","1011.4","1017.8","1017.8","1015.8","1013.8","1018.6","1021.6","1021","1019.2","1016.9","1015.6","1015","1016.2"
"467300","1010.8","1008.3","1009.2","1010.7","1011.4","1010.6","1010.7","1009.6","1009.1","1009.4","1008.9","1008","1007.4","1008.9","1010","1009.5","1006.3","1006.6","1011.2","1012","1010.7","1009.6","1012.1","1014.5","1014.9","1013.7","1011.4","1011.7","1011.5","1010.3"
"467350","1015","1012.4","1013.8","1016.3","1016.1","1014.6","1014.5","1014","1013.3","1013.3","1013.2","1012.4","1011.5","1012.8","1014","1013.2","1009.8","1010.9","1015.8","1016.3","1014.7","1013.8","1017","1019.4","1019.4","1018.1","1015.7","1015.6","1015.2","1014.8"
"467410","1012.8","1010.1","1011.2","1013","1013.5","1012.6","1012.6","1011.6","1011.2","1011.3","1010.9","1010.2","1009.4","1010.8","1012","1011.5","1008.5","1008.4","1013.2","1013.9","1012.6","1011.2","1014.1","1016.6","1016.7","1015.4","1013.4","1013.7","1013.7","1012.3"
"467420","1014.1","1011.4","1012.5","1014.3","1014.8","1013.9","1013.8","1012.8","1012.4","1012.4","1012","1011.3","1010.6","1012","1013.1","1012.6","1009.6","1009.5","1014.4","1015.2","1013.9","1012.5","1015.5","1017.9","1018.1","1016.7","1014.7","1014.9","1014.8","1013.4"
"467440","1015","1012.4","1013.3","1015","1015.6","1014.9","1014.7","1013.8","1013.4","1013.4","1012.8","1012.2","1011.4","1012.9","1014.1","1013.6","1010.7","1010.1","1015.3","1015.9","1014.8","1013.1","1016","1018.7","1018.8","1017.5","1015.7","1015.9","1015.8","1014.2"
"467480","1012","1009.5","1010.6","1012.3","1012.8","1011.8","1011.7","1010.8","1010.3","1010.6","1010.2","1009.4","1008.6","1009.8","1011.2","1010.5","1007.6","1007.7","1012.5","1013.1","1011.8","1010.5","1013.5","1016","1016.2","1014.9","1012.6","1012.7","1012.7","1011.5"
"467490","1005.7","1003.5","1004.6","1006.2","1006.4","1005.5","1005.3","1004.4","1003.8","1004.2","1003.7","1003.3","1002.4","1003.5","1004.8","1004","1001.2","1001.6","1006","1006.9","1005.4","1004.4","1007.3","1009.7","1010.1","1009","1006.2","1006.3","1006.4","1005.1"
"467530","766.5","766.1","767","767.8","768.3","768.4","768.4","767.7","767.2","767.5","766.6","765.7","765.3","766.2","767.1","767","765.2","764.6","766.5","767","766.9","765.7","766.3","767.5","768.2","768.5","767.8","768.9","768.7","767.2"
"467540","1015","1012.5","1013.7","1017.3","1017.6","1015.7","1014.8","1014.9","1014","1013.3","1013.1","1012.2","1011.3","1012.6","1014.1","1013.4","1009.9","1010.3","1017.1","1015.9","1014.7","1012.3","1016.6","1019.6","1018.4","1017.5","1016.7","1016.3","1015.7","1013.9"
"467550","645.8","645","645.7","646.6","647.2","647.1","647.2","646.7","646.3","646.4","645.2","644.5","644.2","644.9","645.5","645.4","644","643.6","644.5","644.7","644.9","643.8","643.8","645.1","646.3","646.3","646.2","647.4","647.2","645.6"
"467571","1012.5","1010.9","1013.7","1017.5","1014.1","1012.1","1012.2","1013","1010.9","1010.9","1012.1","1010.9","1009.9","1011.2","1012.3","1010.7","1008","1011.2","1014.5","1015.2","1012.7","1013.3","1017","1018","1018","1017.2","1013.6","1013","1013.3","1013.6"
"467590","1012.3","1009.9","1010.9","1011.7","1012.6","1012.3","1012.2","1011.5","1011.2","1011.1","1010.2","1009.6","1009.1","1010.5","1011.7","1011.3","1008.3","1007.9","1012.5","1013.3","1012.1","1010.4","1013","1015.2","1016.2","1014.8","1012.8","1013.5","1013.3","1011.5"
"467610","1011.6","1008.9","1010.7","1015.3","1015.2","1012.5","1011.6","1011","1011.6","1010.5","1010.2","1009.2","1008.1","1009.4","1011.1","1010.3","1006.5","1007.8","1014.5","1012.8","1011.2","1009.4","1014.1","1017.2","1015.5","1014.6","1014.1","1013.5","1012.9","1011.3"
"467620","977.9","976.2","977.1","977.4","979.3","978.6","978.6","977.7","977.4","977.3","976.4","974.9","975.2","976.7","977.7","977.7","974.7","974.2","979","978.8","978","976.4","978.6","981.5","981.6","980.7","979.3","980.1","979.8","977.5"
"467650","904.2","902.9","903.6","904.6","905","904.7","904.8","903.8","903.4","903.6","903.2","902.5","901.8","903.1","904.1","903.7","901.3","901","904.2","904.9","904.3","902.8","904.2","906.6","907.3","907.1","904.9","905.6","905.3","903.7"
