"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"74","C0D570",1.11,0.87,0.61,0.81,2.02,2.9,0.44,1.18,0.71
"75","C0D580",2.34,1.18,1.19,2.39,1.37,3.16,1.35,1.47,1.5
"76","C0D590",2,1.81,0.87,0.98,0.77,3.56,0.39,2.9,1.34
"77","C0E420",0.85,0.42,0.63,0.92,1.87,2.82,0.31,0.73,0.63
"78","C0E430",3.87,0.85,1.11,5.11,0.79,2,1.11,1.24,1.69
"79","C0E610",0.34,1.26,0.53,4.92,0.02,1.21,1.05,1.06,0.58
"80","C0E730",0.85,0.48,0.69,1.37,1.39,2.84,0.42,0.84,0.82
"81","C0H9A0",3.48,6.52,0.37,0.4,0.24,1.57,4.68,2.85,2.31
"82","C0K330",0.19,0.68,0,0,0,0.79,0.42,1.9,0.06
"83","C0M410",1.63,3.05,0.08,0.13,0.11,1.68,2.19,3.6,0.81
"84","C0O810",2.52,3.11,0.16,0.03,0,4.74,2.53,4.29,1.05
"85","C0O900",1.02,0.48,0.1,0,0,1.81,1.9,2.03,0.03
"86","C0O930",2.55,1.08,0.11,0.03,0.06,3.97,2.39,4.35,0.6
"87","C0R100",11.29,9.11,1.97,3.39,1.55,4.81,6.82,6.85,6.71
"88","C0R280",24.05,11.89,2.84,2.85,1.98,4.84,25.58,17.39,4.1
"89","C0R350",10.02,6.15,0.68,0,2.58,1.85,12.08,8.44,0.44
"90","C0R420",27.35,12.66,4.48,3.06,2.56,4.92,31.84,22.13,4.71
"91","C0S690",13.79,8.37,3.56,2.69,3.03,1.92,32.65,16.39,3.29
"92","C0S700",16.18,13.32,2.97,2.79,3.53,3.24,36.92,30.82,2.92
"93","C0S710",9.85,14.29,0.74,3.19,0.44,2.16,38.58,29.19,1.63
"94","C0S730",23.61,14.39,3.69,1.89,2.56,3.98,28.98,15.32,7.66
"95","C0S740",12.32,13.53,0.92,0.98,0.24,1.74,25.6,26.79,2.24
"96","C0S750",12.95,17.58,1.82,3.5,1.58,3.63,22.19,25.55,5.08
"97","C0S770",19.18,11.31,3.18,4.89,1.29,2.87,33.31,15.95,3.92
"98","C0S790",16.71,9.16,3.81,3.13,2.13,2.1,33.11,19.73,3.77
"99","C0S810",11.66,15.42,1.73,1.53,0.27,2.68,33.61,22.05,2.34
"100","C0S830",15.21,12.98,0.88,4.85,1.42,2.87,33.81,23.71,2.4
"101","C0S840",17.55,9.94,1.37,4.31,0.77,2.16,6.91,12.63,5.11
"102","C0T870",22.06,15.02,2.27,7.87,1,1.95,28.68,35.39,4.73
"103","C0T960",24.16,24.02,2.35,2.16,1.18,4.47,29.34,40.18,5.94
"104","C0T9A0",22.65,20.95,5.08,6.92,1.11,4.63,28.34,34.08,7.35
"105","C0T9B0",23.37,16.77,4.5,11.6,1.44,2.89,28.89,33.81,6
"106","C0T9D0",20.37,26.68,2.97,14.13,1.74,3.11,29.42,24.18,6.5
"107","C0T9E0",24.5,19.92,6.69,5.89,1.32,4.37,24.58,35.56,6.47
"108","C0T9F0",21.87,21.74,4.81,7,0.95,3.52,31.44,35.4,6.52
"109","C0T9G0",30.21,20,2.73,7.81,1.9,4.24,28.77,42.31,7.53
"110","C0T9H0",18.5,17.06,8.02,7.58,1.87,7.47,25.35,34.97,9.61
"111","C0T9I0",23.34,26.19,5.03,8.27,2.84,5.56,32.55,18.26,5.98
"112","C0T9M0",19.87,6.05,3.13,6.85,2.4,3.79,31.58,27.56,2.94
"113","C0U600",27.13,14.5,4.87,10.29,2.05,7.6,18.42,23.21,17.68
"114","C0U650",38.29,29.47,5.73,9.74,4.94,14.9,20.73,54.17,15.19
"115","C0U710",17.36,23.53,3.63,10.9,8,6.98,20.56,28.98,8.39
"116","C0U760",61.03,47.39,15.02,12.29,6.53,19.4,37.23,44.48,22.66
"117","C0U770",41.74,22.11,5.35,7.85,2.53,8.5,28.06,24.17,8.29
"118","C0V250",3.19,2.24,0.81,0.79,1.08,4.39,2.76,4.48,3.37
"119","C0V310",6,1.4,0.4,0.19,1.19,3.5,4.68,3.66,0.89
"120","C0X080",1.11,0.87,0.05,0,0,2,2.66,1.4,0.03
"121","C1A9N0",29.84,15.03,3.87,11.18,6.4,7.65,13.68,16.1,13.71
"122","C1AC50",10.95,2.03,1.56,8.03,5.69,1.34,2.77,5.58,3.79
"123","C1C510",3.06,2.65,1.34,1.82,1.21,2.82,1.63,4.44,2.35
"124","C1D380",3,1.98,1.05,1.4,2.23,2.68,1.21,2.85,1.71
"125","C1D400",9.18,5.92,1.79,19.35,7.39,3.97,2.65,4.89,5.13
"126","C1D410",1.31,1.87,1.55,12.84,0.97,1.5,2,1.65,2.5
"127","C1D420",2.25,2.79,1.73,11.45,1.92,1.74,2.92,3,3.58
"128","C1E480",1.94,2.06,1.18,10.74,0.56,1.48,1.61,2.03,1.44
"129","C1E670",2.03,2.26,1.15,9.81,0.35,2.05,1.18,0.19,1.31
"130","C1I140",2.32,6.16,0.42,0.9,0.26,1.18,4.08,4.6,0.26
"131","C1I440",7.53,9.27,0.52,0.42,0.66,2.05,5.03,4.82,2.77
"132","C1M390",3.9,3.77,0.29,0.53,0.03,2.62,2.82,3.32,2.32
"133","C1M400",3.26,3.45,0.23,0.05,0.1,1.84,3.79,5.9,1.61
"134","C1O850",1.53,1.11,0.13,0,0,2.39,1.98,3.05,1.66
"135","C1O870",2.65,3.69,0.19,1.06,0.06,5.52,2.52,4.48,5.71
"136","C1O880",3.15,2.9,0.16,0.82,0,1.95,2.74,5.21,2.97
"137","C1R120",8.95,4.61,1.47,3.92,2.42,5.1,10.97,9.11,4.44
"138","C1R290",10.94,6.08,0.84,2.03,0.63,1.61,14.18,6.5,1.89
"139","C1S670",7.73,11.44,1.18,2.11,1.34,2,19.18,19.47,2.71
"140","C1S800",15.21,11.06,1.55,1.08,2.65,1.66,38.53,24.66,2.61
"141","C1S880",21.18,11.26,3.66,4.21,1.89,2.81,37.65,13.32,5.92
"142","C1T810",10.55,16.87,1.26,3.37,0.58,2.5,13.89,0,5.08
"143","C1T940",31.55,25.9,2.24,5.68,2.45,1.33,32.31,39.29,7.65
"144","C1T950",39.55,37.61,6.95,12.65,6.26,9.79,36.69,48.06,15.45
"145","C1T970",25.03,28.15,3.1,5.39,1.48,5.16,33.26,37.26,6.44
"146","C1U501",43.81,62.45,4.5,9,4.31,11.1,27.03,58.42,11.82
"147","C1U670",45,37.55,7.08,7.26,3.92,12.6,23.45,32.59,19.79
"148","C1U690",52.11,36.45,10.5,8.27,5,15.1,28.95,19.35,20.42
"149","C1V160",5.3,5.26,0.39,0.65,1.31,7.73,4.31,3.4,2.66
"150","C1V170",6.48,14.24,0.69,0.27,0.61,2.19,11.55,14.13,2.5
"151","C1V200",5.63,5.58,0.63,0.32,0.23,0.82,4.77,4.44,1.89
"152","C1V220",8.71,7.53,1.34,1.26,1.13,5,2.44,7.92,6.63
"153","C1V300",8.23,4.45,2.06,3.5,1.13,3.94,7.44,5.48,5
"154","C0A9B0",8.1,3.03,1.73,5.31,2.23,1.4,3.19,7.58,2.98
"155","C0R360",17.02,7.97,0.68,0.48,2.58,2.21,16.68,14.03,1.63
"156","C0R370",29.31,10.24,1.74,0.13,3.23,3.02,12.43,16.92,1.9
"157","C0R400",7.53,2.04,0.92,1.08,0.48,2.08,11.39,10.24,0.58
"158","C1A730",11.98,5.44,1.77,4.15,1.63,5.89,6.82,16.42,4.16
"159","C1R300",19.39,13.47,3.81,2.08,1.66,2.98,29.52,12.1,4.35
"160","C1R320",10.16,4.9,0.44,1.13,0.39,2.11,11.29,8.32,0.85
"161","C1R330",6.03,3.06,0.13,1.47,0.13,1.9,10.98,6.66,0.71
"162","C1R340",14.4,3.39,1.24,2.13,1.27,2.42,21.73,15.42,2.55
"163","C1S620",14.73,10.35,1.58,3.44,1.84,3.23,42.68,18.66,2.74
"164","C1S630",11.45,13.13,1.03,0.35,0.03,1.82,29.44,22.66,1.26
"165","C1S660",7.76,13.55,0.65,0.56,0.19,1.55,23.58,28.87,1.97
