"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"74","C0D570",7.43,1.84,8.16,0.34,4.7,1.29,2.1,2.86,2.23
"75","C0D580",10.21,2.2,10.03,0.8,6.86,1.7,2.86,3.5,3.88
"76","C0D590",7.16,2.52,8.26,0.34,5.68,2.36,2.98,3.09,3.21
"77","C0E420",7.18,1.5,8.12,0.18,4.25,1.25,1.71,2.45,1.79
"78","C0E430",10.79,2.27,10.91,0.29,7,2.68,2.48,3.66,3.89
"79","C0E530",6.59,1.53,5.55,0.16,3.32,1.77,1.5,2.09,1.46
"80","C0E610",9.55,2,6.02,0.07,4.34,2.46,2.1,2.5,2.39
"81","C0E730",7.82,1.39,7.97,0.25,4.8,1.3,1.97,2.46,2.32
"82","C0F861",10.07,2.64,11.48,0.18,6.21,2.41,4.5,3.43,5.52
"83","C0G640",1.77,0.52,1.4,0.25,1.02,0.64,0.69,0.61,0.55
"84","C0G650",3.09,0.64,3.71,0.05,0.96,0.38,0.76,0.29,1.14
"85","C0H990",4.73,1.39,5.24,0.2,1.48,1.07,1.55,1.18,2.38
"86","C0H9A0",4.95,1.71,4.34,0.14,3.21,1.39,2.64,0.88,4.39
"87","C0H9C0",13.62,5.3,14.83,0.36,9.46,3.09,7.03,3.52,5.89
"88","C0I010",9.62,1.54,7.16,0.04,3.57,0.34,4,1.64,5.5
"89","C0I090",3.57,0.79,2.95,0.02,2.88,0.45,1.16,0.43,2.55
"90","C0I110",0.27,0.73,2.71,0.04,1.38,0.29,1.05,0.27,1.77
"91","C0K240",2.95,1.12,2.69,0.02,2.05,0.52,1.19,0.27,2.38
"92","C0K280",2,0.55,1.43,0.27,0.43,0.45,1.03,0.05,0.91
"93","C0K330",2.8,0.73,1.74,0.18,0.73,0.45,0.86,0.05,1.09
"94","C0M410",2.41,0.34,2.17,0.02,1.8,1.23,0.9,0.12,1.09
"95","C0M530",4.16,1.41,3.24,0.11,3.43,1.79,2.21,0.98,3.38
"96","C0O810",1.7,0.86,1.67,0.04,2.5,0.75,0.43,0.02,0.86
"97","C0O900",1.29,0.23,0.88,0.05,0.93,0.8,0.41,0.05,0.7
"98","C0O930",1.36,0.45,1.19,0,0.77,0.7,0.26,0.05,0.66
"99","C0R100",1.79,0.32,2.17,0.04,1.68,0.82,0.31,0.09,0.84
"100","C0R150",1.25,0.07,1.22,0,1.07,0.61,0.33,0.02,0.64
"101","C0R220",0.43,0.05,1.53,0,0.89,0.45,0.38,0,0.2
"102","C0R270",0.2,0.18,1.74,0,0.5,1.02,0.38,0.04,0.98
"103","C0R280",0.43,6.46,9.91,4.59,3.11,1.21,2.14,2.18,1.91
"104","C0R350",0.09,1.14,2,0.84,0,0.04,0.09,0.09,1.8
"105","C0R420",0.91,3.86,9.38,6.09,4.7,2.36,2.12,2.34,2.62
"106","C0S690",0.66,1.14,3.74,5.02,2.59,1.09,1.86,0.79,1.05
"107","C0S700",1.34,1.14,3.67,4.39,3.36,1.59,1.83,1.68,1.98
"108","C0S710",1.46,1.21,2.36,1.91,2.77,0.73,0.95,0.54,0.73
