"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"74","C0D570",2.42,3.34,3.16,11.16,0.98,2.16,0.23,4.13,1.47
"75","C0D580",3.4,7.45,6.24,13.06,3.39,2.74,3.37,6.06,3.69
"76","C0D590",2.27,3.95,2.29,6.84,1.27,0.77,0.29,2.05,1.76
"77","C0E420",3.08,3.32,4.27,12.58,0.92,2.29,1.45,3.52,1.39
"78","C0E430",7.15,12.19,5.98,27.27,4.94,10.45,3.24,22.23,13.05
"79","C0E610",9.85,9.19,4.39,8.62,5.29,10.53,4.06,16.52,12.94
"80","C0E730",3.55,5.47,5.55,12.31,1.08,1.98,2.69,4.23,1.58
"81","C0G640",6.1,2.78,5.44,10.81,7.37,2.56,2.9,5.87,12.05
"82","C0H990",8.92,5.63,6.69,8.39,7.69,5.5,10.31,7.63,8.82
"83","C0H9A0",15.89,20.85,5.37,28.37,12.92,11.71,6.39,25.02,14.92
"84","C0H9C0",15.94,5.38,7.79,18.44,7.85,7.71,9.23,12.83,12.65
"85","C0I010",8.42,6.52,3.02,14.19,5.82,6.69,7.76,7.39,8.26
"86","C0I090",19.77,16.84,10.82,23.05,10.65,11.84,5.42,21.85,17.56
"87","C0K240",14.31,20.26,7.24,21.9,14.87,11.19,5.35,20.11,19.89
"88","C0K280",10.19,5.03,3.85,3.77,2.58,3.33,6.1,7.44,3.92
"89","C0K330",12.48,8.18,7.79,11.31,2.97,3.41,6.1,11.03,10.66
"90","C0M530",23.63,23.76,10.4,33.16,20.9,11.5,10.74,27.79,25.56
"91","C0O930",11.53,17.15,8.16,17.13,8.97,15.05,10.56,22.06,25.58
"92","C0R100",19.85,9.55,9.87,15.4,18.58,22.44,37.42,28.42,29.52
"93","C0R150",16.47,19.48,3.34,5.6,15.27,12.79,33.79,24.5,22.97
"94","C0R220",14.94,14.06,6.29,5.05,13.53,15.53,13.97,14.45,28.15
"95","C0R270",8.89,11.82,2.06,1.66,6.37,7.37,9.11,12.63,8.52
"96","C0R280",15.35,22.23,16.47,9.77,3.05,17.1,18.79,30.08,17.82
"97","C0R350",10.87,12.26,11.08,7.73,3.92,8.27,7.56,19.23,15.63
"98","C0R420",10.31,16.87,16.58,11.73,5.89,21.82,10.97,19.34,20.71
"99","C0S690",6.06,8.5,8.52,7.52,6.69,11.5,5.9,9.58,6.24
"100","C0S700",8.89,10.81,6.73,7.44,5.82,15.65,9.55,12.98,7.29
"101","C0S710",6.1,6.26,5.79,5.45,6.76,10.81,14.65,10.94,7.18
"102","C0S730",8.5,4.79,12.18,7.1,10.66,9.5,6.46,5.66,5.94
"103","C0S740",3.29,3.5,9.27,3.34,10.63,7.66,18.65,8.27,5.11
"104","C0S750",10.69,9.92,9.68,15.05,17.6,11.08,17.37,14.48,11.08
"105","C0S760",4.58,7,7.21,4.06,5.87,7.45,6.6,5.98,7.26
"106","C0S770",7.85,14.4,10.74,10.73,9.18,14.39,10.84,13.89,12.42
"107","C0S790",6.06,11.03,7.76,7.94,6.98,14.79,5.98,10.23,8.26
"108","C0S810",8.74,4.65,11.81,3.56,0.28,8.55,11.61,8.26,4.13
"109","C0S830",4.98,3.21,8.06,2.61,7.37,5.24,6.68,4.77,3.11
"110","C0S840",7.32,13.02,12.5,15.4,10.1,17.19,13.8,20.92,12.53
"111","C0T790",6.34,1,9.23,7.61,9.5,2.89,7.74,7.5,2.63
"112","C0T820",1.95,2.35,7.35,3.16,8.45,0.52,22,7.53,1.27
"113","C0T870",7.53,1.9,9.44,1.82,14.42,1.68,14.19,5,3.81
"114","C0T960",4.63,3.68,13.27,1.94,16.48,3.61,11.85,4.65,3.74
"115","C0T9A0",4.53,1.94,11.89,1.48,10.65,1.16,8.95,4.93,2.31
"116","C0T9B0",6.35,2.89,10.26,3.74,15.21,2.98,15.44,6.21,3.27
"117","C0T9D0",4.73,2.53,10.98,5.37,0.08,0.69,11.42,10.6,2.76
"118","C0T9E0",3.87,2.63,10.87,1.53,11.35,0.73,1.9,5.82,2.65
"119","C0T9F0",3.81,2.06,13.11,1.77,11.35,1.31,9.81,5.58,2.4
"120","C0T9G0",5.16,5,15.53,4.39,10.24,4.15,14.85,6.18,5.44
"121","C0T9H0",2.71,2.53,12.81,2.47,3.65,3.4,4.45,6.29,2.82
"122","C0T9I0",3.02,1.58,16.08,1.9,12.92,2.68,12.37,5.1,2.23
"123","C0T9M0",3.45,1.94,12.92,1.53,8.06,2.92,7.08,4.92,2.34
"124","C0U600",1.84,0.82,5.89,9.32,5.77,5.11,4.21,2.73,5.79
"125","C0U650",3.63,4.35,9.39,7.97,7,5.79,7.94,6.03,3.23
"126","C0U710",13.18,10.68,29.34,18.84,22.5,17.02,8.02,19.87,1.77
"127","C0U750",1.18,1.11,1.3,0.14,1.15,1.11,0.76,0.23,0.34
"128","C0U760",3.9,4.03,14.35,9.03,8.4,2.03,6.19,12.02,5.15
"129","C0U770",3.52,3.5,11.16,6.84,7.58,2.68,5.52,10.5,2.79
"130","C0V250",22.53,18.58,3.31,18.69,16.1,13.19,29.89,25.35,24.89
"131","C0V370",19.11,17.03,4.34,7.68,10.73,9.15,16.95,21,25.66
"132","C0V490",15.11,17.08,2.5,5.92,8.35,7.82,10.56,8.82,14.02
"133","C0V500",12.53,15.87,1.76,5.23,10.9,5.23,9.52,6.45,11.31
"134","C0X080",13.42,7.18,6.68,2.4,1.61,9.28,10.6,11.4,8.95
"135","C0Z050",3.16,4.71,14.34,2.53,12.68,3.81,11.69,8.11,4.66
"136","C0Z061",2.05,4.35,14.71,2.76,18.74,8.87,16.73,7.69,3.92
"137","C0Z070",2.5,3.24,10.94,1.4,9.76,4.29,8.68,0,2.58
"138","C1A9N0",4.53,4.44,8.03,11.74,10.98,12.85,11.53,10.73,7.9
"139","C1AC50",0.4,3.73,3.11,6.29,4.24,7.15,5.45,3.48,5.48
"140","C1C510",1.94,3.56,1.55,5.18,2.18,0.58,0.73,2.37,1.92
"141","C1D380",2.76,7.03,1.66,7.97,2.38,2.34,0.89,2.68,2.21
"142","C1D400",11.53,11.08,9.26,27.5,3.87,20.05,7.92,14.08,16.92
"143","C1D410",15.85,11.15,6.02,37.94,8.52,15.65,4.63,15.73,15.79
"144","C1D420",10.47,14.37,9.09,27.44,8.21,15.53,3.76,10.6,12.47
"145","C1E480",11.9,13.71,2.69,38.55,7.74,17.4,3.87,16.63,14.26
"146","C1E670",17.32,11.12,4.42,30.73,7.76,19.15,2.61,22.24,13.66
"147","C1H000",13.26,9.02,5.32,15.11,3.77,8.17,10.29,13.11,12.98
"148","C1H860",9.18,8.52,3.63,13.58,6.55,7.14,5.23,14.21,10.55
"149","C1H900",10.76,12.53,2.11,19.39,6.15,7.13,7.55,12.47,12.24
"150","C1H920",11.82,10.16,4.63,25.18,10.65,5.24,3.85,15.39,12.56
"151","C1I020",11.31,7.73,2.29,12.24,6.18,5.13,6.11,7.05,8.18
"152","C1I030",9.94,13.06,5.81,13.77,7.35,8.85,7.31,11.02,9.52
"153","C1I070",9,9.74,2.26,18.45,12.08,4.71,3.5,17.06,8.27
"154","C1I140",6.87,7.37,2.39,16.63,7.21,3.71,5.63,9.58,5.63
"155","C1I150",12.9,8.39,2.45,16.24,12.08,3.95,7.15,11.02,9.47
"156","C1I220",15,15.05,6.93,26.03,18.73,7.65,9.18,21.52,15.35
"157","C1I230",15.24,8.29,8.4,29.94,12.9,3.36,7.6,14.69,17.27
"158","C1I240",12.03,11.4,4.69,22.58,10.79,5.18,7.76,12.27,10.31
"159","C1I250",14.85,14.05,5.61,21.05,12.39,8.42,11.73,14.29,11.37
"160","C1I260",16.81,14.5,4.85,21.61,11.06,10.41,10.65,19.23,13.85
"161","C1I280",16.77,11.55,12.6,20.23,8.34,6.29,7.06,18.61,14.95
"162","C1I290",12.02,14.23,3.97,18.27,11,5.31,3.13,19.37,12.08
"163","C1I310",16.92,15.79,4.31,22.79,5.4,5.55,4.76,13.76,11.63
"164","C1I320",8.76,6.05,2.06,10.02,11.85,5.08,8.74,7.76,6.82
"165","C1I330",9.48,7.45,2.68,20.69,7.95,8.83,8.52,10.85,9.5
"166","C1I340",11.18,14.39,3.73,21.85,11.11,4.84,4.68,18.61,10.13
"167","C1I440",23.77,24.55,6.68,24.58,21.39,9.35,10.15,24.48,14.97
"168","C1M480",28.02,28.87,10.66,23.19,13.56,7.42,14.18,24.54,20.45
"169","C1M600",29,21.82,12.23,27.65,15.68,2.5,15.08,20.42,22.08
"170","C1M620",16,18.26,8.55,22.24,15.65,14.6,12.68,23.26,13.47
"171","C1R110",16.56,17.31,7.44,7.74,19.44,12.63,36.15,26.79,20.19
"172","C1R250",11.82,12.09,2.16,4.84,11.81,12.81,21.84,30.61,24.97
"173","C1R290",12.15,16.52,11.92,6.45,0.75,10.68,7.94,13.39,19.1
"174","C1S670",4.5,4,7.76,5,8.89,8.34,12.47,8.4,8.5
"175","C1S800",9.19,8.95,6.29,7.24,5.44,12.56,5.37,9.5,6.67
"176","C1S880",7.94,12.03,13.77,10.73,7.82,20.77,10.03,16.02,17.15
"177","C1T800",3.35,3.02,9.19,6.05,22.56,0.66,14.69,5.61,2.26
"178","C1T810",4.85,3.65,11.18,10.84,21.61,1.95,15.21,7.82,2.84
"179","C1T830",2.79,3.97,11.84,10.58,20,1.27,24.08,10,3.79
"180","C1T940",5.84,8.05,20.97,4.97,15.05,2.94,20.42,8.69,6.24
"181","C1T950",8.97,8.18,18.87,7.02,15.65,2.81,20.98,8.52,7.1
"182","C1T970",3.92,1.82,14.32,2.45,16,1.65,13.35,5.06,4.1
"183","C1T990",3.11,3.87,14.18,2.4,14.45,4.87,14.79,5.73,4.68
"184","C1U501",3.76,2.79,9.34,7.27,8.73,6.63,7.16,7.71,2.45
"185","C1U670",2.15,1.29,9.39,4.15,12.19,2.42,11.06,5.6,2.03
"186","C1U690",1.9,1.6,9.35,5.08,13.84,1.26,10.05,6.4,1.76
"187","C1V160",25.48,24.71,5.52,16.56,16.85,8.77,19.55,26.29,24.98
"188","C1V170",14.53,11.95,6.73,17.42,17.76,4.56,14.63,18.77,11.66
"189","C1V190",16.45,22.68,9.23,19.48,20.58,14.4,20.6,26.05,14.4
"190","C1V200",16.21,18.1,3.03,14,19.27,7.02,8.13,18.27,10.13
"191","C1V220",20.9,28.77,3.5,19.87,19.32,14.74,22.19,33.71,20.65
"192","C1V300",23.53,28.82,5.9,15.85,23.52,18.27,27.5,31.26,25.65
"193","C1V340",17.27,18.89,7.34,12.19,17.18,15.16,31.56,25.4,23.58
"194","C1V390",21.02,14.87,3.15,7.6,8.58,4.6,16.02,12.9,22.53
"195","C1Z030",4.37,3.4,11.16,1.39,17.89,3.65,11.79,6.21,4.05
"196","C1Z040",3.23,3.03,11.02,3.19,14.1,4.24,11.98,5.55,3.56
"197","C0A9B0",0.73,2.39,2.89,8.18,4.97,8.6,4.02,4.03,6.26
"198","C0R360",11.69,15.03,16.81,7.76,3.98,11.58,8.18,20.65,11.47
"199","C0R370",13.77,19.61,14.13,9.4,4.9,16.89,11.53,24.6,10.9
"200","C0R380",9.65,14.16,2.61,3.9,6.63,15.16,12.89,22.15,12.69
"201","C0R400",10.82,17.08,5.9,3.94,6.55,19.58,16.26,18.52,11.17
"202","C1A730",7.68,6.4,8.05,10.89,8.89,9.05,8.21,9.76,4.9
"203","C1R300",10.15,15.4,14.21,10.5,7.94,17.4,16.06,20.03,20.27
"204","C1R320",12.32,14.32,8.29,2.54,3.34,12.6,8.27,20.77,12.27
"205","C1R330",6.02,16.85,4.66,2.81,6.48,18.66,13.9,16.44,12.68
"206","C1R340",14,18.24,13.48,10.56,6.95,19.18,14.95,24.06,22.53
"207","C1S620",7.13,14.21,11.94,11.32,12.02,19.6,15.03,18.39,10.65
"208","C1S630",6.15,6.16,4.79,5.08,7.31,11.55,6.27,6.81,5.58
"209","C1S660",3.82,3.18,7.73,4.52,6.94,6.37,18.37,8.43,5.53
