"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"74","C0D570",2.3,1.08,0.2,0.52,1.45,6.2,7.33,0.83,2.07
"75","C0D580",6.6,0.65,2.28,1.33,3.68,10.35,9,3.93,3.22
"76","C0D590",4.5,0.38,6.48,0.97,1.92,6.25,3.63,1.15,2.62
"77","C0E420",2.23,1.13,0.8,0.55,2.52,7.97,5.25,1.18,1.85
"78","C0E430",10.2,4.87,7.07,4.82,8.63,9.5,18.87,4.53,6.15
"79","C0E610",7.73,3.28,2.47,3.28,3.62,8.18,10.22,2.67,3.33
"80","C0E730",3,0.05,0.8,0.62,2.15,6.73,4.77,1.92,2.28
"81","C0H9A0",12.67,1.82,4.82,6.95,5.83,3.41,25,3.87,7.08
"82","C0K330",5.37,0.48,0.15,2.78,3.17,9.33,12.8,2.4,0.78
"83","C0M410",20.92,5.95,5.62,6.35,7.93,19.33,42.95,1.37,5.93
"84","C0O810",28.77,11.75,5.83,7.08,9.98,18.02,52.02,3.67,6.38
"85","C0O900",18.4,0.83,0.18,2.12,4.5,9.77,35.9,0.77,0.75
"86","C0O930",21.53,3.47,4.08,4.67,4.97,11.2,38.6,2.4,4.23
"87","C0R100",45.07,9.57,10.38,13.68,12.63,18.57,62.53,2.43,16.25
"88","C0R150",40.05,8.25,6.95,0.94,12.47,10.87,44.22,2.35,14.52
"89","C0R220",33.67,4.85,4.67,0.44,8.38,2.9,43.82,2.47,11.45
"90","C0R270",18.6,0.72,0.68,4.38,10.23,1.23,28.65,1.77,5.58
"91","C0R280",36.92,9.18,5.55,14.45,1.33,3.23,30.25,14.78,10.14
"92","C0R350",22.1,3.83,1.52,20.4,10.87,1.03,25.45,8.4,6.83
"93","C0R420",31.87,10.62,2.98,0.56,13.2,3.42,32.07,17.8,13.33
"94","C0S690",31.6,5.6,9.16,6.73,12.33,2.97,22.13,5.55,7.28
"95","C0S700",38.5,7.65,8.71,18.67,22.7,2.9,40.83,6.13,6.06
"96","C0S710",28.8,3.95,3,23.7,15.52,0.78,35.52,3.27,13.97
"97","C0S730",20.57,6.85,6.1,15.1,6,0.58,12.58,8.58,7.25
"98","C0S740",26.6,6.67,3.98,25.6,14.18,2.83,35.68,4.55,20.13
"99","C0S750",31.2,5.97,10.03,33.8,13.85,8.88,41.72,5.13,26.75
"100","C0S770",45.5,5.47,8.52,10.83,12.37,2.17,33.83,8.3,13.68
"101","C0S790",40.33,5.23,7.53,12.02,14.15,1.67,30.23,6.38,13.02
"102","C0S810",26.93,5.42,5.3,14.78,8.13,1.32,20.03,6.37,11.85
"103","C0S830",16.73,5.63,1,11.85,7.52,1.97,19.22,2.97,9.27
"104","C0S840",29.67,6.12,3.38,11.34,10.53,3.37,31.67,11.5,9.37
"105","C0T820",20.42,1.58,1.1,32.88,3.12,16.23,59.63,2.42,20.33
"106","C0T870",15.68,7.33,3.98,24.05,7.5,10.45,37.72,1.5,8.87
"107","C0T960",15.88,7.43,4.35,20.35,7.45,5.4,37.55,5,9.13
"108","C0T9A0",17.63,6.72,5.08,20.18,8.35,10.55,19.57,3.85,9.4
"109","C0T9B0",14.47,5.12,7.2,24.52,9.68,12.18,37.48,2.52,14.38
"110","C0T9D0",13.58,6.05,2.13,13.8,11.7,9.3,33.08,4.3,8.48
"111","C0T9E0",17.93,6.53,4.88,20.05,7,9.45,28.95,3.62,8.8
"112","C0T9F0",16.52,6.47,5.65,19.71,8.52,8.57,35.15,4.52,9.52
"113","C0T9G0",16.57,7.77,5.97,22.12,8.65,7.55,32.43,6.55,11.27
"114","C0T9H0",14.98,5.58,4.5,3.36,4.37,7.27,31.53,7.82,9.57
"115","C0T9I0",18.68,5.47,5.8,20.9,7.3,7.43,25.55,5.88,7.98
"116","C0T9M0",15.78,5.32,2.6,12.72,4.88,5.03,16.22,2.6,7.18
"117","C0U600",8.12,2.73,3.02,9.53,11.75,12.43,21.28,20.87,6.87
"118","C0U650",9.78,12.38,9.15,15.68,11.88,14.2,30.8,16.12,19.55
"119","C0U710",18.05,5.48,19.28,27.83,13.18,30.97,65.13,11.47,24.32
"120","C0U760",18.62,5.2,11.22,14.72,18.28,11.22,37.73,11.67,22.72
"121","C0U770",9.52,5.25,5.32,7.55,11.65,9.42,19.32,12.3,12.05
"122","C0V250",31.62,4.35,6.18,5.58,5.52,11.87,52.2,4.52,4.1
"123","C0V310",31.38,6.17,6.9,7.72,10.05,8.82,50.13,2.33,8.57
"124","C0V490",27.98,0.85,1.18,0.41,4.32,4.85,40.7,0.73,2.32
"125","C0X080",11.87,0.17,0.02,0.4,2.9,8.4,40.72,0.97,1.38
"126","C0Z050",20.83,6.03,4.98,12.4,8.83,3.97,24.82,3.46,13.2
"127","C1A9N0",8.5,3.32,25.07,10.67,11.68,27.47,39.42,8.7,18.53
"128","C1AC50",2.85,0.32,5.32,4.02,3.23,13.62,12.77,4.27,15.55
"129","C1C510",3.43,0.48,8.03,1.1,2.88,7.26,9.05,0.95,0.98
"130","C1D380",3.6,0.3,3.13,1.07,1.92,6.35,10.37,2.35,6.75
"131","C1D400",12.75,1.73,12.72,9.97,13.05,16.87,36.05,5,14.35
"132","C1D410",9.82,2.17,7.17,3.8,4.13,9.4,17.72,4.57,6.48
"133","C1D420",12.19,3.07,6,4.48,4.12,7.95,22.72,4.43,7.07
"134","C1E480",9.33,4.73,4.03,5.27,6.27,12.28,8.07,4.43,7.43
"135","C1E670",6.13,4.53,5.52,5.43,8.27,8.67,12.37,2.82,2.73
"136","C1I070",6.7,1.82,3.12,6.8,3.23,4.35,16.03,1.68,2.05
"137","C1I140",13.4,0.93,3.32,12.4,3.72,7.38,17.83,3.32,4.7
"138","C1I150",4.4,0.85,1.97,2.83,5.42,1.54,9.08,2.57,1.62
"139","C1I220",6.48,2.12,3.82,4.47,6.82,13.62,13.32,7.38,5.62
"140","C1I280",11.68,1.53,3.08,4.88,5.93,4.25,17.02,2.1,2.8
"141","C1I290",8.82,0.98,1.92,5.52,1.83,2.56,16.55,3.08,4.22
"142","C1I340",10.02,2.15,2.52,5.78,4.63,4.07,18.72,3.23,2.35
"143","C1I440",14.22,3.22,6.47,12.9,9.67,14.37,36.43,5.57,8.87
"144","C1M390",19.98,5.07,3.18,10.53,11.88,19.55,45.65,2.97,4.12
"145","C1M400",23.17,4.5,4.05,5.72,8.33,19.45,44.88,1.15,4.4
"146","C1O850",21.1,4.47,3.1,2.9,3.3,12.53,37.37,2.72,3.12
"147","C1O870",21.53,12.88,10.43,14.83,16.38,15.4,41.2,4.47,7.1
"148","C1O880",21.75,3.95,5.07,7.33,8.4,12.75,37.78,2.88,5.3
"149","C1R110",32.18,8.67,10.1,6.5,11.78,10.43,48.93,4.75,12.23
"150","C1R120",41.15,11.45,2.75,15.4,11.83,16.23,56.33,1.57,15.47
"151","C1R290",29.31,5.57,2.3,11.93,13.48,2.62,24.38,9.93,12.6
"152","C1S670",18.45,3.6,4.68,18.98,12.08,5.2,26.87,1.82,15.67
"153","C1S800",35.13,8.35,5.65,13.62,17.58,2.07,19.67,5.62,10.53
"154","C1S880",25.98,15.24,2.87,9.95,12.37,3.9,28.85,14.73,10.45
"155","C1T800",14.6,1.78,1.15,26.28,4.87,11.4,36.73,4.31,14.35
"156","C1T810",14.2,2.08,1.87,26.85,5.33,13.37,33.82,4.43,15.88
"157","C1T830",21.97,2.08,1.52,23.23,8.83,19.45,52.88,2.12,11.22
"158","C1T940",19.07,7.47,6.37,26.25,10.37,10.27,34.65,6.45,16.45
"159","C1T950",25.52,11.45,8.08,29.47,15.88,13.4,43.68,7.38,20.77
"160","C1T970",17.48,7.07,4.65,23.62,8.9,7.13,40.15,3.87,12.62
"161","C1U501",7.58,10.12,10.42,23.55,11.23,11.37,25.28,9.93,18.27
"162","C1U670",13.85,11.23,9.12,11.08,15.07,16.22,35.58,18.7,20.63
"163","C1U690",14.15,11.75,8.12,12.52,16.7,21.35,37.62,19.45,21.2
"164","C1V160",27.11,9.6,7.12,8.58,12.02,15.98,39.43,8.2,7.37
"165","C1V170",20.83,1.68,2.92,20.18,7.95,18.63,40.27,2.82,15.08
"166","C1V190",19.8,2.02,6.17,22.9,12.38,14.02,20.18,3.23,17.57
"167","C1V200",13.62,2.67,3.47,11.5,4.03,11.2,26.27,1.02,7.98
"168","C1V220",22.73,8.15,14.17,21.37,12.18,15.67,39.98,4.37,14.98
"169","C1V300",38.07,6.28,10.38,15.43,13.88,19.53,53.52,5.8,10.42
"170","C1V390",29.13,3.98,1.08,0.75,3.23,5.82,40.33,1.17,6.35
"171","C0A9B0",3.1,0.38,3.32,3.4,3.12,9.17,15.42,4.68,8.98
"172","C0R360",27.87,7.8,3.05,3.2,11.63,1.5,26.22,13.1,9.68
"173","C0R370",31.5,6.33,2.77,14.4,12.33,1.88,27.67,10.83,6.78
"174","C0R380",30.2,2.18,2.15,11.52,6.95,1.28,39.3,2.58,5.36
"175","C0R400",26.33,2.5,0.67,15.27,13.38,3.2,32.53,6.15,12.97
"176","C1A730",5.87,2.88,4.8,9.18,7.75,12.48,15.7,7.18,12.95
"177","C1R300",28.4,10.53,3.03,11.53,8.55,2.4,37.9,14.47,9.11
"178","C1R320",28.6,3.44,1.6,15.58,1.16,1.82,21.9,5.33,8.57
"179","C1R330",21.82,2.1,0.25,12.8,8.95,2.63,32.63,3.92,7.15
"180","C1R340",34.82,19.31,2.37,13.88,17.9,3.78,31.88,13.85,12.9
"181","C1S620",52.98,5.87,4.13,17.8,21.23,2.2,39.63,9.33,15.8
"182","C1S630",25.38,2.68,2.17,12.67,9.03,1.75,18.68,4.03,9.13
"183","C1S660",24.85,3.03,4.32,25.67,10.73,3.77,32.8,2.88,21.37
