"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"74","C0D570",1.56,1.77,3.79,4.89,1.73,2.81,0.26,0.71,0.87
"75","C0D580",2.34,2.97,4.69,6.65,3.18,3.44,0.45,1.06,0.84
"76","C0D590",2.1,2.19,4.95,5.74,2.13,3.1,0.23,1.18,1.42
"77","C0E420",1.24,1.77,3.23,4.34,1.79,2.63,0.18,0.53,0.56
"78","C0E430",2.18,2.37,4.55,6.71,3.21,4.92,0.32,1.03,0.98
"79","C0E530",1.39,1.45,2.98,4.65,1.68,2.35,0.24,0.52,0.61
"80","C0E610",1.53,1.79,3.66,4.15,2.52,3.79,0.58,0.79,0.05
"81","C0E730",1.35,2.02,3.47,4.74,1.81,2.39,0.24,0.53,0.55
"82","C0F861",3.06,4.53,6.24,4.89,5.55,3.53,0.92,2.52,0.16
"83","C0G640",0.42,0.76,1.56,1.84,0.63,1.61,0.16,0.15,0.18
"84","C0G650",0.74,1.06,1.82,1.74,0.65,0.94,0.39,0.32,0.02
"85","C0H9A0",1.94,2.53,4.76,4.16,5.26,1.85,1.06,1.11,0.06
"86","C0H9C0",2.53,6.58,9.52,7.52,11.18,5.06,1.98,2.76,0.34
"87","C0I090",1.37,1.35,3.52,2.97,1.82,1.63,0.76,0.73,0.02
"88","C0I110",0.98,0.87,2.03,2.34,1.11,1.66,0.61,0.21,0
"89","C0K240",1.58,1.42,2.35,2.29,2.26,1.85,0.68,0.52,0.02
"90","C0K330",0.73,0.89,1.5,1.87,0.73,1.63,0.35,0.23,0
"91","C0M410",0.4,0.68,0.62,1.03,1.02,0.87,0.32,0.11,0.03
"92","C0O810",0.84,0.42,1.08,1.02,0.52,0.65,0.24,0.06,0.02
"93","C0O900",0.58,0.31,0.73,0.63,0.31,0.53,0.18,0.03,0
"94","C0O930",0.69,0.42,0.98,1,0.45,0.63,0.16,0.06,0.02
"95","C0R100",1.08,1.39,1.42,2.02,1.32,1.79,0.19,0.13,0
"96","C0R150",0.63,1.5,0.97,1.79,0.74,0.92,0.16,0.03,0
"97","C0R220",0.61,1,0.39,2.06,0.47,1.26,0.11,0.06,0.02
"98","C0R270",0.4,0.82,0.47,1.85,0.66,1.55,0.1,0.11,0
"99","C0R280",1.58,3.61,8.27,5.58,1.89,1.15,0.94,2.89,3.05
"100","C0R350",0.13,0.89,0.62,3.26,0.39,0,0,0.34,0.24
"101","C0R420",2.13,4.74,8.18,5.31,3.16,1.31,1.63,3.5,2.45
"102","C0S690",0.63,2.32,4.45,2.1,1.13,1.23,0.61,0.56,1.55
"103","C0S700",0.73,3.05,4.26,2.15,1.31,2.26,0.95,0.65,2.02
"104","C0S710",0.73,2.85,3.6,2.45,1.23,1.53,0.71,0.5,1.15
"105","C0S730",1.18,6.1,15.72,6.81,2.92,2.95,8.73,5.45,3.23
"106","C0S740",0.48,2.29,2.37,1.92,0.82,1.06,0.79,0.32,0.89
"107","C0S750",1.73,6.77,8.15,4.15,4.79,3,2.26,4,2.08
"108","C0S760",0.6,3.26,4.05,2.84,1.73,1.98,1.5,0.97,2.1
"109","C0S770",0.77,2.85,3.89,2.23,1.85,1.13,1.26,1.42,2.05
"110","C0S790",0.44,2.21,2.98,1.87,1.13,1.31,0.79,0.9,1.21
"111","C0S810",0.34,1.39,3.92,1.84,0.81,1.81,0.82,1.39,0.68
"112","C0S840",0.42,2.47,3.61,4.03,1.16,0.34,0.55,0.68,0.76
"113","C0T790",2.47,4.21,6.42,4.5,6.19,2.32,1.15,1.81,0.19
"114","C0T820",0.98,2.71,2.95,3.08,1.89,2.16,0.31,0.72,0.48
"115","C0T870",1.47,4.19,3.74,2.53,2.05,3.61,1.55,0.97,1.63
"116","C0T960",1.95,4.05,6.15,3.27,2.98,4.1,2,1.5,2.89
"117","C0T9A0",2.48,3.82,6.98,3.77,2.81,3.39,2.81,2.97,3.35
"118","C0T9B0",2.89,5.21,6.39,3.56,3.11,5.63,2.77,2.15,3.11
"119","C0T9D0",1.06,12.48,7.6,5.89,2.4,5,4.03,5.62,1.82
"120","C0T9E0",1.15,4.9,8.32,3.81,2.1,3.45,2.44,4,3.92
"121","C0T9F0",2.08,3.69,6.66,3.31,2.26,2.98,2.03,2.47,2.9
"122","C0T9G0",2.5,6.19,4.94,3.68,2.63,4.66,3.5,3.5,5.21
"123","C0T9H0",2.97,6.58,14.45,6.84,4.35,6.06,4.03,7.89,8.1
"124","C0T9I0",2.27,4.56,15.94,5.61,3.55,3.82,3.87,5.87,5.61
"125","C0T9M0",1.84,3.61,7.44,2.95,2.27,2.37,2.82,3.55,4.47
"126","C0U650",4.35,15.56,11.32,11.73,8.06,6.61,10.32,14.52,12.24
"127","C0U760",7.85,22.21,15.19,16.87,8.31,7.56,10.76,38.71,19.08
"128","C0U770",2.19,10.1,9.45,8.29,2.76,4.58,5.45,8.48,5.48
"129","C0V250",0.79,0.87,1.47,1.34,0.71,0.73,0.13,0.06,0.03
"130","C0V310",0.71,0.92,0.89,1.21,0.42,0.69,0.15,0.02,0
"131","C0V370",0.71,0.92,1.03,1.08,0.32,0.32,0.1,0.02,0.02
"132","C0V490",0.34,0.84,0.81,1,0.18,0.61,0.02,0,0
"133","C0V500",0.35,1.1,0.77,1,0.16,0.74,0.05,0,0
"134","C0X080",0.6,0.19,0.77,0.89,0.31,0.81,0.35,0.1,0
"135","C0Z050",0.97,4.35,4.13,2.74,1.4,1.52,0.87,0.9,1.21
"136","C0Z061",2.15,3.71,14.22,3.45,1.81,1.6,1.18,1.18,1.27
"137","C0Z070",1.35,3.23,4.56,2.84,1.89,2.11,1.05,1.03,1.32
"138","C1A9N0",4.87,14.18,10.85,13.81,6.18,5.5,2.89,8.21,7.06
"139","C1AC50",2.16,3.15,5.11,6.39,1.89,2.16,0.11,1.24,1.73
"140","C1C510",2.45,3.61,3.77,6.18,2.19,3,0.18,1.81,1.85
"141","C1D380",2.05,2.52,5.06,6.21,2.05,3.02,0.32,1.08,1.16
"142","C1D400",1.82,2.61,7.21,5.29,3.92,4.44,0.61,1.42,0.79
"143","C1D410",2.19,3.47,6.35,7.27,4.71,5.92,0.97,1.77,0.74
"144","C1D420",2.45,2.95,6.52,7.42,4.03,4.94,0.92,1.92,0.77
"145","C1E480",2.31,2.85,5.42,6.77,4.18,5.37,0.77,1.58,0.55
"146","C1E670",2.06,2.74,5.69,6.58,4.34,5.66,0.66,1.42,0.58
"147","C1I140",1.34,1.65,3.32,2.68,2.9,0.76,0.95,0.89,0.05
"148","C1I440",2.08,3.9,5.94,4.4,5.71,2.39,1.18,1.29,0.15
"149","C1M390",1.53,1.24,2.56,1.6,2.23,1.39,0.66,0.5,0.1
"150","C1M400",1.13,0.55,1.89,1.32,0.89,0.71,0.32,0.15,0
"151","C1O850",0.69,0.42,0.85,1.16,0.44,0.87,0.23,0.05,0
"152","C1O870",1,0.73,2.44,1.68,1.48,0.89,0.47,0.31,0.02
"153","C1O880",0.89,0.65,1.66,1.03,0.94,0.95,0.16,0.05,0.05
"154","C1R110",0.92,1.19,1.05,1.74,0.97,1.31,0.08,0.08,0
"155","C1R120",0.87,1.55,1.32,1.9,1.26,1.13,0.23,0.23,0
"156","C1R250",0.5,0.95,0.56,1.4,0.37,0.97,0.03,0.03,0
"157","C1R290",0.21,1.47,8.5,0.19,0.52,0.63,0.23,0.55,0.13
"158","C1S670",0.87,4.5,4.87,2.82,3.26,2.56,1.18,2.27,1.35
"159","C1S800",0.32,1.95,2.74,1.63,0.82,0.98,1.08,0.45,1.56
"160","C1S880",1.55,3.95,7.27,5.02,2.19,1,1.15,1.68,2.71
"161","C1T800",2.19,4.1,4.63,4.98,5.31,2.39,0.97,1.92,0.65
"162","C1T810",2.79,6.02,6.27,6.42,6.11,3.1,1.56,3.03,0.92
"163","C1T830",1.05,3.87,3.31,2.81,1.89,3.23,1.05,1.05,0.81
"164","C1T920",1.79,3.66,5.18,2.47,2.21,3.11,1.85,1.5,2.98
"165","C1T940",2.79,3.58,5.11,2.98,3.11,4.13,2.13,1.89,3.06
"166","C1T950",8.66,18.1,13.73,10.66,11,12.23,10.71,11.19,14.56
"167","C1T970",2.45,4.5,5.95,3.47,3.15,4.52,2.48,0.05,3.37
"168","C1T990",1.32,3.5,4.56,3.16,2.03,1.68,1.58,1.45,1.24
"169","C1U670",7.76,18.19,14.02,14.39,7.74,5.68,10.26,20.92,18.29
"170","C1U690",10.42,22.48,15.26,16.66,9.48,6.11,12.34,25.23,23.84
"171","C1V160",1.39,1.16,2.84,2.02,2.05,1.31,0.48,0.65,0.34
"172","C1V170",0.84,5.03,6.02,5.4,5.08,2.05,1.48,1.39,0.48
"173","C1V190",2.37,3.73,7.23,8.63,7.27,3.32,1.29,2.11,0.26
"174","C1V200",1.32,1.39,3.34,2.45,1.97,1.39,0.47,0.32,0.02
"175","C1V220",1.37,2.66,3.69,3.11,3.69,1.47,0.44,0.53,0.26
"176","C1V300",1.35,2.23,2.27,2.73,2.56,1.61,0.37,0.21,0.08
"177","C1V340",0.89,0.98,1.29,1.82,0.89,1.95,0.15,0.08,0.02
"178","C1V390",0.9,0.92,1.03,1.02,0.27,0.23,0.15,0.02,0.02
"179","C1Z030",1.53,3.63,4.31,2.94,1.89,2.4,1.03,1.05,1.24
"180","C1Z040",1.65,4.26,5.66,3.65,2.84,2.79,1.37,1.8,2.39
"181","C0A9B0",1.44,2.85,4.24,4.29,1.53,1.66,0.06,0.87,1.37
"182","C0R360",0.23,1.48,2.4,2.45,0.73,0.19,0.02,1.74,0.6
"183","C0R370",0.53,2.23,4.16,2.77,1.34,0.42,0.39,2.81,1.61
"184","C0R380",0.39,1.08,0.42,1.24,0.47,1.21,0.03,0.06,0
"185","C0R400",0.11,1.42,0.24,2.48,0.5,0.68,0.02,0.08,0
"186","C1A730",2.42,6,6.76,8.34,3.18,2.35,0.58,2.42,2.4
"187","C1R300",0.92,3.48,6.4,3.56,1.65,0.79,0.55,1.74,1.87
"188","C1R320",0.03,1.5,2.65,3.58,0.48,0.84,0.03,0.69,0.02
"189","C1R330",0.15,1.23,0.11,1.26,0.55,0.4,0,0.02,0
"190","C1R340",0.35,1.56,2.11,3.03,0.61,0.65,0.42,1.18,0.31
"191","C1S620",0.44,2.56,2.6,2.19,1.53,1.95,1.35,1.29,0.94
"192","C1S630",0.21,1.27,4.19,1.65,0.63,1.34,1.03,0.37,1.85
"193","C1S660",0.6,4.35,2.81,2.53,1.68,2.02,0.74,0.69,1.26
