"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"74","C0D570",8.71,5.95,5.44,11.03,10.97,14.32,4.68,3.61,2.79
"75","C0D580",9.45,7.37,10.39,10.76,12.82,12.63,7.79,3.71,2.27
"76","C0D590",7.35,10.52,6.42,13.44,12.23,10.98,4.26,3.31,1.35
"77","C0E420",7.97,5.66,8.98,10.47,13.02,14.4,4.71,3.92,2.56
"78","C0E430",7.6,9.19,10.9,14.85,13.82,13.84,7.55,6.1,4.5
"79","C0E610",6.84,7.66,8.46,12.66,14.6,11.65,5.1,6.29,4.5
"80","C0E730",8.87,5.97,9.19,11.11,11.92,15.1,5.21,3.24,2.9
"81","C0F861",7.5,12.82,10.58,21.81,23.06,17.13,5.31,10.85,3.82
"82","C0G640",2.98,0.71,7.31,7.68,15.16,18.37,2.32,2.89,1.63
"83","C0H990",6.39,12.85,13.95,17.37,19.82,19.77,5.74,12.19,3.34
"84","C0H9A0",13.11,11.84,16.52,26.95,18.32,19.94,6.15,8.34,2.66
"85","C0H9C0",13.85,22.98,21.41,34.94,32.52,38.31,11.66,20.71,6.39
"86","C0I010",9.98,12.31,17.06,22.32,23.23,23.45,7.19,11.32,4.69
"87","C0I090",5.56,9.58,14.73,23.73,19.48,15.37,5.55,11.69,4.35
"88","C0I110",3.94,9.69,11.06,15.52,10,12.66,4.23,4.85,4.77
"89","C0K240",6.18,10.48,14.26,23.16,17.52,16.82,4.53,8.11,3.44
"90","C0K280",1.82,1.55,5.5,13.89,9.23,9.85,1.31,2.34,2.27
"91","C0K330",3.02,2.87,6.63,12.81,13.44,0.08,1.11,2.06,1.26
"92","C0M530",11.18,12.76,23.58,24.52,24.58,33,7.1,12.85,3.92
"93","C0O810",8.94,6.89,14.68,5.12,10.35,23.97,3.85,4.69,0.92
"94","C0O900",4.97,2.34,8.31,0.9,5.26,13.85,2.35,3.68,1.81
"95","C0O930",7.89,4.87,11.34,12.21,7.95,17.34,2.74,4.27,1.08
"96","C0R100",24.65,14.45,24.66,25.77,11.06,36.1,5.4,14.98,7.6
"97","C0R150",12.76,8.52,18.24,14.97,9.69,17.15,7.27,3.65,4.02
"98","C0R220",7.06,3.39,11.31,9.95,4.85,13.35,2.74,3.1,1.81
"99","C0R270",8.52,2.56,6.88,6.45,4.5,10.74,2.84,2.32,0.87
"100","C0R280",11.74,7.34,19.13,11.02,0.83,18.92,4.23,3.02,1.1
"101","C0R350",6.45,3.26,11.29,7.81,1.29,10.85,1.26,1.21,1.13
"102","C0R420",11.44,8.95,11.74,11.95,1.44,13.23,4.05,5.44,0.82
"103","C0S690",6.53,7.47,6.77,8.39,3.31,7.1,2.42,4.1,0.58
"104","C0S700",8.55,11.13,5.79,9.05,3.06,9,3.68,6.74,2.13
"105","C0S710",5.35,10.79,8.79,5.9,2.66,6.05,1.32,6.94,1.92
"106","C0S730",3.16,10.06,10.47,2.53,6.84,6.68,4.65,3.37,0.56
"107","C0S740",3.58,6.42,4.74,2.85,2.97,4.94,2.48,2.82,1.32
"108","C0S750",10.29,11.87,12.87,17.44,13.03,14.63,6.19,7.76,4.34
"109","C0S760",3.45,9.23,6.16,5.89,3.19,6.55,5.79,4.84,2.71
"110","C0S770",9.24,9.85,7.63,11.82,4.55,9.15,2.9,2.96,0.89
"111","C0S790",8.81,7.15,5.58,8.18,3.18,7.76,2.66,3.71,0.55
"112","C0S810",6.4,6.82,8.11,11.29,3.71,4.84,2.31,5.42,1.53
"113","C0S830",4.21,8.92,5.32,15.47,4.19,5.21,2.44,3.87,1.68
"114","C0S840",12.9,6.11,7.37,8.81,2.16,7.23,3.65,3.53,1.42
"115","C0T790",4.39,10.11,7.63,12.37,9.94,11.61,4.5,8.35,2.85
"116","C0T820",1.53,4.56,4.48,4.9,6.39,4.95,4,4.58,1.02
"117","C0T960",3.4,9.63,11.31,9.18,6.56,3.19,8.35,3.5,1.74
"118","C0T9A0",2.66,8.55,14.79,11.94,7.31,5,5.58,5.68,0.97
"119","C0T9D0",3.92,7,20.26,14.53,7.18,8.31,12.42,9.19,1.68
"120","C0T9M0",3.21,8.56,7.45,14.87,4.94,5.97,5.29,5.29,1.71
"121","C0U600",3.71,13.58,20.98,9.9,18.34,9.13,4.32,8.58,1.47
"122","C0U650",3.92,11.92,14.9,13.02,10.52,8.89,15.68,11.18,2.58
"123","C0U710",3.52,9.08,10.81,10.03,10.11,8.32,8.27,8.52,3.27
"124","C0U750",1.87,4.13,10.29,5.4,12.02,5.66,2.28,4.45,0.9
"125","C0U760",2.58,13.06,31.55,10.23,8.94,10.16,10.21,10.69,1.08
"126","C0U770",2.06,9.23,29.66,9,6.73,7.02,7.15,7.53,0.56
"127","C0V250",12.02,10.58,19.68,17.35,13.5,23.69,7.21,8.84,2.31
"128","C0V310",9.48,9.16,18.47,12.48,4.39,14.1,5.9,3.94,4.74
"129","C0V370",6.35,3.82,12.68,10.11,4.6,10.6,4.4,2.71,3.5
"130","C0V490",11.19,4.03,9.19,10.32,5.13,8.98,2.92,4.1,3.16
"131","C0V500",7.77,4.21,7.63,11.52,4.5,9.06,3.4,3.74,2.11
"132","C0X080",2.16,1.6,6.65,6.89,5.32,0.15,1.69,3.68,1.35
"133","C0Z050",2.35,9.95,4.92,5.18,3.68,5.42,6.24,6.53,0.97
"134","C0Z061",4.9,10.5,6.6,8.71,5.69,6.52,2.52,5,1.1
"135","C0Z070",1.73,7.53,6.39,7.31,5.35,4.9,3.31,4.92,1.02
"136","C1A9N0",5.32,17.16,14,12.65,21.73,14.11,12.13,6.97,2.18
"137","C1AC50",4.98,8.48,12.08,14.21,18.06,9.06,5.08,4.77,0.68
"138","C1C510",7.06,10.58,8.32,14,13.61,9.26,8.21,2.69,1.24
"139","C1D380",6.68,6.79,7.5,12.11,10.65,10.26,6.1,3.37,1.58
