"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"74","C0D570",4.77,1.39,18.82,14.55,5.69,4.35,2.45,0.68,7.4
"75","C0D580",6.73,3.19,23.08,17.76,4.4,11.97,4.79,2.31,11.35
"76","C0D590",5.26,0.9,16.94,16.98,1.5,7.6,3.81,0.97,6.32
"77","C0E420",3.24,0.84,14.89,14.71,8.4,5.32,3.97,0.58,5.53
"78","C0E430",10.1,6.16,32.92,23.73,8.45,12.85,6.34,2.87,13.21
"79","C0E610",7.6,4.16,29.56,27.56,5.87,13.81,7.24,3.13,7.31
"80","C0E730",3.27,1.08,15.5,15.31,6.89,7.1,5.39,1.18,5.74
"81","C0H990",5.52,11.76,15.85,10.73,4.31,16.72,4.5,3.27,11.18
"82","C0H9A0",11.27,14.06,21.47,28.6,9.76,21.53,6.5,5.13,22.97
"83","C0I010",4.63,7.16,18.87,13.35,4.61,0,4.35,2.85,12.42
"84","C0I090",6.52,5.75,34.63,29.23,7.18,16.53,10.06,6.47,22.76
"85","C0K330",4.26,4,18.05,42.35,7.58,15.52,4.97,3.98,17.65
"86","C0M410",11.55,16.63,29.39,47.4,11.44,37.39,10.61,6.47,48.97
"87","C0O810",21.37,15.65,31.95,50.61,18.39,26.81,12.37,5.16,47.73
"88","C0O900",4.39,7.27,15.76,37.15,15.73,22.84,5.02,6.15,38.77
"89","C0O930",18.19,11.9,21.5,49.74,11.81,21.39,8.11,5.65,35.19
"90","C0R100",11.58,2.67,29.53,59.16,21.71,43.18,19.85,11.26,52.98
"91","C0R150",12.89,27.23,19.32,38.29,16.65,26.24,15.4,10.37,47.68
"92","C0R220",8.15,19.08,28.48,25.79,22.13,19.65,15.44,7.69,41.03
"93","C0R270",7.44,12.63,17.68,27.94,33.1,12.52,11.27,6.05,35.66
"94","C0R280",15.31,40.24,48.5,28.63,6.53,10.87,19.05,10.61,39.48
"95","C0R350",8.79,34.15,21.85,21.29,12.35,6.16,10.37,8.53,42.79
"96","C0R420",14.66,26.95,26.15,25.08,10.79,10.09,19.21,11.66,26.27
"97","C0S690",5.9,8.23,21.74,8.61,3.18,6.58,7.73,7.58,15.48
"98","C0S700",7.92,20.37,27.69,7.69,3.08,9.44,10.26,10.31,17.24
"99","C0S710",3.52,16.55,19.5,6.66,4,5.73,12.16,6.85,13.63
"100","C0S730",4.87,8.68,2.48,9.68,2.13,10.9,9.23,5.52,14.13
"101","C0S740",1.92,14.87,20.44,5.24,6.02,5.56,13.31,6.81,12.89
"102","C0S750",7.31,21.47,33.65,16.26,7.94,16.02,10.84,9.95,25.56
"103","C0S770",3.94,12.65,18.63,12.73,3.24,8.77,10.23,7.18,22.08
"104","C0S790",4.26,10.73,17.63,11.71,3.18,5.9,8.13,9.23,13.92
"105","C0S810",2.47,12.08,15.97,6.98,3.13,7.42,7.48,6.87,15.98
"106","C0S830",1.76,9.69,8.1,3.05,2.71,8.92,9.5,6.1,10.05
"107","C0S840",7.95,18.21,20.97,21.89,4.74,16.56,13.37,10.66,21.71
"108","C0T820",1.6,18.97,26.24,4.5,0.63,27.68,6.31,5.35,4.98
"109","C0T870",4.39,17.27,18.34,2.9,3.32,14.45,8.82,6.61,10.34
"110","C0T960",2.9,15.58,15.48,2.15,2.19,15.94,11.58,9.76,7.63
"111","C0T9A0",2,15.61,14.69,2.63,6.23,16.27,7.45,8,8.32
"112","C0T9B0",4.05,17.94,21.66,3.6,10.58,19.5,11.58,5.13,16.06
"113","C0T9D0",4.39,11.52,26.81,5.02,0.95,24.9,6.18,3.68,14.9
"114","C0T9E0",1.26,12.35,16.9,2.19,3.71,16.15,7.74,8.76,3.62
"115","C0T9F0",1.92,15.52,16.79,2.65,5.1,15.11,11.55,8.68,8.63
"116","C0T9G0",3.84,16.68,13.27,2.56,3.94,15.69,12.77,10.02,10.24
"117","C0T9H0",3.61,9.42,8.76,3.65,2.61,16.02,10.56,10.71,9.06
"118","C0T9I0",2.29,9.9,12.48,2.48,1.84,13.95,9.98,9.45,8.66
"119","C0T9M0",4.11,9.6,8.89,2.19,3.4,6.31,9.08,4.98,6.58
