"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"75","C0D580",3.27,2.68,6.05,2.1,0.48,0.85,12.05,1.06,9.32
"76","C0D590",3,2.19,5.03,1.79,0.69,0.74,9.9,0.84,9.19
"77","C0E420",2.24,1.42,4.03,1.45,0.27,0.68,9.53,0.66,6.58
"78","C0E430",3.13,2.39,7.81,1.82,0.23,0.84,12.29,0.76,10.27
"79","C0E530",1.4,1.31,3.98,0.98,0.02,0.76,8.65,0.44,5.32
"80","C0E610",2.39,2.06,1.39,1.34,0.42,0.82,10.85,0.76,7.11
"81","C0E730",2.26,1.47,4.66,1.56,0.24,0.65,9.48,0.74,7.47
"82","C0F861",3.48,3.03,6.31,2.45,0.23,0.58,14.92,0.73,11.77
"83","C0G640",0.5,0.5,1.27,0.37,0.02,0.37,5.16,0.08,1.34
"84","C0G650",1,0.82,1.47,0.35,0.03,0.39,6.06,0.16,3.4
"85","C0H990",1.53,1.58,1.65,0.6,0.03,0.48,7.02,0.31,4.1
"86","C0H9A0",1.92,3.37,3.11,0.87,0.02,0.9,12.6,0.16,7.5
"87","C0H9C0",2.71,6.18,7.92,2.05,0.06,1.71,26.21,2.26,14.69
"88","C0I010",2.61,2.89,3.68,0.9,0,0.53,13.12,0.74,7.9
"89","C0I090",1.42,1.89,2.27,0.61,0,0.58,8.9,0.03,5.31
"90","C0I110",1.18,1.18,1.68,0.56,0,0.34,7.56,0.06,4.06
"91","C0K240",1.1,1.63,2.02,0.69,0,0.61,8.89,0,4.29
"92","C0K280",0.58,0.52,0.61,0.42,0,0.34,3.93,0.05,2.52
"93","C0K330",0.68,0.92,1.32,0.63,0,0.32,4.77,0.08,2.84
"94","C0M410",0.55,0.44,1.02,0.29,0,0.37,7.11,0.02,2.55
"95","C0M530",1.26,1.74,1.95,1.05,0.02,0.66,9.47,0.15,4.89
"96","C0O810",0.39,0.47,0.52,0.19,0,0.29,6.77,0,1.95
"97","C0O900",0.44,0.32,0.23,0.29,0,0.18,5.74,0,1.31
"98","C0O930",0.35,0.37,0.34,0.23,0,0.35,6.45,0,1.6
"99","C0R100",0.44,1.21,0.53,0.05,0,0.21,6.23,0.02,2.27
"100","C0R150",0.21,0.6,0.1,0.02,0,0.21,4.77,0.02,1.94
"101","C0R220",0.15,0.39,0,0.03,0,0.11,4.87,0,0.84
"102","C0R270",0.02,0.58,0.03,0.18,0,0.68,4.02,0.02,1.16
"103","C0R280",3.05,3.65,0.45,7.9,2.21,2.29,5.79,1.98,3.58
"104","C0R350",0.53,0.42,0.05,0.23,0,1.89,0.96,0.18,0.98
"105","C0R420",4.85,5.35,1.29,5.61,1.69,2.55,6.61,1.74,4.23
"106","C0S690",1.65,0.95,0.63,2.53,1.06,1.18,5.61,0.08,2.92
"107","C0S700",3.23,1.13,0.97,1.61,0.44,1.48,5.7,0.68,4.18
"108","C0S710",1.1,0.98,1.47,1.31,0.15,1.47,5.37,0.21,2.89
"109","C0S730",4.63,3.69,1.84,18.42,2.65,3.37,7.8,4.58,3.71
"110","C0S740",0.98,0.68,0.89,1.21,0.08,0.94,4.37,0.31,1.6
"111","C0S750",2.6,2.9,4.02,2.4,1,1.92,13.23,1.68,7.39
"112","C0S760",2.26,1,0.95,1.76,0.45,1.44,5.85,1.13,2.31
"113","C0S770",2.56,1.65,1.23,2.98,1.55,1.18,6.79,0.92,3.24
"114","C0S790",2.37,1.16,0.73,1.89,0.6,1.02,5.2,0.65,2.76
"115","C0S810",1.66,0.4,1.87,1.35,0.58,1.55,5.08,0.69,2.21
"116","C0S840",1.55,1.66,0.61,2.74,0.77,0.69,6.35,0.85,2.32
"117","C0T790",2.44,3.92,5.23,1.18,0.02,0.97,19.5,0.47,10.53
"118","C0T820",1.37,1.21,2.81,0.95,0.06,0.45,6.4,0.31,4.1
"119","C0T870",2.63,1.4,3.63,2.15,1.13,1.42,5.98,1.34,4.24
"120","C0T960",2.97,1.69,2.48,2.37,0.61,1.27,7.58,1.32,3.81
"121","C0T9A0",3.89,1.81,2.73,3.13,0.47,2.45,7.23,1.85,3.45
"122","C0T9B0",4.23,2.9,5.31,1.32,1.58,3.23,7.87,2.66,5.13
"123","C0T9D0",2.23,0.37,1.27,3.56,0.45,1.11,4.34,0.68,4.76
"124","C0T9E0",4.34,1.06,2.15,3.69,0.52,1.47,6.06,2.4,4.24
"125","C0T9F0",2.27,1.21,2.08,2.45,0.39,1.66,6.17,1.4,3.16
"126","C0T9G0",3.27,2.66,3.53,2.32,1.61,2.32,7.74,2.18,4.47
"127","C0T9H0",6.35,5.84,5.73,8.31,2.42,5.03,9.42,6.37,7.53
"128","C0T9I0",6.4,5.48,4.27,7.81,2.77,3.74,7.56,5.44,6.23
"129","C0T9M0",4.56,3.79,2.71,4.47,2.45,3.34,5.66,3.87,3.79
"131","C0U650",6.58,6.98,9.39,7.15,1.89,3.68,6.84,6.37,12.45
"135","C0U770",2.29,0.34,0.55,3.87,0.26,1.61,2.92,2.56,5.97
"136","C0V250",0.27,0.68,0.47,0.21,0,0.15,6.69,0.02,2.08
"137","C0V310",0.1,0.55,0.23,0.1,0,0.03,4.95,0,1.11
"138","C0V370",0.11,0.44,0.13,0.18,0,0.02,4.9,0,1.02
