"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"74","C0D570",9.45,5.32,10.03,4.42,5.18,2.88,7.12,21.95,1.28
"75","C0D580",14.03,9.87,4.79,3.87,4.5,5.17,7.87,21.97,3.73
"76","C0D590",8.25,5.5,16.63,1.57,4.7,2.17,9.37,20.8,1.57
"77","C0E420",10.85,6.28,9.98,2.68,6.13,3.65,6.72,22.85,1.35
"78","C0E430",14.87,11.43,13.45,7.77,6.12,5.72,6.73,22.68,8.27
"79","C0E610",10.31,8.92,16.92,3.52,8.03,4.25,10.13,29.9,10.58
"80","C0E730",11.42,7.53,10.2,3,7,3.4,5.55,20.53,2.95
"81","C0F861",15.73,1.12,31.1,2.97,8.93,1.92,13.52,34.25,5.53
"82","C0H990",16.67,4.48,27.38,5.08,10.03,2.4,7.15,28.58,9.62
"83","C0H9A0",12.15,8.68,47.85,8.7,11.62,2.32,18.33,60.43,22.77
"84","C0H9C0",30.53,8.2,52.47,6.85,15.42,2.6,21.87,74.32,13.17
"85","C0I010",16.72,5.28,38.65,3.05,11.93,2.17,12.63,52,9.4
"86","C0I090",16.3,12.08,22.27,4.03,16,5.75,22.28,37.88,12.17
"87","C0I110",13.37,1.5,26.43,5.08,10.87,4.08,18.2,35.95,11.52
"88","C0K240",10.58,7.73,35.02,5.38,12.45,3.1,16.83,46.4,23.47
"89","C0K280",10.22,6.5,15.3,4.73,11.45,0.48,7.33,21.02,10.35
"90","C0M530",17.98,7.8,47.83,6.82,17.95,3.52,26.72,52.95,23.63
"91","C0O930",14.23,6.12,34.38,2.32,7.42,3.83,14.75,18.5,23.67
"92","C0R100",20.98,7.92,87.27,10.92,15.45,1.63,24.65,30.57,34.58
"93","C0R150",17.28,9.47,63.75,8.35,8.67,1.02,21.85,20.72,28.8
"94","C0R220",14.75,7.37,47.8,5.08,9.77,0.28,16.27,13.08,32.12
"95","C0R270",5.43,7.12,0.4,4.18,12.72,0.4,13.48,4.75,20.68
"96","C0R280",5.63,13.9,39.87,14.55,3.33,1.73,17.65,7.3,24.57
"97","C0R350",4.85,8.32,23.07,4.7,12.65,2.37,7.57,2.25,15.92
"98","C0R420",6.8,19.95,36.37,17.85,13.65,1.55,12.98,9.33,20.55
"99","C0S690",2.17,18.25,25.55,17.62,8.07,0.23,4.05,8.02,10.88
"100","C0S700",2.87,21.17,22.67,15.12,8.98,0.43,3.72,13.93,11.85
"101","C0S710",2.55,14.43,16.87,10.87,6.87,0.28,8.15,6.58,7.62
"102","C0S730",2.3,10.85,13.95,16.53,10.15,0.47,2.17,2.03,8.98
"103","C0S740",2.5,9.62,12.25,8.5,3.98,1.48,4.72,5.17,9.55
"104","C0S750",5.78,15.65,41.22,6.93,11.73,2.77,11.08,38.47,11.58
"105","C0S760",3.33,10.05,13.27,8.9,6.95,1.98,8.75,9.37,9.05
"106","C0S770",2.63,18.6,33.23,20.88,7.22,0.85,4.57,7.2,14.58
"107","C0S790",1.72,18.52,26.82,16.6,7.2,1.08,3.55,4.12,12.08
"108","C0S810",2.17,11.18,13.45,12.6,5.18,0.43,3.28,5.55,5.85
"109","C0S830",2.75,5.9,11.98,8.58,3.47,1.17,1.88,4.32,7.8
"110","C0S840",5.23,14.57,33.33,20.5,11.62,0.8,6,11.95,17.63
"111","C0T790",10.87,2.78,23.72,3.53,6.08,1.33,6.85,27.03,5.75
"112","C0T820",4.2,1.7,12.62,1.17,3.48,1.1,2.38,9.95,2.38
"113","C0T870",5.17,3.43,12.8,4.85,5.08,1.3,5.55,4.67,6.57
"114","C0T960",6.35,3.17,11.47,7.45,5.43,0.72,3.78,6.52,8.53
"115","C0T9A0",4.42,3.45,11.1,3.87,4.83,1.95,3.7,7.35,8.13
"116","C0T9B0",5.48,3.87,15.07,2.9,4.57,0.63,7.73,5.35,7.05
"117","C0T9D0",4.95,1.93,10.92,4.5,3.03,3.12,9.83,7,9.53
"118","C0T9E0",3.17,3.68,11.7,6.47,4.55,0.52,7.13,4.27,6.97
"119","C0T9F0",3.3,3.7,10.6,4.62,4.67,1.9,3.03,6.35,9.17
"120","C0T9G0",8.13,3.35,11.52,5,7.12,2.45,7.8,11.25,10.1
"121","C0T9H0",4.2,4.8,14.55,5.45,6.37,3.82,3.43,6.98,14.93
"122","C0T9I0",4.22,4.13,11.27,4.68,3.9,1.03,3.9,7.79,6.67
"123","C0T9M0",3.93,4.55,10.5,6.22,4.62,0.07,2.5,6.28,7.62
"124","C0U600",6.33,5.45,9.72,4.05,11.15,2.45,7.88,13.08,8.45
"125","C0U650",10.57,6.3,15.5,4.28,10.57,2.43,6.75,16.82,10.38
"126","C0U710",12.08,10.83,20.27,5.57,14.6,10.08,19.18,16.27,11.15
"127","C0U750",3.2,1.62,5.68,3.08,4.28,0.5,2.77,6.87,3.68
"128","C0U760",7.43,2.3,17.53,5.05,5.27,1.28,10.9,8.45,17.2
"129","C0U770",4.48,1.93,11.42,3.35,3.02,0.52,10.73,5.27,12.83
"130","C0V250",10.47,6.32,50.75,4.58,14.82,2.25,22.43,26.67,22.67
"131","C0V310",13.03,6.83,47.95,3.43,9.23,1.47,18.13,21.72,26.75
"132","C0V370",12.83,9.5,39.68,2.88,9,0.43,13.52,16.52,27.9
"133","C0V490",10.6,13.63,24.5,2,6.65,0.67,11.45,10.92,25.8
"134","C0V500",9.75,12.32,22.53,3.2,5.73,0.12,9.88,9.82,23.52
"135","C0Z050",4.27,8.5,12.88,6,5.8,0.47,5.23,4.87,6.28
"136","C0Z061",3.38,7.27,10.8,9.4,5.65,0.95,2.83,7.05,7.83
"137","C0Z070",3.55,4.67,9.77,4.88,5.27,0.03,4.85,5.04,4.98
"138","C1A9N0",13.13,16.58,24.68,10.3,23.42,11.53,14.03,26.08,13.58
"139","C1AC50",11.18,8.2,15.13,2.55,5.6,1.47,10.78,24.82,0.88
"140","C1C510",9.48,7.25,18.6,2.33,5.88,2.37,14.02,20.98,1.43
"141","C1D380",10.67,7.12,13.67,2.6,4.47,2.52,8.75,19.55,3.77
"142","C1D400",9.4,26.33,19.6,9.05,5.63,7.7,17.12,25.87,11.77
"143","C1D410",12.52,12.35,18.32,4.92,6.17,2.67,8.13,24.42,8.42
"144","C1D420",12.13,13.05,15.57,4.38,3.5,0.09,8.3,20.17,10.45
"145","C1E480",13.47,12.45,18.5,8.83,7.23,2.87,8.45,25.93,10.4
"146","C1E670",17.43,11.42,21.05,9.2,5.78,6.48,9.62,29.83,12.25
"147","C1H000",21.08,7.38,45.63,4.3,14.55,2.33,13.97,52.95,11.55
"148","C1H860",20.1,9.1,45.62,3.77,10.68,1.35,14.63,58.72,10.7
"149","C1H900",22.77,7,39.55,3.8,16.05,3.73,12.03,51.53,13.47
"150","C1H920",23.17,6.2,34.17,6.88,14.75,4.8,14.67,51.15,16.75
"151","C1I020",16.43,7.12,37.4,4.58,12.45,6.57,12.35,50.22,10.27
"152","C1I030",11.67,16.33,35.57,6.08,18.13,10.5,16.35,40.87,14.8
"153","C1I070",7.28,8.38,27.53,2.67,9.58,1.07,12.27,40.75,8.77
"154","C1I150",10.07,12.78,13.41,4.23,17.77,2.92,11.85,30.5,7.62
"155","C1I220",19.13,12.73,39.8,7.52,9.17,9.45,20.55,53.28,24.9
"156","C1I230",22.77,11.55,36.15,5.35,14.6,7.3,22.12,50.1,24.88
"157","C1I240",16.77,10.05,34.57,6,19.5,5.45,13.58,44.62,15.92
"158","C1I250",13.35,9.28,34.7,9.2,22.78,2.93,13.55,38.6,12.9
"159","C1I260",12.03,15.4,37.85,6.98,20.32,5.4,19.3,40.3,14.17
"160","C1I280",13.78,5.33,17.62,4.18,10.13,1.45,11.58,35.63,10.38
"161","C1I290",8.48,9.6,20.02,2.1,12.4,1.07,12.82,30.32,11.32
"162","C1I310",13.38,10.83,20.18,6.17,17.05,2.47,10.85,35.2,9.65
"163","C1I320",12.62,4.45,32.57,3.93,19.95,2.83,9.23,42.92,9.78
"164","C1I330",16.83,8.88,42.62,5.4,17.83,4.32,14.88,59.3,13.72
"165","C1I340",9.08,7,31.63,3.23,10.83,1.47,15.37,49.78,13.18
"166","C1I440",13.07,8.55,45.87,4.88,11.07,0.65,21.08,56.5,20.03
"167","C1M480",12.93,10.27,26.35,6.35,16.07,6.88,31.37,41.73,25.68
"168","C1M600",14.58,10.75,41.15,6.7,12.2,4.63,29.58,38.95,26.67
