"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"74","C0D570",2.24,2.21,2.35,2.52,3.92,3.24,9.26,5.02,1.63
"75","C0D580",3.77,3.24,3.05,2.6,5.37,4.73,11.74,6.56,2.06
"76","C0D590",2.48,2.79,3.13,3.21,3.98,4.23,9.55,5.21,2.11
"77","C0E420",2.11,1.97,2.19,2.56,3.31,2.79,8.98,3.9,1.42
"78","C0E430",3.08,3.77,3.87,3.95,6.37,3.79,13.58,5.97,2.65
"79","C0E610",2.71,3.37,2.18,3.27,4.26,2.84,13.08,4.44,2.23
"80","C0E730",2.5,2.26,2.32,2.27,4.06,3.11,9.94,4,1.58
"81","C0F861",2.98,3.71,2.23,2.61,6.71,5.03,17.81,4.79,3.58
"82","C0G640",0.34,0.5,0.6,1.24,1.02,0.21,5.29,0.79,1.02
"83","C0G650",2.08,0.5,0.68,1.37,1.19,0.13,5.32,1.37,1.02
"84","C0H990",1.6,2.81,1.5,1.21,3.89,3.34,10.1,2.74,2.77
"85","C0H9A0",0.9,2.98,0.76,2,3.44,1.39,11.84,3.58,2.79
"86","C0H9C0",5.23,6.63,4.95,2.97,8.9,11.15,30.13,10.08,3.08
"87","C0I010",2.19,4.66,2.44,1.47,5.69,3.76,16.92,5.44,2.61
"88","C0I090",0.85,2,1.18,1.27,2.52,0.71,7.52,2.73,2.27
"89","C0I110",0.52,0.79,0.61,1.11,1.89,0.37,5.98,1.4,1.52
"90","C0K240",0.52,1.71,0.71,1.16,2.16,0.52,5.79,1.76,1.65
"91","C0K280",0.06,0.69,0.42,0.79,0.54,0,3.81,0.65,1.53
"92","C0K330",0.4,0.69,0.6,1.11,1.73,0.26,4.66,1.35,0.94
"93","C0M410",0.19,0.82,0.47,0.78,2.52,0.4,5.13,1.24,1.9
"94","C0M530",0.9,1.87,0.76,1.5,3.42,0.84,9.31,2.26,1.92
"95","C0O810",0.26,0.45,0.31,0.35,1.81,0.18,4.73,0.63,1.31
"96","C0O900",0.08,0.26,0.15,0.32,1.16,0.19,3.19,0.35,0.66
"97","C0O930",0.08,0.4,0.29,0.12,0.92,0.15,4,0.53,0.68
"98","C0R100",0.37,0.65,1.18,0.53,1.92,0.1,5.21,0.85,3.39
"99","C0R150",0.06,0.39,0.34,0.32,1.11,0.1,2.94,0.23,2.74
"100","C0R220",0.23,0.37,0.4,0.68,1.35,0.02,1.77,0.45,1.95
"101","C0R270",0,0.34,0.35,0.42,1.98,0.05,2.63,0.15,1.44
"102","C0R280",2.31,1.68,2.39,1.6,3.82,1.1,1.87,2.58,2.79
"103","C0R350",0.27,0.13,0.05,0.18,0,0.1,0.69,0.08,1.08
"104","C0R420",2.68,3.84,3.26,1.63,4.34,1.68,4.02,3.32,3.44
"105","C0S690",0.53,0.81,1.42,0.84,1.45,0.9,2.82,1.24,3.16
"106","C0S700",1.05,1.48,1.65,0.56,3.45,1.69,3.58,2.4,2.98
"107","C0S710",0.97,0.61,2.15,0.31,1.32,2,3.26,1.95,1.37
"108","C0S730",1.63,3.47,6.34,4.45,3.61,6.03,4.65,2.89,4.79
"109","C0S740",0.18,0.31,0.47,0.11,1.16,0.52,2.58,1.34,0.74
"110","C0S750",1.94,2.5,2.55,1.53,3.56,4.27,15.4,2.63,3.05
"111","C0S760",0.82,1.08,1.79,0.52,1.29,0.81,3.1,1.87,1.4
"112","C0S770",1.24,1.98,2.44,0.4,2.97,1.27,4.52,2.18,3.61
"113","C0S790",0.82,1.4,1.48,0.31,1.9,0.66,2.95,1.26,2.4
"114","C0S810",4.4,0.52,2.16,0.35,1.23,1.27,2.11,1.11,1.02
"115","C0S830",0.45,0.35,0.97,0.29,2.65,1.92,2.08,1.26,1.35
"116","C0S840",1.77,1.02,1.58,0.45,1.63,0.53,2.29,0.84,2.34
"117","C0T790",3.06,3.1,2.1,2,5.26,3.98,20.2,5.55,2.98
"118","C0T820",0.68,1.74,1.16,0.5,2.44,3.21,7,2.55,0.87
"119","C0T870",1.45,2.26,2.89,1.79,2.92,4.31,5.73,5.21,2.89
"120","C0T960",1.6,2,2.29,1.77,2.5,3.37,3.81,4.26,2.08
"121","C0T9A0",0.97,3.29,2.39,2.63,2.65,3.66,3.68,3.84,2.4
"122","C0T9B0",3.08,4.1,4.68,3.18,4.27,6.74,7.66,6.92,3.94
"123","C0T9D0",3.68,2.13,5.71,2.06,7.18,4.63,6.03,2.58,3.56
"124","C0T9E0",1.52,3.45,4.97,1.81,3.34,5.16,4.26,4.42,2.39
"125","C0T9F0",0.55,2.76,1.69,2.06,2.16,3.47,3.37,3.34,2.08
"126","C0T9G0",2.03,2.98,3.79,1.97,2.87,4.03,5.37,5.02,3.29
"127","C0T9H0",1.81,5.89,3.89,3.77,4.56,7.23,3.97,6.24,4.68
"128","C0T9I0",0.85,3.69,2.11,2.53,2.85,5.03,2.61,4.47,3.16
"129","C0T9M0",1.4,1.81,2.94,1.06,2.05,4.73,3.56,2.98,3.81
"130","C0U600",0.89,5.21,3.42,1,3.48,6.77,5.92,3.77,2.56
"131","C0U650",2.13,7.94,5.81,3.34,5.23,9.21,8.39,4.48,3.74
"132","C0U710",1.19,3.42,2.34,1.44,2.98,4.53,7.76,3.23,2
"133","C0U750",0.76,3.16,2.66,1.1,1.84,6.08,3.05,4.53,2
"134","C0U760",1.42,5.55,7.82,2.13,5.03,6.82,3.95,4.84,3.06
"135","C0U770",1.18,1.5,6.87,0.76,4.24,3.15,2.39,1.31,1.85
"136","C0V250",0.13,0.47,0.31,0.94,0.87,0.16,3.31,0.52,1.02
"137","C0V310",0.02,0.39,0.65,0.56,0.48,0.08,3.15,0.26,1.1
"138","C0V370",0.02,0.24,0.34,0.35,0.66,0.11,2.84,0.11,1.24
"139","C0V490",0,0.21,0.19,0.31,1.6,0.03,2.06,0.16,1.02
"140","C0V500",0.05,0.24,0.26,0.9,2.31,0,2.42,0.05,1.56
"141","C0X080",0.02,0.39,0.13,0.32,1.77,0.42,3.13,0.63,0.9
"142","C0Z050",0.53,0.84,0.92,0.65,1.05,1.31,3.42,1.97,0.89
"143","C0Z061",1.1,0.61,0.97,0.71,1.63,1.23,3.08,1.53,1.58
"144","C0Z070",0.81,0.81,0.95,0.76,1.16,1.19,1.84,1.03,0.4
"145","C1A9N0",1.31,6.52,4.63,3.5,6.9,7.94,11.45,6.98,2.94
"146","C1AC50",1.42,3.05,2.58,1.74,3.37,5.48,7.73,4.5,1.08
"147","C1C510",2.45,3.15,3.4,2.85,4.13,5.13,8.84,5.74,1.82
"148","C1D380",2.92,2.85,3.05,3.13,4.79,4.45,9.9,5.29,1.74
"149","C1D400",1.97,4.21,3.37,3.47,0.85,5.27,11.15,6.18,3.9
"150","C1D410",2.63,4.39,2.98,4.4,6.34,3.74,14.45,6.18,3.29
"151","C1D420",2.53,4.1,2.94,3.35,5.85,3.47,12.89,4.47,3.11
"152","C1E480",2.71,4.23,2.84,4.44,5.79,3.53,15.18,5.98,3.4
"153","C1E670",2.74,5.06,3.16,4.47,6.5,4.02,16.47,6.4,3.27
"154","C1H000",3.08,5.39,3.19,2.6,7.16,6.85,19.55,6.58,3.55
"155","C1H860",2.95,5.34,3.06,2.73,5.73,6.55,21,7.5,3.42
"156","C1H900",1.55,2.1,1.82,1.9,2.08,1.45,10.06,3.05,1.63
"157","C1H920",1.56,1.97,1.37,1.58,2.03,0.89,8.47,2.47,1.66
"158","C1I020",1.55,3.4,2.16,1.42,3.77,2.32,13.55,4.29,2.52
"159","C1I030",1.03,1.85,1.18,1.23,3.37,0.77,10.06,2.84,2.58
"160","C1I070",0.5,1.53,0.58,1.16,2.61,0.73,6.56,1.95,1.95
"161","C1I140",0.55,2.1,1.24,0.94,2.81,1,7.45,1.35,1.68
"162","C1I150",0.92,1.84,1.23,1.13,2.56,0.79,8.52,2.81,4.1
"163","C1I220",0.82,1.47,1.06,1.16,2.06,0.79,8.68,2.15,2.37
"164","C1I230",0.89,1.53,0.92,1.81,2.37,0.71,8.92,1.97,1.85
"165","C1I240",1.06,1.61,0.98,1.21,1.76,0.82,8.87,2.15,2.13
"166","C1I250",1.48,2.1,1.81,1.02,2.16,1.48,11.11,3.34,2.02
"167","C1I260",1.34,2.32,2.39,1.58,2.9,1.56,12.29,3.61,2.97
"168","C1I280",0.4,0.92,0.65,1.21,1.27,0.26,6.08,1.27,1.56
"169","C1I290",0.34,1.53,0.73,0.98,2.61,0.66,5.5,1.34,1.44
"170","C1I310",0.79,2.18,0.92,1.26,2.32,0.81,6.94,1.76,2.98
"171","C1I320",2.15,3.85,2.82,1.82,5.66,3.16,17.53,5.48,3.76
"172","C1I330",1.15,2.55,2.03,1.32,3.13,1.89,12.87,4.61,2.98
"173","C1I340",0.42,1.71,0.6,1.39,2.95,1.06,8.61,1.92,2.53
"174","C1I440",1.35,2.68,0.92,1.97,4.32,1.34,11.58,2.32,2.26
"175","C1M390",0.71,1.48,0.73,1.44,2.42,1.27,7.45,1.68,2.84
"176","C1M400",0.34,0.55,0.4,0.65,1.68,0.32,5.92,1.05,1.21
"177","C1M480",0.34,1.18,0.69,1.15,2.21,0.39,5.97,1.42,0.91
"178","C1M600",0.4,1.18,0.58,1.18,2.65,1.19,6.37,1.47,1.87
"179","C1M610",0.55,1.89,0.76,1.35,3.02,0.47,7.58,1.94,1.66
"180","C1M620",0.58,1.31,1.03,1.23,2.35,0.48,5.77,1.52,1.6
"181","C1O850",0.05,0.29,0.19,0.32,1.16,0.18,3.65,0.5,0.92
"182","C1O870",0.29,0.66,0.5,1.05,3.08,0.48,5.39,1.1,2.98
"183","C1O880",0.18,0.65,0.32,1.02,1.37,0.16,5.27,0.74,1.84
"184","C1R110",0.06,0.35,1.24,0.56,1.06,0.1,4.05,0.29,2.31
"185","C1R120",0.31,0.42,1.08,0.94,1.79,0.13,4.32,0.42,2.53
"186","C1R250",0.03,0.23,0.16,0.74,1.97,0.15,1.61,0.21,1.23
"187","C1S670",1.34,1.77,1.19,0.5,2.44,0.43,7.4,2.76,1.56
"188","C1S800",0.4,0.63,1.61,0.27,1.82,1.15,1.94,1.26,1.58
"189","C1S820",0.39,0.73,0.73,0.48,1.38,0.32,2.39,0.9,1.29
"190","C1S880",4.44,2.66,2.92,1.52,4.23,1.48,4.1,2.87,3.69
"191","C1T800",0.52,3.24,1.76,1.06,3.18,3.94,9.58,3.82,1.19
"192","C1T810",2.35,3.97,2.27,1.58,4.87,4.98,14.92,4.61,2.08
"193","C1T830",0.89,1.44,1.68,0.34,1.77,3.27,5.06,2.68,0.68
"194","C1T920",0.82,1.66,1.82,1.77,1.56,3.23,3.6,4.1,1.69
"195","C1T940",1.87,2.84,4.18,1.55,2.13,3.68,5.5,3.32,2.29
"196","C1T950",4.79,9.9,9.23,7.73,9.16,8.08,10.77,12.77,7.11
"197","C1T970",1.47,2.27,2.73,2.73,2.84,3.84,3.66,3.85,2.45
"198","C1T990",0.56,0.74,0.94,0.6,1.06,1.24,2.39,1.16,0.66
"199","C1U501",1.35,5.47,3.94,3.06,3.94,7.5,7.5,3.66,2.11
"200","C1U670",1.06,7.21,4.44,2.48,3.82,10.06,6.16,3.98,2.55
"201","C1U690",1.05,8.55,4.89,3,4.52,11.55,5.77,4.02,2.81
"202","C1V160",0.71,0.97,0.58,1.31,2.94,0.73,7.9,1.79,1.89
"203","C1V190",2.29,3.24,0.77,2.1,3.81,1.06,17.53,3.13,3.56
"204","C1V200",1.21,1.32,0.5,0.98,3.31,0.95,9.35,1.32,1.95
"205","C1V220",0.74,1.58,0.65,1.39,3.05,0.9,10.35,2.1,1.53
"206","C1V300",0.48,0.74,0.76,0.73,2.44,0.6,7.18,1.52,2.11
"207","C1V340",0.16,0.4,0.6,0.73,0.92,0.18,4.26,0.48,1.29
"208","C1V390",0,0.19,0.26,0.19,0.82,0.02,2.05,0.31,1.19
"209","C1X040",0.08,0.48,0.37,1.02,2.06,0.29,4.95,0.97,0.97
"210","C1Z030",0.6,0.81,1.53,0.81,0.89,1.21,2.13,1.15,0.85
"211","C1Z040",1.19,1.37,1.98,1.1,1.94,2.03,3.53,2.39,1.45
"212","C0A9B0",1.39,2.35,2.19,1.58,4.23,4.89,7.15,4.48,0.95
"213","C0R360",0.56,0.34,0.27,0.15,1.84,0.08,1.52,0.37,1.29
"214","C0R370",0.74,0.9,1.05,0.44,3.16,1.23,1.24,0.81,2.73
"215","C0R380",0.16,0.24,0.26,0.37,1.6,0,1.63,0.13,1.19
"216","C0R400",0.08,0.06,0.06,0.11,1.45,0,2.31,0.03,1.19
"217","C1A730",1.32,3.85,2.98,1.45,5.26,6.18,9.47,6.02,1.26
"218","C1R300",2.13,2.02,2.06,1.44,2.03,0.73,4.55,2.13,3.87
"219","C1R320",0.37,0.06,0.15,0.85,1.26,0.02,0.63,0,0.73
"220","C1R330",0.05,0.24,0.03,0.57,0.47,0.08,1.37,0.05,1.23
"221","C1R340",0.56,0.65,0.48,0.42,1.85,0.1,0.98,0.26,1.53
"222","C1S620",0.71,0.69,0.84,0.15,2.53,0.13,4.16,1.26,2.26
"223","C1S630",1.34,0.24,0.98,0.34,1.39,1.21,2.05,1.03,0.73
"224","C1S660",0.71,1.32,0.69,0.26,1.39,0.97,5.06,1.61,0.9
