"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"74","C0D570",5.38,0.9,10.05,12.5,1.8,2.8,8.12,4.78,1.98
"75","C0D580",6.67,1.35,8.98,10.15,2.38,2.97,7,6.3,2.52
"76","C0D590",4.87,0.77,9.7,9.43,2.3,3.02,6.53,4.13,1.5
"77","C0E420",4.93,0.93,8.18,7.7,2.23,2.28,7.68,4.6,1.22
"78","C0E430",6.45,0.65,12.45,11.05,3.18,3.23,9.93,11.3,3.73
"79","C0E610",7.07,0.52,9.54,10.82,2.32,2.27,7.68,6.82,4.78
"80","C0E730",5.63,0.9,8.17,7.85,1.89,2.33,7.23,5.07,2.12
"81","C0F861",9.45,1.87,13.78,18.62,3.18,3.37,9.83,11.98,2.68
"82","C0G640",3.42,0.13,8.78,6.5,0.43,1.08,5.02,2.22,0.42
"83","C0H990",6.28,1.13,11.23,14.4,1.9,3.32,7.17,9.17,1.88
"84","C0H9A0",6.35,0.5,10.17,9.15,2.77,3.67,8.92,9.5,2.58
"85","C0H9C0",15.58,3.47,11.68,29.18,3.65,4.2,18.02,13.62,1.75
"86","C0I010",7.82,0.8,14.42,18.73,1.7,3.02,9.6,11.18,3.87
"87","C0I090",7.47,1.02,9.82,12.88,1.47,1.88,6.63,6.08,2.28
"88","C0I110",4.85,0.33,8.88,10.67,1.18,1.62,4.2,4.28,1.33
"89","C0K240",3.92,0.55,8,10.65,1.05,2.78,6.73,5.57,2.63
"90","C0K280",1.52,0.18,4.9,5.62,0.38,1.32,5.35,2.8,0.4
"91","C0K330",2.25,0.17,8.6,7.17,0.55,1.78,4.82,3.07,0.7
"92","C0M530",6.98,0.42,9.58,9.58,1.5,2.75,9.17,5.52,3.88
"93","C0O810",1.43,0.57,2.32,6.62,0.75,1.6,8.37,2.9,0.25
"94","C0O900",1.3,0.7,4.72,3.55,0.4,2.2,8.35,3.53,0.2
"95","C0O930",1.38,0.3,3.15,0.88,0.55,1.5,9.8,3.83,0.15
"96","C0R100",2.8,2.23,10.5,6.37,1.88,2.32,11.95,6.57,1.83
"97","C0R150",1.85,2.22,4.13,5.02,1.33,1.55,7.4,4.98,1.28
"98","C0R220",1.85,1.43,4.18,3.48,0.42,0.48,7.92,2.72,0.77
"99","C0R270",1.62,0.35,6.5,3.13,0.35,0.78,5.92,3.22,0.88
"100","C0R280",1.98,2.3,2.15,3.68,1.3,5.57,3.32,2.55,1.65
"101","C0R350",0.63,1.67,2.12,2.65,0.05,3.42,1.27,0.85,0.53
"102","C0R420",3.9,2.88,3.27,3.73,2.65,5.83,2.97,4.07,2.72
"103","C0S690",2.68,3.08,3.5,3.73,2.23,4.35,4.77,2.67,1.47
"104","C0S700",2.68,4.45,2.77,3.93,2.75,4.35,4.87,5.2,1.28
"105","C0S710",1.27,3.25,2.15,2.73,1.68,2.38,2.37,3.65,0.93
"106","C0S730",4.52,3.9,5.55,3.83,4.82,3.13,2.28,1.55,6.57
"107","C0S740",0.95,1.65,1.62,2.28,1,1.02,3.37,2.17,0.77
"108","C0S750",5.75,2.4,8.52,15.77,3.45,3.37,10.38,10.55,1.92
"109","C0S760",1.4,1.93,1.43,3.18,2.03,2.35,3.27,2.72,1.55
"110","C0S770",5.38,3.68,5.63,3.07,2.9,5.53,7.55,4.7,2.95
"111","C0S790",3.67,2.92,1.82,2.43,1.73,3.72,5,3.22,3.53
"112","C0S810",1.35,3.67,2.18,1.62,1.2,3.4,1.92,3.52,13.63
"113","C0S830",1.43,1.53,1.62,3.72,4.98,2,2.1,1.58,1.57
"114","C0S840",6.53,2,5.08,2.95,1.1,9.25,3.57,3.5,0.68
"115","C0T790",9.17,1.22,13.93,18.72,2.63,3.02,8.63,11.77,2.43
"116","C0T820",3.47,0.43,3.68,6.82,0.58,1.2,3.02,4.67,0.9
"117","C0T870",3.32,2.25,2.92,6.67,3.87,2.63,2.62,1.72,1.47
"118","C0T960",3.28,2.23,2.83,5.4,4.05,2.03,2.68,3.25,2.7
"119","C0T9A0",3.67,2.37,2.82,5.97,3.18,2.42,2.4,2.8,1.68
"120","C0T9B0",4.63,2.95,3.9,7.27,6.63,3.97,4.2,2.06,2.83
"121","C0T9D0",2.98,1.13,5.88,5.33,4.67,7.25,4.52,5.55,12.2
"122","C0T9E0",4.58,3.02,3.22,6.12,4.43,4.07,2.82,4.75,2.03
"123","C0T9F0",2.97,2.18,2.55,4.9,2.42,2.68,2.38,2.28,1.38
"124","C0T9G0",4.18,2.62,3.68,7.05,5.53,3.03,2.72,2,4.07
"125","C0T9H0",4.67,3.47,3.58,6.28,5.22,8.73,2.9,3.33,3.57
"126","C0T9I0",3.17,2.92,3.32,4.8,4.82,3.6,1.8,2.48,3.5
"127","C0T9M0",3.78,2.67,2.58,2.87,4.2,3.78,1.57,1.9,3.18
"128","C0U600",4.55,0.62,6.92,6.22,4.83,3.18,4.38,6.08,1.73
"129","C0U650",7.33,1.65,6.07,9.05,4.13,6.23,3.97,7.68,3.78
"130","C0U710",3.93,1.25,3.82,7.28,2.68,2.37,3.27,4.55,2.82
"131","C0U750",2.78,0.48,2.43,3.07,1.75,2.15,2.37,2.93,2
"132","C0U760",4.55,1.3,4.93,5.17,2.82,5.35,2.57,7.05,4.15
"133","C0U770",3.02,0.48,3.6,3.45,2.73,2.67,2.22,2.28,5.55
"134","C0V250",1.57,0.7,3.53,6.48,0.6,1.03,6.85,3.52,0.77
"135","C0V310",1.17,1.02,7.62,3.83,0.42,0.48,9.32,4.25,0.92
"136","C0V370",1.4,0.65,7.62,4.15,0.4,0.68,6.65,2.4,0.07
"137","C0V490",1.87,0.82,5.97,3.09,0.67,0.23,5.68,4.83,0.28
"138","C0V500",2.35,1,3.78,2.77,0.48,0.25,5.9,3.9,0.37
"139","C0X080",1.62,0.8,6.18,4.38,0.7,1.67,10.1,2.83,0.18
"140","C0Z050",1.58,1.6,1.55,4.21,1.77,1.77,1.6,3.52,1.42
"141","C0Z061",1.72,1.57,1.42,4.65,3.35,2.3,2.18,1.77,2.02
"142","C0Z070",2.25,1.48,1.5,3.93,1.63,1.7,1.27,1.57,2.58
"143","C1A9N0",4.07,2.9,12.33,12.88,4.3,5.22,7.57,8.4,5.6
"144","C1AC50",3.57,1.63,10.62,8.75,3.08,2.97,6.7,3.45,2.73
"145","C1C510",4.32,1.2,9.07,11.47,2.77,3.22,6.33,4.27,1.7
"146","C1D380",5.58,0.77,9.95,9.57,2.43,3.07,9.03,4.02,1.8
"147","C1D400",6.1,2.3,11.68,13.87,2.08,4.98,3.58,10.38,4.38
"148","C1D410",8.88,0.62,11.82,13.83,4.02,4.63,9.4,10.8,3.05
"149","C1D420",6.32,1.12,9.43,12.82,3.2,4.23,6.34,10.53,2.8
"150","C1E480",7.88,0.48,12.05,11.78,3.08,3.3,8.38,10.78,2.93
"151","C1E670",8.97,0.62,13.2,13.43,3.9,3.2,9.45,10.18,3.85
"152","C1H000",10.13,2.12,16.57,22.15,2.03,3.53,11.6,16.02,3.33
"153","C1H860",9.4,1.9,16.07,20.12,1.73,3,12.63,15.92,3.22
"154","C1H900",6.02,0.57,8.52,12.25,1.38,1.65,8.37,8.8,2.43
"155","C1H920",5.62,0.18,8.48,11.12,0.6,1.63,7.27,7.38,2.42
"156","C1I020",7.42,1.8,13.45,17.78,1.92,3.03,10.32,10.93,3.52
"157","C1I030",6.02,1.13,13.05,14.82,1.7,4.13,9.75,9.52,4.22
"158","C1I070",5.28,0.52,6.78,10.9,1.57,1.63,5.93,6.03,1.78
"159","C1I150",7.22,0.83,7.13,14.33,1.68,2.12,6.7,7.37,5.42
"160","C1I220",5.63,0.58,10.32,12.25,1.52,2.2,9.08,6.65,3.77
"161","C1I230",5.95,0.52,9.75,11.52,1.35,2.87,10.1,5.9,3.45
"162","C1I240",4.87,0.73,9.18,11.52,0.92,1.95,9.52,7.73,3.48
"163","C1I250",6.45,1.08,9.38,12.47,1.12,1.85,8.97,8.93,3.58
"164","C1I260",6.4,0.62,11.72,14.18,1.67,2.85,8.77,9.78,5.03
"165","C1I280",4.25,0.18,7.03,8.48,1.27,1.32,5.65,4.42,1.47
"166","C1I290",5.3,0.57,5.6,10.73,1.42,1.73,5.85,7.68,3.15
"167","C1I310",7.6,0.83,8.22,15.1,1.53,3.17,6.5,6.17,4.7
"168","C1I320",8.2,1.82,15.33,20.85,2.65,3.22,12.45,12.68,4.4
"169","C1I330",7.17,1.3,12.3,16.17,1.33,2.43,11.22,10.78,4.22
"170","C1I340",5.67,0.65,8.37,11.12,1.82,1.47,6.68,7.12,1.65
"171","C1I440",6.22,1.17,11.42,14.3,2.03,3.87,9.27,11.32,4.07
"172","C1M390",3.12,0.53,12,10.04,1.6,2.13,7.05,5.65,2.2
"173","C1M400",1.72,0.3,4.1,11.53,1.02,1.63,8.72,4.53,1.07
