"stno","2014-08-01","2014-08-02","2014-08-03","2014-08-04","2014-08-05","2014-08-06","2014-08-07","2014-08-08","2014-08-09","2014-08-10","2014-08-11","2014-08-12","2014-08-13","2014-08-14","2014-08-15","2014-08-16","2014-08-17","2014-08-18","2014-08-19","2014-08-20","2014-08-21","2014-08-22","2014-08-23","2014-08-24","2014-08-25","2014-08-26","2014-08-27","2014-08-28","2014-08-29","2014-08-30","2014-08-31"
"466880","0","0","6","23","0.5","4","0","0","0","-9998","1.5","0.5","14.5","0","0","25","0","40","19","0.9","-9998","0","0","0","-9998","0","0.2","0","0","0.5","0"
"466900","0","0","0","0","0","39","0","0","0","0","0","1","0","0","0","0","1","7","20.5","0","0","0","0","0","0","0","0","0","0","0","0"
"466910","0","0","0.5","0","3","9.5","0","0","0","0","0","4","19.5","0","0","0","-9998","0.5","35.5","0","0","0","0","0","0","0","0","0","0","0","0"
"466920","0","0.5","-9998","0.5","-9998","-9998","2","0","0","-9998","1.5","1","33.5","0","0","4.5","0","11.5","24.5","0","0","0","0","0","0","0","0","0","0","4.5","0"
"466930","0","0","1.5","-9998","1.5","6","0","0","0","0","0.2","2","31","0","0","0","5","0.2","40","0","0","0","0","0","0","0","0","0","0","0","0"
"466940","0","2.1","0","0","0.1","0.1","0","0","0","16","0","21.1","16.6","0","0","0","0","0.5","1.3","21","2.4","0","0","0","0","0","0","0","0","0","0"
"466950","14.1","0","1.3","0","3.1","0","0.2","-9998","88.5","0","7","5","0","0","0","0","1","0","6.5","10.5","0","0","0","0","0","0","0","0","0","0","0"
"466990","0","0","0","0","0","0","1","0","1.5","0","7","4","0","0","0","-9998","0","0","0","5.5","4","0","0","0","0","0","0","0","0","0","0"
"467050","0","0","0","0","0","0","0","0","0","0","15.5","13.5","0","0","0","0","0","7.5","10","0","0","0","0","0","0","0","0","0","0","0","0"
"467060","0","0","0","0","0","0","0","0","0.7","0","0","0.2","16.7","0","2.1","0","0","0.3","0.8","10.9","0","0","0","0","0","0","0","0","0","0","0"
"467080","0","0","0","0","0","11.6","1.7","0","21.7","0","19.7","0.2","79.9","0","-9998","0","0","0","0.7","1.5","0","0","0","0","0","0","0","0","0","0","0"
"467110","0","0","0","0","0","0","0","0","0","0","0","0.5","109.5","0.8","0","0","0","1.5","2.8","-9998","0","0","0","0","0","0","0","0","0","0","0"
"467300","0","0","0","0.4","0","-9998","0","2","0","2.1","78.9","12.5","18.8","0","0","0","0","4.7","0.9","0","0","0","0","0","0","0","0","0","0","0","0"
"467350","0","0","0","0","-9998","0","0","0","9","0","1","24.9","4.9","0","0","0","0","18.4","2.9","1.2","0","0","0","0","0","0","0","0","0","0","0"
"467410","0","7.5","0","1","3.5","1","54.5","1","74.5","51.5","93","255","60","3.5","0","0","0","27","0","9","0","0","0","0","28","0","0","1.6","4","0","6.5"
"467420","11.5","11","0","0","6.5","6","5.5","0","45","72","115","219.5","62.5","8","0","0","0","76.5","0","12","0","0","0","0","0","0","0","1.5","0.5","0","16"
"467440","15","9.5","1","5","0","0","5","261.5","98.5","33.5","135.5","195","87","26","0","0","0","6.5","10.5","3","0","0","0","0.5","0","1","-9998","0","-9998","0","8"
"467480","0","2.5","1.5","-9998","2","0","21","8.3","1","69.5","10.5","47","11.2","4.5","0","0","0","51","0","3","0","0","0","0","-9998","0.2","0.5","0.3","17.5","1.5","0"
"467490","0","0","55.9","25.1","4","0","0","49.5","32.1","9.8","24.4","6.6","0.9","0","0","0","0","12.3","0","0","0","0","0","0","0","0","0.2","0","0","57.5","0"
