"stno","2013-04-01","2013-04-02","2013-04-03","2013-04-04","2013-04-05","2013-04-06","2013-04-07","2013-04-08","2013-04-09","2013-04-10","2013-04-11","2013-04-12","2013-04-13","2013-04-14","2013-04-15","2013-04-16","2013-04-17","2013-04-18","2013-04-19","2013-04-20","2013-04-21","2013-04-22","2013-04-23","2013-04-24","2013-04-25","2013-04-26","2013-04-27","2013-04-28","2013-04-29","2013-04-30"
"466880","10","6.3","14","14","42","17.5","0","0","11.5","6.5","37","37.5","2.5","15","0","0","0.2","1.5","9.5","16.5","4.5","0","0.2","1.5","12.5","0","24.5","0.5","0","6"
"466900","19.5","0","6.5","8.5","49.5","8.5","0","0","16","0.5","27","30.5","1","15.5","0","0","-9998","0.5","21","10.5","3.5","0","0","0","10.5","0","14","0.5","0","16"
"466910","20","0","10.5","21","64","17.5","0","0","19.5","1.5","44.5","45.5","4","23.5","0","0","-9998","3","20.5","18.5","9","0.5","0","0","12.5","0","17.5","1","0","17.5"
"466920","13","3.5","13.5","14.5","31.5","6.5","0","0","13","4","32","33","3.5","12","0","0","-9998","2.5","7","13","3.5","0","-9998","1","14.5","0.5","24.5","-9998","0","6.5"
"466930","23","0","11.5","14","46","9","0","0","18","1","36.5","34.5","2","14.5","0","0","0.5","1","20","13.5","7","0","-9998","-9998","13.5","0","16","1.4","0","11.5"
"466940","27.5","2","11","14.9","23.5","10.1","0","0","17.2","2.5","33","32","0.9","4.5","0","0","0.4","3.5","16.7","17","10.2","0","0","0.2","10.9","-9998","17.5","5.9","0","39"
"466950","19","0.2","4","9.5","62","-9998","0","0","21.1","0","5.8","5.7","0.1","5.9","0","0","0","0.2","6.8","9","4.1","0","0","0","7","0","0.1","0","0","26.5"
"466990","5.5","0","11","4","10.5","9","0","1","13.5","6.5","10.5","21","0.5","4.5","0","0","0","0","1","4.5","0.5","-9998","0","0","8.5","3.5","7.5","3","-9998","0"
"467060","8.4","0","8","1.3","4.9","0.2","0","0","12.3","7.5","31.4","43.7","0.4","2.6","0","0","0.1","0","1.8","4.3","8","-9998","0","1.8","20.9","0","13.1","6.5","0","0.6"
"467080","11.1","0","18.8","2.5","11.6","1.4","0","0","10.4","3.4","30.1","36.4","0.2","1.6","0","0","0.1","-9998","4.2","3.7","2","-9998","0","4.4","11.6","-9998","9.2","3.5","0","1.9"
"467110","3.2","14.1","9.3","49.2","30.6","0","0","0","22.3","3.5","3.7","0.8","0","2.6","0","0","-9998","0.1","3.4","4.6","0","0","0","0","28.2","0.8","2.8","4.4","0","4.8"
"467300","0","0","11.3","16.4","116","0","0","0","6.8","0.4","0","0.5","0.2","0","0.5","1","0","0.5","3","0","0","0","0","0","0.5","0.5","0","0","0","0"
"467350","10.7","4.4","4.2","24.2","73.8","0.3","0","0","11.6","0.6","0.2","0.9","-9998","2.5","0","0.2","-9998","0.9","1.2","1.6","0.4","0","0","0","13.4","0.8","7.7","-9998","0","0"
"467410","-9998","0","11.5","1.2","67.5","10","0","0","9.5","0","0","0","0","0","0","0","0","-9998","1","0","-9998","0","0","0","0","7","4","0","0","0"
"467420","0","0","19.5","9","49","5","0","0","9","0","0","-9998","0","0","-9998","0","0","-9998","0.5","1","6.5","0","0","-9998","0","4","5.5","0.5","-9998","0"
"467440","0","0","0","7.5","15.5","51.5","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0.5","0","0","0","0","5","13.5","0.5","0","0"
"467480","0.5","-9998","21.5","7.5","88.4","6","0","0","6.5","0.5","-9998","1.5","-9998","1.5","0","0","0","1","1","4.5","0.2","0","0","0","4.9","0.5","15","0.4","0","0"
"467490","11.6","2.6","16.4","24.9","98.8","1.3","0","0","17.3","2.6","5.5","8.1","0.4","15.5","0","0","0.6","0.7","1.3","4.5","0.1","0","0","0","18.3","4.8","13","10.3","0","0"
