"stno","2016-02-01","2016-02-02","2016-02-03","2016-02-04","2016-02-05","2016-02-06","2016-02-07","2016-02-08","2016-02-09","2016-02-10","2016-02-11","2016-02-12","2016-02-13","2016-02-14","2016-02-15","2016-02-16","2016-02-17","2016-02-18","2016-02-19","2016-02-20","2016-02-21","2016-02-22","2016-02-23","2016-02-24","2016-02-25","2016-02-26","2016-02-27","2016-02-28","2016-02-29"
"C0S810","1.5","0","0","1.5","8","0","0","0","0","0","7","1.5","0","0.5","0","0","0.5","0","0","4.5","0","0","0","0","0","0","0","0","0"
"C0S830","2","0","0","1.5","6","0","0","0","0","0","16.5","9","0","3.5","0.5","0","0.5","0","0","0","0","0","2.5","0","0","0","2.5","0","0"
"C0S840","0","0","0","2","3.5","0","0","0","0","0","2.5","0","0","0","0.5","0.5","0","0","0","1","0","0","0.5","0","0","0","0","0","0"
"C0T790","6","14","0.5","4.5","15.5","0","0","0","0","0","1.5","0.5","0","4.5","2","4.5","5","5.5","0.5","17","0","1","1.5","0.5","1","0","0","0","0"
"C0T820","5.5","15","2","2.5","3.5","0","0","0","0","0","0","0","0","0.5","0.5","5.5","5","2.5","0","1.5","0","0","0","0.5","1","0","0","0","0"
"C0T870","1","2.5","1","0","5","0.5","0","0","0","0","1","0","0","1","29","5.5","9","0.5","0","10.5","0","0","4","7.5","2","0","2.5","0.5","0"
"C0T960","4","0","0.5","1","10.5","2.5","0","0","0.5","0","7","0.5","0","2.5","3.5","1.5","4","0.5","0","6.5","0","0","6","3","0","0","3","0.5","2"
"C0T9A0","3","2.5","1.5","0.5","4.5","0.5","0","0","0","0","7","0.5","0","2.5","6.5","2","8.5","0","0","3","0","0","4","3","1","0.5","1.5","0","2"
"C0T9B0","4.5","4.5","1.5","0","10.5","3","0","0","0","0","1","0","0","5.5","9.5","7.5","8.5","2","0","8.5","0","0","12.5","17","3.5","0","3","2","1"
"C0T9D0","0","2","0","0.5","0.5","0","0","0","0","0","7.5","0.5","0","0.5","0","0","2","3.5","3.5","0","0","0","0","0","0","0","0","0","0"
"C0T9E0","0.5","1","0.5","0.5","3","0","0","0","0","0","9.5","0","0","0","15","1.5","9","0.5","0","0.5","0","0","5.5","0.5","0.5","0","0","0","2"
"C0T9F0","1.5","2","0.5","0.5","2.5","0","0","0","0","0","7","0","0","3","4.5","1","6.5","0","0","0.5","0","0","3","2.5","1.5","0.5","0.5","0","1"
"C0T9G0","5.5","1","1","0.5","12.5","7.5","0","0","0","0","3.5","0.5","0","10.5","8","1.5","4","0.5","0","14.5","0","0","12","14.5","1","0","4","0.5","3"
"C0T9H0","4","3","3.5","4","5.5","1","0","0","0","0.5","13","0","0","11.5","10","1","8","0","0","3.5","0","0","11.5","21","15.5","0","5.5","1","10.5"
"C0T9I0","4.5","2","2","2.5","6.5","0","0","0","0","0","13","0.5","0","21.5","10.5","1","6","0","0.5","1","0","0","14","10.5","24.5","0","3.5","1.5","5.5"
"C0T9M0","3.5","1.5","0","0","6.5","1","0","0","0","0","16","1","0","13","4","0","2","0","0","9","0","0","13","9.5","4","0","4","1","1.5"
"C0U600","13.5","8","2.5","5","1","0","0","0","0","0","0","0","0","4.5","1.5","2","4","25.5","0.5","1.5","0","0","0.5","5","24","9","0","0","0"
"C0U650","31.5","13.5","7","7","3","4","0","0","0","0","0","0","0","23.5","5.5","1.5","8.5","2.5","0","2.5","0","0","3","15.5","16.5","9.5","1","0","0"
"C0U710","13.5","12.5","6.5","6.5","17","15","1","0","0","0","0","0","0","7.5","4","0.5","2.5","1","0","4","0.5","0.5","1.5","14.5","4","2.5","1","0","3.5"
"C0U750","14","10","12","3.5","2","0","0","0","0","0","0","0.5","0","4","0.5","3","14.5","19.5","3.5","0","0","0","1","2.5","0.5","8.5","0.5","0","0"
"C0U760","19.5","6.5","5.5","9.5","4","1.5","0","0","0","0","0.5","0","0","47.5","0.5","0","2.5","3","0.5","0","0","0","4","33","8","6.5","0","0","6"
"C0U770","0","0.5","0","2.5","0","0","0","0","0","0","1","0","0","1","0","0","1","1.5","0","0","0","0","0","1.5","2","2.5","0","0","0.5"
"C0V250","0","2","0","0.5","6","0","0","0","0","0","9.5","0.5","0","0","1.5","0.5","0","0.5","0","0","0","0","0","0.5","0","0","0","0","0"
"C0V310","0","1","0","0.5","3.5","0","0","0","0","0","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0V370","0","0","0","0.5","3.5","0","0","0","0","0","7.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0V490","0","0","0","0","5","0","0","0","0","0","6.5","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0V500","0","0","0","0","3.5","0","0","0","0","0","6","38.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0X080","0","0.5","0","0.5","1.5","0","0","0","0","0","14.5","0","0","0","0","0","0","2","0","0","0","0","0","2.5","0","0","0","0","0"
"C0Z050","0","1.5","0.5","1.5","7.5","0.5","0","0","0","0","1.5","0","0","0","1","2.5","1.5","0.5","0","1","0","0","0","0.5","0","0","1.5","4.5","0.5"
"C0Z061","2","0","0","0.5","7","3.5","0","0","0","0","2","0.5","0","0.5","1","0","4","0","0","11.5","0","0","2","0.5","0","0","4","0.5","1.5"
"C0Z070","2","0","0","0.5","13","1","0","0","0","0","3","0","0","1.5","1","0","5.5","0","0","4","0","0","3","0","0","0","2","1.5","0.5"
