"stno","2013-05-01","2013-05-02","2013-05-03","2013-05-04","2013-05-05","2013-05-06","2013-05-07","2013-05-08","2013-05-09","2013-05-10","2013-05-11","2013-05-12","2013-05-13","2013-05-14","2013-05-15","2013-05-16","2013-05-17","2013-05-18","2013-05-19","2013-05-20","2013-05-21","2013-05-22","2013-05-23","2013-05-24","2013-05-25","2013-05-26","2013-05-27","2013-05-28","2013-05-29","2013-05-30","2013-05-31"
"C0K280","23","6","6.5","0","0","0","0","0","0","0","6","14","40","0","0","35.5","144","0","51.5","16.5","78.5","0","9","0","0","0","0","0","0","0","0"
"C0K330","20","3","6.5","0","0","0","0","0","0","0","8.5","20","29","7.5","0","9","96.5","0.5","57.5","39","81","3","16","0","0","0","0","0","0","0","0"
"C0M410","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0M530","40","10.5","15","4.5","5","30","0","0","0.5","0","24","13.5","29","10.5","10.5","10","67.5","41.5","148","66","102","34.5","39","0","35.5","18","2","1","0","2","0"
"C0O810","33.0","5.0","1.5","0.0","0.0","1.5","0.0","0.0","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0O900","2.0","6.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0O930","22.5","7","0.5","0","0","0","0","0","0","0","0.5","8","6.5","10.5","0.5","8","80","12","65.5","117","17","10","3","0","0","0","0","9.5","0","0.5","0"
"C0R100","15","9","13","2.5","0","0.5","1.5","0.5","0","4","0","2.5","1","0","0","32.5","156.5","32","69","120.5","21.5","49.5","1","10.5","97","21.5","0","0","19","0","119"
"C0R150","12.5","6","29","12.5","0","1.5","2","0","0","0","0","1.5","12","0","0","33","129.5","22","34","66.5","20","33.5","0","1","27","20.5","0","0","0","0","0"
"C0R220","38.5","12.5","0.5","0","0","0.5","0","0","0","0","0","1.5","0","0","0","60","36.5","36","15.5","51.5","16","38","0","0","0","0","0","0","1.5","0","0"
"C0R270","3.5","6","0.5","0","0","4.5","0","0","0","0","0","6","3.5","0","0","13.5","52","12.5","3","26.5","41.5","27","0","0","0","0","0","0","0","0","0"
"C0R280","70.5","3.5","3.5","1","22","5","1.5","2","0","0","0","9","42","0","0","27.5","86.5","13.5","3","6","24","11","2","6.5","1.5","0","0","0","0","0","0"
"C0R350","80.5","0.5","1","0","0","0","0","0","0","0","0","11","33","0","0","22","30","11.5","1","5.5","21.5","24","0.5","0","0","0","0","0","0","0","0"
"C0R420","67","5","2.5","2","17.5","29.5","12.5","4.5","0.5","0","0","6","14.5","0.5","0.5","16","113","7.5","12","19","15","19","0","1.5","4.5","0","0.5","0","0","0","0"
"C0S680","22.5","1","4","7.5","2.5","19","17","6.5","1","0","1","2.5","0","2.5","0","9.5","38","0","15","13","0","2","0","9.5","3","2","0","0.5","2","2","0.5"
"C0S690","33.5","0","0.5","0.5","1.5","93","24.5","7.5","8","0","0","4","0.5","2","0","10.5","24.5","0","4","5","6","2.5","1.5","27.5","3","0","0","0","0","0","0"
"C0S700","62.5","0","0.5","0","2","63","24.5","10.5","8.5","0","1.5","5","0","1","0","15.5","27","0.5","5","8.5","7","1","2","28","5","0","0","0","0","2","0"
"C0S710","15.5","0","1.5","3.5","0.5","14.5","14.5","2","7.5","0","0.5","6.5","0.5","0","0","11.5","19.5","0","8","10","2","3","0.5","26","6.5","0","0","0","0","26","3"
"C0S730","16","0","0","2","21.5","4","0","0","0","3.5","0","2","0.5","0.5","0","6","11.5","0","0","0","3.5","1","0","2","4","0.5","0","0","0","0","0"
"C0S740","4.5","0","0","1.5","1.5","13","8.5","0.5","4","0","0","5","1","4","0.5","7","16.5","0","4","4.5","1.5","4.5","0.5","4","1.5","0.5","0","0","0","0","0"
"C0S750","45","13","6","7","7","7","9","10.5","0","0","21.5","7.5","4.5","2","6","6.5","165","4.5","64.5","31.5","40.5","19","21.5","0","35.5","3.5","0","0","1.5","1","0"
"C0S760","7","0","2.5","3","24.5","23","8.5","5","2","0","3","9","8","18.5","0","7.5","15.5","0","9","6.5","1.5","5","0","14","2.5","2.5","0","0","1","3.5","0"
"C0S770","71","0.5","0.5","2.5","7.5","131.5","30","7","2.5","0.5","0","4","3.5","1.5","1","17.5","24","3","9.5","18.5","3","0.5","3.5","19","4.5","0","0","0","0","0","0"
"C0S790","36.5","1","0","0","4","76","20","7","1.5","0","0","4","0","1","0.5","10","18","0.5","6.5","13","5.5","0.5","0.5","45.5","2","0","0","0","0","0","0"
"C0S810","5.5","0","0","0.5","75.5","138.5","8","6.5","29","1","0","8","0","0","0","7.5","15","0","3.5","9","5","1","0","6","28","0","0","0.5","0.5","0.5","1"
"C0S830","10","0","0.5","0.5","136.5","98","14.5","11.5","7.5","0","35.5","11.5","0","16.5","0.5","4","14.5","1.5","2.5","11.5","3.5","2","3.5","90","3","0","0","0.5","0","0","0"
"C0S840","46","2","0","1","38.5","39.5","12.5","9","0.5","0","0","2.5","0","0","4","21.5","25.5","6","6.5","14.5","6.5","18.5","0","14","4.5","0","0","0","0","0","0"
"C0T790","22","4","11","8.5","5","5","0","0","0","0.5","27.5","32","12.5","1.5","7","8.5","44.5","3.5","43","25.5","64.5","19","37","0","0.5","0","0","0.5","0.5","0","0"
"C0T820","16","0.5","3.5","6.5","1.5","6.5","0.5","1","1.5","0","7.5","14.5","4","1","1.5","0.5","20.5","0","7.5","9","26","3","1","0","0","0","0","0","13","5","0.5"
"C0T870","6","0","1.5","4","51","41.5","21","17","4.5","2","16.5","15.5","0","0.5","2","15.5","3.5","2.5","3","22","7","3","20.5","0.5","2","1.5","0","0","5","4","0"
"C0T960","16.5","0","0.5","7.5","25","58","15","11.5","3","0.5","20","17.5","1.5","7","1","0.5","12.5","1.5","6","6.5","13.5","1.5","27","20","7.5","0","0","0","0.5","3","0"
"C0T9A0","0","0","1","12","179","29","20","7","3","0.5","11","9.5","0","12","0.5","18.5","2.5","5.5","1","21.5","1.5","2.5","15","16","1.5","0","0","0","0","0","0"
"C0T9B0","28","0","2","7.5","18","97","30.5","31","8.5","0","26","13.5","5.5","1","2","0.5","25.5","15.5","5","10.5","27","3","20.5","19.5","1","4","0","0","24","2","0"
"C0T9D0","8","0","0.5","10","62.5","111.5","57","49","30.5","0","9.5","19.5","3","1.5","3","0","17.5","3.5","4","7","23.5","1.5","13.5","14.5","0","0","0","0","0","0","0"
"C0T9E0","18","0","0.5","14","72","156","45","28.5","18","1","25","7","6","7","0.5","0.5","20.5","11.5","3.5","6","22","1.5","21","4","2","0","0","0","0","0","0"
"C0T9F0","18","0.5","0.5","11.5","58.5","168","14","21.5","3.5","0","10","7","3","9","0","0.5","18.5","6.5","6.5","5","12","1","12.5","12","2.5","0","0","0","0","0","0"
"C0T9G0","17","0","0.5","12","16.5","33.5","15","25.5","3","0","9","7.5","3.5","14","2","0","16.5","2.5","3","5.5","14","5","23.5","21.5","5","1.5","0","0","3.5","5","0"
