"stno","2011-02-01","2011-02-02","2011-02-03","2011-02-04","2011-02-05","2011-02-06","2011-02-07","2011-02-08","2011-02-09","2011-02-10","2011-02-11","2011-02-12","2011-02-13","2011-02-14","2011-02-15","2011-02-16","2011-02-17","2011-02-18","2011-02-19","2011-02-20","2011-02-21","2011-02-22","2011-02-23","2011-02-24","2011-02-25","2011-02-26","2011-02-27","2011-02-28"
"466880","0.2","1.9","0","0","0","0","0","0","0.3","0","2.6","2.5","10.3","6.8","-9998","1","0.5","1","35.8","11","-9998","0","0","0.4","0","0","0","0"
"466900","0","5.3","0","0","0","0","0","0","0.9","0.3","10.8","0","13.1","17.5","0.4","2.3","1","3.3","38.5","10.5","0","0","0","0.2","0","0","0","0"
"466910","1","8.5","1","0","0","0","0","0","6.5","1.5","20","3.5","17","32","9","5.5","1.5","11.5","45.5","16.5","2","0","0","1","1.5","0.5","0","0"
"466920","-9998","3","0","0","0","0","0","0","0.3","-9998","0.5","1.2","7.5","4","0.5","1","0.3","1.1","35.3","12","0.5","0","0","0.8","0","0","0","0"
"466930","0","4.2","0","0","0","0","0","0","3.5","1","22.5","1","10.5","19","5.5","4.5","0.5","4.5","32","11.5","1","0","0","1","0","0","0","0"
"466940","9.5","23.5","2.6","0","0","0","0","0","8.1","0.7","13","1.7","24.1","25.8","8.8","1.4","9.3","24.5","65","32.8","0.6","0","0","10.8","5","-9998","0","0"
"466950","3.2","0.9","0","0","0","0","0","0","2","2.7","1.9","0","19.2","1.1","0.4","0.2","0.8","2.3","19.1","1.9","0","0","0","0.7","1.3","-9998","0","0"
"466990","0","0","0","0.1","0","0","0","1.5","0","0","0","5.1","0.5","0.5","1","0","0","0","3","10","-9998","0","0","1.6","34","0.5","0","0"
"467060","0","-9998","0.8","0","0","0","0","0","50.6","0","1.3","10.4","8.6","5.9","9.6","1.9","0","25.2","15.6","13.9","0","0","0","12.3","50.4","0","0","0"
"467080","0.7","1.1","0","0","0","0","0","0","10.9","0.1","1.6","4.2","2.4","0.9","13","0.5","0.2","-9998","5.7","7.6","0.2","0","0","-9998","1.6","0","0","0"
"467110","0","0","0","0","0","0","0","0","0","0","0","0","7.5","0","3.6","4.6","-9998","0","3.4","-9998","0","0","0","0","0","0","0","0"
"467300","0","0","0","0","0","0","0","0","0","0","0","0","8.9","5.6","3.1","0.5","0","0","0","1.4","0","0","0","0","0","0","0","0"
"467350","0","0","0","0","0","0","0","0","0","0","0","0","7.2","0.4","1","0","-9998","0","0.2","2","0","0","0","0","0","0","0","0"
"467410","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","0.2","0","0","0","0","1","0","0","0","0","0","0","0","0"
"467420","0","0","0","0","0","0","0","0","0","0","0","0","2.5","4.5","1","0","0","0","0","1.5","0","0","0","0","0","0","0","0"
"467440","0","0","0","0","0","0","0","0","0","0","0","0","1","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
