"stno","2012-11-01","2012-11-02","2012-11-03","2012-11-04","2012-11-05","2012-11-06","2012-11-07","2012-11-08","2012-11-09","2012-11-10","2012-11-11","2012-11-12","2012-11-13","2012-11-14","2012-11-15","2012-11-16","2012-11-17","2012-11-18","2012-11-19","2012-11-20","2012-11-21","2012-11-22","2012-11-23","2012-11-24","2012-11-25","2012-11-26","2012-11-27","2012-11-28","2012-11-29","2012-11-30"
"466880","0","0","0","0","-9998","0","0","0","0","-9998","9.5","1","0","0","0","0","22.5","11","0","0","3.8","40.5","45.5","3.5","1","41.5","8","6.5","24.5","45.7"
"466900","0","0","0","0","0","0","0","0","0","2.5","17.5","0.5","0","0","0","0","15.5","9.5","0","0","9.5","53","16.5","1","0","35","5.5","5","26","47.5"
"466910","1","0","0","0","0.5","0","0","0","0","2","25","3","0","0","-9998","0","21.5","12.5","0.5","0","14","39","48","13.5","0.5","45","12.5","6.5","29.5","63.5"
"466920","0","0","0","0","-9998","0","0","0","0","0.2","7","0.5","0","0","0","0","21","11","0","0","4","46","24.5","1.5","1.5","38","7.5","5","23","42"
"466930","2","0","0","0","0.5","0","0","0","0","1.5","20.5","2","0","0","0","0","16","8.5","0","0","8","48","24.5","9","0.5","39.5","8.5","5.5","20.5","57"
"466940","-9998","0.3","0","-9998","0","0","0","0","0","7.2","13","1.9","0","0","-9998","0","29.1","13.2","0","0","3.7","34.3","25.5","18.5","3.2","68","10.7","3.2","22.2","54.3"
"466950","0","0","1.6","0","0","0","0","0","0","2","9.5","0","0","0","0","0","8.5","-9998","0","0","27","23","4","1.5","1.4","42.3","0.9","6","12.1","48.1"
"466990","-9998","0","2.5","0","0","-9998","0","0","0","0","4.5","3.5","5","0.5","2.5","3","33","9.5","7.5","0.5","2","1.5","5.5","2.5","0","-9998","1","0","11.5","5.5"
"467060","6.2","7.8","10.3","0","0","0.2","0","0.6","0","0","34.6","16.8","0.6","0","5.2","1.6","20.5","19.7","2.7","2.2","0.6","1.1","3.8","5.2","0.4","4.7","3.2","1.8","15.2","15.9"
"467080","0.6","-9998","0.2","3","0","-9998","0","0","0","0","6.7","3.5","0","0","4.3","0.1","18.1","21","-9998","-9998","0.1","7.5","5.7","7.9","0.3","10","9.4","4","15.9","19"
"467110","0.5","0","0","0","0","0","0","0","0","2.1","2.4","0","0","0","0","0","6.4","0.1","0","0","3.5","0.3","0.5","0","0","14.7","0.1","45.2","18.1","31.4"
"467300","0","0","0","0","0","0","0","0","0","0","2.2","0","0","0","0","0","41.2","2.2","0","0","0.6","17.8","43","0","0","4.3","0","0","0","5.3"
"467350","0","0","0","-9998","0","0","0","0","0","0","0","0","0","0","0","0","17.3","2","0","0","7.3","-9998","44.8","-9998","0","5.1","1.7","1.4","2.7","10.6"
"467410","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","80.5","0.5","0","0","0","3","9","0.5","0","0.2","0.1","0","0","1.3"
"467420","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","72","0.5","0","0","0","3","12","0","0","0","0","0","0","1"
"467440","-9998","1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.5","0","0","0","0","0.5","0.5","0","0","0","0","0","0","4.5"
"467480","0","0","0","0","-9998","0","0","0","0","0","0","0","0","0","0","-9998","38.5","16.3","0","0","1.5","2","18.2","0.5","0","-9998","2.1","0.7","3.2","2"
"467490","0","0","0","0","0","0","0","0","0","0","0.2","0.4","0","0","0","0","18.3","25.2","0","0","2.5","0","33","0","0","9.1","9.6","6.1","21.6","18.8"
