"stno","2018-07-01","2018-07-02","2018-07-03","2018-07-04","2018-07-05","2018-07-06","2018-07-07","2018-07-08","2018-07-09","2018-07-10","2018-07-11","2018-07-12","2018-07-13","2018-07-14","2018-07-15","2018-07-16","2018-07-17","2018-07-18","2018-07-19","2018-07-20","2018-07-21","2018-07-22","2018-07-23","2018-07-24","2018-07-25","2018-07-26","2018-07-27","2018-07-28","2018-07-29","2018-07-30","2018-07-31"
"466880","0","0","0","0","0","0","26","0","0","21","86","0","0","0","0","0","0","0","0","0","19","18.5","0","28.5","10.5","0","0.2","0","0","0","0"
"466900","0","0","0","0","0","0","3.5","0","0","23","79.5","0","0","0","0","0","0","0","0","0","58","0","0","1","0","0","2.5","0","0","0","0"
"466910","0","0","0","0","0.5","0","2.5","0","0","87","162","0","0","0","0","8.5","0","0","0","10","39","-9998","2","0.5","0","0","-9998","0","0","0","0"
"466920","0","0","0","-9998","-9998","0","7.8","0","0","34.8","71.6","0","0","0","0","-9998","0","0","0","0","40.7","7.5","-9998","12.1","3.3","0","12.5","0","0","0","0"
"466930","0","0","0","0","0.3","0","5.9","0","0","139.7","167.9","0","0","0","0","2.2","0","0","0.4","4.2","29.4","0","0.4","0","0","0","0","0","0","0","0"
"466940","0","0","0","0","-9998","24","0","0","0","22.5","71.5","0.5","0","0","0","6","0.1","0","0","0","11","0","0.2","0","0","0","0","0","0","0","0"
"466950","0","0","0","0","0.5","0","0","0","0","23.5","163.5","0","0","0","0","1","0","-9998","0","0","8","-9998","7.5","0","0","0","0","0","0","0","0"
"466990","3.5","-9998","0","0","0","0","0","0","0","0","2.5","1","0","0","0","4.5","13","5","1","0","5.5","0","0.5","0","0","0","0","0","0","0","0"
"467050","0.1","0","0","0","-9998","0","4.8","0","0","5","16","6.5","0","0","0","0","0","0","0","0","21.6","0","0","0","0","0.2","0","2.8","0.3","0","0"
"467060","0","0","0","0","0","0","0","0","0","31","34","8.5","1.5","-9998","0","8.5","6","3","0.5","6","0","0","-9998","0","0","0","0","0","0","0","0"
"467080","0","0","0","0","0","0","0","0","0","29.4","34.3","0.3","0","0","0","13","8.1","0","4.8","0.5","1","0","-9998","0","0","0","0.2","0","0","0","0"
"467110","0","0","2.5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"467300","0","45.1","0","0","0","63.1","8.3","0","0","0","0","33.1","0","0","0","0","0","0","0","0","3.9","0","0","0","0","0","0","0","0","0","0"
"467350","0.2","17.2","1.9","0.7","0.5","2.7","0","0","0","0","0","-9998","0","0","-9998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"467410","8","69.5","48","31.5","42.5","14","-9998","14","0","0","0","68.5","1","26.5","0","0","0","0","36","21","0.5","2","0","1","3.5","0","-9998","-9998","14","4.5","0"
"467420","7.5","93.5","55.5","41.5","26.5","14","0","3","0","0","-9998","3.5","-9998","0","0","0","0","0","4","28","1","2.5","2.5","2.5","10","0","0","0","28.5","0","0"
"467440","0","80","92","59.5","32","12.5","8.5","0","0","0","0","0.5","7","1","0","0","0","0","68.5","0.5","0","-9998","0","35.5","0","11","1.5","0","0","0","0"
"467480","39","152","6","4.5","0.5","0","2","43","0","0.2","6","5.5","9.5","0","0","0","0","1.5","2.5","15","0","42.5","0","4.5","7","0.2","20","9.5","5.5","1.5","0"
"467490","13","67.5","46","31","13","-9998","40","0","0","8","33.5","0","-9998","0.5","0","0","0","0","0","0","0","30","14.5","2.5","5","0","14","0","28.5","0","0"
"467530","17","101.5","48.5","38.5","3.9","0","28","2.5","0","4.5","64","3","32.5","31.5","0","0","0","4.2","51.5","2","37.5","42","12","34","20.5","0","9","1","26","9.5","1.3"
"467540","0","17.5","2.5","0","0","0","0.8","25.8","0.5","0","1.5","63.5","62.5","36.5","4","17.6","3.2","0","32.5","1","0","0.5","0","0","2.5","0","0","0","0","0","0"
"467550","25.5","74","20.5","7.5","5","2.5","18.5","0","0","9","62.5","9","3","0","0","0.5","6","0","0","0","13.5","47.5","7.5","8.5","2.5","0","5.5","0","12.5","0.5","1"
"467571","-9998","0","0","0.2","0","0","7.5","0","0","14","36","0.5","0","0","0","0","0","0","0","0","6.5","2.5","0","-9998","0","0","0","0","0","0","0"
"467590","0.5","17","0.5","39","11","3","11","4","6","0","0","28.5","46.5","5","0.5","11.5","18","2.5","3.5","5","0","28","4","0","3","0","1.5","0","0","0","0"
"467610","0","3.4","0","0","0","0","0.7","0.2","0","0","0","13.9","24.5","0.4","0.6","23.7","65.2","0","1.4","0","0","2.1","0","0","0","0","0","0","0","0","0"
"467620","0","9.8","0","0","0.6","0","7.5","3.7","0.4","0","0.8","7.6","19","27.7","0.7","28.4","7.1","9.7","8","1","0","2.9","0","0.6","0","0","0","0","0","0","0"
"467650","1","65.5","26.5","14","0","25","20.5","1","0","24.5","38.5","-9998","-9998","-9998","0","0","0","0","17","-9998","35","10","6.5","8","15","6","2","-9998","0","0","0"
"467660","0","15","0","0","0","0","0.5","0.5","0","0","0","24.5","34.5","6.5","0","5","17","0","5.6","-9998","0","2","0","0","0","0","0","0","0","0","0"
"467770","2","90","13.5","23","12","0","14","0","0","-9998","5","0","0","0","0","0","0","0","0","0","0","0.5","0","0.5","0","0","0","0","45","0","0"
"467990","25.7","1.4","0","0","0","0","1.4","0","0","0","91.5","0.5","0","0","0","-9998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0A520","0","0","0","0","0","0","78.5","0","0","23.5","67.5","0","0","0","0","0","0","0","0","0","15","0.5","0","3","0","0","0","0","0","0","0"
"C0A530","0","0","0","0","0","22","34.5","0","0","114.5","93.5","1","0","0","0","20","19","0","0.5","0","34.5","0.5","0","0","0","0","5.5","0","0","0","0"
"C0A540","0","0","0","0","0","4","0.5","0","0.5","110.5","88.5","7.5","0","0","0","47","63.5","1.5","8.5","0","31.5","0","0","0","0","0","67","0","0","0","0"
"C0A550","0","0","0","0","0","4","9","0","0.5","110.5","97","6.5","1","0.5","1","36.5","3","0","2.5","2.5","58","0.5","0","0","0","0","0","0","0","0","0"
"C0A560","1.5","0","0","0","0","35.5","15.5","0","0.5","115","100.5","0","0","0","0","0","4.5","1.5","0.5","0","2.5","0","0","9","0","0","0.5","0","0","0","0"
"C0A570","30.5","0","0","0","0","16","42.5","0","0","122","72.5","0","0","0","0","6","13","1","1","0","9","0","0","6.5","0","0","21.5","1","0","0","0"
"C0A640","0","0","0","0","0","8.5","9.5","0","0","81","78.5","0","0","0","0","4","3","0","0","0","22","0","0","0","0","0","0","0","0","0","0"
"C0A650","0","0","0","0","0","18.5","6","0","0","88.5","104.5","1","0.5","1","0","21","4.5","0","0","0","31","0","0","0","0","0","0","0","0","0","0"
"C0A660","0","0","0","0","0","28.5","0","0","0","36.5","68.5","4.5","0","0","0.5","10.5","0","0","0","0.5","6","0","0.5","0","0","0","0","0","0","0","0"
"C0A860","0","0","0","0","0","0.5","0","0","0","43","102.5","0","0","0","0","10","0.5","0","0","4.5","29","0","0","0","0","0","0","0","0","0","0"
"C0A870","0.5","0","0","0","0","0","0","0","0","64.5","127.5","0","0","0","0","3","0","0","0","5.5","24","3.5","0","0","0","0","0","0","0","0","0"
"C0A880","0","0","0","0","0","0","0","0","0","35.5","76.5","2","0","1","0","5.5","0","0","0","1","8.5","0","1.5","0","3","0","0","0","0","0","0"
"C0A890","0","0","0","0","0","6.5","0","0","4.5","79.5","77.5","10","0","1","0.5","8.5","0.5","0","0","5","21.5","0","0.5","0","0","0","0","0","0","0","0"
"C0A920","0","0","0","0","0","0","31","0","0","13.5","92.5","0","0","0","0","1.5","0","0","0","0","22","1.5","0.5","13.5","0","0","0","0","0","0","0"
"C0A940","0","0","0","0","0","0.5","2","0","0","14.5","129.5","0","0","0","0","1","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0"
"C0A950","0.0","0.0","0.0","0.0","0.0","7.5","0.0","0.0","0.0","X","X","X","0.0","0.0","0.0","11.0","2.5","0.0","0.0","0.0","13.5","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"C0A970","0","0","0","0","0","0","0","1","0","34","101.5","0","0","0","0","9","0","0","0","0","40","0","2","0","20.5","0","0","0","0","0","0"
"C0A980","0","0","0","0","0","0","22","0","0","36.5","68","0","0","0","0","0","0","0","0","0","41","8","0","1.5","0","0","0","0","0","0","0"
"C0A9A0","0","0","0","0","0","0","24.5","0","0","87.5","68","0","0","0","0","0","0","0","0","0","14","0","1.5","3","0.5","0","0","0","0","0","0"
"C0A9C0","0.5","0","0","0","0","0","4.5","0","0","97","87","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","5","0","0","0","0"
"C0A9E0","0","0","0","0","0","0","23.5","0","0","46","66","0","0","0","0","0","0","0","0","0","46","16","0","10.5","2.5","0","2.5","0","0","0","0"
"C0A9F0","0","0","0","0","0","0","2.5","0","0","68","80.5","0","0","0","0","0","0","0","0","0","20","1","0.5","0","0","0","0.5","0","0","0","0"
"C0AC40","0.5","0.5","0","0","0","0","5","0","0","105","109.5","0.5","0","0","0","3.5","1","0","0","4","32","1","1.5","0","0","0","0.5","0","0","0","0"
"C0AC60","0","0","0","0","0","0","38","0","0","24.5","45","0","0","0","0","0","0","0","0","0","8.5","1.5","0","51.5","0","0","0","0","0","0","0"
"C0AC70","0","0","0","0","0","0","0.5","0","0","55","54","0","0","0","0","0","0","0","0","0","10","0","0","2.5","0","0","4.5","0","0","0","0"
"C0AC80","0","0","0","0","0","0","3","0","0","50","64","0","0","0","0","0","0","0","0","0","10","0","0","0","2","0","0","0","0","0","0"
"C0ACA0","0","0","0","0","0","0","47.5","0","0","26.5","72","0","0","0","0","0","0","0","0","0","33","8","0","0","3","0","1","0","0","0","0"
"C0AD00","0","0","0","0","0","0","5.5","0","0","11","72","0","0","0","0","0","0.5","0","0","0","25.5","3","0","0.5","0","0","7","0","0","0","0"
"C0AD10","0","0","0","0","0","0","3","0","0","10","31.5","0","0","0","0","0","0","0","0","0","56","0","0","0.5","0","0","0","0","0","0","0"
"C0AD30","0","0","0","0","0","0","10","0","0","30","69","0","0","0","0","0","0","0","0","0","42","19","0","0","1","0","0","0","0","0","0"
"C0AD40","0","0","0","0","0","0","5","0","0","19.5","72","0","0","0","0","0","0","0","0","0","15.5","12","0","3.5","1","0","3","0","0","0","0"
"C0AD50","0.5","0","0","0","0","0","90","0","0","26","49","0","0","0","0","0","0","0","0","0","8","1.5","0","17.5","0","0","0","0","0","0","0"
