"stno","2013-06-01","2013-06-02","2013-06-03","2013-06-04","2013-06-05","2013-06-06","2013-06-07","2013-06-08","2013-06-09","2013-06-10","2013-06-11","2013-06-12","2013-06-13","2013-06-14","2013-06-15","2013-06-16","2013-06-17","2013-06-18","2013-06-19","2013-06-20","2013-06-21","2013-06-22","2013-06-23","2013-06-24","2013-06-25","2013-06-26","2013-06-27","2013-06-28","2013-06-29","2013-06-30"
"C0T9H0","0","0","0","5.5","17","22.5","0","0.5","0.5","13","0","4.5","40.5","43","2","0.5","2","0","0","0","10","1","0","0","0.5","0","0","0","0","0.5"
"C0T9I0","0","0","0","4.5","6.5","4.5","0","0","0","4.5","0","3","49","48.5","1","0","2.5","0","0","0","16","0.5","0","0","0","0","0","0","0","0"
"C0T9M0","0","0","0","0.5","1.5","8.5","6","0.5","0","1","0","11.5","56.5","70","2","0","1","0","0","0","26","1.5","0","0","0","0","0","0","0","0"
"C0U600","0","0","1.5","14","34.5","12.5","0","0","12.5","1","18","20","2.5","3.5","0","0.5","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0U650","0","0.5","41","16.5","1.5","4","0.5","0","1.5","3","7.5","36.5","7.5","5","0","0","1","0","0","0","0","2","0","0.5","0","0","0","0","0","0"
"C0U710","0","0","1.5","18","1.5","6","0","0","0","1.5","11","46.5","6","7","14","0","6","2","0.5","0","16.5","12","14","0.5","1.5","0","0","0","0.5","0.5"
"C0U750","0","0","0","25","7.5","0","0","0","6","1","42.5","4","3","2","0","1","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0U760","0","0","8","12","34","19","0","0","6.5","45.5","10.5","5.5","3.5","6.5","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0"
"C0U770","0","0","0","11","1","24.5","0.5","0","0","12","23.5","10","8","8.5","0","0","0","0","0","1","0.5","0","0","0","0","0","0","0","0","0"
"C0V250","0","0","6.5","1.5","0","27.5","0","0","0","2.5","5","24.5","5.5","4.5","25.5","0.5","0","1.5","0","0","0","1.5","6.5","23.5","1","0","0","0","0","0"
"C0V310","0.0","0.0","0.0","0.0","0.0","1.5","0.0","0.0","0.0","4.5","0.0","16.5","21.0","4.5","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0V370","0","0","0","0","0","0","0","0","0","10","0","0","21.5","1","0","0","6.5","18","0","0","0","2.5","8","15.5","3","0.5","0","0","0","0"
"C0V490","0","0","0","0","0","0","0","0","0","10.5","0","0","10","2","0","0","0","0","0","0","0","3.5","25","5","1.5","0","0","0","0","2.5"
"C0V500","0","0","0","0","0","0","0","2","0","15.5","0","0","33.5","3","0","0","0","0","0","0","0","3.5","19","9","7.5","0","0","0","0","3"
"C0X080","0","0","0","0","0","0","0","0","0","7","12","1.5","9.5","8.5","0.5","0","0","0","0","0","0","2","7","55","8.5","0","0","0","0","0"
"C0Z050","0.0","0.0","0.0","13.5","4.5","0.0","0.0","0.0","0.0","0.5","0.0","3.0","68.5","53.5","4.0","/","/","0.0","0.0","0.0","18.5","0.0","0.5","1.5","0.0","0.0","0.0","0.0","0.0","0.0"
"C0Z061","0","0","0.5","27.5","9.5","30","0.5","0","0","0.5","10","1","92.5","80","13","0","1","0","0","0","16","0","0","0","0","0","0","0","0","0"
"C0Z070","0","0","0","11.5","0.5","0.5","3.5","0","0","2","3","2.5","57.5","47.5","2.5","1.5","2","0","0","2","9.5","0.5","0","0","0","0","0","0","0","0"
