"stno","20181001","20181002","20181003","20181004","20181005","20181006","20181007","20181008","20181009","20181010","20181011","20181012","20181013","20181014","20181015","20181016","20181017","20181018","20181019","20181020","20181021","20181022","20181023","20181024","20181025","20181026","20181027","20181028","20181029","20181030","20181031"
"466880","0","0","-9998","7.5","0.5","-9998","1","3.5","6","2.5","23","24.5","1","0","0","6","34.5","-9998","5.5","0","0","-9998","6","0","0","-9998","0","0","0","1.7","5.5"
"466900","0","0","0","27","12","0","0","3.5","1","3","22","23","0","0","0","2","42.5","0","4","0","0","0","0","0","0","0","0","0","0","0","0.5"
"466910","0","0","2.5","98","21","0.1","0.5","23","10","19.5","98","44","11","6","5","7.8","37","2","16.5","0.3","0","0","20","2","0","2","0.5","0","0","7","32"
"466920","0","0","-9998","1.6","0.5","2","0.2","3.9","6.8","14.4","8.5","27.5","1.4","0.1","0","2.2","31.3","1.8","5.3","0","0","0","8.1","0","0","1.5","0","0","0","1.1","6.9"
"466930","0","0.1","1.2","86.2","18.2","0","0.2","33.5","8.9","49","109.4","44","5.7","2.3","3.3","2.9","34.6","4.5","11.4","0","0","0.5","1.7","0.9","0","6.9","1.4","0","0","4.5","21.7"
"466940","0","0","0","11.5","5.5","0","9","43","27.5","17.5","27","47.5","16","16","3","41.5","72.5","8","13","-9998","0","-9998","21","0","0","1","0","0","0","8.5","14.5"
"466950","0","0","0.7","0.1","0.5","0","0.4","0.5","0","0.2","10","12.5","0","0","0.6","8.3","20.1","0","1","0","0","0","3.2","0","0","0","0","0","0","0","1.2"
"466990","0","0","0","0","9","0","0","1","25.5","20","-9998","14.5","1","0","-9998","13","-9998","1","8.5","0","0","0","0","0","0","14.5","0.5","0","0","1","24"
"467050","0","0","0","5.7","0.1","0","0","2.8","0.5","1.5","16.9","9.6","0","0.1","0","1.4","14","-9998","0.4","0","0","0","0.2","0.4","0","0","0","0","0","0","1.2"
"467060","0.5","0","0","0","0","15","18.5","213.5","26.5","77","137","65.5","85","21","15","13.5","6.5","13.5","47.5","1","0","1","0.5","0","0","0","0","0","0","19","206.5"
"467080","3","0","-9998","0.1","0.1","7.3","10.3","175.5","61.3","57.3","18.9","38.5","41","11.4","0.1","0.5","18.3","5.6","13.3","0.5","0","1","0.1","0","0","0.6","0.6","0","0","23.8","46"
"467110","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0.1","0","4.4","0","0","0","0","-9998","0","0","0","0","0","0","0","0","0"
"467300","0","0","0","0","0","0","0","0","0","0","0","1.1","0","0","0","0","0","0","1.1","0","0","0","0","0","0","0","0","0","0","0","0"
"467350","0","0","0","0","0","0","0","0","0","0","0","0.4","0.4","0","0","0","0.4","1.3","-9998","0","0","0","0","0","0","0","0","0","0","0","0"
"467410","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5"
"467420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-9998","0","0","0","-9998","0","0","0.5"
"467440","0","0","0","0","0","0","0","0","-9998","1","0","0","0","0","0","0","0","-9998","0","0","0","0","0","0","0","0","0","0","0","0","0.5"
"467480","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-9998","1","5","0","0","-9998","0","0","0","0","0","0","0","0","0.8"
"467490","0","0","0","0","0","0","0","0","0","0","0","-9998","5","0","0","0","-9998","0","2.5","0","0","-9998","0","0","0","0","0","0","0","0","-9998"
"467530","0","0","0","0","0","0","20.5","3","2","11.5","-9998","5.5","0.5","0","0","0","0.2","2.5","10.7","0","0","0","0","0","0.5","0","0","0","0","0","4"
"467540","0","0","0","0","0","1.5","0.2","0","71.5","0.5","0","0","0","1","0","0","0","0","0","0","0","0","2.6","25.2","0","1","1","0","0","0","6.5"
"467550","0","0","0","0","0","0","9","0","5","32","1.5","10.5","0.5","0","1.5","0","0.5","6","12","0","0","0","0","1.5","0","0","0","0","0","0","12.5"
"467571","0","0","0","13","0.5","0","0","0","0","0","-9998","14","0","0","0","0","9","0","1.5","0","0","-9998","1.7","0","0","0","0","0","0","0","1.1"
"467590","0","0","0","0","0","-9998","0","0","1.5","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0.5","1.4","0","2","-9998","0","0","0","0.5"
"467610","0","0","0","0","4.6","0","0","9.2","15","3.4","0.3","0.1","0","0","13.3","47.2","0.9","1.5","0","0.3","1.4","1","2.4","0.1","0","0.4","2.5","0","0","0","30.1"
"467620","0.9","0","0","0","7.5","5.7","0.3","2.5","2.2","0.2","3","3.6","12.8","26","0","0.4","1.5","8.3","28.5","0","9.1","0","0","0","3.9","0","20","0","0","4.7","29"
"467650","0","0","0","0","0","0","0","0","0","0","0","6","1.5","1","0","0","0","-9998","5.5","0","0","0","0","0","0","0","0","0","0","0","4"
"467660","0","0","0","0","0.2","0.5","0","0","2.1","-9998","0","0","0","0","0","0","0","1.5","0","0","0.4","2.5","-9998","1","0.3","0.5","0","0","0","-9998","28"
"467770","0","0","0","0","0","0","0","0","0","0","0","-9998","4","0","0","0","-9998","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5"
"467990","0","0","0","0","0","0","0","0","0","1.6","13","0","0","4.6","3.5","7.1","1.1","0","0.3","0.5","0","-9998","0","0","0","0.2","0","0","0","0","0"
"C0A520","0","0","0","11.5","1","0","0.5","1","8","2.5","29","21","0","0","0","2.5","40.5","0.5","6.5","0","0","0","6","0","0","0","0","0","0","1","4"
