"stno","2017-10-01","2017-10-02","2017-10-03","2017-10-04","2017-10-05","2017-10-06","2017-10-07","2017-10-08","2017-10-09","2017-10-10","2017-10-11","2017-10-12","2017-10-13","2017-10-14","2017-10-15","2017-10-16","2017-10-17","2017-10-18","2017-10-19","2017-10-20","2017-10-21","2017-10-22","2017-10-23","2017-10-24","2017-10-25","2017-10-26","2017-10-27","2017-10-28","2017-10-29","2017-10-30","2017-10-31"
"C0C650","0","0","0","0","0","0","0","0","0","0","1","8","81.5","22","17","0","3.5","7","19","12","5","0","0","0","0","0","0.5","7","0","0","0"
"C0D360","0","0","0","0","0","0","0","0","0","0","0","11.5","26","7","16.5","0","0","0","0","0","1","0","0","0","0","0","0","0.5","0.5","0","0"
"C0D390","0","0","0","0","0","0","0","0","0","0","0.5","6.5","40","26","15.5","0.5","0","0","2.5","7.5","4.5","0","0","0","0","0","1","6","0","0","0"
"C0D480","0","0","0","0","0","0","0","0","0","0","0.5","3.5","49.5","26","15","0","0.5","4.5","16","14.5","6.5","0","0","0","0","0","2","6","0","0","0"
"C0D540","0","0","0","0","0","0","0","0","0","0","0","2.5","14.5","6","14","0","0","0","0","1","1.5","0","0","0","0","0","0","4.5","0","0","0"
"C0D550","0.5","0","0","0","0","0","0","0","0","0","0.5","5.5","30","14.5","21","0.5","0.5","0","0","0.5","2","0","0","0","0","0","0","0","0","0","0"
"C0D560","0","0","0","0","0","0","0","0","0","0","0","1.5","19","10","12","0","0","0","0.5","0.5","0.5","0","0","0","0","0","0.5","2.5","0","0","0"
"C0D570","0","0","0","0","0","0","0","0","0","0","0","0","16.5","9","10","0","0","0.5","0","0.5","0","0","0","0","0","0","0","0","0","0","0"
"C0D580","0","0","0","0","0","0","0","0","0","0","0","0","19","9","12","0.5","0","0","0","0.5","1","0","0","0","0","0","0.5","3","0","0","0"
"C0D590","0","0","0","0","0","0","0","0","0","0","0","1","35","17","9.5","0","2","10.5","8","7","0","0","0","0","0","0","0","0","0","0","0"
"C0E420","0","0","0","0","0","0","0","0","0","0","0","0","9","4.5","8.5","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0E430","0","0","0","0","0","0","0","0","0","0","0","0","15","8","12.5","1.5","0","0","0","0","0","0","0","0","0","0","0","1.5","0","0","0"
"C0E530","0","0","0","0","0","0","0","0","0","0","0","0","14.5","10.5","14","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0E610","0","0","0","0.5","0","0","0","0","0","0","0","0","8.5","10.5","13","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0E730","0","0","0","0","0","0","0","0","0","0","0","0","10","5.5","10","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0"
"C0F861","0","0","0","0","0.5","0","0","3","0.5","0","0","2","61","65","57.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0G640","0","0","0","0","0","0","0","0","0","0","0","0","14","14.5","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0G650","0","0","0","0","0","0","0","0","0","0","0","0","15","16.5","32.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0H990","0","0","0","2.5","0","0","0.5","12","1.5","0","0","7.5","87","135.5","95.5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0H9A0","0","0","0","0","0","0","0","0.5","1","0","0","0","14","20","50","0","0","0","0","1.5","1.5","0","0","0","0","0","0","0","0","0","0"
"C0H9C0","0","0","0","0.5","0","0","0","7","2.5","0","0","3","48","80","52.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0I010","0","0","0","1.5","0","0","0","0.5","0","0","0","2","37.5","52","49.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0I090","29","0","0","0","0","0","0","0","0","0","0","0","12.5","18.5","42.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0I110","1.5","0.5","0","0","0","0","0","0","0","0","0","0","13.5","19","41.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0K240","0","12.5","0","0","0","3","0","0.5","0","0","0","0","10.5","18","50.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0K280","0","0","0","0","0","0","0","0","0","0","0","0","9.5","19.5","29.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0K330","0","0","0","0","0","0","0","0","0","0","0","0","12.5","15","31.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0M410","1","0.5","0","0","4.5","1","0","0.5","1","0","0","0","13","28.5","61.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0M530","0.5","1.5","4.5","0","2","0.5","3.5","0","1.5","0","0","0","13.5","24","54","0","0","0.5","0","0","0","0","0","0","0","0","0.5","0","0","0","0"
"C0O810","18","10.5","9.5","0","0","3.5","0","0.5","0","0","0","0","11.5","31","48.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0O900","0","0","0","0","0","0","0","0","0","0","0","0","11.5","22.5","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0O930","8","13","8.5","0","6.5","2","0","0","0","0","5.5","0","13","31","47.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0R100","0","1","0","0","0.5","0","0","0","0","0","0","0","23","61","114.5","3.5","0","0","0","1.5","0","5.5","1","0","0","1","0","0","0","0","0"
"C0R150","0","0","0","0","0","0","0","0","0","0","0","0","40","55.5","85","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0R220","9","0","11","0","0","0","0","0","0","0","0","0.5","13.5","45","90","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0R270","0","0","0","0","0","0","0","1","0","0","0","0.5","16.5","67","13","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0R280","14","0","11","6.5","10","3.5","8","55","47","6","6.5","3.5","163","112.5","24.5","48.5","0","0","2.5","4.5","1.5","1","0","0","0","0","0","5","4.5","0","0.5"
"C0R350","4.5","0","2.5","4","7.5","0.5","6.5","26","63.5","5","3","0","60.5","52.5","17.5","3","0","0","0","0","2.5","0","0","0","0","0","0","0","2.5","0","0"
"C0R420","29.5","0","0","56.5","19.5","0","1.5","64","50.5","14","15.5","3","132.5","175.5","54.5","41.5","2","0","8.5","1.5","3.5","2.5","0","0","0","0","0","7","3","0","0"
"C0S680","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"C0S690","0.5","0","0","0","6.5","0","0.5","32","3.5","0.5","3.5","2","54","256.5","109.5","21.5","0","0","0","0","2.5","1","0","0","0","0","0","14","0","0","0"
"C0S700","0.5","0","0","0","7.5","0.5","0.5","49.5","2","0","1","3.5","172.5","425","234.5","28","0","0","0","0","6","1","0","0","0","0","0","23.5","0","0","0"
"C0S710","0","0","0","1","7","0","0.5","42","1","1","3","9.5","110.5","370","298.5","57","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0"
"C0S730","4","0","0","10","5","1.5","8.5","48","24.5","4.5","51","21","120.5","82.5","51.5","40","0","0","0","0","0","0","0","0","1","0","0","0","0","1.5","0"
"C0S740","3.5","0.5","0","23","6.5","0","0","46","1.5","2","2","16","147.5","277.5","289","13","0.5","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"C0S750","5.5","0.5","0","4.5","2","0","0","38","10.5","0.5","0.5","10.5","141.5","280.5","275.5","18","0","0","1","0","0","0.5","0","0.5","1","0","0","0","0.5","0.5","0"
"C0S760","0","0","3","12","23.5","0.5","0","39.5","4.5","3","1.5","5.5","124","261.5","233","45","0","0","0","1","2","4","0.5","0","0","0","0","0.5","0","0","0"
"C0S770","1","0","4","0","7","0.5","1","53","8","1","3.5","0.5","121","168.5","68.5","48","0.5","0","2","0","1.5","0.5","0","0","0","0","0","4.5","0","0","0"
"C0S790","0.5","0","5","0.5","4.5","0","1","54.5","8","0","6","0.5","129","252.5","97.5","45","0","0","1.5","0","1","0","0","0","0","0","0","4.5","0","0","0"
"C0S810","0","0","0","4","12","1","4","45.5","9","4.5","6","24","111.5","234","178.5","47.5","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"C0S830","0","0","0","60.5","19.5","0","5","72","17","6.5","15.5","29","111.5","199.5","179","5.5","0","0","0","0.5","0","0","0","7","1","0","0","6","0","0","0"
"C0S840","6","0","0","32","24","0","0","24","8","6","16.5","0.5","89","116.5","23","32","0","0","1.5","0","3.5","2","0","0","0","0","0","6.5","0.5","0","0"
"C0T790","0","0","0","3","5.5","0","1.5","9","0.5","1.5","0.5","12","111","101","94.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0T820","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0T870","0","0","0","71","82.5","0","2.5","75","13.5","13.5","1","45.5","216.5","264","305","2.5","0","0","0","0","0.5","0","0","3.5","0","0.5","0","0","0","0","0"
"C0T960","0","0","2.5","140.5","125.5","0","8","90","24.5","47.5","5.5","48.5","170","294","278","7.5","0","0","0","2","1","0.5","0","0","0","0","0","0","0","0","0"
"C0T9A0","0","0","3","89.5","76","0.5","5","58","33","15","5.5","88.5","229","195","255.5","2.5","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0"
"C0T9B0","0","0","0.5","41.5","60","0.5","6","50.5","9","10.5","3","50","202","276.5","321.5","1","0.5","0","0","3.5","4","0","0","4.5","3","0","0","0","0","0","0"
"C0T9D0","0.0","0.0","35.5","55.0","71.5","14.0","20.5","32.5","9.0","13.5","14.5","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0T9E0","0","0","9.5","67","128","0.5","3","75","6","12","18","72","224","215","271.5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0T9F0","0","0","7.5","81","79","0","3.5","72","21","24.5","3","84","240.5","202.5","274.5","4","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0T9G0","0","0","0","126.5","107","0.5","4.5","83","19","70","7","63.5","191.5","331.5","276.5","5.5","0.5","5.5","2.5","11","2.5","0","0","1","2","0","0","0","0","0.5","0"
"C0T9H0","0","0","1","188","93.5","1.5","15.5","60.5","15.5","50.5","14.5","75","135.5","181.5","237","1.5","0","1","0","0.5","1","0","2","5","3.5","0","0","0","0","0","0"
"C0T9I0","0.0","0.0","1.5","177.5","92.5","0.0","12.0","51.0","35.0","12.5","10.5","64.0","30.0","/","/","/","/","0.0","0.0","0.0","0.0","0.0","0.5","5.0","0.5","0.0","0.0","0.5","0.0","0.0","0.0"
"C0T9M0","0","0","1.5","142","59.5","0","4","53.5","100","6","16","38.5","119","152.5","145","9","0.5","0.5","0","0","0","0","0.5","5.5","0","0","0","0.5","0","0","0.5"
"C0U600","0","0","0","13","0","127","79.5","5","17","31.5","73","62.5","59.5","155.5","74","0","4","1","2.5","5.5","1","0","0","0","0","0","0","0.5","1.5","0","6"
"C0U650","0.0","0.0","6.0","77.5","37.5","5.0","68.0","213.5","9.0","12.5","118.5","102.5","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0U710","0","0","2.5","36","14","2","13","47.5","5","1","22.5","66","247","251.5","114.5","0.5","1","6.5","17.5","26.5","2","0","3","6.5","4","0.5","0","0","1.5","6.5","0"
"C0U750","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"C0U760","0.5","0","49.5","72","62.5","22.5","29.5","17.5","14.5","26.5","211.5","65.5","269.5","211.5","155.5","0.5","9.5","27.5","29.5","46","0.5","0","0","14.5","13.5","0","0","0","3.5","23","2.5"
"C0U770","0.0","0.0","14.5","18.5","19.5","15.0","29.0","37.5","9.0","15.5","37.5","41.5","115.5","138.0","119.5","0.0","0.0","0.5","1.0","0.0","0.5","0.0","0.0","13.5","2.5","0.0","...","...","...","...","..."
"C0V250","24","0","0.5","0","0","0.5","0","0.5","0","0","0","0","14.5","39.5","59.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0V310","14","6.5","0","2","0","1","0","0","0","0","3","0","13","31.5","42","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0V370","0.5","10","0.5","0","1","2.5","0","0","0","0","1","0.5","11.5","28.5","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0V490","0","0","2","0","0","0","0","0","0","0","0","0","13","28.5","22.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0V500","0.5","0","0","0","0","0","0","0","0","0","0","0","12.5","28","22.5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0X080","0","0","0","0","0","0","0","0","0","0","0","0","10.5","18","14.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0Z050","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0Z061","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0Z070","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C1A630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1A9N0","0","0","1","26","0.5","2","3.5","3","7","3.5","17.5","54.5","112.5","128.5","34","0","5","15.5","31.5","20.5","8.5","0","0","0.5","0","0","1.5","10.5","4","7","1"
"C1AC50","0","0","0","0","0","0","1","1","0","0.5","18.5","25.5","25","39.5","18","4","12","3","3.5","4.5","5.5","0","0","1","0","0","6.5","3","1","0","0"
"C1C510","0","0","0","0","0","0","0","0","0","0","0","6","35","27.5","10.5","0","5","14","15","23","1.5","0","0","0","0","0","0","0","0","0","0"
"C1D380","0","0","0","0","0","0","0","0","0","0","0","0.5","39.5","15.5","12","0","1","3","5.5","8.5","1.5","0","0","0","0","0","0.5","1","0","0","0"
"C1D400","0","0","0","0","0","0","0","7.5","0","0","1","24.5","52.5","17","21.5","0","0","0","1.5","9","11","0.5","0","0","0","0","0","5.5","0","0","0"
"C1D410","0","0","0","0","0","0","0","0","0","0","0","1.5","21","11","17","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1D420","0","0","0","0","0","0","0","0","0","0","0","7","54","12","15","0.5","0","0","0","0.5","2.5","0","0","0","0","0","0","1.5","0","0","0"
"C1E480","0","10","0","5.5","0","0","0","0","0","0","0","0","19.5","11.5","15.5","0","0","0.5","0","0","0","0","0","0","0","0.5","0","0","0","0","0"
