"stno","2016-09-01","2016-09-02","2016-09-03","2016-09-04","2016-09-05","2016-09-06","2016-09-07","2016-09-08","2016-09-09","2016-09-10","2016-09-11","2016-09-12","2016-09-13","2016-09-14","2016-09-15","2016-09-16","2016-09-17","2016-09-18","2016-09-19","2016-09-20","2016-09-21","2016-09-22","2016-09-23","2016-09-24","2016-09-25","2016-09-26","2016-09-27","2016-09-28","2016-09-29","2016-09-30"
"466880","0","18","51.2","0","-9998","21.5","2.5","0","108","2.5","0","19.5","4","33.5","1","-9998","70.5","17.5","0","1","0","1.5","-9998","0","-9998","4","143.5","1","0.5","2"
"466900","0","34.5","41.5","2.5","2","10","0.5","0","18.5","-9998","0","1.5","5","10.5","0.5","1.5","60","5.5","0","-9998","0","0","0","0","0","40","203.5","1","0","1.5"
"466910","0","30.5","86.3","70.5","33","57","0.5","0","70.3","0.1","0","40.5","23","26.4","0.8","1","230.5","62.5","2.5","18.5","4.8","3","2.5","0","6.1","10.3","243.5","2","0.5","1.1"
"466920","0","11.5","1.7","0.5","1.2","5","1.9","0.3","50.5","35","0","5.5","2","18.9","0.6","0.5","64.5","29","0","0.5","0","8.5","0.4","0","-9998","5.7","181.5","3.3","0","0"
"466930","0","23.6","38.3","19.3","24.9","18.5","1","0","68.1","0.4","0","14.8","11.1","30","1.4","2.5","232","102.8","2.7","21.1","2.1","0.5","0.4","0","9.6","17.2","320.6","4.1","2.3","2.7"
"466940","0","2.5","8.8","21","0.2","7","0","21","54","12.5","0","6.5","6.1","55","13.2","0.4","62","12.1","0.4","13.2","1.2","4","0.7","0","8.1","2.3","215","4.5","0","0"
"466950","0","8","0.5","0","0","1.5","11.2","0.5","39.5","5.5","18.5","0","4","19","0.5","9.5","102.5","11","0","0","0","0","0","0","0","0","70.9","0.5","1","0"
"466990","0","0","0","0","0","0","0","0","119.5","-9998","0.5","0","8.5","164.5","142.5","0.5","24","0.5","14.5","0","0","7","16.5","0.5","0","0","187.5","142.5","26.5","6"
"467050","0","2.7","60.5","0","0","75.5","1.2","0","6.9","0","0","2","0.8","1.5","0.1","0","27.4","0.1","0","1.2","0","0","0","0","0","0.5","27","9","1","0.6"
"467060","0","0","0","31.7","0.1","0.3","33.8","57.5","70.8","31.1","21.4","0","29.3","102.4","72","1.3","65.5","0","0.1","4.1","19.5","41.5","0.1","0.4","2.2","1.4","114.9","69.1","6.7","0.3"
"467080","0","0.7","0","45.9","1.9","0.2","13.4","14.8","35","78.1","16.7","0","25.1","81.3","17.9","18.7","18.2","0.1","-9998","22","9","34.3","5","-9998","6.2","1","155.9","8","0.4","0"
"467110","0","0.5","0","0","0","11.5","7.5","-9998","54.5","5","8.5","1","0","25","116","9","52","0.3","0","0","0","0","0","0","0","0","6.5","34.5","30","0.5"
"467300","0","2","120.3","7.5","0.4","17.8","15.4","29.7","1.5","0","0","0","0","62.1","26","0","0","0","0","0","0","0","0","0","0","0","173","55.6","5.9","18.9"
"467350","0","1.6","0.7","18.7","12.2","4.4","21.4","64.4","2.2","0.1","0","0","0","62.4","35.2","0","0","0","0","0","0","0","0","0","0","0","246.9","79.7","7.4","2.3"
"467410","0","124","5.5","7.5","6","250","130.5","12","0","0","0","0","0","80","59.5","0","-9998","0","0","0","0","0","0.3","0","0","0","266.5","104","135","39.5"
"467420","0","142.5","0.5","1.5","32","265","139.5","25","0","0","0","0","0","84.5","62.5","0","0","-9998","0","0","0","0","0","0","0","0","204","105","81","34.5"
"467440","0","262.5","6","3","5.5","46","162.5","13","0.5","0","0","-9998","-9998","175","182","0","0","0","8.5","0","3.5","0","0","0","0","-9998","44","170","16","0"
