"stno","2012-02-01","2012-02-02","2012-02-03","2012-02-04","2012-02-05","2012-02-06","2012-02-07","2012-02-08","2012-02-09","2012-02-10","2012-02-11","2012-02-12","2012-02-13","2012-02-14","2012-02-15","2012-02-16","2012-02-17","2012-02-18","2012-02-19","2012-02-20","2012-02-21","2012-02-22","2012-02-23","2012-02-24","2012-02-25","2012-02-26","2012-02-27","2012-02-28","2012-02-29"
"C0A560","10.5","6","7","0.5","0","0","16.5","14.5","3.5","0","0","0","0","0","0","4","6.5","4","1","1.5","0","0","27.5","84.5","23","34.5","8","15.5","0.5"
"C0A570","10","10","15.5","0.5","0","0","34.5","19.5","3.5","1","1.5","0","0","0","0.5","6","9","3.5","4","3.5","0","0","25","92.5","29.5","40","14","15","0"
"C0A640","0.5","9.5","18","4.5","0","0","19.5","16.5","5","1","3","0.5","0","0","0","14","9.5","3.5","1","0.5","0","0","45.5","78.5","35.5","30.5","18.5","16.5","0.5"
"C0A650","4.5","17","26.5","8","0","0","23.5","20.5","9.5","1.5","6","1.5","0","0","1.5","16.5","22","6.5","4","2","0","0","64","77","42.5","33","23","13.5","1"
"C0A660","9","48","59.5","18","0","0","37.5","21","15","11.5","28.5","4","0","0","32","36.5","36","4.5","5.5","0.5","0","0","58","100.5","89","56","38.5","22.5","2"
"C0A860","24","110.5","64.5","22.5","0","0","97.5","29.5","21","15.5","43.5","1.5","0","0","28.5","104.5","103.5","15","7.5","2","0","0","41","79","84.5","105","57.5","28","4"
"C0A870","8.5","43.5","33","3","0","0","46","21.5","8","1.5","12","1","0","0","12","26.5","32.5","13","4.5","0.5","0","0","49.5","68","54","37.5","22","24","2.5"
"C0A880","8.5","15","29.5","37","0.5","0","12","10.5","22","1","17","20.5","0","0","6.5","17","13.5","1.5","3.5","3.5","1","4","45","89","55.5","24","23","8.5","2"
"C0A890","12.5","35","42","28.5","0.5","0","10","18.5","18.5","0.5","7.5","11.5","0","0","0.5","7","14.5","4.5","9.5","4.5","0.5","0","50","80.5","51","24.5","24","7","1.5"
"C0A920","61","57","58","13.5","0","0","47.5","8","13.5","23","42.5","2.5","0","1.5","39.5","40.5","21.5","3.5","0.5","0.5","0","0","63","54.5","59","45","36.5","42","3"
"C0A940","25.5","20.5","31","15.5","0","0","34.5","7","17.5","8","6","4","0","0","12","16","9.5","1","0","0","0","0","65.5","72","51.5","24.5","20.5","23.5","0"
"C0A950","4.5","7","17","13.5","0.5","0.5","2","4.5","23.5","1","3.5","3.5","0","0","5.5","4.5","5","0.5","0","0","0","0","37.5","57","37.5","17","9.5","6.5","0.5"
"C0A970","3.5","7","10","4","2.5","1","6.5","4","16.5","0.5","5","8.5","0.5","0.5","3","8","5","1.5","1.5","1","0.5","2.5","23","11.5","0","0","0","0","0"
"C0A980","0","0","8","1","0","0","24","3","1.5","0","0","0","0","0","4.5","8.5","0","0","0","0","0","0","42","44.5","26.5","12","4.5","23","0"
"C0A9A0","0","0","6","1","0","0","23.5","2.5","1","0.5","0","0","0","0","3.5","5.5","0","0","0","0","0","0","48","54","32.5","17","4.5","22","0"
"C0A9C0","0","0","2.5","1","0","0","14.5","1.5","1","0","0","0","0","0","4","10.5","0","0","0","0","0","0","44.5","45","27","12","3.5","21.5","0"
"C0A9E0","0","0","6","1","0","0","23","2.5","1.5","0","0","0","0","0","5","7.5","0","0","0","0","0","0","44","49.5","35.5","16.5","4.5","22.5","0"
"C0A9F0","0","1.5","10","1","0","0","22.5","3.5","3","0","0","0","0","0","4","6","0","0","0","0","0","0","50.5","58","35","18","4.5","22","0"
"C0AC40","6.5","16.5","18","3.5","0","0.5","27.5","13.5","10.5","0.5","4.5","2","0","0","2","12","11.5","7.5","4.5","1.5","0.5","0","40","37","28","20","14","24.5","2.5"
"C0AC60","0","1.5","7","0","0","0","57","13","0.5","0.5","0","0","0","0","0.5","8","5","1","0","0","0","0","38","77.5","30","28.5","10.5","27","0"
"C0AC70","0.5","2.5","15","1.5","0","0","31.5","8.5","3","0","0","0","0","0","3.5","4","1.5","0","0","0","0","0","69.5","75","38","23","8","21.5","0"
"C0AC80","0","4","14","1","0","0","36.5","10.5","2.5","0","0.5","0","0","0","1.5","8.5","9.5","1","0","0","0","0","57","86","35.5","24.5","12","20.5","0"
"C0ACA0","0","0.5","9","1","0","0","27","3.5","1.5","0","0","0","0","0","1","10","0.5","0","0","0","0","0","44","56.5","39","22","5","24","0"
"C0AD00","27","49.5","42.5","2.5","0","0","29","4.5","3.5","10","23.5","0.5","0","1","21.5","25.5","16","1.5","0.5","0","0","0","48.5","40","39","38","31.5","72.5","1"
"C0AD10","0.5","0","8.5","0.5","0","0","23","3","1.5","0.5","0","0","0","4","0.5","9.5","2","0","0","0","0","0","49.5","34.5","20","19.5","5","30","0"
"C0AD30","0","0","7.5","1","0","0","25","2.5","1","0","0","0","0","0","5.5","9.5","0","0","0","0","0","0","43.5","48","40","17","5.5","24","0"
"C0AD40","1","4","9.5","0","0","0","46.5","12","0.5","0","0","0","0","0","1","7","1.5","0.5","0","0","0","0","49","84.5","30","20.5","10","25.5","0"
"C0AD50","0","0.5","4.5","0","0","0","62","8.5","1","0","0","0","0","0","1","8.5","6.5","1","0","0","0","0","34.5","70.5","30","19","9.5","29","0"
"C0C460","0","0.5","6.5","0.5","0","0","32","14.5","2","0","0","0.5","0","0","1.5","6","3","1","0","0","0","0","50","118","22","33","7.5","27.5","0"
"C0C480","0","2.5","7.5","0","0.5","0","30.5","11","1","0.5","0.5","0","0","0","2","10.5","4.5","1","0","0","0","0","50.5","52","47.5","20.5","10.5","30","0"
"C0C540","0.5","0.5","10.5","0.5","0","0","24.5","3","2.5","1.5","0.5","0","0","3.5","4","9.5","2","0","0","0","0","0","29","39","26","17","6.5","35.5","0"
"C0C590","1","1","8","0","0","0","24.5","6.5","2.5","3.5","1","0","0","2.5","3.5","12","1.5","0","0","0","0","0","28","37.5","26.5","20","8","39.5","0"
"C0C630","0","0","5.5","0.5","0","0","33.5","8.5","1.5","2","0","0","0","0","0.5","8","2","0","0","0","0","0","38.5","67.5","27","23.5","7.5","32","0.5"
"C0C650","0","0","8","0","0","0","43.5","12","1.5","2","0.5","0","0","0","1","6.5","3","1","0","0","0","0","30.5","61","41","22","12","38","0"
"C0D360","0","0","4.5","0","0","0","34.5","21","1","0.5","0","0.5","0","0","0","2","1","0","0","0","0","0","29","118.5","17","25","2.5","30.5","2"
"C0D390","0","0","4","0","0","0","23","12","1","1.5","0.5","0","0","0","1","7.5","0.5","0","0","0","0","0","30.5","104.5","20.5","25.5","7.5","36","0"
"C0D480","0","0.5","2.5","0","0","0","18.5","8","0.5","1.5","0.5","0","0","0","0","5.5","1","0.5","0","0","0","0","41.5","56.5","25.5","16","7.5","33.5","0"
"C0D540","0","0","4","0.5","0","0","21.5","12","1","1.5","0","0","0","0","0.5","4.5","0","0","0","0","0","0","28.5","143.5","18","21.5","3.5","34.5","1"
"C0D550","0","0","2","0","0","0","37","13.5","3","0","0","0","0","0","0.5","6","0","0","0","0","0.5","1","55","85.5","34","22.5","6.5","44.5","2"
"C0D560","0","0","2","0","0","0","20.5","10","0","1.5","0","0","0","0","1","8","0","0","0","0","0","0","36.5","87.5","21.5","24","4.5","35.5","0"
"C0D570","0","0","2.5","0","0","0","22.5","8.5","0","0.5","0","0.5","0","5","1","3.5","0","0","0","0","0","0","29.5","77","23.5","22","3","37.5","0"
"C0D580","0","0","4","0","0","0","24","14.5","0.5","2","0","0","0.5","0","1.5","9","0","0","0","0","0","0","32","111","23.5","26.5","3","39","0"
"C0D590","0","0","2.5","0","0","0","21.5","5.5","0.5","2","0","0.5","0","1","5.5","13.5","0","0","0","0","0","0","32.5","53","32.5","21","8.5","39.5","0"
"C0E420","0","0","1","0","0","0","17.5","7","0","0","0","0","0","1","1","3.5","0","0","0","0","0","0","46","87.5","23","12.5","2","33","0.5"
"C0E430","0","0","3.5","0","0","0","23.5","17","0.5","0.5","0","0.5","0","0","0.5","4","0.5","0","0","0","0","0","26.5","144","22.5","22.5","4.5","39","7"
"C0E530","0","0","0","0","0","0","6.5","10.5","0","0.5","0.5","0","0","0","0","1","0","0","0","0","0","0","27.5","47","26","6.5","8.5","25","1.5"
"C0E610","0","0","1","0","0","0","29","16.5","0.5","0","0","0","0","0","1","1","0","0.5","0","0","0","0","47.0","48.0","X","X","X","X","X"
"C0E730","0","0","1.5","0","0","0","19","8.5","0","0.5","0","0.5","0","0","1.5","7.5","0","0","0","0","0","0","18","107.5","16","16.5","1","32.5","0.5"
"C0F861","0","0","7","0","0","2.5","34","19.5","3","0","0","0","0","0","0","0.5","0","0","0","0","3.5","17","77.5","42.5","34","48","10","34","0"
"C0G640","0","0","0","0","0","0","3","3.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.5","11.5","0","4.5","15.5","0"
"C0G650","0","0","0","0","0","0.5","30.5","10.5","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","18.5","8","11","6","1.5","20.5","0"
"C0H990","0","0","1.5","0.5","0","1.5","17","5.5","2","0","0.5","0","0","0","0","2","0","0","0","0","6","2","27.5","15.5","24","26.5","9","8","3"
"C0H9A0","0","0","0","0","0","0","5","22","0","0","0","0","0","0","0","1.5","0","0","0","0","10","3","16","28","7","3","5","25.5","0"
"C0H9C0","0","0","6.5","1.5","0","4","55.5","33.5","7","2.5","0","0","0","0","0.5","3.5","0","0","0","0","16","6.5","53","44","67","90","24","15","0"
"C0I010","0","0","2","0","0","0","39.5","43.5","0.5","0","0","0","0","0","0","2","0","0","0","0","7.5","0.5","25","12.5","21.5","20","17.5","15.5","0"
"C0I090","0","0","0","0","0","0","6","13.5","0","0","0","0","0","0","0","0","0.5","0","0","0","6.5","0","2","16.5","3.5","1.5","7","28.5","0"
"C0I110","0","0","0","0","0","0","11.5","14.5","0","0","0","0","0","0","0","0.5","0","0","0","0","7","0","0","6","3.5","3.5","8.5","23.5","0"
"C0K240","0","0","0","0","0","0","8","10","0","0","0","0","0","0","0","0.5","0","0","0","0","5","1.5","7.5","11","5","3.5","3","23","0"
"C0K280","0","0","0","0","0","5","4","2.5","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","2.5","2","1","6","14.5","0"
"C0K330","0","0","0","0","0","4","3.5","10","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1.5","2","4","3","17.5","0"
"C0M410","0","0","0","0","0","0","8","12","0","0","0","0","0","0","0","0","0.5","0","0","0.5","3.5","1","0.5","10","9","4.5","1.5","12","0"
"C0M530","0","0","0","0","0","0","9.5","16","0","0","0","0","0","0","0.5","1","0","0","0","0","7","1","6","18.5","6.5","1.5","4","22.5","0"
"C0O810","0","0","0","0","0","0","10.5","8","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0.5","14.5","6.5","0.5","0.5","4.5","0"
"C0O900","1.5","0","0","0","0","0","2.5","3.5","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0","0","4.5","6.5","0.5","0","4","0"
"C0O930","0","0","0","0","0","0","0","6","0.5","0","0","0","0","0","0","0","0","0","0","0.5","4","0.5","0","8.5","10","0","0.5","4","0"
"C0R100","0","0","0","0","0","0","7.5","6","0","0","0","0","0","0","0","24","0.5","0","0.5","1.5","16.5","3","0.5","2.5","0","0.5","0","0","0"
"C0R150","0","0","0","0","5","0","4","3","0","0","0","0","0","0","0","1.5","0","0","0","1.5","16.5","4","0","0","0","0","0","0","0"
"C0R220","0","0","0","0","0","0","7.5","2.5","0","0","0","0","0","0","0","3","0","0","0","2","24","5.5","0","0","0","0","0","0","0"
"C0R270","0","0","0","0","0","0","5","8","0","0","0","0","0","0","0","0.5","0","0","0","5.5","22.5","9","0","0","0","0","0","0","0"
"C0R280","0","0","0","0","17","2","2","9.5","0","0","14.5","11.5","12","3.5","33.5","2.5","0","1.5","7","86.5","50.5","12","0","0.5","3.5","0.5","1.5","8","8"
"C0R350","0","0","0","0","0.5","0","0","0","0","0","5.5","4","1.5","0","0","0","0","0","0.5","17.5","26","1","0","0","0","0","0","1.5","0"
"C0R420","0","0","0","0","0.5","2.5","4.5","8.5","0","0","11","7","16","6.5","38","7.5","0","0","2","76","53.5","19.5","0","0.5","4","1.5","1","5","7"
