"stno","2010-02-01","2010-02-02","2010-02-03","2010-02-04","2010-02-05","2010-02-06","2010-02-07","2010-02-08","2010-02-09","2010-02-10","2010-02-11","2010-02-12","2010-02-13","2010-02-14","2010-02-15","2010-02-16","2010-02-17","2010-02-18","2010-02-19","2010-02-20","2010-02-21","2010-02-22","2010-02-23","2010-02-24","2010-02-25","2010-02-26","2010-02-27","2010-02-28"
"C1D380","0","0","0","4.5","2.5","16","12","0","0.5","0","0","0.5","28","3","10.5","44.5","39","20","33.5","0","0.5","1","0","0","0","0","0","0"
"C1D400","0","0.5","0.5","2","0.5","18","13","0","0","0","0","10","29.5","1.5","15.5","45","43.5","40","61","6.5","0","3.5","0","0","0","0","0","0"
"C1D410","0","0","0","1","0","22","15.5","0","0","0","0","15.5","28.5","1","8.5","55","48","42.5","60","6","0","3","0","0.5","0","0","0","0"
"C1D420","0","0","0","1.5","0","16.5","11.5","0","0","0","0","13","22","0.5","6.5","48.5","47.5","38","55.5","7","0","2.5","0.5","0","0","0","0","0"
"C1E480","0","0","0","0.5","1","22.5","13","0","0","0","0","26.5","33","1","13.5","50","48.5","44.5","55.5","6.5","0","3","0","0","0","0","0","0"
"C1E670","0.5","0","0","1","1","19.5","14.5","0","0","0","0","28.5","45.5","2","16","55","49.5","49","61","7.5","0.5","3","0.5","0","0.5","0","0","0"
"C1H000","0","0","0","0","0","13.5","3.5","0","0","0","0","25","13","0","6","51.5","50.5","60","83","2","0","11","0","0","2.5","0","0","0"
"C1H860","0","0","0","0","0","11.5","2.5","0","0","0","0","19.5","11","0.5","12","49","56.5","65.5","86","1","0","9.5","0","0","1","0","0","0"
"C1H900","0","0","0","0","0","6","2","0","0","0","0","8","14","0","3","25","30","30.5","47.5","0","0","3","0","0","0","0","0","0"
"C1H920","0","0","0","0","0","5","4","0","0","0","0","4","6.5","0","1","19.5","26","24.5","46.5","0.5","0","3.5","0","0","0","0","0","0"
"C1I020","0","0","0","0","0","14","3","0","0","0","0","19.5","9","0","0","23","34","36","82","4.5","0","2","0","0","0","0","0","0"
"C1I030","0","0","0","0","0","16","2.5","0","0","0","0","4","3","0","0.5","22","20","14.5","61","4.5","0","1.5","0","0","0","0","0","0"
"C1I050","0","0","0","0","0","5","0","0.5","0","0","0","19","0.5","0","1","19.5","11.5","11.5","44.5","2","0","2.5","0","0","0","0","0","0"
"C1I070","0","0","0","0","0","0","0","0","0","0","0","15.5","0","0","1.5","10","16","6","31","0.5","0","3.5","0","0","0","0","0.5","0"
"C1I140","0","0.5","0","0","0","4","0.5","0","0","0","0","9.5","0.5","0","0.5","19.5","11","12","40","2.5","0","1.5","0","0","0","0","1","0"
"C1I150","0","0","0","0","0","9.5","0.5","0","0","0","0","15.5","5","0","0.5","24","17.5","14","49","3","0","3","0","0","0","0","7","0.5"
"C1I220","0","0","0","0","0","10","2","0","0","0","0","3","6.5","0","2.5","13.5","20","15","44.5","3","0","1.5","0","0","0.5","0","0","0"
"C1I230","0","0","0","0","0","13","2","0","0","0","0","15","4","0","4","17.5","21","17","43.5","0","0","1","0","0","0","0","0","0"
"C1I240","0","0","0","0","0","11","2.5","0","0","0","0","11.5","4.5","0","2","15.5","23","20","44","2","0","0.5","0","0","0","0","0","0"
"C1I250","0","0","0","0","0","20","2.5","0","0","0","0","18.5","8","0","1","16.5","27.5","26.5","55","1.5","0","0.5","0","0","0","0","0","0"
"C1I260","0","0","0","0","0","23.5","2","0","0","0","0","3.5","5","0","1","21.5","26.5","20.5","56.5","2.5","0","1.5","0","0","0","0","0","0"
