"stno","2014-02-01","2014-02-02","2014-02-03","2014-02-04","2014-02-05","2014-02-06","2014-02-07","2014-02-08","2014-02-09","2014-02-10","2014-02-11","2014-02-12","2014-02-13","2014-02-14","2014-02-15","2014-02-16","2014-02-17","2014-02-18","2014-02-19","2014-02-20","2014-02-21","2014-02-22","2014-02-23","2014-02-24","2014-02-25","2014-02-26","2014-02-27","2014-02-28"
"466880","0","0","0","2.5","11","0.7","1.8","20.5","97.5","8.5","4","12","17.5","12","-9998","0.5","0","4","23","0","0","0","0","0","0","0","0","0"
"466900","0","0","0","-9998","9.5","2","0.5","9.5","78","29","11","48","30","19","0.5","1","0","6","43","0","0","0","0","0","0","0","0","0"
"466910","0","0","0","23.5","27.5","1.5","2","17","102.5","48","19.5","42.5","43","35","4.5","5.5","0","9.5","67","0.5","0","2.5","0","0","0","-9998","-9998","0.5"
"466920","0","0","0","1.5","11","0.5","2","14.5","84.5","7","3.5","17.5","17","11.5","-9998","0.5","0","5","22","0","0","-9998","0","0","0","0","0","0"
"466930","0","0","-9998","17.5","18","1.5","1","15.5","91.5","32","10.5","39.5","40","20.5","1.5","3.5","0","4.5","33","-9998","-9998","1","0","0","0","0.2","0","0"
"466940","0","0","0","18.5","35.1","0.6","1.3","25.1","118.3","19.4","8.7","71.3","98.5","26.4","0.5","0.6","0","10.3","39.2","0","0.6","4.2","0","0","0","0","-9998","0"
"466950","0","0.1","0","1","27","6.5","1","3","77","12","1","7","10","7","0","13","0","1.3","10.8","0","0","17.6","31.7","0","0","0","0","0.1"
"466990","0","1.5","0.5","0.5","3.5","0","3.5","9.5","11.5","2","3","2.5","1.5","8.5","0","1","0.5","2","8","0.5","0","1.5","-9998","0","0.5","0","1.1","8"
"467050","0","0","0","1.9","9","9","1","17","65.5","3","1.5","8.5","8","4","0","0","0","13.5","17","0","0","0","0","0","0","0","0","0"
"467060","0","0.1","0.8","77.5","28.4","0.1","0.1","8.3","61.3","5.1","0.9","5.8","15.1","14.2","10.2","2.1","0","-9998","10.7","0.1","-9998","44.3","1.6","0","0","1.8","12.4","3.7"
"467080","0","-9998","0.4","18.1","44.8","0","0","4.8","60.9","5","1","7.5","10.2","4","0.1","0.3","0","0","11.5","0","0.5","20.2","0.1","0","0","0","1.2","2.5"
"467110","0","0","0","1.8","13.8","13.1","0.2","14.7","18.5","2.5","0.1","-9998","0.7","0","0","1.5","0.2","3.9","4.4","0","0","0","0","0","0","8.9","0","0"
"467300","0","0","0","0","0","1","0","0","3","4.5","1","0","0.5","0","1","0","0","0","0.5","0.5","0","0","0","0","0","0","0","0"
"467350","0","-9998","0","2.8","0.1","0.5","0.1","-9998","1.1","3.2","0.6","0","2.4","0.9","1.1","0","0","0.1","0.1","0","0","0","0","-9998","0","0","0","0"
"467410","0","-9998","0.5","0","0","0","0","0","0","3.5","3.5","0","-9998","1.5","0","0","0","0","-9998","0.5","0","0","0","0","0","0","0","0"
"467420","0","0","0","-9998","0","0","0","0","0","3.5","4","0","0.5","2","0","0","0","0","0.5","0.5","0","0","0","0","0","0","0","0"
"467440","0","0","-9998","-9998","0","0","0","0","0","12.5","1","0","0","1.5","0","0","0","0","0.5","0.5","0","0","0","0","0","0","0","0"
"467480","0","10.2","0","0.3","0","1","0","0","-9998","13","0.5","0","1.5","2.8","2","-9998","0","0","3.8","0.5","0","0","0","0","0","0","0","0"
"467490","0","0","0.5","6.6","3.7","0","0","5.3","14.5","1.5","0.1","0","0.9","1.4","0.1","0.7","0","0","9.9","0","0","0","0","0","0","0","0","0"
"467530","0","30","4","0.5","0","1.5","0","0","2.6","38.5","2","0","4.2","7.4","0.7","0.3","0","1.5","19","2.5","0","0","0","0","0","0","0","1.3"
"467540","0","0","0.4","0.5","0","2","0","0","0","12","1","0","1","4","0","0","0","0","5","3","0","0","0","0","0","0","3","9.5"
"467550","0","37","11","9.5","2","1.5","0","0","0.5","9","0","0","3","3","0","0","0","0","6.5","8.5","0","0","0","0","0","-9998","0","0"
"467571","0","0","0","8.5","6.1","4.3","0.7","12.2","72.3","3","2.1","3.8","6.9","5.5","0","0.1","0","5.4","20","0","0","0","0","0","0","0","0","0"
"467590","0","0","0.5","0","0","0.5","0","0","0","0","0","0","-9998","1.5","0","0","0","0","5.5","2.5","0","0","0","0","0","0.5","0.5","1"
"467610","0","5.1","10.6","1.5","0.2","5.5","0","0.8","2.3","6","1","0","10.5","2","0.7","0.2","1.6","2.6","14.9","8.3","0","0","2","2","0.3","0","5.6","8.3"
"467620","1.5","9.8","2.5","18.3","7.1","0.4","0","49.3","10","13","35.5","18.8","0","46.6","12.5","0.6","0","0","27.8","12.7","0","0.5","4","0.5","0","1","10.5","0"
"467650","0","11.5","3.5","8","3","0","0","0.5","2.5","13.5","0.5","0.5","2.5","9","-9998","1","0","2","8.5","1.5","0","0","0","0","0","0","0","0"
"467660","0","0.8","0.9","0","0","1.4","0","-9998","0","12","2.9","1","-9998","5.6","0.1","0.6","2","0.1","2.5","5.7","0","0","3","0.4","0.7","0","3.2","23"
"467770","0","0","0","4","2.5","0.5","0","10","17","0.2","0","0","1","1.5","0","0","0","-9998","7.1","0","0","0","0","0","0","0","0","0"
"467780","0","-9998","0","0","0","1","0","0","-9998","3","-9998","0.5","-9998","1","0","0","0","-9998","0.5","0","0","0","0","0","0","0","0","0"
