"stno","2018-01-01","2018-01-02","2018-01-03","2018-01-04","2018-01-05","2018-01-06","2018-01-07","2018-01-08","2018-01-09","2018-01-10","2018-01-11","2018-01-12","2018-01-13","2018-01-14","2018-01-15","2018-01-16","2018-01-17","2018-01-18","2018-01-19","2018-01-20","2018-01-21","2018-01-22","2018-01-23","2018-01-24","2018-01-25","2018-01-26","2018-01-27","2018-01-28","2018-01-29","2018-01-30","2018-01-31"
"466880","0","0","0","0.5","1.5","23","72","92","26.5","0","0","0","0","0","0","0","0","0.3","11","1","0","1","0","0","0","0.3","0","11.6","11.5","11.5","27.5"
"466900","0","0","0","0","-9998","0","-9997","63","16","0","0","0","0","-9998","0","0","0","-9998","8.5","4","0","-9998","0","0","0","0.5","0","19","15","1","24.5"
"466910","4","0.5","0.7","0","9.3","71","103","117","19.5","0","0","0","1.6","0","0","0","0.9","7","18.5","9","3.5","0.5","3.2","8.5","5.5","33.5","6.8","20.7","45.5","33","41.5"
"466920","0","0","0","0.3","1","26","68.9","76.1","22.5","0","0","0","0","0","0","0","0","-9998","12.5","2","0","1","0","0","0","0","0","11.5","8.8","7.7","17.5"
"466930","1.2","0","0","0","6.7","51","89.3","103","15.7","0","0","0","0.8","0","0","0","0.4","2","14.9","9.6","0.9","0.3","1.7","3.3","1.3","26.5","3.9","17.8","50","23.4","34.2"
"466940","1","0.5","0","-9998","13","48","63.5","71.5","15","0","0","0","0.7","0","0","0","0.5","21","43","17.5","15.5","0.5","10.5","6","8.5","60","4","19.5","38.5","41","42.5"
"466950","-9998","0","0","1.5","2.4","17.5","47.5","60.5","5.7","0","0","0","2.6","0","0","0","0","0.5","15.5","0.5","2","-9998","0","0","-9998","3.5","1","15.5","15.5","3","16"
"466990","0","6","-9998","1","0","22.5","27","7.5","18","1.5","0","0","0","0","0","0","1.5","0","4","0.5","-9998","0.5","0","1","0","0","1","1","1.5","1.5","0"
"467050","0","0","0","0.1","2.8","37.6","64.8","109.7","14.6","0","0","0","0","0","0","0","0","0.6","5.7","0","0","0","0","0","0","0.5","-9998","11.4","7.8","4.2","22.7"
"467060","5","10","6","5.5","15.5","88.5","68","7","9.5","0.5","0","0","1.5","0.5","0","0","-9998","27.5","9.5","26","36","0","19","91","56.5","83.5","23","-9998","36","47.5","8.5"
"467080","3.5","3.2","1","0.1","3","67.6","57.1","12.8","5.5","0.9","0","0","-9998","0","0","0","1","53.2","15","7.7","14.5","0.5","1.4","30.2","16.5","5.7","11.8","5.1","11","46.4","14.1"
"467110","0","0","0","0.1","-9998","20","34.5","68.5","6.5","0","0","0","0","0","0","0","0","0","1.8","0","0","0","0","0","0","0","0","2.2","8.3","1.7","5.7"
